Sample	TOTAL_READS	PF_READS	READ_LENGTH	TOTAL_BASES	PF_BASES	Q20_BASES	PF_Q20_BASES	Q30_BASES	PF_Q30_BASES	Q20_EQUIVALENT_YIELD	PF_Q20_EQUIVALENT_YIELD
SRR7828562	76861322	76861322	50	3843066100	3843066100	3703526732	3703526732	3567286648	3567286648	6925482602	6925482602
SRR7828563	63857574	63857574	50	3192878700	3192878700	3088142844	3088142844	2982966621	2982966621	5782220623	5782220623
SRR7828564	74341930	74341930	50	3717096500	3717096500	3569565147	3569565147	3425841486	3425841486	6692582649	6692582649
SRR7828565	60473154	60473154	50	3023657700	3023657700	2934463583	2934463583	2846365453	2846365453	5487785689	5487785689
SRR7828566	75210342	75210342	50	3760517100	3760517100	3582313814	3582313814	3410440787	3410440787	6706500784	6706500784
SRR7828567	66270708	66270708	50	3313535400	3313535400	3188454690	3188454690	3063628724	3063628724	5966144959	5966144959
SRR7828568	69051070	69051070	50	3452553500	3452553500	3357016468	3357016468	3262310849	3262310849	6276567143	6276567143
SRR7828569	63914746	63914746	50	3195737300	3195737300	3020885290	3020885290	2852008877	2852008877	5665430449	5665430449
SRR7828570	67839322	67839322	50	3391966100	3391966100	3265543704	3265543704	3140128709	3140128709	6109330302	6109330302
SRR7828571	61333874	61333874	50	3066693700	3066693700	2977533569	2977533569	2890289230	2890289230	5569433231	5569433231
SRR7828572	59696628	59696628	50	2984831400	2984831400	2867623642	2867623642	2753457888	2753457888	5376683567	5376683567
SRR7828573	81129110	81129110	50	4056455500	4056455500	3926462555	3926462555	3799114970	3799114970	7342309880	7342309880
SRR7828574	67306372	67306372	50	3365318600	3365318600	3266025075	3266025075	3169161162	3169161162	6106921475	6106921475
SRR7828575	69990064	69990064	50	3499503200	3499503200	3321780591	3321780591	3157194934	3157194934	6216003736	6216003736
SRR7828576	68993648	68993648	50	3449682400	3449682400	3299562578	3299562578	3147482007	3147482007	6176100078	6176100078
