Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR7828562	41097487.0	100.0	36151416.0	87.97	99.26	5317740.0	5278868.0	5225783.0	47942.0	8395.0	35620.0	0.32	0.01	1.28	0.01	1.2	2279245.0	5.55	83412.0	0.2	0.0	6.03	0.25	0	2480571	102843
SRR7828562._STARpass1	41097487.0	100.0	36160608.0	87.99	99.25	5163102.0	5064765.0	5085138.0	35296.0	6781.0	35887.0	0.32	0.01	1.28	0.01	1.2	2250669.0	5.48	76847.0	0.19	0.0	6.1	0.25	0	2506632	102731
SRR7828563	34010474.0	100.0	30307696.0	89.11	99.2	4271921.0	4233536.0	4193381.0	36391.0	6875.0	35274.0	0.3	0.01	1.28	0.01	1.17	1621091.0	4.77	50122.0	0.15	0.0	5.75	0.22	0	1956700	74865
SRR7828563._STARpass1	34010474.0	100.0	30309039.0	89.12	99.2	4146577.0	4056128.0	4077085.0	28093.0	5753.0	35646.0	0.3	0.01	1.28	0.01	1.17	1608437.0	4.73	49018.0	0.14	0.0	5.79	0.22	0	1969159	74821
SRR7828564	39646036.0	100.0	35082558.0	88.49	99.2	7407595.0	7371070.0	7301504.0	60631.0	10899.0	34561.0	0.28	0.01	1.26	0.0	1.2	2088407.0	5.27	52255.0	0.13	0.0	5.98	0.13	0	2371267	51549
SRR7828564._STARpass1	39646036.0	100.0	35091004.0	88.51	99.19	7314570.0	7184542.0	7217566.0	52485.0	9828.0	34691.0	0.28	0.01	1.26	0.0	1.2	2077647.0	5.24	49197.0	0.12	0.0	5.99	0.13	0	2376609	51579
SRR7828565	32047046.0	100.0	28456256.0	88.8	99.09	7229481.0	7198477.0	7134471.0	54737.0	10520.0	29753.0	0.26	0.01	1.24	0.0	1.22	1780321.0	5.56	22716.0	0.07	0.0	5.53	0.05	0	1771734	16019
SRR7828565._STARpass1	32047046.0	100.0	28467392.0	88.83	99.08	7152762.0	7042957.0	7067778.0	46202.0	8943.0	29839.0	0.26	0.01	1.24	0.0	1.22	1769413.0	5.52	17092.0	0.05	0.0	5.54	0.05	0	1777110	16039
SRR7828566	40355699.0	100.0	35433142.0	87.8	99.18	7837604.0	7794669.0	7720032.0	67859.0	9942.0	39771.0	0.31	0.01	1.27	0.0	1.19	2172029.0	5.38	37318.0	0.09	0.0	6.62	0.1	0	2672835	40375
SRR7828566._STARpass1	40355699.0	100.0	35444095.0	87.83	99.17	7724068.0	7581831.0	7618099.0	56503.0	9288.0	40178.0	0.31	0.01	1.27	0.0	1.19	2159279.0	5.35	33129.0	0.08	0.0	6.65	0.09	0	2682886	36310
