## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828564_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/GSE100148/results/star/SRR7828564.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/GSE100148/results/picard/SRR7828564_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 10 14:00:21 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
379	263	170	21	1569479	428.713544	363.419742	37170965	FR	69	137	201	267	341	445	837	4329	13839	28503	110047			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
21	1
24	1
26	1
27	5
28	2
29	2
30	10
31	4
32	9
33	55
34	1430
35	2038
36	2805
37	3719
38	4344
39	4561
40	4507
41	4637
42	4730
43	5389
44	5137
45	5324
46	5729
47	5756
48	6498
49	6477
50	8761
51	8715
52	8990
53	8896
54	49837
55	9073
56	9382
57	10421
58	9954
59	10096
60	9907
61	9970
62	10177
63	10014
64	10141
65	10226
66	10512
67	11009
68	11159
69	11572
70	11675
71	11922
72	11861
73	11717
74	11775
75	11792
76	12210
77	12561
78	12980
79	13382
80	13484
81	13859
82	13807
83	13831
84	13957
85	14090
86	14350
87	14400
88	14944
89	15475
90	15718
91	16045
92	16179
93	16286
94	16137
95	16704
96	16756
97	16805
98	17128
99	17862
100	18210
101	18494
102	18703
103	18947
104	19115
105	19479
106	19719
107	19697
108	19943
109	20497
110	21369
111	21478
112	21986
113	22041
114	22225
115	23060
116	22882
117	23108
118	23783
119	24035
120	24451
121	24613
122	25163
123	25675
124	26235
125	26204
126	26655
127	26737
128	27404
129	27714
130	28196
131	28777
132	29311
133	29996
134	30307
135	30821
136	31071
137	31455
138	31473
139	31972
140	32592
141	33278
142	34034
143	34319
144	35137
145	35429
146	35903
147	36320
148	36750
149	37172
150	37942
151	38525
152	39139
153	39875
154	40407
155	41103
156	40675
157	41860
158	42337
159	42986
160	43909
161	43413
162	44357
163	45075
164	46075
165	46425
166	47007
167	48193
168	48624
169	48503
170	49186
171	50306
172	50084
173	51655
174	52451
175	53856
176	53430
177	54416
178	54276
179	54877
180	55783
181	55839
182	56815
183	56960
184	57892
185	58992
186	60059
187	60550
188	61379
189	61698
190	61272
191	62363
192	63118
193	64088
194	64608
195	65252
196	65621
197	66817
198	67693
199	67884
200	68359
201	67791
202	69134
203	69746
204	70419
205	71313
206	72694
207	73535
208	73404
209	73907
210	73909
211	74124
212	74678
213	76569
214	76073
215	76724
216	77719
217	78165
218	79262
219	79351
220	79384
221	79825
222	80600
223	81055
224	81024
225	81477
226	81780
227	83399
228	83585
229	83851
230	84121
231	84462
232	85087
233	84979
234	85645
235	85876
236	86641
237	86504
238	86697
239	86539
240	87954
241	86779
242	88001
243	88046
244	87888
245	88752
246	88564
247	89024
248	89155
249	89547
250	89522
251	89590
252	90024
253	90475
254	90608
255	89137
256	89888
257	89729
258	90359
259	90127
260	90139
261	90843
262	90412
263	91052
264	91026
265	89528
266	89502
267	89415
268	89712
269	90456
270	89424
271	89155
272	89314
273	89131
274	89000
275	88580
276	89303
277	88919
278	88707
279	89276
280	88150
281	88176
282	88576
283	87007
284	88093
285	87180
286	87237
287	86232
288	86403
289	87135
290	85430
291	86377
292	85200
293	85039
294	84972
295	84594
296	84386
297	84239
298	84848
299	83220
300	83004
301	82230
302	82186
303	82257
304	82351
305	81297
306	81131
307	81427
308	81045
309	80358
310	80129
311	78619
312	79438
313	78566
314	78263
315	77395
316	77556
317	76973
318	77437
319	75770
320	76166
321	75736
322	75289
323	74974
324	74844
325	74516
326	73506
327	73780
328	73557
329	72819
330	72848
331	72572
332	71676
333	72171
334	70699
335	70043
336	69865
337	69559
338	69142
339	68615
340	68480
341	67589
342	67862
343	67159
344	67286
345	66252
346	66499
347	65424
348	65585
349	64743
350	64446
351	64382
352	63370
353	63422
354	63716
355	62984
356	62078
357	61553
358	62010
359	60846
360	61497
361	61243
362	60021
363	59241
364	58905
365	58693
366	58510
367	58401
368	57700
369	57114
370	57261
371	55758
372	56304
373	56105
374	55003
375	54958
376	53348
377	54455
378	53858
379	53134
380	53578
381	52283
382	52552
383	52100
384	51465
385	51840
386	50891
387	50914
388	50718
389	50012
390	49982
391	49248
392	48692
393	48356
394	48188
395	48240
396	47768
397	47230
398	47007
399	46924
400	46364
401	46524
402	46319
403	45761
404	45447
405	44870
406	44469
407	44204
408	43738
409	43056
410	43473
411	43153
412	43465
413	42212
414	42461
415	41698
416	41331
417	41209
418	41451
419	40292
420	40801
421	40166
422	39963
423	39858
