Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR17010968	20082225.0	2630792.0	93529.0	780004.0	214026.0
SRR17010968._STARpass1	20500100.0	2256055.0	136131.0	770382.0	137908.0
SRR17010969	19935654.0	2756168.0	79745.0	880188.0	178416.0
SRR17010969._STARpass1	20709712.0	2030911.0	104724.0	877778.0	107046.0
SRR17010970	27174315.0	4239655.0	183568.0	1465233.0	384707.0
SRR17010970._STARpass1	28557071.0	2917668.0	273202.0	1419063.0	280474.0
SRR17010971	35368478.0	4394204.0	118372.0	1593379.0	347114.0
SRR17010971._STARpass1	36506017.0	3360846.0	183644.0	1582631.0	188409.0
SRR17010972	33690731.0	4565527.0	149416.0	1835512.0	439546.0
SRR17010972._STARpass1	34306250.0	4055493.0	205796.0	1803747.0	309446.0
SRR17010973	42517055.0	5753192.0	152287.0	2149616.0	510598.0
SRR17010973._STARpass1	44803450.0	3692690.0	197584.0	2133786.0	255238.0
SRR17010974	24755242.0	3729826.0	125485.0	1187917.0	285702.0
SRR17010974._STARpass1	25295700.0	3254458.0	166308.0	1177914.0	189792.0
SRR17010975	25077660.0	4222481.0	116480.0	1048468.0	276722.0
SRR17010975._STARpass1	26541843.0	2828619.0	173312.0	1041371.0	156666.0
SRR17010976	30469471.0	4524999.0	172151.0	1272298.0	449914.0
SRR17010976._STARpass1	31479155.0	3654475.0	230588.0	1266830.0	257785.0
SRR17010977	21037988.0	2875240.0	114217.0	822284.0	311814.0
SRR17010977._STARpass1	21580171.0	2385007.0	143588.0	818547.0	234230.0
SRR17010978	19001895.0	2728841.0	86177.0	756005.0	255808.0
SRR17010978._STARpass1	19849020.0	1969433.0	124415.0	753436.0	132422.0
SRR17010979	47732312.0	8535106.0	200563.0	2654290.0	518929.0
SRR17010979._STARpass1	49944003.0	6518539.0	248783.0	2637484.0	292391.0
SRR17010980	19726641.0	3004357.0	85159.0	741722.0	165880.0
SRR17010980._STARpass1	20181178.0	2589923.0	107626.0	740590.0	104442.0
SRR17010981	20184779.0	2955019.0	98918.0	938117.0	318421.0
SRR17010981._STARpass1	21235115.0	1983042.0	132453.0	907399.0	237245.0
SRR17010982	20294832.0	2880536.0	99961.0	961133.0	262350.0
SRR17010982._STARpass1	21072270.0	2210876.0	129037.0	951720.0	134909.0
SRR17010983	32569851.0	3976029.0	153161.0	1468241.0	448200.0
SRR17010983._STARpass1	33311520.0	3329982.0	177216.0	1468323.0	328441.0
SRR17010984	28713463.0	4052755.0	118444.0	1443713.0	350517.0
SRR17010984._STARpass1	29557979.0	3276985.0	172193.0	1432420.0	239315.0
SRR17010985	33897184.0	5399579.0	174328.0	1839861.0	547777.0
SRR17010985._STARpass1	35731469.0	3718468.0	243759.0	1804892.0	360141.0
SRR17010986	22104496.0	3133725.0	106504.0	1120004.0	221334.0
SRR17010986._STARpass1	22747907.0	2547320.0	140300.0	1111884.0	138652.0
SRR17010987	28874559.0	4420892.0	82602.0	1339957.0	234405.0
SRR17010987._STARpass1	30133217.0	3261233.0	111222.0	1331423.0	115320.0
SRR17010988	29185039.0	3896064.0	113272.0	1401141.0	314470.0
SRR17010988._STARpass1	29931116.0	3245210.0	143589.0	1394370.0	195701.0
SRR17010989	21717350.0	3549589.0	127706.0	1137596.0	254286.0
SRR17010989._STARpass1	22644038.0	2678745.0	182295.0	1115236.0	166213.0
SRR17010990	47290393.0	6105515.0	182598.0	2143278.0	596293.0
SRR17010990._STARpass1	48422407.0	5153138.0	253907.0	2105760.0	382865.0
SRR17010991	24800295.0	4208965.0	79345.0	1275752.0	288271.0
SRR17010991._STARpass1	26416087.0	2730974.0	98594.0	1272100.0	134873.0
SRR17010992	56957038.0	6819768.0	113747.0	2312490.0	675033.0
SRR17010992._STARpass1	59486549.0	4696188.0	131616.0	2322746.0	240977.0
SRR17010993	40183458.0	4900352.0	120695.0	1893005.0	389039.0
SRR17010993._STARpass1	41563418.0	3647680.0	168155.0	1888480.0	218816.0
SRR17010994	52871246.0	6978270.0	154308.0	2162866.0	432573.0
SRR17010994._STARpass1	55942326.0	4113541.0	134570.0	2189842.0	218984.0
SRR17010995	37830599.0	6919462.0	86160.0	1872251.0	305770.0
SRR17010995._STARpass1	40608039.0	4303801.0	95785.0	1860938.0	145679.0
SRR17010996	44782085.0	5223600.0	102527.0	3757411.0	390944.0
SRR17010996._STARpass1	46320007.0	3810776.0	132569.0	3738213.0	255002.0
SRR17010997	45977393.0	5679225.0	117219.0	2015777.0	461836.0
SRR17010997._STARpass1	47975142.0	3934126.0	133639.0	2024046.0	184497.0
SRR17010998	30584993.0	4436940.0	81013.0	1312368.0	186437.0
SRR17010998._STARpass1	32159078.0	2941968.0	91713.0	1321159.0	87833.0
SRR17010999	44795381.0	7149133.0	167026.0	1905472.0	606038.0
SRR17010999._STARpass1	48287269.0	4024459.0	181351.0	1906051.0	223920.0
SRR17011000	45190278.0	8856345.0	101235.0	1747938.0	303501.0
SRR17011000._STARpass1	47993348.0	6238479.0	105669.0	1743681.0	118120.0
SRR17011001	23258035.0	3220897.0	101558.0	883272.0	268581.0
SRR17011001._STARpass1	23867825.0	2664821.0	138974.0	869627.0	191096.0
SRR17011002	24207461.0	3248428.0	110712.0	915865.0	311048.0
SRR17011002._STARpass1	24798892.0	2708044.0	152256.0	915519.0	218803.0
SRR17011003	21736397.0	3448989.0	104973.0	875723.0	229482.0
SRR17011003._STARpass1	22387392.0	2851053.0	138439.0	873531.0	145149.0
SRR17011004	21326476.0	2958021.0	117521.0	857951.0	273217.0
SRR17011004._STARpass1	21926259.0	2405620.0	162046.0	852858.0	186403.0
SRR17011005	28268156.0	3738122.0	128433.0	1084843.0	304693.0
SRR17011005._STARpass1	28945422.0	3128312.0	164514.0	1085062.0	200937.0
SRR17011006	25924845.0	3434123.0	36881.0	995634.0	174619.0
SRR17011006._STARpass1	27078508.0	2377201.0	45954.0	1000206.0	64233.0
SRR17011007	34621021.0	4009190.0	134556.0	1542921.0	378606.0
SRR17011007._STARpass1	35453754.0	3286465.0	171958.0	1542180.0	231937.0
SRR17011008	23782669.0	2951678.0	44889.0	944608.0	150469.0
SRR17011008._STARpass1	24660742.0	2139345.0	52206.0	949615.0	72405.0
SRR17011009	24306030.0	3094557.0	34267.0	908764.0	162381.0
SRR17011009._STARpass1	25276672.0	2191449.0	43101.0	912116.0	82661.0
SRR17011010	32764632.0	4032764.0	64362.0	1295174.0	272870.0
SRR17011010._STARpass1	33774793.0	3169033.0	76010.0	1298552.0	111414.0
SRR17011011	52822538.0	6890786.0	181478.0	3995042.0	691698.0
SRR17011011._STARpass1	54450772.0	5497729.0	204334.0	3995534.0	433173.0
SRR17011012	31881517.0	8020502.0	78883.0	3101227.0	272873.0
SRR17011012._STARpass1	36136118.0	3899861.0	87181.0	3119053.0	112789.0
SRR17011013	41499734.0	8158805.0	145733.0	4224269.0	689453.0
SRR17011013._STARpass1	45795689.0	4032397.0	193272.0	4225878.0	470758.0
SRR17011014	33349013.0	5381286.0	98981.0	2873463.0	378641.0
SRR17011014._STARpass1	35403955.0	3533108.0	108433.0	2888515.0	147373.0
SRR17011015	35708874.0	6939317.0	87084.0	2600767.0	292016.0
SRR17011015._STARpass1	39321956.0	3437942.0	91071.0	2603521.0	173568.0
SRR17011016	56810191.0	7020734.0	156411.0	4046490.0	582969.0
SRR17011016._STARpass1	59395542.0	4770491.0	182943.0	4061976.0	205843.0
SRR17011017	21147648.0	4366578.0	120734.0	1661974.0	353964.0
SRR17011017._STARpass1	22361752.0	3360897.0	145739.0	1671967.0	110543.0
SRR17011018	46106021.0	6095776.0	189213.0	2339200.0	430324.0
SRR17011018._STARpass1	47669909.0	4728502.0	197593.0	2316350.0	248180.0
SRR17011019	22365799.0	4733331.0	55858.0	900073.0	155185.0
SRR17011019._STARpass1	24382135.0	2766664.0	71957.0	901849.0	87641.0
SRR17011020	31940390.0	7024941.0	132760.0	1557552.0	344301.0
SRR17011020._STARpass1	35643721.0	3406967.0	168819.0	1567113.0	213324.0
SRR17011021	22365823.0	3455842.0	60992.0	789227.0	238916.0
SRR17011021._STARpass1	23283017.0	2613685.0	75119.0	793693.0	145286.0
SRR17011022	23515089.0	3009834.0	43624.0	983316.0	116336.0
SRR17011022._STARpass1	24513480.0	2042449.0	50388.0	976157.0	85725.0
SRR17011023	22085439.0	3216776.0	40097.0	1042045.0	183421.0
SRR17011023._STARpass1	23210347.0	2168355.0	51718.0	1049665.0	87693.0
SRR17011024	49043870.0	8085181.0	169443.0	2624282.0	777565.0
SRR17011024._STARpass1	51038960.0	6271370.0	181660.0	2625014.0	583337.0
SRR17011025	29107124.0	3980223.0	88462.0	1553595.0	368234.0
SRR17011025._STARpass1	30359055.0	2937235.0	108225.0	1559640.0	133483.0
SRR17011026	54043009.0	7517420.0	191658.0	4806138.0	686591.0
SRR17011026._STARpass1	56579156.0	5340904.0	233928.0	4761303.0	329525.0
SRR17011027	34253360.0	5245337.0	39966.0	1602175.0	136267.0
SRR17011027._STARpass1	36770963.0	2871253.0	43963.0	1537346.0	53580.0
SRR17011028	58936613.0	7899952.0	201549.0	3251561.0	616309.0
SRR17011028._STARpass1	61313463.0	5736134.0	249538.0	3273800.0	333049.0
SRR17011029	41203842.0	7169098.0	211013.0	2560867.0	589775.0
SRR17011029._STARpass1	42599795.0	5949353.0	247185.0	2555460.0	382802.0
SRR17011030	38031266.0	7996764.0	148942.0	2094920.0	394624.0
SRR17011030._STARpass1	39285416.0	6948069.0	157416.0	2085980.0	189635.0
SRR17011031	58883974.0	9340876.0	250504.0	3167170.0	585710.0
SRR17011031._STARpass1	60850700.0	7604265.0	259640.0	3116813.0	396816.0
