## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17010968_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/star/SRR17010968.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17010968_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 15 09:39:54 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
532	133	416	25	2066436	885.980723	1117.379022	22712425	FR	423	621	721	781	833	1301	3385	7395	19817	50151	158061			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
25	1
26	1
27	3
28	2
29	2
31	4
32	7
33	8
34	14
35	140
36	156
37	155
38	184
39	204
40	220
41	232
42	210
43	241
44	280
45	283
46	344
47	385
48	413
49	461
50	559
51	543
52	574
53	671
54	659
55	746
56	801
57	934
58	1163
59	1348
60	1418
61	1741
62	1963
63	1905
64	2054
65	2234
66	2614
67	3130
68	3446
69	3765
70	4140
71	4794
72	4801
73	6102
74	6559
75	17062
76	8295
77	9166
78	12528
79	10058
80	9824
81	11839
82	12292
83	13001
84	13607
85	14836
86	16248
87	17550
88	18894
89	20275
90	21917
91	24660
92	26846
93	28212
94	30296
95	33385
96	34527
97	37935
98	39326
99	43068
100	45251
101	47093
102	49064
103	51332
104	55078
105	59330
106	62026
107	63511
108	64511
109	66558
110	67697
111	68589
112	70824
113	72512
114	73460
115	74517
116	76140
117	77332
118	79081
119	80256
120	81766
121	83007
122	82679
123	83673
124	85129
125	84989
126	84492
127	85866
128	85205
129	84758
130	86662
131	86671
132	85208
133	88322
134	88282
135	86920
136	87239
137	85814
138	85512
139	84681
140	85024
141	83184
142	82829
143	81607
144	80835
145	80131
146	78206
147	77250
148	77993
149	76912
150	75589
151	76895
152	74932
153	74163
154	73675
155	73307
156	72263
157	71346
158	69686
159	68765
160	68628
161	67119
162	66418
163	65631
164	64016
165	62232
166	62034
167	61393
168	61356
169	60973
170	60369
171	59236
172	58397
173	57203
174	55606
175	55541
176	55027
177	53925
178	53639
179	53191
180	52624
181	51800
182	50635
183	49522
184	48585
185	48425
186	48041
187	47002
188	47151
189	45944
190	45873
191	44910
192	43868
193	43521
194	43283
195	42518
196	42161
197	41784
198	41007
199	40261
200	40824
201	39988
202	39393
203	39489
204	38230
205	38131
206	36660
207	36642
208	36574
209	36003
210	35127
211	34908
212	35377
213	34395
214	33989
215	33868
216	33185
217	33125
218	32139
219	32147
220	31959
221	31276
222	31007
223	30661
224	30441
225	29547
226	29826
227	29419
228	28921
229	28858
230	29292
231	28257
232	28462
233	28103
234	27505
235	27359
236	27235
237	26265
238	26231
239	25289
240	25019
241	25085
242	24850
243	24822
244	24349
245	24309
246	23679
247	23500
248	23352
249	23198
250	22914
251	22733
252	22026
253	21958
254	21915
255	21607
256	21608
257	21279
258	21006
259	20626
260	20594
261	20027
262	20288
263	19886
264	19893
265	19851
266	19235
267	19191
268	18980
269	19080
270	18470
271	18556
272	18090
273	18316
274	17647
275	17867
276	17164
277	17272
278	16866
279	16724
280	16558
281	16680
282	16514
283	16356
284	16059
285	15567
286	15549
287	15594
288	15174
289	15143
290	15008
291	14590
292	14733
293	14448
294	14608
295	14307
296	14280
297	14089
298	14133
299	13532
300	13625
301	13702
302	13479
303	13212
304	13261
305	13152
306	12979
307	12962
308	12770
309	12847
310	12568
311	12196
312	12467
313	12341
314	12330
315	12054
316	11867
317	11629
318	11722
319	11508
320	11311
321	11545
322	11426
323	11295
324	11119
325	10907
326	10683
327	10695
328	10641
329	10404
330	10676
331	10411
332	10391
333	10274
334	10083
335	10326
336	10083
337	10074
338	9630
339	9833
340	9700
341	9718
342	9780
343	9458
344	9390
345	9467
346	9316
347	9230
348	9363
349	8848
350	9260
351	9018
352	9154
353	9057
354	8959
355	8757
356	8745
357	8708
358	8499
359	8616
360	8704
361	8516
362	8590
363	8350
364	8226
365	8024
366	8088
367	8314
368	8171
369	7874
370	7894
371	7921
372	7838
373	7794
374	7651
375	7691
376	7606
377	7811
378	7548
379	7691
380	7683
381	7580
382	7325
383	7438
384	7434
385	7296
386	7302
387	7280
388	7200
389	6949
390	7180
391	7027
392	6875
393	6978
394	6935
395	6934
396	7274
397	6945
398	6827
399	6716
400	6918
401	7139
402	6628
403	6882
404	6555
405	6511
406	6510
407	6303
408	6427
409	6501
410	6411
411	6371
412	6488
413	6237
414	6278
415	5967
416	6160
417	6190
418	6273
419	6270
420	6021
421	6082
422	5939
423	6066
424	6165
425	6185
426	6078
427	5953
428	6029
429	6326
430	5997
431	6029
432	5959
