## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17011003_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/star/SRR17011003.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17011003_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 16 10:43:13 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
484	133	371	24	3198735	799.855348	1010.570159	25184735	FR	385	551	637	693	743	1317	3465	7595	21579	70899	164999			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
24	1
25	2
28	1
30	3
31	2
32	6
33	13
34	19
35	158
36	162
37	145
38	203
39	226
40	255
41	285
42	263
43	304
44	294
45	308
46	430
47	421
48	474
49	536
50	582
51	700
52	735
53	779
54	741
55	929
56	912
57	1253
58	1340
59	1532
60	1811
61	2053
62	2164
63	2330
64	2370
65	2727
66	3132
67	3554
68	4329
69	4376
70	4879
71	5928
72	5860
73	7308
74	8023
75	21976
76	10865
77	10761
78	14945
79	12600
80	11844
81	14357
82	14222
83	15025
84	15547
85	16241
86	17395
87	19268
88	20372
89	22238
90	24332
91	26748
92	29634
93	31271
94	34032
95	37087
96	38599
97	42760
98	44580
99	48438
100	50586
101	52789
102	54746
103	57512
104	61796
105	66374
106	68437
107	70939
108	71981
109	75258
110	77390
111	78189
112	80924
113	83389
114	84076
115	86077
116	88013
117	90350
118	93478
119	93045
120	95195
121	98984
122	97482
123	100347
124	102257
125	101045
126	98520
127	100852
128	99047
129	98962
130	99846
131	100363
132	98728
133	102468
134	101861
135	100461
136	101227
137	99585
138	98832
139	98235
140	98052
141	96605
142	94816
143	94944
144	94011
145	93132
146	91055
147	89681
148	90807
149	89163
150	86601
151	89016
152	86801
153	85635
154	85303
155	84637
156	83826
157	82357
158	80722
159	78742
160	78687
161	76856
162	76463
163	75237
164	73759
165	71964
166	72125
167	70952
168	70181
169	69740
170	69550
171	67576
172	67294
173	66061
174	64205
175	63727
176	63166
177	61841
178	61497
179	60569
180	59097
181	59568
182	58447
183	56978
184	56021
185	54848
186	54625
187	54488
188	53595
189	52252
190	52102
191	51082
192	50078
193	50380
194	49400
195	48031
196	47760
197	47007
198	45977
199	45936
200	45508
201	45150
202	45312
203	44798
204	43064
205	42797
206	41560
207	41560
208	41209
209	40606
210	39973
211	39942
212	40035
213	38745
214	38422
215	38040
216	37207
217	37148
218	36204
219	36107
220	36277
221	35607
222	34834
223	34740
224	34045
225	33421
226	33715
227	33490
228	32572
229	32453
230	32807
231	32144
232	31773
233	31866
234	30956
235	30175
236	30427
237	29750
238	28973
239	28515
240	28678
241	28088
242	27792
243	27416
244	27254
245	26651
246	26361
247	25917
248	26096
249	25546
250	25160
251	25064
252	24468
253	24720
254	24189
255	23824
256	23404
257	23347
258	22835
259	22988
260	22665
261	22331
262	22452
263	22790
264	21633
265	21360
266	21482
267	21377
268	21285
269	21031
270	20594
271	20280
272	20127
273	19985
274	19516
275	19570
276	19297
277	18791
278	18904
279	18275
280	18506
281	18408
282	17936
283	18072
284	17778
285	17392
286	17164
287	17440
288	17151
289	16968
290	16362
291	16063
292	16301
293	15631
294	15778
295	15581
296	15827
297	15379
298	14988
299	15019
300	14593
301	14768
302	14360
303	14774
304	14123
305	14203
306	14219
307	13969
308	14122
309	14132
310	13632
311	13155
312	13290
313	13204
314	13253
315	12827
316	12774
317	12737
318	12551
319	12409
320	12271
321	12212
322	12202
323	12152
324	12025
325	11768
326	11431
327	11662
328	11488
329	11171
330	11120
331	11137
332	11282
333	10734
334	10868
335	11258
336	10710
337	10732
338	10584
339	10296
340	10473
341	10091
342	10498
343	10193
344	10086
345	10048
346	10063
347	10089
348	9819
349	9856
350	9685
351	9807
352	9525
353	9656
354	9458
355	9585
356	9288
357	9460
358	9170
359	8981
360	9273
361	9293
