## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17011018_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/star/SRR17011018.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17011018_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 07:06:05 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
779	153	638	24	3320585	1300.181773	1650.161087	52201782	FR	577	951	1107	1205	1277	1529	3921	8715	24397	75051	168983			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
24	2
25	1
26	3
27	1
29	3
30	11
31	11
32	10
33	19
34	67
35	472
36	392
37	487
38	501
39	545
40	534
41	528
42	579
43	627
44	607
45	632
46	695
47	697
48	810
49	727
50	783
51	826
52	844
53	796
54	872
55	1046
56	1039
57	1109
58	1384
59	1386
60	1454
61	1497
62	1653
63	1711
64	1811
65	2204
66	2375
67	2933
68	2948
69	2962
70	3338
71	3954
72	3538
73	5193
74	4763
75	11453
76	5352
77	5021
78	6159
79	5943
80	6212
81	7032
82	7507
83	8454
84	9451
85	10225
86	11373
87	12709
88	13794
89	14629
90	16175
91	17412
92	19265
93	21153
94	23138
95	24913
96	27883
97	30476
98	33587
99	35048
100	36590
101	39101
102	42441
103	45623
104	49444
105	52785
106	55227
107	59675
108	62127
109	66026
110	69030
111	70288
112	75143
113	78320
114	81121
115	86290
116	91209
117	96793
118	108337
119	98189
120	110249
121	115798
122	109876
123	115865
124	114891
125	114539
126	115325
127	122546
128	122744
129	129245
130	128691
131	132566
132	130838
133	134666
134	135864
135	134266
136	136906
137	136919
138	136650
139	139445
140	140215
141	140312
142	139780
143	141108
144	141490
145	141799
146	139252
147	141499
148	143294
149	141793
150	141538
151	143834
152	142612
153	144191
154	141531
155	140675
156	139387
157	140126
158	138623
159	138741
160	137904
161	137433
162	137722
163	136567
164	134250
165	133501
166	134826
167	135589
168	133874
169	133155
170	131256
171	129192
172	130319
173	130095
174	127923
175	127750
176	126715
177	123864
178	125307
179	122860
180	121894
181	120434
182	120122
183	118844
184	118043
185	117622
186	116105
187	115318
188	114205
189	111350
190	111799
191	111874
192	110710
193	108808
194	106981
195	105930
196	105889
197	104932
198	103643
199	103697
200	104349
201	102197
202	101877
203	101151
204	99774
205	99303
206	97089
207	96841
208	96222
209	95339
210	93279
211	92989
212	94216
213	91905
214	90590
215	90065
216	89362
217	88829
218	86936
219	87226
220	87226
221	86840
222	85417
223	84427
224	83984
225	84221
226	84788
227	83971
228	82105
229	81896
230	80307
231	78760
232	79125
233	77697
234	77864
235	76971
236	76202
237	74427
238	73420
239	73833
240	72659
241	72997
242	71574
243	70511
244	70905
245	69929
246	69197
247	67850
248	68261
249	66991
250	67070
251	66921
252	65275
253	64716
254	64622
255	64006
