## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373271_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/star/SRR22373271.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373271_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 09 22:17:10 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
149	118	32	36	3575918	157.62601	55.743976	33921178	FR	13	25	39	51	65	79	97	139	361	3943	55739			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
36	1
37	1
38	4
39	5
40	7
41	13
42	7
43	15
44	9
45	15
46	17
47	27
48	26
49	27
50	21
51	57
52	70
53	79
54	96
55	164
56	586
57	330
58	314
59	278
60	324
61	442
62	494
63	522
64	504
65	457
66	710
67	695
68	10272
69	12780
70	14143
71	14798
72	16195
73	18527
74	19612
75	21376
76	25055
77	27798
78	29725
79	32085
80	35296
81	40517
82	40956
83	44267
84	46855
85	49837
86	57516
87	61321
88	61370
89	64482
90	70405
91	76818
92	80423
93	92383
94	91879
95	96772
96	100384
97	117537
98	113368
99	131254
100	130616
101	227578
102	243846
103	246833
104	261394
105	270625
106	281633
107	285599
108	290860
109	298191
110	317737
111	293645
112	315805
113	303948
114	314514
115	323874
116	331679
117	353014
118	359284
119	349112
120	342264
121	350118
122	344811
123	340756
124	343384
125	337799
126	332190
127	339286
128	337322
129	348673
130	348180
131	322635
132	338935
133	323825
134	347142
135	335509
136	312508
137	306131
138	304918
139	308502
140	298577
141	306317
142	300694
143	297044
144	297820
145	287118
146	281012
147	293027
148	273976
149	301614
150	275873
151	270612
152	270400
153	254968
154	254020
155	270736
156	247377
157	234041
158	227291
159	232460
160	225081
161	250177
162	217740
163	218357
164	203791
165	213958
166	223359
167	221316
168	209545
169	204547
170	204136
171	202391
172	185842
173	170977
174	155225
175	156754
176	156172
177	157565
178	151284
179	144292
180	151049
181	145249
182	136484
183	130720
184	127640
185	130298
186	127756
187	128725
188	132178
189	121090
190	114969
191	107269
192	114323
193	105306
194	105159
195	99367
196	101262
197	103875
198	105660
199	100121
200	96955
201	93189
202	95034
203	91074
204	88958
205	84027
206	82593
207	84121
208	82129
209	77999
210	75380
211	70334
212	71120
213	73357
214	68347
215	70508
216	65100
217	66479
218	67365
219	66194
220	65968
221	63415
222	64065
223	62354
224	61154
225	58298
226	58726
227	54156
228	55297
229	53841
