## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373283_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/star/SRR22373283.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373283_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 00:23:59 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
148	125	31	38	2900894	155.045258	51.638484	35449869	FR	13	25	37	49	63	77	95	135	393	4343	60693			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
38	2
39	6
40	2
41	11
42	11
43	9
44	18
45	27
46	30
47	33
48	44
49	40
50	39
51	54
52	56
53	74
54	89
55	129
56	513
57	306
58	302
59	242
60	264
61	357
62	417
63	530
64	372
65	412
66	475
67	579
68	9776
69	10385
70	13270
71	13756
72	14903
73	16829
74	18434
75	19740
76	22370
77	24047
78	26455
79	28291
80	31141
81	35159
82	36843
83	40028
84	42533
85	46199
86	52358
87	55241
88	58035
89	60863
90	67205
91	72601
92	78159
93	85552
94	89982
95	96199
96	100264
97	113495
98	116559
99	131268
100	135745
101	237984
102	251670
103	258657
104	271558
105	282449
106	293335
107	303039
108	310703
109	321074
110	333720
111	326470
112	341339
113	339757
114	351798
115	359519
116	367565
117	381980
118	380595
119	376180
120	370534
121	377226
122	375246
123	376736
124	379182
125	382793
126	378471
127	375627
128	372526
129	374600
130	371855
131	355971
132	364304
133	351688
134	359017
135	350339
136	344018
137	337350
138	330664
139	330659
140	322694
141	322675
142	317563
143	312096
144	311977
145	303800
146	295710
147	299130
148	288619
149	297550
150	287082
151	276939
152	276632
153	268766
154	262858
155	269401
156	262760
157	248779
158	240112
159	237647
160	234640
161	238402
162	227537
163	224032
164	215781
165	221408
166	220888
167	223147
168	211603
169	206334
170	203676
171	198384
172	190761
173	175137
174	167838
175	166323
176	165797
177	161049
178	160316
179	156223
180	157796
181	151842
182	146480
183	138840
184	136031
185	135669
186	132179
187	130738
188	131350
189	123114
190	126125
191	117381
192	119385
193	114836
194	115746
195	111490
196	112333
197	115920
198	114018
199	108446
200	105790
201	97796
202	96879
203	94917
204	89584
205	89086
206	87556
207	85213
208	84752
209	80008
210	79787
211	76010
212	77170
213	75451
214	72698
215	74028
216	71069
217	69525
218	71929
219	67849
220	67237
221	65517
222	64270
223	62185
224	62491
225	60314
226	60851
227	56790
228	55959
229	55494
230	53897
231	53846
232	51566
233	49663
234	49163
235	47078
236	45941
237	45071
238	43667
239	42945
240	43694
241	42210
242	40839
243	40073
244	39085
245	38639
246	38328
247	36703
248	37205
249	35662
250	35190
251	36580
252	33561
253	31685
254	30298
255	30479
256	30481
257	30007
258	29580
259	27966
260	29578
261	28282
262	29353
263	27459
264	28345
265	26819
266	27384
267	26765
268	26542
269	23427
270	22115
271	21314
272	21558
273	21429
274	20199
275	19705
276	19715
277	18847
278	19184
279	18803
280	18304
281	17713
282	17383
283	16891
284	16547
285	16265
286	15652
287	16306
288	14695
289	14286
290	14032
291	13642
292	13848
293	13465
294	12728
295	12966
296	12112
297	11855
298	12032
299	11928
300	11538
301	11373
302	11132
303	11306
304	10971
305	10848
306	10648
307	10471
308	10174
309	9811
310	9763
311	9364
312	9157
313	9125
314	9028
315	8517
316	8570
317	8500
318	8707
319	7891
320	7859
321	8059
322	7778
323	7533
324	7535
325	7167
326	7195
327	6995
328	6883
329	6935
330	6602
331	6426
332	6480
333	6288
334	6158
335	6119
336	6303
337	5965
338	5672
339	5644
340	5591
341	5394
342	5446
343	5394
344	5145
345	5141
346	5073
347	5056
348	5067
349	4690
350	4784
351	4744
352	4683
353	4638
354	4478
355	4524
356	4342
357	4386
358	4222
359	4129
360	4163
361	4166
362	3994
363	3989
364	3980
365	3905
366	3912
367	3779
368	3786
369	3705
370	3734
371	3690
372	3707
373	3448
374	3519
375	3494
376	3474
377	3395
378	3346
379	3198
380	3226
381	3232
382	3299
383	3263
384	3145
385	3102
386	2986
387	3007
388	2925
389	3000
390	2898
391	2976
392	2757
393	2859
394	2762
395	2792
396	2790
397	2764
398	2664
399	2687
400	2557
401	2633
402	2530
403	2586
404	2546
405	2507
406	2607
407	2566
408	2500
409	2491
410	2433
411	2486
412	2266
413	2420
414	2424
415	2238
416	2322
417	2245
418	2346
419	2269
420	2287
421	2224
422	2150
423	2318
424	2153
425	2224
426	2130
427	2095
428	2120
429	2099
430	2117
431	2082
432	2129
433	2182
434	1971
435	2073
436	2002
437	1959
438	2001
439	1954
440	1925
441	1987
442	1877
443	1897
444	1979
445	1895
446	1858
447	1944
448	1981
449	1831
450	1940
451	1943
452	1922
453	1859
454	1885
455	1804
456	1819
457	1915
458	1786

