## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373286_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/star/SRR22373286.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373286_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 15 09:43:28 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
151	118	33	38	2245132	159.18493	56.040285	30006990	FR	13	27	39	53	67	83	101	151	737	5083	41303			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
38	10
39	3
40	8
41	8
42	6
43	11
44	17
45	19
46	25
47	21
48	21
49	27
50	36
51	62
52	43
53	65
54	63
55	94
56	300
57	164
58	174
59	162
60	157
61	207
62	229
63	235
64	309
65	245
66	345
67	325
68	5919
69	7439
70	8561
71	9379
72	10627
73	12105
74	13508
75	14381
76	17242
77	17648
78	19371
79	20795
80	23293
81	25992
82	27406
83	29886
84	31362
85	34091
86	37887
87	41136
88	42868
89	45120
90	49848
91	54186
92	57881
93	63933
94	67226
95	71090
96	76376
97	86574
98	88139
99	98746
100	102992
101	182149
102	192662
103	198667
104	209419
105	218914
106	228142
107	237657
108	242668
109	251522
110	261636
111	257463
112	266948
113	265853
114	277269
115	285127
116	290159
117	302116
118	304496
119	300498
120	295434
121	302276
122	300175
123	301917
124	303715
125	302437
126	302996
127	303413
128	302766
129	301702
130	300238
131	295838
132	295455
133	288845
134	291284
135	285999
136	285370
137	280347
138	277482
139	275243
140	269506
141	269232
142	265149
143	259593
144	258027
145	253085
146	248137
147	248447
148	240269
149	247842
150	239210
151	233866
152	232228
153	224476
154	221207
155	224304
156	214719
157	208160
158	201897
159	201629
160	198779
161	202612
162	191679
163	190132
164	182278
165	182749
166	182902
167	184478
168	176012
169	171481
170	170271
171	165912
172	158104
173	152421
174	145612
175	143592
176	142060
177	138583
178	139497
179	133739
180	134233
181	131495
182	126547
183	122502
184	119068
185	116581
186	114412
187	113180
188	113335
189	108341
190	107445
191	103584
192	104396
193	102653
194	100818
195	97046
196	98213
197	98096
198	96688
199	92751
200	91654
201	87220
202	85892
203	83909
204	79627
205	79429
206	77411
207	75726
208	74069
209	71203
210	70876
211	68024
212	68365
213	67269
214	65237
215	65897
216	63020
217	61814
218	62397
219	61155
220	59319
221	57951
222	56868
223	55252
224	54995
225	54194
226	53248
227	50770
228	50663
229	49660
230	48327
231	48075
