## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373305_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/star/SRR22373305.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373305_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 10 03:14:26 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
162	117	44	38	1953855	168.768828	74.848031	27978644	FR	19	37	55	71	89	109	143	393	4431	12743	71511			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
38	2
39	2
40	3
41	5
43	10
44	16
45	17
46	14
47	17
48	21
49	28
50	16
51	39
52	33
53	38
54	31
55	88
56	534
57	191
58	188
59	157
60	114
61	164
62	184
63	258
64	154
65	156
66	175
67	246
68	5419
69	6244
70	7477
71	8528
72	9699
73	11643
74	13123
75	14398
76	17169
77	18091
78	18550
79	19324
80	21595
81	25808
82	26284
83	28844
84	29544
85	33209
86	37543
87	39643
88	39595
89	42472
90	46874
91	50121
92	53448
93	60910
94	62075
95	65631
96	71345
97	80147
98	82172
99	94487
100	91576
101	156723
102	162438
103	165909
104	177812
105	182473
106	190989
107	197601
108	200067
109	206733
110	213736
111	204859
112	217462
113	208764
114	219718
115	226159
116	233771
117	248563
118	246761
119	245198
120	235349
121	243527
122	236779
123	237629
124	242553
125	240245
126	238614
127	239123
128	235290
129	237667
130	237965
131	228546
132	232105
133	221235
134	228380
135	226502
136	223417
137	219214
138	214735
139	217845
140	210477
141	215870
142	211513
143	204792
144	204785
145	198831
146	189358
147	195858
148	188086
149	202550
150	190751
151	186656
152	185037
153	178677
154	179679
155	188018
156	176496
157	168443
158	160962
159	162671
160	160546
161	171631
162	155255
163	157092
164	144259
165	149881
166	153104
167	162153
168	151739
169	147927
170	148349
171	142700
172	132933
173	125540
174	115502
175	115158
176	114498
177	113512
178	114391
179	108219
180	110689
181	109052
182	102083
183	97754
184	94711
185	94268
186	92816
187	91737
188	97217
189	90413
190	91363
191	88798
192	90045
193	88957
194	86125
195	84094
196	85409
197	87921
198	86931
199	82164
200	81402
201	74558
202	75443
203	72998
204	68262
205	68534
206	66061
207	65710
208	63995
209	61076
210	61248
211	57461
212	60075
213	58931
214	56525
215	58959
216	55433
217	54760
218	56698
219	55753
220	54636
221	53264
222	51939
223	51421
224	51268
225	49063
226	51073
227	46772
228	46425
229	46355
230	45550
231	45483
232	43912
233	43396
234	42073
235	40466
236	40770
237	39777
238	38863
239	37573
240	37255
241	37277
242	36873
243	35662
244	35188
245	34358
246	34099
247	32948
248	34130
249	32932
250	32320
251	31434
252	30503
253	29122
254	28351
255	28328
256	27971
257	28037
258	28672
259	26354
260	28237
261	26155
262	28114
263	26199
264	26201
265	26058
266	26551
267	27178
268	26895
269	24047
270	22838
271	21691
272	22267
273	21541
274	20925
275	20366
276	20373
277	19896
278	19793
279	19721
280	19108
281	18812
282	18134
283	17796
284	17971
285	17331
286	17160
287	16964
288	16401
289	15296
290	15441
291	15391
292	14697
293	15002
294	14333
295	14072
296	13611
297	13680
298	13976
299	13768
300	13328
301	13289
302	12625
303	13222
304	12723
305	12512
306	11763
307	12094
308	11967
309	11432
310	11592
311	11083
312	11006
313	11165
314	11564
315	10277
316	10536
317	10788
318	10283
319	10053
320	10037
321	10212
322	9883
323	9722
324	9781
325	9279
326	9284
327	9170
328	8974
329	9233
330	8658
331	8872
332	8501
333	8282
334	7998
335	7929
336	8057
337	7950
338	7818
339	7499
340	7364
341	7432
342	7414
343	7241
344	7170
345	7065
346	6952
347	6931
348	6810
349	6815
350	6792
351	6676
352	6715
353	6745
354	6559
355	6735
356	6349
357	6282
358	6343
359	5980
360	5932
361	5963
362	5814
363	5782
364	5633
365	5488
366	5627
367	5452
368	5545
369	5432
370	5469
371	5373
372	5249
373	4991
374	5021
375	5048
376	4992
377	4866
378	4874
379	4982
380	4809
381	4777
382	4846
383	4789
384	4622
385	4719
386	4703
387	4671
388	4575
389	4787
390	4479
391	4583
392	4383
393	4246
394	4316
395	4223
396	4297
397	4332
398	4126
399	4198
400	3950
401	4140
402	3974
403	4055
404	3912
405	4004
406	3949
407	3991
408	4184
409	4070
410	3716
411	3658
412	3700
413	3712
414	3711
415	3582
416	3588
417	3460
418	3651
419	3522
420	3434
421	3485
422	3380
423	3431
424	3394
425	3345
426	3364
427	3460
428	3323
429	3308
430	3357
431	3334
432	3183
433	3184
434	3229
435	3201
436	3185
437	3100
438	3147
439	3067
440	3062
441	3130
442	2988
443	3067
444	3098
445	3154
446	3049
447	3003
448	3085
449	2893
450	2877
451	3003
452	2839
453	3032
454	2973
455	2869
456	2808
457	2930
458	2772
459	2737
460	2753
461	2813
462	2820
463	2773
464	2883
465	2743
466	2910
467	2792
468	2822
469	2779
470	2629
471	2658
472	2666
473	2741
474	2570
475	2741
476	2781
477	2758
478	2711
479	2700
480	2638
481	2606
482	2578
483	2588
484	2592
485	2660
486	2567
487	2582
488	2571
489	2565
490	2535
491	2526
492	2683
493	2624
494	2418
495	2550
496	2449
