"","dataset","organ","tcga_project"
"PC1",0.000252078324536024,0.874652855323198,0.893429708243625
"PC2",0.000729790369910822,0.790506670589348,0.830021756972739
"PC3",0.00500408084134624,0.668322954170106,0.712406337804543
"PC4",0.000613705272886656,0.871618178452856,0.881903610814704
"PC5",0.000144607161550397,0.854913007790836,0.876358722712823
"PC6",0.00146385004833858,0.74214685734297,0.770631740035321
"PC7",0.000174781151670346,0.770654068903937,0.813944345278186
"PC8",0.00017834017732532,0.635928227783284,0.651101197231284
"PC9",0.000431310681873734,0.855463513319095,0.872805898294593
"PC10",0.00263799307338285,0.652385667546157,0.666120060083741
