## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17011008_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/star/SRR17011008.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17011008_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 10 02:13:10 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
834	123	708	26	2068786	1391.327157	1801.692708	26729964	FR	609	1069	1265	1359	1417	1601	4133	9183	26633	88813	153955			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
26	1
28	3
29	1
30	2
31	5
32	6
33	26
34	35
35	279
36	367
37	292
38	292
39	291
40	372
41	437
42	395
43	382
44	457
45	533
46	600
47	517
48	584
49	682
50	743
51	792
52	822
53	834
54	740
55	991
56	1033
57	1166
58	1455
59	1609
60	1795
61	1763
62	1953
63	2184
64	2210
65	2517
66	2816
67	3303
68	3703
69	3945
70	4316
71	5868
72	5207
73	7536
74	6940
75	19543
76	8484
77	7573
78	9882
79	9370
80	9122
81	10646
82	11212
83	13523
84	13094
85	13413
86	14537
87	15195
88	17153
89	18241
90	19906
91	22226
92	24692
93	25501
94	27171
95	30179
96	31714
97	36167
98	38917
99	41372
100	42630
101	44144
102	45922
103	48219
104	52602
105	55496
106	57343
107	59471
108	60634
109	64143
110	65879
111	67588
112	70187
113	71867
114	73863
115	75849
116	78810
117	79475
118	84498
119	82190
120	86923
121	91942
122	89549
123	96611
124	95447
125	91378
126	88533
127	90773
128	89416
129	89409
130	90638
131	90570
132	89998
133	94542
134	93638
135	90899
136	92349
137	91188
138	89918
139	89799
140	89917
141	87633
142	87581
143	86272
144	84943
145	84880
146	82728
147	83156
148	83044
149	82566
150	80098
151	81326
152	78164
153	78204
154	77225
155	76783
156	75481
157	74597
158	73225
159	70791
160	70610
161	69011
162	68792
163	67754
164	65740
165	64713
166	64936
167	63468
168	62640
169	62780
170	62119
171	59649
172	59354
173	58596
174	56269
175	56956
176	56299
177	54267
178	54503
179	53066
180	52748
181	51881
182	51420
183	50100
184	49308
185	48623
186	48330
187	47943
188	47193
189	45862
190	44842
191	45200
192	44513
193	44652
194	42915
195	42033
196	41395
197	41527
198	40514
199	39845
200	41020
201	40138
202	39954
203	39266
204	38257
205	38387
206	37300
207	36923
208	36808
209	36108
210	34725
211	34769
212	35176
213	34714
214	33704
215	33288
216	32357
217	32221
218	32450
219	31433
220	31398
221	31976
222	30933
223	30800
224	29967
225	29402
226	30168
227	29850
228	29588
229	29744
230	29739
231	29079
232	28457
233	28619
234	27584
235	27321
236	27723
237	26710
238	25832
239	25757
240	25549
241	25546
242	24938
243	24736
244	24613
245	24875
246	23803
247	24166
248	23332
249	23164
250	23301
251	22955
252	22426
253	22501
254	22028
255	21701
256	21475
257	21459
258	21506
259	21189
260	20915
261	20667
262	20680
263	20912
264	20085
265	20142
266	20048
267	19726
268	19792
269	19847
270	19322
271	19294
272	18888
273	18962
274	18160
275	18757
276	17653
277	17814
278	17853
279	17466
280	17326
281	17440
282	17411
283	17312
284	17230
285	16999
286	16821
287	16310
288	16270
289	16317
290	15990
291	15983
292	15756
293	15680
294	15409
295	15426
296	15589
297	15083
298	15017
299	14575
300	14506
301	14289
302	14269
303	14519
304	14063
305	13929
306	13786
307	13915
308	13614
309	13782
310	13592
311	13529
312	13265
313	12806
314	13424
315	13063
316	12973
317	12846
318	12727
319	12878
320	12415
321	12330
322	12536
323	12350
324	12302
325	12513
326	11851
327	11887
328	11975
329	11483
330	12026
331	11834
332	11804
333	11480
334	11037
335	11169
336	11285
337	11398
338	11221
339	10978
340	11144
341	11026
342	10627
343	10893
344	11115
345	10749
346	10703
347	11186
348	10116
349	10536
350	10325
351	10151
352	10130
353	10068
354	10496
355	9960
356	10028
357	10145
358	9920
359	10070
360	10032
361	10116
362	9985
363	9875
364	9781
365	9498
366	9479
367	9741
368	9426
369	9509
370	9442
371	9209
372	9204
373	9327
374	9044
