## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17011024_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/star/SRR17011024.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17011024_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 15 16:10:02 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
738	153	599	25	3119908	1220.809331	1531.00349	57129045	FR	527	879	1037	1131	1199	1343	3427	7603	21441	76197	154135			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
25	4
26	6
27	7
28	8
29	9
30	8
31	22
32	15
33	37
34	49
35	418
36	376
37	497
38	444
39	481
40	558
41	519
42	545
43	672
44	611
45	568
46	733
47	780
48	832
49	797
50	841
51	811
52	913
53	980
54	978
55	1106
56	1163
57	1217
58	1415
59	1519
60	1569
61	1652
62	1930
63	2094
64	2204
65	2400
66	2595
67	2853
68	3091
69	3081
70	3575
71	4047
72	3986
73	4806
74	5267
75	7093
76	6225
77	6831
78	7255
79	8122
80	8551
81	9307
82	10133
83	11488
84	12343
85	14161
86	15383
87	16556
88	18365
89	20771
90	22534
91	23736
92	26621
93	29078
94	31954
95	34009
96	38168
97	39474
98	42927
99	47140
100	48780
101	51668
102	56238
103	61943
104	69133
105	71917
106	72421
107	75515
108	77643
109	81968
110	86183
111	88568
112	94103
113	97429
114	100032
115	106807
116	113393
117	118186
118	125965
119	121069
120	127828
121	133010
122	134204
123	134945
124	135692
125	135412
126	136893
127	145135
128	146358
129	154470
130	154494
131	157638
132	158473
133	163169
134	159435
135	157175
136	159210
137	161739
138	161287
139	166660
140	167289
141	168259
142	166076
143	165620
144	167667
145	169052
146	164812
147	168329
148	169937
149	169606
150	165367
151	167611
152	170349
153	175804
154	167919
155	162474
156	160981
157	161826
158	160488
159	158229
160	156842
161	154126
162	154129
163	155516
164	152476
165	149969
166	150161
167	152454
168	151289
169	151234
170	148421
171	145205
172	146792
173	147933
174	145208
175	143550
176	139665
177	136251
178	137842
179	138164
180	135832
181	133097
182	131684
183	128058
184	126527
185	126971
186	123906
187	124049
188	122601
189	118154
190	119374
191	119758
192	116741
193	115807
194	113520
195	112873
196	112290
197	111037
198	108789
199	107859
200	108640
201	107247
202	107254
203	107473
204	104210
205	104394
206	102652
207	99739
208	99288
209	99634
210	97041
211	97416
212	97146
213	95075
214	94923
215	93444
216	92049
217	90974
218	91086
219	89711
220	89987
221	89679
222	87063
223	86855
224	86428
225	85485
226	87010
227	85310
228	83066
229	83158
230	81988
231	82196
232	81008
233	79994
234	79812
235	79183
236	78184
237	77172
238	75631
239	75724
240	74528
241	74649
242	74124
243	72700
244	71830
245	71081
246	70383
247	70225
248	68915
249	68237
250	68311
251	68308
252	66297
253	66315
254	66269
255	65323
256	64533
257	63806
258	63777
259	63960
260	62974
261	61180
262	61571
263	61547
264	59781
265	60283
266	58934
267	58312
268	58701
269	57257
270	57713
271	57079
272	55949
273	56526
274	56037
275	55514
276	54206
277	54074
278	53518
279	52157
280	52195
281	51924
282	52291
283	50875
284	50988
285	49845
286	50091
287	49964
288	48308
289	47894
290	47072
291	47268
292	47046
293	46301
294	46844
295	46731
296	45292
297	44790
298	44368
299	44219
300	43377
301	43923
302	43375
303	42732
304	42620
305	41933
306	41085
307	41333
308	40564
309	40346
310	39372
311	39090
312	39250
313	39171
314	39361
315	38075
316	38331
317	37465
318	37313
319	36275
320	36289
321	37201
322	36467
323	36536
324	35848
325	35480
326	34509
327	34493
328	34376
329	34391
330	33204
331	33996
332	32803
333	32240
334	32476
335	32634
336	32265
337	31894
338	31549
339	31063
340	30747
341	30831
342	30271
343	30364
344	30019
345	29769
346	30132
347	29809
348	28509
349	28629
350	28526
351	28159
352	28499
353	28009
354	27317
355	28000
356	27521
357	28282
358	26693
359	26411
360	27180
361	25704
362	26334
363	26220
364	25412
365	25502
366	26005
367	25984
368	25460
369	24904
370	24967
371	23911
372	24117
373	24307
374	24219
375	24370
376	23909
377	23611
378	23607
379	22938
380	23267
381	23184
382	22752
383	22492
384	22868
385	22604
386	22713
387	22324
388	21886
389	22021
390	21402
391	21890
392	21631
393	21541
394	21386
395	20466
396	20615
397	20653
398	20841
399	20442
400	20439
401	20328
402	20174
403	19898
404	19455
405	19429
406	19462
407	19428
408	19882
409	19054
410	19097
411	19060
412	18791
413	18851
414	18961
415	18608
416	18544
417	18670
418	18346
419	18226
420	17718
421	17508
422	17601
423	17506
424	17895
425	17294
426	17286
427	16982
428	17019
429	16667
430	17066
431	16598
432	16818
433	16910
434	16982
435	16433
436	16961
437	16759
438	16680
439	16958
440	17239
441	16486
442	16694
443	16426
444	16249
445	15889
446	16119
447	16538
448	16276
449	16000
450	15975
451	16289
452	16450
453	16473
454	17459
455	15886
456	14938
457	15191
458	15212
459	15081
460	15347
461	15100
462	15195
463	14587
464	14813
465	14756
466	14560
467	14610
468	14575
469	14384
470	14604
471	14241
472	14226
473	14367
474	14004
475	14419
476	13901
477	14537
478	14108
479	13949
480	13970
481	14075
482	14332
483	13819
484	13838
485	14395
486	14052
487	13853
488	13391
489	13830
490	13673
491	13749
492	13785
493	13472
494	13428
495	13221
496	13506
497	13496
498	13504
499	14041
500	13381
501	13438
502	13569
503	13150
504	13131
505	13215
506	13422
507	13356
508	13231
509	13517
510	13161
511	12943
512	13000
513	13003
514	13078
515	12859
516	12913
517	12901
518	13057
519	12791
520	12848
521	13134
522	12995
523	12750
524	12953
525	12894
526	13020
527	12977
528	12925
529	13177
530	13008
531	13203
532	12622
533	13465
534	13901
535	14274
536	13725
537	13449
538	12965
539	13534
540	13531
541	12916
542	12921
543	12991
544	12925
545	12688
546	12837
547	12670
548	12659
549	12356
550	12375
551	12366
552	12371
553	12355
554	12450
555	12815
556	12291
557	11962
558	12513
559	12375
560	12117
561	12145
562	12477
563	12321
564	12388
565	12796
566	12693
567	12125
568	11880
569	11936
570	12067
571	12103
572	12477
573	12381
574	12175
575	12240
576	11989
577	12612
578	12008
579	11805
580	11947
581	12395
582	12015
583	11960
584	12071
585	12424
586	11976
587	12317
588	11969
589	12086
590	12341
591	12193
592	11977
593	12346
594	12014
595	11978
596	12195
597	12341
598	11937
599	12546
600	12439
601	12092
602	12129
603	11947
604	11870
605	12019
606	11698
607	11817
608	11942
609	11520
610	11695
611	11701
612	11613
613	11891
614	12080
615	12001
616	11754
617	11637
618	11979
619	11276
620	11548
621	11434
622	11719
623	11941
624	12275
625	12019
626	11505
627	11856
628	11599
629	11551
630	11616
631	11830
632	12166
633	12562
634	12064
635	11833
636	11768
637	11766
638	11607
639	11761
640	11480
641	11530
642	11514
643	11330
644	11615
645	11694
646	11463
647	11791
648	11537
649	12624
650	11334
651	11350
652	11739
653	11507
654	11586
655	11290
656	11649
657	11434
658	11759
659	12007
660	11670
661	11550
662	11650
663	11392
664	11733
665	11490
666	11675
667	11858
668	11857
669	12037
670	11675
671	11281
672	11300
673	11437
674	11444
675	11201
676	11400
677	11514
678	11534
679	11908
680	11371
681	11317
682	11239
683	11319
684	11696
685	11256
686	11036
687	11172
688	11139
689	11497
690	11446
691	11451
692	11460
693	11487
694	10957
695	11032
696	11359
697	10709
698	11005
699	11367
700	11125
701	11504
702	11501
703	11222
704	11137
705	11291
706	11151
707	11253
708	11474
709	11368
710	11012
711	11533
712	11241
713	10983
714	11218
715	11128
716	10761
717	11166
718	11004
719	10820
720	10905
721	10902
722	11227
723	11255
724	11022
725	10912
726	11112
727	11293
728	10971
729	11406
730	10977
731	11087
732	10662
733	10862
734	11222
735	11252
736	10903
737	10797
738	10790
739	10687
740	10629
741	10934
742	11068
743	10598
744	10487
745	10828
746	10761
747	10561
748	10574
749	10975
750	11099
751	10812
752	10758
753	10847
754	10657
755	10840
756	10736
757	11387
758	10811
759	11041
760	10715
761	11150
762	10889
763	10742
764	10889
765	10814
766	11002
767	10565
768	10842
769	10298
770	10792
771	10449
772	10453
773	10919
774	10536
775	10438
776	10198
777	10257
778	10143
779	10501
780	10481
781	10188
782	10104
783	9932
784	10318
785	10352
786	10487
787	10403
788	10268
789	9799
790	10225
791	10338
792	9906
793	9970
794	10280
795	10188
796	9954
797	9729
798	10023
799	9547
800	9667
801	10073
802	10222
803	10171
804	10207
805	9994
806	10513
807	10230
808	9926
809	9625
810	9720
811	9882
812	9566
813	9531
814	9897
815	9418
816	9807
817	9584
818	9352
819	9599
820	9266
821	9654
822	9355
823	9811
824	9486
825	9678
826	9478
827	9461
828	9620
829	9305
830	9446
831	9286
832	9399
833	9578
834	9587
835	9775
836	10034
837	9909
838	9651
839	9469
840	9413
841	9427
842	9367
843	9525
844	9381
845	9461
846	9207
847	9357
848	9481
849	8982
850	9457
851	9130
852	9402
853	9284
854	9189
855	9299
856	8781
857	9267
858	9048
859	9254
860	9132
861	9545
862	9206
863	9161
864	9408
865	9040
866	9433
867	9405
868	9224
869	9182
870	9441
871	9458
872	9289
873	9441
874	9264
875	9030
876	9551
877	9306
878	9051
879	9044
880	9410
881	9208
882	9483
883	8934
884	8982
885	9198
886	9420
887	9205
888	8889
889	9194
890	9430
891	9449
892	9302
893	9110
894	9278
895	9184
896	9059
897	9446
898	9245
899	9279
900	9177
