## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17011030_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/star/SRR17011030.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/GSE189367/results/picard/SRR17011030_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 09 21:39:25 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
556	153	427	26	3119896	911.348859	1136.375197	46028009	FR	421	613	719	791	855	1353	3549	7997	22667	65231	163021			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
26	1
27	4
28	1
29	5
30	7
31	11
32	8
33	13
34	39
35	475
36	489
37	495
38	577
39	610
40	588
41	705
42	634
43	701
44	632
45	819
46	787
47	879
48	951
49	878
50	1009
51	893
52	1031
53	1069
54	1093
55	1222
56	1365
57	1475
58	1792
59	1797
60	1853
61	2175
62	2144
63	2251
64	2214
65	2626
66	3002
67	3805
68	3675
69	3581
70	3994
71	5609
72	4534
73	6453
74	5936
75	16727
76	6305
77	5806
78	7569
79	7176
80	7231
81	8039
82	8878
83	9887
84	10669
85	12112
86	13060
87	14390
88	15680
89	16787
90	18615
91	20648
92	22187
93	24002
94	26157
95	29045
96	31534
97	34539
98	38359
99	40495
100	41586
101	43938
102	47683
103	51806
104	56625
105	60863
106	62143
107	66407
108	69119
109	73713
110	76978
111	77432
112	82086
113	85273
114	86534
115	92156
116	97819
117	103253
118	108846
119	103884
120	111389
121	118567
122	115229
123	117806
124	118258
125	117987
126	119405
127	128157
128	127698
129	136536
130	133104
131	140174
132	134831
133	138211
134	138691
135	136471
136	139553
137	138599
138	138212
139	140535
140	140342
141	142682
142	139706
143	140871
144	142728
145	141572
146	140271
147	143043
148	144004
149	143802
150	140381
151	140962
152	143499
153	144774
154	140954
155	138804
156	137422
157	138522
158	136355
159	136001
160	136166
161	134841
162	135855
163	134300
164	132428
165	132833
166	133072
167	135041
168	133638
169	132419
170	130299
171	126344
172	128875
173	126795
174	125427
175	125204
176	123782
177	120074
178	120934
179	120769
180	120268
181	117851
182	116387
183	114819
184	114161
185	113011
186	111375
187	112844
188	109977
189	106918
190	107674
191	108089
192	106365
193	105661
194	103388
195	102493
196	102047
197	100898
198	99939
199	99949
200	100651
201	99459
202	98408
203	97477
204	96797
205	95461
206	94837
207	92322
208	92010
209	90605
210	87698
211	88756
212	90090
213	87819
214	87940
215	85950
216	84618
217	83969
218	83209
219	83516
