## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373276_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/star/SRR22373276.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373276_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 10 03:42:19 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
150	130	31	38	2017524	157.152114	51.950027	26723254	FR	13	25	37	49	63	77	95	131	333	3699	44275			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
38	7
39	4
40	3
41	5
42	3
43	17
44	15
45	17
46	24
47	16
48	32
49	29
50	23
51	43
52	45
53	62
54	56
55	94
56	323
57	146
58	155
59	171
60	178
61	204
62	222
63	245
64	314
65	242
66	304
67	359
68	5055
69	6145
70	7282
71	7697
72	8583
73	9830
74	10937
75	12219
76	14184
77	14334
78	16225
79	17500
80	19003
81	21732
82	23160
83	25476
84	26867
85	29152
86	32613
87	35307
88	37294
89	39446
90	43837
91	47675
92	50475
93	55611
94	59009
95	63659
96	67882
97	75210
98	77466
99	88149
100	92859
101	166145
102	175023
103	180781
104	191259
105	197681
106	207135
107	213900
108	220032
109	228038
110	235529
111	235715
112	244794
113	243352
114	252826
115	260869
116	264828
117	274532
118	273600
119	275176
120	271997
121	277365
122	273923
123	272921
124	275737
125	274594
126	274989
127	275198
128	277461
129	277612
130	279191
131	273644
132	272935
133	268607
134	271628
135	265210
136	265760
137	260391
138	260353
139	260005
140	253683
141	252555
142	249366
143	244669
144	242408
145	236437
146	233872
147	232815
148	227740
149	232474
150	224797
151	218842
152	215496
153	210213
154	206946
155	212341
156	204693
157	196833
158	191712
159	190222
160	187163
161	191039
162	178790
163	177278
164	168913
165	170572
166	169861
167	169410
168	162024
169	161279
170	157293
171	154294
172	150526
173	142673
174	136821
175	136328
176	133218
177	129407
178	129077
179	124611
180	125350
181	121951
182	117006
183	114055
184	110157
185	109432
186	105788
187	105763
188	104387
189	100111
190	101619
191	97015
192	97514
193	93408
194	92208
195	88957
196	87987
197	88468
198	87889
199	84819
200	83090
201	79972
202	77602
203	75993
204	73314
205	71781
206	69774
207	68726
208	67840
209	64738
210	64547
211	61170
212	61787
213	60418
214	58762
215	58697
216	57265
217	55663
218	56805
219	53726
220	53026
221	51827
222	50746
223	49382
224	48620
225	47299
226	47326
227	45050
228	44662
229	43861
230	42398
231	42166
232	40441
233	39983
234	39224
235	37560
236	37101
237	36006
238	35021
239	33792
240	34879
241	34100
242	32593
243	32045
244	31307
245	30298
246	30106
247	28712
248	28875
249	27577
250	26913
251	27990
252	26332
253	25127
254	24739
255	24067
256	24209
257	23835
258	23640
259	22482
260	22858
261	21822
262	21929
263	20735
264	20987
265	19721
266	19941
267	19290
268	19955
269	18283
270	17872
271	17063
272	17736
273	16898
274	16759
275	16585
276	16011
277	15569
278	15326
279	15237
280	14621
281	14158
282	13919
283	13817
284	13135
285	12899
286	12879
287	13093
288	12436
289	11750
290	11458
291	11412
292	11240
293	11021
294	10773
295	10644
296	10079
297	9900
298	9868
299	9659
300	9350
301	9487
302	9025
303	8896
304	8936
305	8820
306	8593
307	8692
308	8182
309	7920
310	7818
311	7554
312	7539
313	7287
314	7206
315	7087
316	7093
317	6849
318	7119
319	6577
320	6543
321	6525
322	6417
323	6329
324	6212
325	5972
326	5970
327	5832
328	5592
329	5795
330	5343
331	5280
332	5195
333	5254
334	5107
335	5032
336	5203
337	4927
338	4724
339	4730
340	4610
341	4530
342	4627
343	4411
344	4229
345	4286
346	4153
347	4095
348	3988
349	4119
350	4040
351	3877
352	4010
353	3708
354	3709
355	3696
356	3553
357	3772
358	3398
359	3463
360	3417
361	3266
362	3313
363	3316
364	3095
365	3289
366	3021
367	3110
368	3027
369	3101
370	2993
371	2926
372	2918
373	2862
374	2818
375	2760
376	2797
377	2800
378	2734
379	2688
380	2663
381	2565
382	2469
383	2509
384	2608
385	2474
386	2423
387	2453
388	2299
389	2282
390	2204
391	2446
392	2285
393	2217
394	2309
395	2252
396	2248
397	2173
398	2085
399	2039
400	2056
401	2141
402	2065
403	1945
404	2021
405	1964
406	1891
407	1925
408	1872
409	1895
410	1892
411	1872
412	1877
413	1778
414	1810
415	1718
416	1776
417	1768
418	1708
419	1764
420	1792
421	1678
422	1644
423	1647
424	1767
425	1629
426	1649
427	1637
428	1570
429	1601
430	1600
431	1645
432	1531
433	1496
434	1535
435	1542
436	1520
437	1498
438	1481
439	1547
440	1556
441	1485
442	1445
443	1460
444	1470
445	1443
446	1460
447	1436
448	1400
449	1422
450	1449
451	1397
452	1422
453	1397
454	1388
455	1374
456	1313
457	1392
458	1179
459	1338
460	1282

