## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373291_insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/star/SRR22373291.Aligned.sortedByCoord.out.bam OUTPUT=/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373291_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 16 05:58:48 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
146	118	31	38	3081865	153.10062	52.796473	25804388	FR	13	25	37	49	63	77	97	147	1053	6937	77035			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
38	5
39	2
40	5
41	10
42	6
43	12
44	17
45	19
46	21
47	28
48	26
49	26
50	29
51	45
52	44
53	84
54	88
55	99
56	122
57	207
58	170
59	221
60	231
61	332
62	331
63	377
64	498
65	358
66	584
67	521
68	6576
69	7915
70	9785
71	10161
72	11813
73	13747
74	15349
75	16138
76	19134
77	20201
78	21486
79	23271
80	25368
81	29191
82	30012
83	32566
84	34771
85	36810
86	41390
87	45113
88	45503
89	48981
90	54695
91	58466
92	62258
93	69875
94	73797
95	77777
96	82836
97	93007
98	96685
99	107388
100	110693
101	187204
102	198879
103	202996
104	213395
105	220712
106	230354
107	237878
108	242766
109	248799
110	252863
111	248670
112	257264
113	256514
114	263839
115	268058
116	276890
117	286903
118	289908
119	282213
120	273899
121	282277
122	278808
123	280049
124	280118
125	281138
126	279447
127	278414
128	275682
129	272046
130	265892
131	259083
132	262433
133	253315
134	254474
135	251531
136	248287
137	246062
138	239378
139	235688
140	228588
141	230792
142	226527
143	218906
144	215930
145	209883
146	205758
147	208563
148	200265
149	207704
150	199987
151	194631
152	194396
153	187180
154	183470
155	186784
156	178057
157	172285
158	164419
159	164092
160	161528
161	163465
162	155281
163	152270
164	144385
165	148739
166	150131
167	153067
168	146716
169	139283
170	137587
171	134023
172	125971
173	117208
174	109484
175	110236
176	108918
177	107452
178	106405
179	102173
180	104120
181	101073
182	94662
183	91494
184	86140
185	87180
186	84661
187	83583
188	84908
189	79921
190	78891
191	74134
192	75497
193	73737
194	73585
195	71145
196	72836
197	75037
198	73181
199	69179
200	67318
201	62465
202	63332
203	59525
204	56325
205	56906
206	53608
207	53569
208	52539
209	49724
210	49647
211	46610
212	46683
213	46515
214	44779
215	46918
216	43879
217	43371
218	44613
219	43777
220	42480
221	41190
222	40617
223	39371
224	38955
225	37615
226	38131
227	35574
228	35160
229	34562
230	33534
231	33426
232	32372
233	31681
234	31018
235	29561
236	29279
237	29426
238	28362
239	28111
240	27672
241	27540
242	26368
243	24897
244	24821
245	24447
246	24613
247	24161
248	24518
249	23587
250	23311
251	22790
252	21779
253	20775
254	20238
255	20027
256	19413
257	19255
258	19697
259	18813
260	19226
261	18496
262	19240
263	18527
264	18587
265	18619
266	18340
267	18701
268	18258
269	16507
270	15712
271	14792
272	15346
273	14496
274	13858
275	13292
276	13329
277	13270
278	13256
279	13244
280	12660
281	12492
282	11782
283	11732
284	11712
285	11496
286	11263
287	10847
288	10235
289	10052
290	9747
291	10103
292	9655
293	9577
294	9291
295	9011
296	8707
297	8665
298	8587
299	8438
300	8310
301	8133
302	8126
303	8245
304	7942
305	7742
306	7503
307	7511
308	7268
309	7106
310	7059
311	6984
312	6800
313	6919
314	6706
315	6466
316	6555
317	6411
318	6356
319	5987
320	6043
321	6284
322	5988
323	6180
324	6019
325	5871
326	5617
327	5586
328	5300
329	5162
330	5096
331	5138
332	5029
333	5012
334	4951
335	4944
336	4955
337	4910
338	4769
339	4555
340	4510
341	4492
342	4419
343	4418
344	4386
345	4311
346	4101
347	4039
348	4176
349	4100
350	4102
351	4011
352	3894
353	3853
354	3798
355	3627
356	3727
357	3748
358	3696
359	3553
360	3630
361	3445
362	3346
363	3413
364	3235
365	3222
366	3267
367	3392
368	3178
369	3172
370	3130
371	3133
372	3024
373	2988
374	3040
375	2942
376	2919
377	2894
378	2742
379	2739
380	2762
381	2629
382	2744
383	2790
384	2750
385	2639
386	2694
387	2603
388	2503
389	2583
390	2561
391	2585
392	2527
393	2502
394	2491
395	2331
396	2383
397	2417
398	2381
399	2427
400	2281
401	2365
402	2288
403	2226
404	2213
405	2191
406	2270
407	2269
408	2124
409	2138
410	2082
411	2070
412	2060
413	2088
414	2086
415	2015
416	2035
417	1943
418	2076
419	1992
420	2063
421	1912
422	1974
423	1855
424	1945
425	1917
426	1840
427	1846
428	1894
429	1857
430	1849
431	1905
432	1852
433	1767
434	1789
435	1791
436	1797
437	1675
438	1718
439	1764
440	1747
441	1714
442	1718
443	1674
444	1668
445	1697
446	1676
447	1682
448	1642
449	1665
450	1651
451	1584
452	1615
453	1597
454	1635
455	1608
456	1593

