"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.544025157232704,0.47427652733119,0,0,0,0,0,0,0.0755007704160247,0.190769230769231,0,0.308823529411765,0,0.0323624595469256,0.543408360128617,0.193447737909516,0,0.749611197511664,0,0,1,0,0.00158227848101266,0,0,0,0
"2",0,1,0,0,0,0,0.0111821086261981,0.00157728706624606,0.00805152979066022,0.0443740095087163,0,0,0.392628205128205,0,0,0,0,0,0.326829268292683,0,0.173267326732673,0.176377952755906,0,0.447495961227787,0,0.866352201257862,0.253164556962025,0.0641025641025641,0.990275526742301
"3",0.544025157232704,0,1,0.0692431561996779,0.0555555555555556,0,0,0,0,0,0.100478468899522,0.159442724458204,0,0.0884808013355593,0.0063391442155309,0.00654664484451719,0.156351791530945,0.217665615141956,0,0.252730109204368,0,0,0.579778830963665,0,0,0,0,0,0
"4",0.47427652733119,0,0.0692431561996779,1,0,0,0,0,0,0,0,0,0,0.831058020477816,0,0.372712146422629,1,0,0,0.794830371567044,0,0,0.318627450980392,0,0.266129032258065,0,0,0,0
"5",0,0,0.0555555555555556,0,1,0,0,0,0,0,0,0,0,0.0380348652931854,1,0.0015625,0,0,0,0,0,0,0,0,0.0307219662058372,0,0,0,0
"6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0.0111821086261981,0,0,0,0,1,0.9,0.891803278688525,0.886792452830189,0,0,0.0429042904290429,0,0,0,0,0,0.076797385620915,0,0.0385259631490787,0.0634920634920635,0,0.0115894039735099,0,0.0546623794212219,0.201288244766506,1,0.0245901639344262
"8",0,0.00157728706624606,0,0,0,0,0.9,1,1,1,0,0,0.0386473429951691,0,0,0,0,0,0.0769230769230769,0,0.00993377483443709,0.0189873417721519,0,0.00805152979066022,0,0.00784929356357928,0.187993680884676,0.783870967741935,0.00656814449917898
"9",0,0.00805152979066022,0,0,0,0,0.891803278688525,1,1,1,0,0,0.0214521452145215,0,0,0,0,0,0.054635761589404,0,0.00168634064080944,0.011437908496732,0,0.00161812297734628,0.00324675324675325,0.0130293159609121,0.2128,0.768976897689769,0.0164744645799012
"10",0,0.0443740095087163,0,0,0,0,0.886792452830189,1,1,1,0,0,0.0381558028616852,0,0,0,0,0,0.0791139240506329,0,0.0115321252059308,0.0269413629160063,0,0.0145867098865478,0,0.0609951845906902,0.154952076677316,0.800327332242226,0.065252854812398
"11",0.0755007704160247,0,0.100478468899522,0,0,0,0,0,0,0,1,1,0,0,0,0,0.00159235668789809,1,0,0.0015600624024961,0,0,0.213607594936709,0,0,0,0,0,0
"12",0.190769230769231,0,0.159442724458204,0,0,0,0,0,0,0,1,1,0,0,0,0,0.00318471337579618,1,0,0.0060790273556231,0,0,0.332298136645963,0,0,0,0,0,0
"13",0,0.392628205128205,0,0,0,0,0.0429042904290429,0.0386473429951691,0.0214521452145215,0.0381558028616852,0,0,1,0,0,0,0,0,0.986906710310966,0,0.00493421052631579,0,0,0.99344262295082,0.00481540930979133,0.131329113924051,0.969004893964111,0.0364842454394693,0.196369636963696
"14",0.308823529411765,0,0.0884808013355593,0.831058020477816,0.0380348652931854,0,0,0,0,0,0,0,0,1,0.229885057471264,0.439669421487603,0.859083191850594,0,0,0.553745928338762,0,0,0.156765676567657,0,0.427168576104746,0,0,0,0
"15",0,0,0.0063391442155309,0,1,0,0,0,0,0,0,0,0,0.229885057471264,1,0.111287758346582,0.0176282051282051,0,0,0.0015600624024961,0,0,0,0,0.17527386541471,0,0,0,0
"16",0.0323624595469256,0,0.00654664484451719,0.372712146422629,0.0015625,0,0,0,0,0,0,0,0,0.439669421487603,0.111287758346582,1,0.310517529215359,0,0,0.2144,0,0,0,0,1,0,0,0,0
"17",0.543408360128617,0,0.156351791530945,1,0,0,0,0,0,0,0.00159235668789809,0.00318471337579618,0,0.859083191850594,0.0176282051282051,0.310517529215359,1,0.00321543408360129,0,0.833870967741935,0,0,0.398692810457516,0,0.2144,0,0,0,0
"18",0.193447737909516,0,0.217665615141956,0,0,0,0,0,0,0,1,1,0,0,0,0,0.00321543408360129,1,0,0.00309119010819165,0,0,0.370839936608558,0,0,0,0,0,0
"19",0,0.326829268292683,0,0,0,0,0.076797385620915,0.0769230769230769,0.054635761589404,0.0791139240506329,0,0,0.986906710310966,0,0,0,0,0,1,0,0,0,0,0.960975609756098,0.00650406504065041,0.0986842105263158,0.873170731707317,0.0939597315436242,0.153078202995008
"20",0.749611197511664,0,0.252730109204368,0.794830371567044,0,0,0,0,0,0,0.0015600624024961,0.0060790273556231,0,0.553745928338762,0.0015600624024961,0.2144,0.833870967741935,0.00309119010819165,0,1,0,0,0.575851393188854,0,0.134375,0,0,0,0
"21",0,0.173267326732673,0,0,0,0,0.0385259631490787,0.00993377483443709,0.00168634064080944,0.0115321252059308,0,0,0.00493421052631579,0,0,0,0,0,0,0,1,1,0,0.0169204737732657,0,0.277960526315789,0,0.101522842639594,0.268128161888702
"22",0,0.176377952755906,0,0,0,0,0.0634920634920635,0.0189873417721519,0.011437908496732,0.0269413629160063,0,0,0,0,0,0,0,0,0,0,1,1,0,0.00651465798045603,0,0.281098546042003,0.00164473684210526,0.11869918699187,0.280265339966833
"23",1,0,0.579778830963665,0.318627450980392,0,0,0,0,0,0,0.213607594936709,0.332298136645963,0,0.156765676567657,0,0,0.398692810457516,0.370839936608558,0,0.575851393188854,0,0,1,0,0,0,0,0,0
"24",0,0.447495961227787,0,0,0,0,0.0115894039735099,0.00805152979066022,0.00161812297734628,0.0145867098865478,0,0,0.99344262295082,0,0,0,0,0,0.960975609756098,0,0.0169204737732657,0.00651465798045603,0,1,0,0.197749196141479,0.784665579119086,0.031986531986532,0.251689189189189
"25",0.00158227848101266,0,0,0.266129032258065,0.0307219662058372,0,0,0,0.00324675324675325,0,0,0,0.00481540930979133,0.427168576104746,0.17527386541471,1,0.2144,0,0.00650406504065041,0.134375,0,0,0,0,1,0,0.0334928229665072,0,0
"26",0,0.866352201257862,0,0,0,0,0.0546623794212219,0.00784929356357928,0.0130293159609121,0.0609951845906902,0,0,0.131329113924051,0,0,0,0,0,0.0986842105263158,0,0.277960526315789,0.281098546042003,0,0.197749196141479,0,1,0.047244094488189,0.166134185303514,1
"27",0,0.253164556962025,0,0,0,0,0.201288244766506,0.187993680884676,0.2128,0.154952076677316,0,0,0.969004893964111,0,0,0,0,0,0.873170731707317,0,0,0.00164473684210526,0,0.784665579119086,0.0334928229665072,0.047244094488189,1,0.152866242038217,0.0953947368421053
"28",0,0.0641025641025641,0,0,0,0,1,0.783870967741935,0.768976897689769,0.800327332242226,0,0,0.0364842454394693,0,0,0,0,0,0.0939597315436242,0,0.101522842639594,0.11869918699187,0,0.031986531986532,0,0.166134185303514,0.152866242038217,1,0.107202680067002
"29",0,0.990275526742301,0,0,0,0,0.0245901639344262,0.00656814449917898,0.0164744645799012,0.065252854812398,0,0,0.196369636963696,0,0,0,0,0,0.153078202995008,0,0.268128161888702,0.280265339966833,0,0.251689189189189,0,1,0.0953947368421053,0.107202680067002,1
