"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.756289308176101,0.173633440514469,0,0,0,0,0,0,0.286594761171032,0.341538461538462,0,0.0800653594771242,0,0.00970873786407767,0.228295819935691,0.399375975039002,0,0.838258164852255,0,0,1,0,0,0,0,0,0
"2",0,1,0,0,0.0556390977443609,0.0237341772151899,0.0431309904153355,0,0,0.0110935023771791,0,0,0.307692307692308,0,0.00154798761609907,0,0,0,0.265040650406504,0,0.107260726072607,0.0645669291338583,0,0.329563812600969,0,0.822327044025157,0.218354430379747,0.0400641025641026,0.972447325769854
"3",0.756289308176101,0,1,0.0386473429951691,0.0432098765432099,0.215189873417722,0,0,0,0,0.309409888357257,0.306501547987616,0,0.0951585976627713,0,0,0.169381107491857,0.435331230283912,0,0.447737909516381,0,0,0.767772511848341,0,0.0126382306477093,0,0,0,0
"4",0.173633440514469,0,0.0386473429951691,1,0,0,0,0,0,0,0.00479233226837061,0.00316957210776545,0,0.75938566552901,0.00162074554294976,0.467554076539101,1,0.00483870967741936,0,0.38610662358643,0,0,0.0866013071895425,0,0.332258064516129,0,0,0,0
"5",0,0.0556390977443609,0.0432098765432099,0,1,0.185298621745789,0,0,0,0,0,0,0,0.0142630744849445,1,0,0,0,0,0,0,0,0,0,0.0368663594470046,0.00306278713629403,0,0,0.00625978090766823
"6",0,0.0237341772151899,0.215189873417722,0,0.185298621745789,1,0.017515923566879,0,0,0,0,0,0.0113085621970921,0.0033112582781457,0.00158982511923688,0,0.0065359477124183,0,0.0112903225806452,0.0031104199066874,0,0.00159235668789809,0.0031201248049922,0.0149006622516556,0,0.00788643533123028,0.0191693290734824,0.0274636510500808,0
"7",0,0.0431309904153355,0,0,0,0.017515923566879,1,0.179365079365079,0.0901639344262295,0.19811320754717,0,0,0.311881188118812,0,0,0,0,0,0.397058823529412,0,0.0753768844221105,0.163492063492063,0,0.339403973509934,0.00162337662337662,0.236334405144695,0.347826086956522,0.99009900990099,0.104918032786885
"8",0,0,0,0,0,0,0.179365079365079,1,1,1,0,0,0.00966183574879227,0,0,0,0,0,0.0208333333333333,0,0.00165562913907285,0.00474683544303797,0,0.00644122383252818,0,0.00784929356357928,0.033175355450237,0.111290322580645,0.0114942528735632
"9",0,0,0,0,0,0,0.0901639344262295,1,1,1,0,0,0.0033003300330033,0,0,0,0,0,0.0033112582781457,0,0,0.0065359477124183,0,0,0,0.011400651465798,0.0576,0.0247524752475248,0.0164744645799012
"10",0,0.0110935023771791,0,0,0,0,0.19811320754717,1,1,1,0,0,0.0095389507154213,0,0,0,0,0,0.0158227848101266,0,0.00329489291598023,0.01743264659271,0,0.00810372771474878,0,0.057784911717496,0.023961661341853,0.129296235679214,0.0685154975530179
