"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.99685534591195,0.741157556270096,0.477341389728097,0.278996865203762,0,0,0,0,0.417565485362096,0.46,0,0.503267973856209,0.433903576982893,0.488673139158576,0.662379421221865,0.499219968798752,0,0.852255054432348,0,0,1,0,0.450949367088608,0,0,0,0
"2",0,1,0,0,0,0.316455696202532,0.998402555910543,0.998422712933754,0.996779388083736,0.998415213946117,0,0,0.998397435897436,0,0.00309597523219814,0.00644122383252818,0,0,0.998373983739837,0,0.998349834983498,0.998425196850394,0,0.998384491114701,0.0392464678178964,0.998427672955975,0.998417721518987,0.998397435897436,1
"3",0.99685534591195,0,1,0.63768115942029,0.453703703703704,0.302215189873418,0,0,0,0,0.451355661881978,0.504643962848297,0,0.465776293823038,0.377179080824089,0.435351882160393,0.584690553745928,0.534700315457413,0,0.742589703588144,0,0,0.998420221169036,0,0.417061611374408,0,0,0,0
"4",0.741157556270096,0,0.63768115942029,1,0.808777429467085,0.392156862745098,0,0,0,0,0.137380191693291,0.164817749603803,0,0.837883959044369,0.794165316045381,0.881863560732113,1,0.162903225806452,0,0.978998384491115,0,0,0.604575163398693,0,0.8,0,0,0,0
"5",0.477341389728097,0,0.453703703703704,0.808777429467085,1,0.742725880551302,0,0.00152671755725191,0.00314465408805031,0,0.0060882800608828,0.0119760479041916,0,0.993660855784469,1,0.984375,0.882075471698113,0.013719512195122,0,0.713636363636364,0,0,0.351226993865031,0,0.955453149001536,0,0.00155038759689922,0,0
"6",0.278996865203762,0.316455696202532,0.302215189873418,0.392156862745098,0.742725880551302,1,0.285031847133758,0.275430359937402,0.27140549273021,0.26148969889065,0,0,0.305331179321486,0.639072847682119,0.664546899841017,0.603896103896104,0.478758169934641,0.00470219435736677,0.285483870967742,0.404354587869362,0.292358803986711,0.296178343949045,0.232449297971919,0.304635761589404,0.570063694267516,0.313880126182965,0.297124600638978,0.290791599353796,0.281350482315113
"7",0,0.998402555910543,0,0,0,0.285031847133758,1,1,1,1,0,0,1,0,0.00156739811912226,0,0,0,1,0,1,1,0,1,0.038961038961039,1,1,1,1
"8",0,0.998422712933754,0,0,0.00152671755725191,0.275430359937402,1,1,1,1,0,0,0.998389694041868,0.00164744645799012,0.0031201248049922,0.00655737704918033,0,0,0.998397435897436,0,0.998344370860927,0.998417721518987,0,0.998389694041868,0.0441640378548896,0.998430141287284,0.998420221169036,1,0.998357963875205
"9",0,0.996779388083736,0,0,0.00314465408805031,0.27140549273021,1,1,1,1,0,0,0.996699669966997,0.00334448160535117,0.00477707006369427,0.00846023688663283,0,0,0.996688741721854,0,0.996627318718381,0.998366013071895,0,0.996763754045307,0.0438311688311688,0.996742671009772,0.9984,0.998349834983498,0.99835255354201
"10",0,0.998415213946117,0,0,0,0.26148969889065,1,1,1,1,0,0,1,0,0.00158227848101266,0,0,0,1,0,1,1,0,1,0.0399361022364217,1,1,1,1
"11",0.417565485362096,0,0.451355661881978,0.137380191693291,0.0060882800608828,0,0,0,0,0,1,1,0,0.00655737704918033,0.0015748031496063,0.0064,0.0828025477707006,1,0,0.213728549141966,0,0,0.54746835443038,0,0.00638977635782748,0,0,0,0
"12",0.46,0,0.504643962848297,0.164817749603803,0.0119760479041916,0,0,0,0,0,1,1,0,0.0209339774557166,0.0106870229007634,0.0158982511923688,0.0987261146496815,1,0,0.238601823708207,0,0,0.572981366459627,0,0.0124610591900312,0,0,0,0
"13",0,0.998397435897436,0,0,0,0.305331179321486,1,0.998389694041868,0.996699669966997,1,0,0,1,0,0.0016,0.00164203612479475,0,0,1,0,1,1,0,1,0.00802568218298555,1,0.99836867862969,1,1
"14",0.503267973856209,0,0.465776293823038,0.837883959044369,0.993660855784469,0.639072847682119,0,0.00164744645799012,0.00334448160535117,0,0.00655737704918033,0.0209339774557166,0,1,0.995073891625616,0.99504132231405,0.932088285229202,0.0211726384364821,0,0.741042345276873,0,0,0.372937293729373,0,0.970540098199673,0,0.0016366612111293,0,0
"15",0.433903576982893,0.00309597523219814,0.377179080824089,0.794165316045381,1,0.664546899841017,0.00156739811912226,0.0031201248049922,0.00477707006369427,0.00158227848101266,0.0015748031496063,0.0106870229007634,0.0016,0.995073891625616,1,0.987281399046105,0.875,0.0078125,0.00158478605388273,0.705148205928237,0.00165289256198347,0.00158227848101266,0.286833855799373,0.00160513643659711,0.957746478873239,0.0015552099533437,0.00312989045383412,0,0.00160513643659711
"16",0.488673139158576,0.00644122383252818,0.435351882160393,0.881863560732113,0.984375,0.603896103896104,0,0.00655737704918033,0.00846023688663283,0,0.0064,0.0158982511923688,0.00164203612479475,0.99504132231405,0.987281399046105,1,0.943238731218698,0.0128205128205128,0.00490196078431373,0.776,0.00169779286926995,0.00493421052631579,0.338235294117647,0.00167224080267559,1,0.0048,0.00644122383252818,0.0033112582781457,0.00506756756756757
"17",0.662379421221865,0,0.584690553745928,1,0.882075471698113,0.478758169934641,0,0,0,0,0.0828025477707006,0.0987261146496815,0,0.932088285229202,0.875,0.943238731218698,1,0.0980707395498392,0,0.914516129032258,0,0,0.524509803921569,0,0.8832,0,0,0,0
"18",0.499219968798752,0,0.534700315457413,0.162903225806452,0.013719512195122,0.00470219435736677,0,0,0,0,1,1,0,0.0211726384364821,0.0078125,0.0128205128205128,0.0980707395498392,1,0,0.27047913446677,0,0,0.625990491283677,0,0.0154559505409583,0,0,0,0
"19",0,0.998373983739837,0,0,0,0.285483870967742,1,0.998397435897436,0.996688741721854,1,0,0,1,0,0.00158478605388273,0.00490196078431373,0,0,1,0,1,1,0,1,0.0341463414634146,1,0.998373983739837,1,1
"20",0.852255054432348,0,0.742589703588144,0.978998384491115,0.713636363636364,0.404354587869362,0,0,0,0,0.213728549141966,0.238601823708207,0,0.741042345276873,0.705148205928237,0.776,0.914516129032258,0.27047913446677,0,1,0,0,0.71671826625387,0,0.7015625,0,0,0,0
"21",0,0.998349834983498,0,0,0,0.292358803986711,1,0.998344370860927,0.996627318718381,1,0,0,1,0,0.00165289256198347,0.00169779286926995,0,0,1,0,1,1,0,1,0.0346534653465347,1,0.998313659359191,1,1
