"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.897798742138365,0.786173633440514,0.148036253776435,0,0,0,0,0,0.0955315870570108,0.169230769230769,0,0.15359477124183,0.0528771384136858,0.239482200647249,0.816720257234727,0.188767550702028,0,0.920684292379471,0,0,1,0,0.17246835443038,0,0,0,0
"2",0,1,0,0,0,0,0.73482428115016,0.725552050473186,0.742351046698873,0.762282091917591,0,0,0.674679487179487,0,0.0123839009287926,0.0257648953301127,0,0,0.682926829268293,0,0.81023102310231,0.831496062992126,0,0.683360258481422,0.0565149136577708,0.916666666666667,0.618670886075949,0.774038461538462,0.99837925445705
"3",0.897798742138365,0,1,0.599033816425121,0.271604938271605,0.00158227848101266,0,0,0,0,0.140350877192982,0.232198142414861,0,0.151919866444073,0.0824088748019017,0.160392798690671,0.657980456026059,0.247634069400631,0,0.68798751950078,0,0,0.932069510268562,0,0.115323854660348,0,0,0,0
"4",0.786173633440514,0,0.599033816425121,1,0.153605015673981,0,0,0,0,0,0.0223642172523962,0.0412044374009509,0,0.349829351535836,0.141004862236629,0.603993344425957,1,0.0451612903225806,0,0.933764135702746,0,0,0.625816993464052,0,0.483870967741935,0,0,0,0
"5",0.148036253776435,0,0.271604938271605,0.153605015673981,1,0.0137825421133231,0,0,0.00157232704402516,0,0.0045662100456621,0.0029940119760479,0.0015527950310559,0.870047543581617,1,0.5109375,0.183962264150943,0.00304878048780488,0,0.16969696969697,0,0,0.134969325153374,0,0.565284178187404,0,0.00310077519379845,0,0
"6",0,0,0.00158227848101266,0,0.0137825421133231,1,0,0,0,0,0,0,0,0,0.00317965023847377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0.73482428115016,0,0,0,0,1,1,0.998360655737705,1,0,0,0.508250825082508,0.00166944908180301,0.00940438871473354,0.0380794701986755,0,0,0.560457516339869,0,0.869346733668342,0.874603174603175,0,0.480132450331126,0.0633116883116883,0.815112540192926,0.600644122383253,1,0.801639344262295
"8",0,0.725552050473186,0,0,0,0,1,1,1,1,0,0,0.494363929146538,0.00164744645799012,0.0109204368174727,0.0475409836065574,0,0,0.548076923076923,0,0.864238410596026,0.867088607594937,0,0.454106280193237,0.0599369085173502,0.80690737833595,0.584518167456556,0.995161290322581,0.789819376026273
"9",0,0.742351046698873,0,0,0.00157232704402516,0,0.998360655737705,1,1,1,0,0,0.465346534653465,0.00334448160535117,0.0143312101910828,0.050761421319797,0,0,0.521523178807947,0,0.876897133220911,0.880718954248366,0,0.449838187702265,0.0714285714285714,0.822475570032573,0.5696,0.988448844884488,0.813838550247117
"10",0,0.762282091917591,0,0,0,0,1,1,1,1,0,0,0.491255961844197,0,0.00949367088607595,0.00162866449511401,0,0,0.542721518987342,0,0.896210873146623,0.896988906497623,0,0.46515397082658,0.0543130990415335,0.847512038523275,0.554313099041534,1,0.838499184339315
"11",0.0955315870570108,0,0.140350877192982,0.0223642172523962,0.0045662100456621,0,0,0,0,0,1,1,0,0,0,0,0.0318471337579618,1,0,0.0374414976599064,0,0,0.20253164556962,0,0,0,0,0,0
"12",0.169230769230769,0,0.232198142414861,0.0412044374009509,0.0029940119760479,0,0,0,0,0,1,1,0,0,0,0.00158982511923688,0.0493630573248408,1,0,0.0775075987841945,0,0,0.277950310559006,0,0,0,0,0,0
"13",0,0.674679487179487,0,0,0.0015527950310559,0,0.508250825082508,0.494363929146538,0.465346534653465,0.491255961844197,0,0,1,0,0.0016,0.013136288998358,0,0,0.998363338788871,0,0.425986842105263,0.434210526315789,0,1,0.057784911717496,0.531645569620253,0.98858075040783,0.504145936981758,0.566006600660066
"14",0.15359477124183,0,0.151919866444073,0.349829351535836,0.870047543581617,0,0.00166944908180301,0.00164744645799012,0.00334448160535117,0,0,0,0,1,1,0.727272727272727,0.380305602716469,0,0,0.247557003257329,0,0,0.0957095709570957,0,0.76759410801964,0,0.0016366612111293,0,0
