"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0.0347551342812006,1,0.998449612403101,0.625570776255708,0.0701468189233279,0.0415335463258786,0.0370967741935484,0.0352220520673813,0.035426731078905,1,1,0.0325581395348837,0.977382875605816,0.559748427672956,0.620904836193448,0.998454404945904,1,0.0311526479750779,0.998384491114701,0.0392464678178964,0.0325581395348837,1,0.0397553516819572,0.509584664536741,0.0274636510500808,0.0361635220125786,0.0342679127725857,0.0346456692913386
"2",0.0347551342812006,1,0.032626427406199,0.0398089171974522,0.410216718266254,0.872696817420435,1,1,1,1,0.0284810126582278,0.0361842105263158,1,0.0530679933665008,0.473170731707317,0.420711974110032,0.0415335463258786,0.0294117647058824,1,0.0316666666666667,1,1,0.038961038961039,1,0.515297906602254,1,1,1,1
"3",1,0.032626427406199,1,1,0.65,0.100494233937397,0.0377049180327869,0.0295081967213115,0.0338983050847458,0.0336,1,1,0.0265210608424337,0.985172981878089,0.57258064516129,0.625,1,1,0.0314465408805031,1,0.0380348652931854,0.0314465408805031,1,0.0345911949685535,0.53160453808752,0.0275974025974026,0.0335463258785942,0.0333863275039746,0.032967032967033
"4",0.998449612403101,0.0398089171974522,1,1,0.641860465116279,0.0543657331136738,0.0453074433656958,0.0337078651685393,0.038109756097561,0.0366826156299841,0.996894409937888,0.996805111821086,0.0328125,0.993464052287582,0.572567783094099,0.636505460218409,1,0.996805111821086,0.0350609756097561,1,0.0452418096723869,0.0357142857142857,0.996875,0.0431432973805855,0.5344,0.0333889816360601,0.0405616224648986,0.0386398763523957,0.0380348652931854
"5",0.625570776255708,0.410216718266254,0.65,0.641860465116279,1,0.484751203852327,0.396135265700483,0.384493670886076,0.404833836858006,0.376947040498442,0.570762052877138,0.587677725118483,0.380216383307573,0.69983948635634,0.998427672955975,0.913312693498452,0.646322378716745,0.609324758842444,0.372128637059724,0.62962962962963,0.386046511627907,0.383792048929664,0.607142857142857,0.386153846153846,0.905956112852665,0.394822006472492,0.399075500770416,0.395738203957382,0.388198757763975
"6",0.0701468189233279,0.872696817420435,0.100494233937397,0.0543657331136738,0.484751203852327,1,0.84406779661017,0.852842809364548,0.859903381642512,0.85,0.0491803278688525,0.0667808219178082,0.873581847649919,0.121212121212121,0.539232053422371,0.489075630252101,0.0753768844221105,0.0671140939597315,0.861563517915309,0.0913793103448276,0.855,0.861736334405145,0.0756578947368421,0.859016393442623,0.562913907284768,0.869047619047619,0.85427135678392,0.856435643564356,0.844221105527638
"7",0.0415335463258786,1,0.0377049180327869,0.0453074433656958,0.396135265700483,0.84406779661017,1,1,1,1,0.0355987055016181,0.0399334442595674,1,0.0594227504244482,0.454090150250417,0.422628951747088,0.0441176470588235,0.0348837209302326,1,0.0284757118927973,1,1,0.0447019867549669,1,0.525535420098847,1,1,1,1
"8",0.0370967741935484,1,0.0295081967213115,0.0337078651685393,0.384493670886076,0.852842809364548,1,1,1,1,0.027027027027027,0.0299500831946755,1,0.0387858347386172,0.452892561983471,0.424878836833603,0.034257748776509,0.0247116968698517,1,0.0245098039215686,1,1,0.0358890701468189,1,0.510708401976936,1,1,1,1
"9",0.0352220520673813,1,0.0338983050847458,0.038109756097561,0.404833836858006,0.859903381642512,1,1,1,1,0.0321592649310873,0.035426731078905,1,0.0569105691056911,0.47581903276131,0.434782608695652,0.040625,0.028436018957346,1,0.024,1,1,0.0375586854460094,1,0.531645569620253,1,1,1,1
"10",0.035426731078905,1,0.0336,0.0366826156299841,0.376947040498442,0.85,1,1,1,1,0.0285261489698891,0.0361247947454844,1,0.0412541254125413,0.451666666666667,0.409090909090909,0.0355411954765751,0.0275974025974026,1,0.0264026402640264,1,1,0.0372771474878444,1,0.498344370860927,1,1,1,1
"11",1,0.0284810126582278,1,0.996894409937888,0.570762052877138,0.0491803278688525,0.0355987055016181,0.027027027027027,0.0321592649310873,0.0285261489698891,1,1,0.0267716535433071,0.974068071312804,0.495961227786753,0.549206349206349,0.996870109546166,1,0.0278637770897833,0.996732026143791,0.0350877192982456,0.0267716535433071,1,0.0310077519379845,0.441412520064205,0.0257234726688103,0.0316957210776545,0.0315457413249211,0.0315457413249211
"12",1,0.0361842105263158,1,0.996805111821086,0.587677725118483,0.0667808219178082,0.0399334442595674,0.0299500831946755,0.035426731078905,0.0361247947454844,1,1,0.0332278481012658,0.973154362416107,0.522950819672131,0.591935483870968,0.996805111821086,1,0.0333333333333333,0.996726677577741,0.0420032310177706,0.032,1,0.0387722132471729,0.481727574750831,0.0284757118927973,0.0345394736842105,0.0365659777424483,0.0374592833876222
"13",0.0325581395348837,1,0.0265210608424337,0.0328125,0.380216383307573,0.873581847649919,1,1,1,1,0.0267716535433071,0.0332278481012658,1,0.0461049284578696,0.4421875,0.383775351014041,0.0329153605015674,0.0226537216828479,1,0.0226537216828479,1,1,0.0332805071315372,1,0.483818770226537,1,1,1,1
