"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.59748427672956,0.448553054662379,0.148036253776435,0.412225705329154,0,0,0,0,0.944530046224962,0.944615384615385,0,0.106209150326797,0.0388802488335925,0.101941747572816,0.602893890675241,0.945397815912636,0,1,0,0,0.975116640746501,0,0.0743670886075949,0,0,0,0
"2",0,1,0.00474683544303797,0.00159235668789809,0.0120300751879699,0.0174050632911392,0.960063897763578,0.916403785488959,0.91304347826087,0.917591125198098,0,0,1,0.00163398692810458,0.0170278637770898,0.00161030595813205,0.00159744408945687,0.00156739811912226,0.991869918699187,0,0.963696369636964,0.960629921259842,0.00154320987654321,0.993537964458804,0.0455259026687598,0.998427672955975,0.979430379746835,0.974358974358974,1
"3",0.59748427672956,0.00474683544303797,1,0.476650563607085,0.611111111111111,0.990506329113924,0,0,0,0,0.535885167464115,0.504643962848297,0.0016260162601626,0.467445742904841,0.478605388272583,0.446808510638298,0.52442996742671,0.572555205047319,0,0.577223088923557,0,0,0.552922590837283,0.00161812297734628,0.406003159557662,0.00158730158730159,0.00967741935483871,0,0
"4",0.448553054662379,0.00159235668789809,0.476650563607085,1,0.678683385579937,0.550653594771242,0,0,0,0,0.31629392971246,0.354992076069731,0,0.784982935153584,0.659643435980551,0.80865224625624,1,0.304838709677419,0,0.644588045234249,0,0,0.351307189542484,0,0.662903225806452,0,0.00483091787439614,0,0
"5",0.148036253776435,0.0120300751879699,0.611111111111111,0.678683385579937,1,0.7947932618683,0,0,0,0,0.0974124809741248,0.0808383233532934,0.0093167701863354,0.979397781299525,1,0.9046875,0.525157232704403,0.102134146341463,0.0031201248049922,0.284848484848485,0.00160771704180064,0.00153609831029186,0.105828220858896,0.00784929356357928,0.912442396313364,0.00918836140888208,0.0155038759689922,0.00312989045383412,0.00782472613458529
"6",0.412225705329154,0.0174050632911392,0.990506329113924,0.550653594771242,0.7947932618683,1,0.00955414012738853,0.00782472613458529,0.00646203554119548,0.00792393026941363,0.34748427672956,0.327188940092166,0.0145395799676898,0.658940397350993,0.699523052464229,0.626623376623377,0.53921568627451,0.377742946708464,0.00645161290322581,0.463452566096423,0.00996677740863787,0.00955414012738853,0.36817472698908,0.00496688741721854,0.578025477707006,0.0141955835962145,0.0207667731629393,0.00807754442649435,0.00482315112540193
"7",0,0.960063897763578,0,0,0,0.00955414012738853,1,0.971428571428571,0.970491803278689,0.971698113207547,0,0,0.97029702970297,0,0.00313479623824451,0,0,0,0.975490196078431,0,0.97319932998325,0.974603174603175,0,0.970198675496689,0.0340909090909091,0.971061093247588,0.967793880837359,1,0.972131147540984
"8",0,0.916403785488959,0,0,0,0.00782472613458529,0.971428571428571,1,1,1,0,0,0.92109500805153,0,0.0015600624024961,0.00163934426229508,0,0,0.935897435897436,0,0.93046357615894,0.933544303797468,0,0.922705314009662,0.0331230283911672,0.924646781789639,0.93522906793049,0.95,0.927750410509031
"9",0,0.91304347826087,0,0,0,0.00646203554119548,0.970491803278689,1,1,1,0,0,0.917491749174917,0,0.00318471337579618,0.00169204737732657,0,0,0.932119205298013,0,0.932546374367622,0.934640522875817,0,0.920711974110032,0.0308441558441558,0.920195439739414,0.9312,0.948844884488449,0.925864909390445
"10",0,0.917591125198098,0,0,0,0.00792393026941363,0.971698113207547,1,1,1,0,0,0.92368839427663,0,0.00158227848101266,0,0,0,0.935126582278481,0,0.932454695222405,0.935023771790808,0,0.923824959481361,0.0271565495207668,0.924558587479936,0.931309904153355,0.95253682487725,0.929853181076672
"11",0.944530046224962,0,0.535885167464115,0.31629392971246,0.0974124809741248,0.34748427672956,0,0,0,0,1,1,0,0.039344262295082,0.0251968503937008,0.0336,0.468152866242038,1,0,0.776911076443058,0,0,1,0,0.0223642172523962,0,0,0,0
"12",0.944615384615385,0,0.504643962848297,0.354992076069731,0.0808383233532934,0.327188940092166,0,0,0,0,1,1,0,0.0322061191626409,0.0259541984732824,0.0397456279809221,0.5,1,0,0.773556231003039,0,0,1,0,0.0249221183800623,0,0,0,0
"13",0,1,0.0016260162601626,0,0.0093167701863354,0.0145395799676898,0.97029702970297,0.92109500805153,0.917491749174917,0.92368839427663,0,0,1,0,0.0112,0,0,0,1,0,0.965460526315789,0.960526315789474,0,1,0.0417335473515249,1,0.99184339314845,0.985074626865672,1
