"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,1,0.993569131832797,0.910876132930514,0.789968652037618,0,0,0,0,1,1,0,0.957516339869281,0.902021772939347,0.923948220064725,0.995176848874598,1,0,1,0,0,1,0,0.871835443037975,0,0,0,0
"2",0,1,0,0.00796178343949045,0.0781954887218045,0.216772151898734,1,1,1,1,0,0,1,0.0441176470588235,0.086687306501548,0.0676328502415459,0.00479233226837061,0,1,0,1,1,0,1,0.114599686028257,1,1,1,1
"3",1,0,1,0.993558776167472,0.935185185185185,0.837025316455696,0,0,0,0,1,1,0,0.96661101836394,0.925515055467512,0.942716857610475,0.998371335504886,1,0,1,0,0,1,0,0.894154818325434,0,0,0,0
"4",0.993569131832797,0.00796178343949045,0.993558776167472,1,0.959247648902821,0.805555555555556,0.00488599348534202,0.00797448165869218,0.00495049504950495,0.00163132137030995,0.992012779552716,0.992076069730586,0.00494233937397035,0.996587030716723,0.956239870340357,0.980033277870216,1,0.991935483870968,0.00667779632721202,0.998384491114701,0.00505050505050505,0.00657894736842105,0.991830065359477,0.00498338870431894,0.924193548387097,0.00805152979066022,0.00805152979066022,0.00818330605564648,0.00499168053244592
"5",0.910876132930514,0.0781954887218045,0.935185185185185,0.959247648902821,1,0.920367534456355,0.0714285714285714,0.083969465648855,0.0738993710691824,0.0675883256528418,0.910197869101979,0.913173652694611,0.0636645962732919,1,1,0.996875,0.955974842767296,0.917682926829268,0.0670826833073323,0.931818181818182,0.0755627009646302,0.0721966205837174,0.906441717791411,0.0753532182103611,0.967741935483871,0.0765696784073507,0.0775193798449612,0.0782472613458529,0.0704225352112676
"6",0.789968652037618,0.216772151898734,0.837025316455696,0.805555555555556,0.920367534456355,1,0.173566878980892,0.18622848200313,0.177705977382876,0.150554675118859,0.784591194968553,0.791090629800307,0.205169628432956,0.844370860927152,0.866454689984102,0.850649350649351,0.838235294117647,0.788401253918495,0.182258064516129,0.804043545878694,0.184385382059801,0.184713375796178,0.786271450858034,0.201986754966887,0.835987261146497,0.219242902208202,0.210862619808307,0.197092084006462,0.167202572347267
"7",0,1,0,0.00488599348534202,0.0714285714285714,0.173566878980892,1,1,1,1,0,0,1,0.0317195325542571,0.0815047021943574,0.0612582781456954,0.00485436893203883,0,1,0,1,1,0,1,0.113636363636364,1,1,1,1
"8",0,1,0,0.00797448165869218,0.083969465648855,0.18622848200313,1,1,1,1,0,0,1,0.0395387149917628,0.093603744149766,0.0721311475409836,0.00326797385620915,0,1,0,1,1,0,1,0.123028391167192,1,1,1,1
"9",0,1,0,0.00495049504950495,0.0738993710691824,0.177705977382876,1,1,1,1,0,0,1,0.0367892976588629,0.0828025477707006,0.0642978003384095,0.00327332242225859,0,1,0,1,1,0,1,0.112012987012987,1,1,1,1
"10",0,1,0,0.00163132137030995,0.0675883256528418,0.150554675118859,1,1,1,1,0,0,1,0.0334448160535117,0.0727848101265823,0.0521172638436482,0.00479233226837061,0,1,0,1,1,0,1,0.100638977635783,1,1,1,1
"11",1,0,1,0.992012779552716,0.910197869101979,0.784591194968553,0,0,0,0,1,1,0,0.952459016393443,0.900787401574803,0.9248,0.995222929936306,1,0,1,0,0,1,0,0.873801916932907,0,0,0,0
"12",1,0,1,0.992076069730586,0.913173652694611,0.791090629800307,0,0,0,0,1,1,0,0.953301127214171,0.905343511450382,0.926868044515103,0.995222929936306,1,0,1,0,0,1,0,0.878504672897196,0,0,0,0
