"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.955974842767296,0.786173633440514,0.368580060422961,0,0,0,0,0,0.298921417565485,0.336923076923077,0,0.418300653594771,0.334370139968896,0.490291262135922,0.895498392282958,0.341653666146646,0,1,0,0,0.964230171073095,0,0.386075949367089,0,0,0,0
"2",0,1,0,0,0,0,0.953674121405751,0.944794952681388,0.946859903381642,0.957210776545166,0,0,1,0,0.00154798761609907,0.0144927536231884,0,0,0.995121951219512,0,0.96039603960396,0.960629921259842,0,0.998384491114701,0.136577708006279,0.998427672955975,0.974683544303797,0.953525641025641,0.99837925445705
"3",0.955974842767296,0,1,0.718196457326892,0.415123456790123,0,0,0,0,0,0.251993620414673,0.348297213622291,0,0.437395659432387,0.358161648177496,0.472995090016367,0.830618892508143,0.361198738170347,0,0.897035881435257,0,0,0.916271721958926,0,0.388625592417062,0,0.00161290322580645,0,0
"4",0.786173633440514,0,0.718196457326892,1,0.642633228840125,0,0,0,0,0,0.0798722044728434,0.098256735340729,0,0.761092150170648,0.604538087520259,0.843594009983361,1,0.0854838709677419,0,0.862681744749596,0,0,0.640522875816993,0,0.696774193548387,0,0.00161030595813205,0,0
"5",0.368580060422961,0,0.415123456790123,0.642633228840125,1,0.0551301684532925,0,0.00152671755725191,0.00157232704402516,0,0,0,0,0.973058637083994,1,0.84375,0.534591194968553,0,0,0.456060606060606,0,0,0.251533742331288,0,0.78494623655914,0,0.00310077519379845,0,0
"6",0,0,0,0,0.0551301684532925,1,0,0,0,0,0,0,0,0,0.0572337042925278,0,0,0,0,0,0,0,0,0,0.00318471337579618,0,0,0,0
"7",0,0.953674121405751,0,0,0,0,1,1,1,1,0,0,0.945544554455445,0,0.00156739811912226,0.00993377483443709,0,0,0.96078431372549,0,0.983249581239531,0.984126984126984,0,0.948675496688742,0.118506493506494,0.958199356913183,0.969404186795491,0.993399339933993,0.967213114754098
"8",0,0.944794952681388,0,0,0.00152671755725191,0,1,1,1,1,0,0,0.938808373590982,0.00164744645799012,0.0031201248049922,0.0180327868852459,0,0,0.956730769230769,0,0.981788079470199,0.984177215189873,0,0.942028985507246,0.143533123028391,0.952904238618524,0.966824644549763,0.991935483870968,0.960591133004926
"9",0,0.946859903381642,0,0,0.00157232704402516,0,1,1,1,1,0,0,0.937293729372937,0.00167224080267559,0.00318471337579618,0.0169204737732657,0,0,0.955298013245033,0,0.983136593591906,0.985294117647059,0,0.941747572815534,0.131493506493506,0.954397394136808,0.968,0.991749174917492,0.963756177924217
"10",0,0.957210776545166,0,0,0,0,1,1,1,1,0,0,0.950715421303657,0,0.00158227848101266,0,0,0,0.962025316455696,0,0.986820428336079,0.990491283676704,0,0.952998379254457,0.113418530351438,0.964686998394864,0.964856230031949,0.993453355155483,0.973898858075041
"11",0.298921417565485,0,0.251993620414673,0.0798722044728434,0,0,0,0,0,0,1,1,0,0.00163934426229508,0,0,0.148089171974522,1,0,0.224648985959438,0,0,0.39873417721519,0,0,0,0,0,0
"12",0.336923076923077,0,0.348297213622291,0.098256735340729,0,0,0,0,0,0,1,1,0,0.00322061191626409,0,0.00476947535771065,0.17515923566879,1,0,0.253799392097264,0,0,0.484472049689441,0,0,0,0,0,0
"13",0,1,0,0,0,0,0.945544554455445,0.938808373590982,0.937293729372937,0.950715421303657,0,0,1,0,0.0016,0.00821018062397373,0,0,0.998363338788871,0,0.952302631578947,0.950657894736842,0,1,0.0979133226324237,0.993670886075949,0.977161500815661,0.946932006633499,0.991749174917492
"14",0.418300653594771,0,0.437395659432387,0.761092150170648,0.973058637083994,0,0,0.00164744645799012,0.00167224080267559,0,0.00163934426229508,0.00322061191626409,0,1,0.977011494252874,0.91900826446281,0.626485568760611,0.00488599348534202,0,0.52442996742671,0,0,0.295379537953795,0,0.865793780687398,0,0.00327332242225859,0,0
"15",0.334370139968896,0.00154798761609907,0.358161648177496,0.604538087520259,1,0.0572337042925278,0.00156739811912226,0.0031201248049922,0.00318471337579618,0.00158227848101266,0,0,0.0016,0.977011494252874,1,0.845786963434022,0.493589743589744,0,0,0.414976599063963,0.00165289256198347,0.00158227848101266,0.241379310344828,0,0.78716744913928,0.0015552099533437,0.00625978090766823,0.00161290322580645,0.00160513643659711
"16",0.490291262135922,0.0144927536231884,0.472995090016367,0.843594009983361,0.84375,0,0.00993377483443709,0.0180327868852459,0.0169204737732657,0,0,0.00476947535771065,0.00821018062397373,0.91900826446281,0.845786963434022,1,0.721202003338898,0.00801282051282051,0.0179738562091503,0.6256,0.0135823429541596,0.00986842105263158,0.354575163398693,0.0183946488294314,1,0.0176,0.0161030595813204,0.0149006622516556,0.0168918918918919
"17",0.895498392282958,0,0.830618892508143,1,0.534591194968553,0,0,0,0,0,0.148089171974522,0.17515923566879,0,0.626485568760611,0.493589743589744,0.721202003338898,1,0.176848874598071,0,0.938709677419355,0,0,0.797385620915033,0,0.576,0,0,0,0
"18",0.341653666146646,0,0.361198738170347,0.0854838709677419,0,0,0,0,0,0,1,1,0,0.00488599348534202,0,0.00801282051282051,0.176848874598071,1,0,0.265842349304482,0,0,0.496038034865293,0,0.00309119010819165,0,0,0,0
"19",0,0.995121951219512,0,0,0,0,0.96078431372549,0.956730769230769,0.955298013245033,0.962025316455696,0,0,0.998363338788871,0,0,0.0179738562091503,0,0,1,0,0.953488372093023,0.952459016393443,0,1,0.123577235772358,0.988486842105263,0.991869918699187,0.959731543624161,0.986688851913478
