"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.908950617283951,0.618604651162791,0.286149162861492,0.0880913539967374,0,0,0,0,0.907668231611894,0.911003236245955,0,0.445880452342488,0.312893081761006,0.315132605304212,0.650695517774343,0.914149443561208,0,0.659127625201939,0,0,0.990491283676704,0,0.261980830670927,0,0,0,0
"2",0,1,0,0,0.0835913312693498,0.246231155778894,0.818181818181818,0.835218093699515,0.844094488188976,0.854337152209493,0,0,0.925515055467512,0.0116086235489221,0.0715447154471545,0.0776699029126214,0,0,0.895800933125972,0,0.903691813804173,0.881703470031546,0,0.938582677165354,0.106280193236715,0.98330550918197,0.866231647634584,0.870967741935484,0.964630225080386
"3",0.908950617283951,0,1,0.716279069767442,0.440625,0.252059308072488,0,0,0,0,0.738853503184713,0.74512987012987,0,0.596375617792422,0.461290322580645,0.454113924050633,0.766457680250784,0.779742765273312,0,0.755700325732899,0,0,0.829346092503987,0,0.416531604538088,0,0,0,0
"4",0.618604651162791,0,0.716279069767442,1,0.68062015503876,0.2833607907743,0,0,0,0,0.515527950310559,0.507987220447284,0,0.90359477124183,0.72408293460925,0.759750390015601,1,0.492012779552716,0,0.987261146496815,0,0,0.5328125,0,0.7056,0,0,0,0
"5",0.286149162861492,0.0835913312693498,0.440625,0.68062015503876,1,0.632423756019262,0.0161030595813204,0.0284810126582278,0.0317220543806647,0.0264797507788162,0.195956454121306,0.192733017377567,0.0664605873261206,0.874799357945425,0.998427672955975,0.851393188854489,0.649452269170579,0.197749196141479,0.0367534456355283,0.658615136876006,0.0511627906976744,0.0458715596330275,0.234472049689441,0.0707692307692308,0.843260188087774,0.0647249190938511,0.0354391371340524,0.0289193302891933,0.0543478260869565
"6",0.0880913539967374,0.246231155778894,0.252059308072488,0.2833607907743,0.632423756019262,1,0.103389830508475,0.088628762541806,0.0821256038647343,0.0883333333333333,0.00819672131147541,0.0205479452054795,0.275526742301459,0.429292929292929,0.519198664440735,0.411764705882353,0.26465661641541,0.0100671140939597,0.232899022801303,0.324137931034483,0.153333333333333,0.157556270096463,0.0230263157894737,0.270491803278689,0.437086092715232,0.209183673469388,0.157453936348409,0.108910891089109,0.157453936348409
"7",0,0.818181818181818,0,0,0.0161030595813204,0.103389830508475,1,1,0.998381877022654,0.998322147651007,0,0,0.799019607843137,0.0067911714770798,0.0367278797996661,0.113144758735441,0,0,0.8496,0,0.912396694214876,0.92948717948718,0,0.783653846153846,0.133443163097199,0.841567291311755,0.926470588235294,0.98531810766721,0.877450980392157
"8",0,0.835218093699515,0,0,0.0284810126582278,0.088628762541806,1,1,1,0.996763754045307,0,0,0.820063694267516,0.00674536256323777,0.0528925619834711,0.137318255250404,0,0,0.864864864864865,0,0.913539967373573,0.921725239616613,0,0.799368088467615,0.151565074135091,0.848993288590604,0.941841680129241,0.982229402261712,0.880327868852459
"9",0,0.844094488188976,0,0,0.0317220543806647,0.0821256038647343,0.998381877022654,1,1,0.996815286624204,0,0,0.809597523219814,0.00975609756097561,0.0514820592823713,0.12888198757764,0,0,0.846860643185299,0,0.9234375,0.933125972006221,0,0.795698924731183,0.142405063291139,0.856230031948882,0.9265625,0.979813664596273,0.894409937888199
"10",0,0.854337152209493,0,0,0.0264797507788162,0.0883333333333333,0.998322147651007,0.996763754045307,0.996815286624204,1,0,0,0.83147853736089,0.00825082508250825,0.045,0.12012987012987,0,0,0.864649681528662,0,0.920195439739414,0.929133858267717,0,0.807631160572337,0.130794701986755,0.868770764119601,0.935749588138385,0.98389694041868,0.897226753670473
