"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.885220125786163,0.167202572347267,0.00453172205438067,0,0,0,0,0,0.848998459167951,0.869230769230769,0,0.116013071895425,0,0.0922330097087379,0.220257234726688,0.870514820592824,0,0.270606531881804,0,0,1,0,0.0759493670886076,0,0,0,0
"2",0,1,0,0,0,0.0110759493670886,0.250798722044728,0.235015772870662,0.251207729468599,0.275752773375594,0,0,1,0,0,0,0,0,1,0,0.270627062706271,0.184251968503937,0,0.993537964458804,0,0.838050314465409,0.982594936708861,0.282051282051282,0.836304700162075
"3",0.885220125786163,0,1,0.0322061191626409,0,0.00474683544303797,0,0,0,0,0.987240829346092,0.987616099071207,0,0.00333889816360601,0.00475435816164818,0.0016366612111293,0.0846905537459283,0.988958990536278,0,0.110764430577223,0,0,0.992101105845182,0,0,0,0,0,0
"4",0.167202572347267,0,0.0322061191626409,1,0.103448275862069,0,0,0,0,0,0.0191693290734824,0.0206022187004754,0,0.947098976109215,0.171799027552674,0.901830282861897,1,0.017741935483871,0,1,0,0,0.0343137254901961,0,0.830645161290323,0,0,0,0
"5",0.00453172205438067,0,0,0.103448275862069,1,0.47166921898928,0,0,0,0,0,0,0,0.220285261489699,1,0.14375,0.128930817610063,0,0,0.0848484848484849,0,0,0,0,0.270353302611367,0,0,0,0
"6",0,0.0110759493670886,0.00474683544303797,0,0.47166921898928,1,0,0,0,0,0,0,0.00969305331179321,0,0.344992050874404,0,0,0,0.0032258064516129,0,0,0,0,0.00165562913907285,0.0143312101910828,0.00473186119873817,0.00958466453674121,0,0
"7",0,0.250798722044728,0,0,0,0,1,1,1,1,0,0,0.265676567656766,0,0,0,0,0,0.258169934640523,0,0.765494137353434,0.814285714285714,0,0.160596026490066,0,0.287781350482315,0.305958132045089,0.978547854785479,0.298360655737705
"8",0,0.235015772870662,0,0,0,0,1,1,1,1,0,0,0.251207729468599,0,0,0,0,0,0.254807692307692,0,0.713576158940397,0.786392405063291,0,0.132045088566828,0,0.221350078492936,0.309636650868878,0.92741935483871,0.216748768472906
"9",0,0.251207729468599,0,0,0,0,1,1,1,1,0,0,0.259075907590759,0,0,0,0,0,0.251655629139073,0,0.721753794266442,0.785947712418301,0,0.163430420711974,0,0.263843648208469,0.3232,0.924092409240924,0.252059308072488
"10",0,0.275752773375594,0,0,0,0,1,1,1,1,0,0,0.287758346581876,0,0,0,0,0,0.286392405063291,0,0.741350906095552,0.801901743264659,0,0.181523500810373,0,0.306581059390048,0.332268370607029,0.936170212765957,0.309951060358891
"11",0.848998459167951,0,0.987240829346092,0.0191693290734824,0,0,0,0,0,0,1,1,0,0.00163934426229508,0,0,0.0684713375796178,1,0,0.0982839313572543,0,0,0.995253164556962,0,0,0,0,0,0
"12",0.869230769230769,0,0.987616099071207,0.0206022187004754,0,0,0,0,0,0,1,1,0,0.00161030595813205,0,0,0.0684713375796178,1,0,0.101823708206687,0,0,0.995341614906832,0,0,0,0,0,0
"13",0,1,0,0,0,0.00969305331179321,0.265676567656766,0.251207729468599,0.259075907590759,0.287758346581876,0,0,1,0,0,0,0,0,1,0,0.233552631578947,0.123355263157895,0,0.983606557377049,0,0.808544303797468,0.99184339314845,0.278606965174129,0.816831683168317
"14",0.116013071895425,0,0.00333889816360601,0.947098976109215,0.220285261489699,0,0,0,0,0,0.00163934426229508,0.00161030595813205,0,1,0.330049261083744,0.981818181818182,0.913412563667233,0,0,0.872964169381108,0,0,0.0033003300330033,0,0.978723404255319,0,0,0,0
"15",0,0,0.00475435816164818,0.171799027552674,1,0.344992050874404,0,0,0,0,0,0,0,0.330049261083744,1,0.286168521462639,0.145833333333333,0,0,0.1201248049922,0,0,0,0,0.37245696400626,0,0,0,0
"16",0.0922330097087379,0,0.0016366612111293,0.901830282861897,0.14375,0,0,0,0,0,0,0,0,0.981818181818182,0.286168521462639,1,0.846410684474123,0,0,0.8208,0,0,0.00163398692810458,0,1,0,0,0,0
"17",0.220257234726688,0,0.0846905537459283,1,0.128930817610063,0,0,0,0,0,0.0684713375796178,0.0684713375796178,0,0.913412563667233,0.145833333333333,0.846410684474123,1,0.0562700964630225,0,0.996774193548387,0,0,0.0882352941176471,0,0.792,0,0,0,0
"18",0.870514820592824,0,0.988958990536278,0.017741935483871,0,0,0,0,0,0,1,1,0,0,0,0,0.0562700964630225,1,0,0.0958268933539413,0,0,0.995245641838352,0,0,0,0,0,0
"19",0,1,0,0,0,0.0032258064516129,0.258169934640523,0.254807692307692,0.251655629139073,0.286392405063291,0,0,1,0,0,0,0,0,1,0,0.254152823920266,0.159016393442623,0,0.986991869918699,0,0.835526315789474,0.986991869918699,0.293624161073825,0.8369384359401
"20",0.270606531881804,0,0.110764430577223,1,0.0848484848484849,0,0,0,0,0,0.0982839313572543,0.101823708206687,0,0.872964169381108,0.1201248049922,0.8208,0.996774193548387,0.0958268933539413,0,1,0,0,0.117647058823529,0,0.759375,0,0,0,0
"21",0,0.270627062706271,0,0,0,0,0.765494137353434,0.713576158940397,0.721753794266442,0.741350906095552,0,0,0.233552631578947,0,0,0,0,0,0.254152823920266,0,1,1,0,0.297800338409475,0,0.46875,0.231028667790894,0.873096446700508,0.529510961214165
"22",0,0.184251968503937,0,0,0,0,0.814285714285714,0.786392405063291,0.785947712418301,0.801901743264659,0,0,0.123355263157895,0,0,0,0,0,0.159016393442623,0,1,1,0,0.169381107491857,0,0.360258481421648,0.139802631578947,0.88130081300813,0.407960199004975
"23",1,0,0.992101105845182,0.0343137254901961,0,0,0,0,0,0,0.995253164556962,0.995341614906832,0,0.0033003300330033,0,0.00163398692810458,0.0882352941176471,0.995245641838352,0,0.117647058823529,0,0,1,0,0,0,0,0,0
"24",0,0.993537964458804,0,0,0,0.00165562913907285,0.160596026490066,0.132045088566828,0.163430420711974,0.181523500810373,0,0,0.983606557377049,0,0,0,0,0,0.986991869918699,0,0.297800338409475,0.169381107491857,0,1,0,0.934083601286174,0.960848287112561,0.218855218855219,0.966216216216216
"25",0.0759493670886076,0,0,0.830645161290323,0.270353302611367,0.0143312101910828,0,0,0,0,0,0,0,0.978723404255319,0.37245696400626,1,0.792,0,0,0.759375,0,0,0,0,1,0,0,0,0
"26",0,0.838050314465409,0,0,0,0.00473186119873817,0.287781350482315,0.221350078492936,0.263843648208469,0.306581059390048,0,0,0.808544303797468,0,0,0,0,0,0.835526315789474,0,0.46875,0.360258481421648,0,0.934083601286174,0,1,0.768503937007874,0.357827476038339,1
"27",0,0.982594936708861,0,0,0,0.00958466453674121,0.305958132045089,0.309636650868878,0.3232,0.332268370607029,0,0,0.99184339314845,0,0,0,0,0,0.986991869918699,0,0.231028667790894,0.139802631578947,0,0.960848287112561,0,0.768503937007874,1,0.294585987261146,0.773026315789474
"28",0,0.282051282051282,0,0,0,0,0.978547854785479,0.92741935483871,0.924092409240924,0.936170212765957,0,0,0.278606965174129,0,0,0,0,0,0.293624161073825,0,0.873096446700508,0.88130081300813,0,0.218855218855219,0,0.357827476038339,0.294585987261146,1,0.380234505862647
