"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.924528301886792,0.577170418006431,0,0.04858934169279,0,0,0,0,0.970724191063174,0.970769230769231,0,0.011437908496732,0,0.0113268608414239,0.472668810289389,0.970358814352574,0,0.979782270606532,0,0,1,0,0,0,0,0,0
"2",0,1,0,0,0.0075187969924812,0.204113924050633,0.325878594249201,0.301261829652997,0.276972624798712,0.429477020602219,0,0,0.939102564102564,0,0,0,0,0,0.941463414634146,0,0.453795379537954,0.458267716535433,0,0.936995153473344,0.00470957613814757,0.949685534591195,0.92879746835443,0.754807692307692,0.555915721231767
"3",0.924528301886792,0,1,0.51207729468599,0.0231481481481481,0.112341772151899,0,0,0,0,0.96969696969697,0.962848297213622,0,0.013355592654424,0.03486529318542,0.0212765957446809,0.472312703583062,0.990536277602524,0,0.840873634945398,0,0,0.919431279620853,0,0.0205371248025276,0,0,0,0
"4",0.577170418006431,0,0.51207729468599,1,0.258620689655172,0.21078431372549,0,0,0,0,0.512779552715655,0.530903328050713,0,0.453924914675768,0.252836304700162,0.440931780366057,1,0.535483870967742,0,0.765751211631664,0,0,0.588235294117647,0,0.348387096774194,0,0,0,0
"5",0,0.0075187969924812,0.0231481481481481,0.258620689655172,1,0.872894333843798,0,0,0,0,0,0,0.0093167701863354,0.887480190174326,0.970948012232416,0.7953125,0.317610062893082,0,0.0062402496099844,0.0484848484848485,0,0,0.0107361963190184,0.00470957613814757,0.837173579109063,0.00153139356814701,0.00930232558139535,0.00156494522691706,0
"6",0.04858934169279,0.204113924050633,0.112341772151899,0.21078431372549,0.872894333843798,1,0.0111464968152866,0.0140845070422535,0.0113085621970921,0.0126782884310618,0.0314465408805031,0.0506912442396313,0.208400646203554,0.56953642384106,0.667726550079491,0.540584415584416,0.258169934640523,0.0360501567398119,0.170967741935484,0.111975116640746,0.0282392026578073,0.0302547770700637,0.0670826833073323,0.165562913907285,0.546178343949045,0.141955835962145,0.207667731629393,0.0694668820678514,0.0273311897106109
"7",0,0.325878594249201,0,0,0,0.0111464968152866,1,0.998412698412698,0.998360655737705,0.929245283018868,0,0,0.285478547854785,0,0,0,0,0,0.264705882352941,0,0.542713567839196,0.582539682539683,0,0.205298013245033,0.00487012987012987,0.451768488745981,0.309178743961353,0.602310231023102,0.79672131147541
"8",0,0.301261829652997,0,0,0,0.0140845070422535,0.998412698412698,1,1,0.919175911251981,0,0,0.276972624798712,0,0,0,0,0,0.25,0,0.445364238410596,0.5,0,0.190016103059581,0.00473186119873817,0.392464678178964,0.303317535545024,0.506451612903226,0.748768472906404
"9",0,0.276972624798712,0,0,0,0.0113085621970921,0.998360655737705,1,1,0.916118421052632,0,0,0.227722772277228,0,0,0,0,0,0.185430463576159,0,0.48397976391231,0.531045751633987,0,0.145631067961165,0.00487012987012987,0.368078175895765,0.248,0.478547854785479,0.742998352553542
"10",0,0.429477020602219,0,0,0,0.0126782884310618,0.929245283018868,0.919175911251981,0.916118421052632,1,0,0,0.343402225755167,0,0,0,0,0,0.335443037974684,0,0.650741350906096,0.66877971473851,0,0.304700162074554,0,0.565008025682183,0.361022364217252,0.693944353518822,1
"11",0.970724191063174,0,0.96969696969697,0.512779552715655,0,0.0314465408805031,0,0,0,0,1,1,0,0.00655737704918033,0,0.0048,0.43312101910828,1,0,0.8798751950078,0,0,0.955696202531646,0,0,0,0,0,0
"12",0.970769230769231,0,0.962848297213622,0.530903328050713,0,0.0506912442396313,0,0,0,0,1,1,0,0.00805152979066022,0,0.00635930047694754,0.471337579617834,1,0,0.879939209726444,0,0,0.956521739130435,0,0,0,0,0,0
"13",0,0.939102564102564,0,0,0.0093167701863354,0.208400646203554,0.285478547854785,0.276972624798712,0.227722772277228,0.343402225755167,0,0,1,0,0,0,0,0,1,0,0.361842105263158,0.305921052631579,0,1,0.00321027287319422,0.780063291139241,1,0.597014925373134,0.445544554455446
"14",0.011437908496732,0,0.013355592654424,0.453924914675768,0.887480190174326,0.56953642384106,0,0,0,0,0.00655737704918033,0.00805152979066022,0,1,1,0.968595041322314,0.555178268251273,0.00488599348534202,0,0.0602605863192182,0,0,0.0264026402640264,0,0.959083469721768,0,0.00327332242225859,0,0
"15",0,0,0.03486529318542,0.252836304700162,0.970948012232416,0.667726550079491,0,0,0,0,0,0,0,1,1,0.901430842607313,0.355769230769231,0,0,0.0234009360374415,0,0,0,0,0.912363067292645,0,0.00312989045383412,0,0
"16",0.0113268608414239,0,0.0212765957446809,0.440931780366057,0.7953125,0.540584415584416,0,0,0,0,0.0048,0.00635930047694754,0,0.968595041322314,0.901430842607313,1,0.507512520868113,0.00480769230769231,0,0.08,0,0,0.0212418300653595,0,1,0,0,0,0
"17",0.472668810289389,0,0.472312703583062,1,0.317610062893082,0.258169934640523,0,0,0,0,0.43312101910828,0.471337579617834,0,0.555178268251273,0.355769230769231,0.507512520868113,1,0.469453376205788,0,0.638709677419355,0,0,0.532679738562091,0,0.4144,0,0,0,0
"18",0.970358814352574,0,0.990536277602524,0.535483870967742,0,0.0360501567398119,0,0,0,0,1,1,0,0.00488599348534202,0,0.00480769230769231,0.469453376205788,1,0,0.874806800618238,0,0,0.955625990491284,0,0,0,0,0,0
"19",0,0.941463414634146,0,0,0.0062402496099844,0.170967741935484,0.264705882352941,0.25,0.185430463576159,0.335443037974684,0,0,1,0,0,0,0,0,1,0,0.372093023255814,0.319672131147541,0,1,0.0048780487804878,0.814144736842105,1,0.635906040268456,0.445923460898502
"20",0.979782270606532,0,0.840873634945398,0.765751211631664,0.0484848484848485,0.111975116640746,0,0,0,0,0.8798751950078,0.879939209726444,0,0.0602605863192182,0.0234009360374415,0.08,0.638709677419355,0.874806800618238,0,1,0,0,0.962848297213622,0,0.0625,0,0,0,0
"21",0,0.453795379537954,0,0,0,0.0282392026578073,0.542713567839196,0.445364238410596,0.48397976391231,0.650741350906096,0,0,0.361842105263158,0,0,0,0,0,0.372093023255814,0,1,1,0,0.456852791878173,0,0.620065789473684,0.359190556492411,0.769881556683587,0.782462057335582
"22",0,0.458267716535433,0,0,0,0.0302547770700637,0.582539682539683,0.5,0.531045751633987,0.66877971473851,0,0,0.305921052631579,0,0,0,0,0,0.319672131147541,0,1,1,0,0.412052117263844,0,0.62843295638126,0.325657894736842,0.778861788617886,0.7893864013267
"23",1,0,0.919431279620853,0.588235294117647,0.0107361963190184,0.0670826833073323,0,0,0,0,0.955696202531646,0.956521739130435,0,0.0264026402640264,0,0.0212418300653595,0.532679738562091,0.955625990491284,0,0.962848297213622,0,0,1,0,0.0190779014308426,0,0,0,0
"24",0,0.936995153473344,0,0,0.00470957613814757,0.165562913907285,0.205298013245033,0.190016103059581,0.145631067961165,0.304700162074554,0,0,1,0,0,0,0,0,1,0,0.456852791878173,0.412052117263844,0,1,0.00327868852459016,0.829581993569132,0.98694942903752,0.688552188552189,0.449324324324324
"25",0,0.00470957613814757,0.0205371248025276,0.348387096774194,0.837173579109063,0.546178343949045,0.00487012987012987,0.00473186119873817,0.00487012987012987,0,0,0,0.00321027287319422,0.959083469721768,0.912363067292645,1,0.4144,0,0.0048780487804878,0.0625,0,0,0.0190779014308426,0.00327868852459016,1,0.00315457413249211,0.0175438596491228,0.00486223662884927,0
"26",0,0.949685534591195,0,0,0.00153139356814701,0.141955835962145,0.451768488745981,0.392464678178964,0.368078175895765,0.565008025682183,0,0,0.780063291139241,0,0,0,0,0,0.814144736842105,0,0.620065789473684,0.62843295638126,0,0.829581993569132,0.00315457413249211,1,0.766929133858268,0.89297124600639,0.731078904991948
"27",0,0.92879746835443,0,0,0.00930232558139535,0.207667731629393,0.309178743961353,0.303317535545024,0.248,0.361022364217252,0,0,1,0.00327332242225859,0.00312989045383412,0,0,0,1,0,0.359190556492411,0.325657894736842,0,0.98694942903752,0.0175438596491228,0.766929133858268,1,0.616242038216561,0.458881578947368
"28",0,0.754807692307692,0,0,0.00156494522691706,0.0694668820678514,0.602310231023102,0.506451612903226,0.478547854785479,0.693944353518822,0,0,0.597014925373134,0,0,0,0,0,0.635906040268456,0,0.769881556683587,0.778861788617886,0,0.688552188552189,0.00486223662884927,0.89297124600639,0.616242038216561,1,0.822445561139028
"29",0,0.555915721231767,0,0,0,0.0273311897106109,0.79672131147541,0.748768472906404,0.742998352553542,1,0,0,0.445544554455446,0,0,0,0,0,0.445923460898502,0,0.782462057335582,0.7893864013267,0,0.449324324324324,0,0.731078904991948,0.458881578947368,0.822445561139028,1
