"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.99537037037037,0.627906976744186,0.280060882800609,0.0244698205546493,0,0,0,0,0.979655712050078,0.982200647249191,0,0.337641357027464,0.292452830188679,0.27613104524181,0.661514683153014,0.980922098569157,0,0.67205169628433,0,0,1,0,0.225239616613419,0,0,0,0
"2",0,1,0,0,0.0263157894736842,0.587939698492462,0.745454545454545,0.749596122778675,0.751181102362205,0.762684124386252,0,0,0.995245641838352,0,0.0048780487804878,0.0242718446601942,0,0,0.990668740279938,0,0.767255216693419,0.742902208201893,0,0.984251968503937,0.0595813204508857,0.864774624373957,0.967373572593801,0.751612903225806,0.797427652733119
"3",0.99537037037037,0,1,0.603100775193798,0.28125,0.0411861614497529,0,0,0,0,0.968152866242038,0.969155844155844,0,0.342668863261944,0.291935483870968,0.272151898734177,0.642633228840125,0.971061093247588,0,0.644951140065147,0,0,0.992025518341308,0,0.222042139384117,0,0,0,0
"4",0.627906976744186,0,0.603100775193798,1,0.682170542635659,0.171334431630972,0,0,0,0,0.571428571428571,0.571884984025559,0,0.78921568627451,0.669856459330144,0.711388455538221,1,0.528753993610224,0,0.980891719745223,0,0,0.5953125,0,0.656,0,0,0,0
"5",0.280060882800609,0.0263157894736842,0.28125,0.682170542635659,1,0.476725521669342,0,0,0,0,0.247278382581649,0.263823064770932,0.0262751159196291,0.969502407704655,1,0.96594427244582,0.635367762128325,0.231511254019293,0.0260336906584992,0.636070853462158,0.00155038759689922,0.00152905198776758,0.290372670807453,0.02,0.956112852664577,0.00161812297734628,0.0215716486902928,0,0.0015527950310559
"6",0.0244698205546493,0.587939698492462,0.0411861614497529,0.171334431630972,0.476725521669342,1,0.311864406779661,0.331103678929766,0.342995169082126,0.313333333333333,0.00655737704918033,0.011986301369863,0.60129659643436,0.306397306397306,0.393989983305509,0.401680672268908,0.190954773869347,0.00671140939597315,0.578175895765472,0.248275862068966,0.313333333333333,0.297427652733119,0.0213815789473684,0.513114754098361,0.420529801324503,0.406462585034014,0.541038525963149,0.316831683168317,0.289782244556114
"7",0,0.745454545454545,0,0,0,0.311864406779661,1,0.986666666666667,0.985436893203884,0.996644295302013,0,0,0.736928104575163,0,0.00166944908180301,0.0133111480865225,0,0,0.7392,0,0.909090909090909,0.92948717948718,0,0.730769230769231,0.0115321252059308,0.819420783645656,0.776143790849673,0.955954323001631,0.874183006535948
"8",0,0.749596122778675,0,0,0,0.331103678929766,0.986666666666667,1,1,0.988673139158576,0,0,0.748407643312102,0,0.00495867768595041,0.0290791599353796,0,0,0.745627980922099,0,0.884176182707993,0.907348242811502,0,0.726698262243286,0.0247116968698517,0.791946308724832,0.801292407108239,0.936995153473344,0.850819672131148
"9",0,0.751181102362205,0,0,0,0.342995169082126,0.985436893203884,1,1,0.988853503184713,0,0,0.743034055727554,0,0.0062402496099844,0.0279503105590062,0,0,0.735068912710567,0,0.9,0.920684292379471,0,0.726574500768049,0.0253164556962025,0.801916932907348,0.8015625,0.947204968944099,0.860248447204969
"10",0,0.762684124386252,0,0,0,0.313333333333333,0.996644295302013,0.988673139158576,0.988853503184713,1,0,0,0.756756756756757,0,0,0.0113636363636364,0,0,0.754777070063694,0,0.90228013029316,0.921259842519685,0,0.739268680445151,0.00993377483443709,0.823920265780731,0.794069192751236,0.946859903381642,0.892332789559543
