"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.29874213836478,0.432475884244373,0,0.122257053291536,0,0,0,0,0.432973805855162,0.444615384615385,0,0.0326797385620915,0,0.0113268608414239,0.448553054662379,0.49609984399376,0,0.836702954898911,0,0,1,0,0,0,0,0,0
"2",0,1,0.00158227848101266,0,0.00150375939849624,0.0142405063291139,0.0878594249201278,0.00315457413249211,0.00483091787439614,0.01743264659271,0,0,1,0,0,0,0,0,0.640650406504065,0,0.0891089108910891,0.0740157480314961,0,0.98546042003231,0.0204081632653061,0.712264150943396,0.552215189873418,0.288461538461538,0.784440842787682
"3",0.29874213836478,0.00158227848101266,1,0.037037037037037,0.231481481481481,0.912974683544304,0,0,0,0,0.215311004784689,0.159442724458204,0,0.00834724540901502,0.0649762282091918,0,0.144951140065147,0.304416403785489,0,0.234009360374415,0,0,0.333333333333333,0,0.00315955766192733,0,0,0.00324675324675325,0
"4",0.432475884244373,0,0.037037037037037,1,0.00470219435736677,0.0130718954248366,0,0,0,0,0.0447284345047923,0.0618066561014263,0,0.232081911262799,0.0129659643435981,0.274542429284526,1,0.0403225806451613,0,0.736672051696284,0,0,0.287581699346405,0,0.0516129032258065,0,0,0,0
"5",0,0.00150375939849624,0.231481481481481,0.00470219435736677,1,0.303215926493109,0,0,0,0,0.0045662100456621,0,0,0.782884310618067,1,0,0,0.00457317073170732,0,0.00303030303030303,0,0,0,0,0.0368663594470046,0,0.00155038759689922,0,0
"6",0.122257053291536,0.0142405063291139,0.912974683544304,0.0130718954248366,0.303215926493109,1,0.00159235668789809,0,0,0,0.0534591194968553,0.0522273425499232,0.00969305331179321,0.0281456953642384,0.116057233704293,0.0146103896103896,0.0833333333333333,0.115987460815047,0.00161290322580645,0.143079315707621,0,0,0.162246489859594,0.0033112582781457,0.0159235668789809,0.00946372239747634,0.0111821086261981,0.00646203554119548,0.00482315112540193
"7",0,0.0878594249201278,0,0,0,0.00159235668789809,1,0.595238095238095,0.581967213114754,0.627358490566038,0,0,0.099009900990099,0,0,0,0,0,0.199346405228758,0,0.0536013400335008,0.125396825396825,0,0.0943708609271523,0.00324675324675325,0.247588424437299,0.251207729468599,0.833333333333333,0.183606557377049
"8",0,0.00315457413249211,0,0,0,0,0.595238095238095,1,1,1,0,0,0.00805152979066022,0,0,0,0,0,0.0496794871794872,0,0.00165562913907285,0.0316455696202532,0,0.00161030595813205,0,0.0125588697017268,0.0837282780410742,0.288709677419355,0.0164203612479475
"9",0,0.00483091787439614,0,0,0,0,0.581967213114754,1,1,1,0,0,0,0,0,0,0,0,0.0480132450331126,0,0.00337268128161889,0.0245098039215686,0,0.00161812297734628,0,0.00488599348534202,0.0864,0.275577557755776,0.00988467874794069
"10",0,0.01743264659271,0,0,0,0,0.627358490566038,1,1,1,0,0,0.014308426073132,0,0,0,0,0,0.055379746835443,0,0.00494233937397035,0.0301109350237718,0,0.0129659643435981,0,0.0465489566613162,0.0830670926517572,0.261865793780687,0.0587275693311582
"11",0.432973805855162,0,0.215311004784689,0.0447284345047923,0.0045662100456621,0.0534591194968553,0,0,0,0,1,1,0,0,0,0,0.0429936305732484,1,0,0.148205928237129,0,0,0.57120253164557,0,0,0,0,0,0
"12",0.444615384615385,0,0.159442724458204,0.0618066561014263,0,0.0522273425499232,0,0,0,0,1,1,0,0,0,0,0.0636942675159236,1,0,0.130699088145897,0,0,0.582298136645963,0,0,0,0,0,0
"13",0,1,0,0,0,0.00969305331179321,0.099009900990099,0.00805152979066022,0,0.014308426073132,0,0,1,0,0,0,0,0,0.788870703764321,0,0.0526315789473684,0.00657894736842105,0,0.965573770491803,0.0545746388443018,0.617088607594937,0.732463295269168,0.281923714759536,0.673267326732673
"14",0.0326797385620915,0,0.00834724540901502,0.232081911262799,0.782884310618067,0.0281456953642384,0,0,0,0,0,0,0,1,1,0.109090909090909,0.234295415959253,0.00162866449511401,0,0.0423452768729642,0,0,0.00825082508250825,0,0.106382978723404,0,0,0,0
