"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.929245283018868,0.808681672025723,0.0664652567975831,0,0,0,0,0,0.103235747303544,0.169230769230769,0,0.138888888888889,0.0295489891135303,0.262135922330097,0.721864951768489,0.185647425897036,0,0.914463452566096,0,0,1,0,0.129746835443038,0,0,0,0
"2",0,1,0,0,0,0,0.691693290734824,0.689274447949527,0.698872785829308,0.729001584786054,0,0,0.759615384615385,0,0,0.00483091787439614,0,0,0.728455284552846,0,0.871287128712871,0.877165354330709,0,0.773828756058158,0.0313971742543171,1,0.685126582278481,0.783653846153846,1
"3",0.929245283018868,0,1,0.65378421900161,0.169753086419753,0.00158227848101266,0,0,0,0,0.0988835725677831,0.19969040247678,0,0.148580968280467,0.0760697305863708,0.211129296235679,0.592833876221498,0.222397476340694,0,0.745709828393136,0,0,0.908372827804107,0,0.118483412322275,0,0,0,0
"4",0.808681672025723,0,0.65378421900161,1,0.163009404388715,0,0,0,0,0,0.0255591054313099,0.0475435816164818,0,0.303754266211604,0.0940032414910859,0.545757071547421,1,0.0564516129032258,0,0.920840064620355,0,0,0.684640522875817,0,0.370967741935484,0,0,0,0
"5",0.0664652567975831,0,0.169753086419753,0.163009404388715,1,0.00459418070444104,0,0.00152671755725191,0.00157232704402516,0,0,0,0,0.87797147385103,1,0.546875,0.224842767295597,0,0,0.0893939393939394,0,0,0.0352760736196319,0,0.660522273425499,0,0,0,0
"6",0,0,0.00158227848101266,0,0.00459418070444104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0.691693290734824,0,0,0,0,1,1,1,1,0,0,0.599009900990099,0,0,0.0033112582781457,0,0,0.656862745098039,0,0.773869346733668,0.8,0,0.567880794701987,0.0422077922077922,0.688102893890675,0.763285024154589,0.97029702970297,0.739344262295082
"8",0,0.689274447949527,0,0,0.00152671755725191,0,1,1,1,1,0,0,0.5829307568438,0.00164744645799012,0.0015600624024961,0.0180327868852459,0,0,0.642628205128205,0,0.768211920529801,0.79746835443038,0,0.547504025764895,0.0662460567823344,0.684458398744113,0.764612954186414,0.951612903225806,0.724137931034483
"9",0,0.698872785829308,0,0,0.00157232704402516,0,1,1,1,1,0,0,0.557755775577558,0.00167224080267559,0.00159235668789809,0.0186125211505922,0,0,0.617549668874172,0,0.790893760539629,0.815359477124183,0,0.532362459546926,0.0633116883116883,0.687296416938111,0.7568,0.95049504950495,0.742998352553542
"10",0,0.729001584786054,0,0,0,0,1,1,1,1,0,0,0.588235294117647,0,0,0,0,0,0.643987341772152,0,0.803953871499176,0.835182250396197,0,0.559157212317666,0.0415335463258786,0.731942215088282,0.717252396166134,0.972176759410802,0.776508972267537
"11",0.103235747303544,0,0.0988835725677831,0.0255591054313099,0,0,0,0,0,0,1,1,0,0,0,0,0.0191082802547771,1,0,0.0390015600624025,0,0,0.205696202531646,0,0,0,0,0,0
