"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0.0315955766192733,1,1,0.726027397260274,0.127243066884176,0.0415335463258786,0.0370967741935484,0.0367534456355283,0.035426731078905,1,1,0.0294573643410853,0.980613893376414,0.70125786163522,0.670826833073323,1,1,0.0311526479750779,1,0.0361067503924647,0.0356589147286822,1,0.0397553516819572,0.535143769968051,0.0258481421647819,0.0361635220125786,0.0342679127725857,0.0330708661417323
"2",0.0315955766192733,1,0.034257748776509,0.035031847133758,0.284829721362229,0.798994974874372,1,1,1,1,0.0268987341772152,0.03125,1,0.0497512437810945,0.31219512195122,0.344660194174757,0.036741214057508,0.0261437908496732,1,0.03,1,1,0.0373376623376623,1,0.463768115942029,1,1,1,1
"3",1,0.034257748776509,1,1,0.76875,0.191103789126853,0.0426229508196721,0.0344262295081967,0.0385208012326656,0.0384,1,1,0.0280811232449298,0.983525535420099,0.740322580645161,0.712025316455696,1,1,0.0345911949685535,0.998371335504886,0.0396196513470681,0.0361635220125786,1,0.0393081761006289,0.589951377633712,0.0308441558441558,0.0383386581469649,0.0365659777424483,0.0361067503924647
"4",1,0.035031847133758,1,1,0.762790697674419,0.133443163097199,0.0436893203883495,0.0337078651685393,0.038109756097561,0.0366826156299841,0.998447204968944,0.998402555910543,0.028125,0.993464052287582,0.735247208931419,0.722308892355694,1,0.998402555910543,0.0335365853658537,1,0.0421216848673947,0.0388198757763975,0.9984375,0.0416024653312789,0.5888,0.0300500834724541,0.0390015600624025,0.0386398763523957,0.03486529318542
"5",0.726027397260274,0.284829721362229,0.76875,0.762790697674419,1,0.463884430176565,0.285024154589372,0.275316455696203,0.287009063444109,0.277258566978193,0.704510108864697,0.71563981042654,0.253477588871716,0.829855537720706,1,0.93343653250774,0.751173708920188,0.721864951768489,0.261868300153139,0.761674718196457,0.271317829457364,0.267584097859327,0.728260869565217,0.266153846153846,0.858934169278997,0.283171521035599,0.283513097072419,0.270928462709285,0.263975155279503
"6",0.127243066884176,0.798994974874372,0.191103789126853,0.133443163097199,0.463884430176565,1,0.757627118644068,0.764214046822743,0.766505636070853,0.751666666666667,0.111475409836066,0.131849315068493,0.79902755267423,0.203703703703704,0.447412353923205,0.484033613445378,0.14572864321608,0.145973154362416,0.781758957654723,0.182758620689655,0.77,0.771704180064309,0.159539473684211,0.788524590163934,0.594370860927152,0.780612244897959,0.777219430485762,0.773927392739274,0.747068676716918
"7",0.0415335463258786,1,0.0426229508196721,0.0436893203883495,0.285024154589372,0.757627118644068,1,1,1,1,0.0372168284789644,0.0366056572379368,1,0.0594227504244482,0.300500834724541,0.354409317803661,0.042483660130719,0.0332225913621262,1,0.0301507537688442,1,1,0.0447019867549669,1,0.476112026359143,1,1,1,1
"8",0.0370967741935484,1,0.0344262295081967,0.0337078651685393,0.275316455696203,0.764214046822743,1,1,1,1,0.0286168521462639,0.0266222961730449,1,0.0489038785834739,0.300826446280992,0.340872374798061,0.034257748776509,0.0230642504118616,1,0.0277777777777778,1,1,0.0358890701468189,1,0.461285008237232,1,1,1,1
"9",0.0367534456355283,1,0.0385208012326656,0.038109756097561,0.287009063444109,0.766505636070853,1,1,1,1,0.0336906584992343,0.0338164251207729,1,0.0569105691056911,0.318252730109204,0.352484472049689,0.040625,0.028436018957346,1,0.0272,1,1,0.0391236306729265,1,0.46993670886076,1,1,1,1
"10",0.035426731078905,1,0.0384,0.0366826156299841,0.277258566978193,0.751666666666667,1,1,1,1,0.0301109350237718,0.0328407224958949,1,0.0478547854785479,0.303333333333333,0.334415584415584,0.0355411954765751,0.025974025974026,1,0.0280528052805281,1,1,0.0372771474878444,1,0.447019867549669,1,1,1,1
"11",1,0.0268987341772152,1,0.998447204968944,0.704510108864697,0.111475409836066,0.0372168284789644,0.0286168521462639,0.0336906584992343,0.0301109350237718,1,1,0.0251968503937008,0.975688816855754,0.673667205169628,0.634920634920635,0.998435054773083,1,0.0278637770897833,0.996732026143791,0.0334928229665072,0.031496062992126,1,0.0325581395348837,0.495987158908507,0.0257234726688103,0.0332805071315372,0.0331230283911672,0.0315457413249211
"12",1,0.03125,1,0.998402555910543,0.71563981042654,0.131849315068493,0.0366056572379368,0.0266222961730449,0.0338164251207729,0.0328407224958949,1,1,0.0300632911392405,0.974832214765101,0.681967213114754,0.664516129032258,0.998402555910543,1,0.0317460317460317,0.996726677577741,0.037156704361874,0.032,1,0.0355411954765751,0.524916943521595,0.0251256281407035,0.03125,0.0349761526232114,0.0342019543973941
"13",0.0294573643410853,1,0.0280811232449298,0.028125,0.253477588871716,0.79902755267423,1,1,1,1,0.0251968503937008,0.0300632911392405,1,0.0429252782193959,0.275,0.297971918876755,0.0297805642633229,0.0177993527508091,1,0.0226537216828479,1,1,0.0301109350237718,1,0.422330097087379,1,1,1,1
"14",0.980613893376414,0.0497512437810945,0.983525535420099,0.993464052287582,0.829855537720706,0.203703703703704,0.0594227504244482,0.0489038785834739,0.0569105691056911,0.0478547854785479,0.975688816855754,0.974832214765101,0.0429252782193959,1,0.796052631578947,0.760586319218241,0.99327731092437,0.975490196078431,0.0435483870967742,0.98471986417657,0.0563847429519071,0.0504065040650407,0.980295566502463,0.0531400966183575,0.638655462184874,0.0484429065743945,0.0512396694214876,0.0571895424836601,0.0545454545454545
"15",0.70125786163522,0.31219512195122,0.740322580645161,0.735247208931419,1,0.447412353923205,0.300500834724541,0.300826446280992,0.318252730109204,0.303333333333333,0.673667205169628,0.681967213114754,0.275,0.796052631578947,1,0.971337579617834,0.737179487179487,0.699346405228758,0.286614173228346,0.737704918032787,0.294975688816856,0.291600633914422,0.694174757281553,0.28391167192429,0.900326797385621,0.301666666666667,0.309446254071661,0.304975922953451,0.292134831460674
"16",0.670826833073323,0.344660194174757,0.712025316455696,0.722308892355694,0.93343653250774,0.484033613445378,0.354409317803661,0.340872374798061,0.352484472049689,0.334415584415584,0.634920634920635,0.664516129032258,0.297971918876755,0.760586319218241,0.971337579617834,1,0.714060031595577,0.66131621187801,0.329153605015674,0.717569786535304,0.328525641025641,0.3234375,0.663461538461538,0.32182103610675,0.998394863563403,0.339344262295082,0.354531001589825,0.332273449920509,0.310015898251192
"17",1,0.036741214057508,1,1,0.751173708920188,0.14572864321608,0.042483660130719,0.034257748776509,0.040625,0.0355411954765751,0.998435054773083,0.998402555910543,0.0297805642633229,0.99327731092437,0.737179487179487,0.714060031595577,1,0.998384491114701,0.0321592649310873,1,0.0393700787401575,0.0372670807453416,0.998402555910543,0.0390015600624025,0.5904,0.0277777777777778,0.0384,0.037914691943128,0.0334928229665072
"18",1,0.0261437908496732,1,0.998402555910543,0.721864951768489,0.145973154362416,0.0332225913621262,0.0230642504118616,0.028436018957346,0.025974025974026,1,1,0.0177993527508091,0.975490196078431,0.699346405228758,0.66131621187801,0.998384491114701,1,0.0285714285714286,0.996644295302013,0.0290322580645161,0.0286168521462639,1,0.0302066772655008,0.523809523809524,0.021558872305141,0.0310457516339869,0.0274636510500808,0.0245098039215686
"19",0.0311526479750779,1,0.0345911949685535,0.0335365853658537,0.261868300153139,0.781758957654723,1,1,1,1,0.0278637770897833,0.0317460317460317,1,0.0435483870967742,0.286614173228346,0.329153605015674,0.0321592649310873,0.0285714285714286,1,0.0273311897106109,1,1,0.0347551342812006,1,0.450949367088608,1,1,1,1
"20",1,0.03,0.998371335504886,1,0.761674718196457,0.182758620689655,0.0301507537688442,0.0277777777777778,0.0272,0.0280528052805281,0.996732026143791,0.996726677577741,0.0226537216828479,0.98471986417657,0.737704918032787,0.717569786535304,1,0.996644295302013,0.0273311897106109,1,0.0314569536423841,0.028892455858748,0.998347107438017,0.0271565495207668,0.599001663893511,0.0232558139534884,0.0266222961730449,0.029126213592233,0.0244299674267101
"21",0.0361067503924647,1,0.0396196513470681,0.0421216848673947,0.271317829457364,0.77,1,1,1,1,0.0334928229665072,0.037156704361874,1,0.0563847429519071,0.294975688816856,0.328525641025641,0.0393700787401575,0.0290322580645161,1,0.0314569536423841,1,1,0.0416666666666667,1,0.451876019575856,1,1,1,1
"22",0.0356589147286822,1,0.0361635220125786,0.0388198757763975,0.267584097859327,0.771704180064309,1,1,1,1,0.031496062992126,0.032,1,0.0504065040650407,0.291600633914422,0.3234375,0.0372670807453416,0.0286168521462639,1,0.028892455858748,1,1,0.0390625,1,0.434022257551669,1,1,1,1
"23",1,0.0373376623376623,1,0.9984375,0.728260869565217,0.159539473684211,0.0447019867549669,0.0358890701468189,0.0391236306729265,0.0372771474878444,1,1,0.0301109350237718,0.980295566502463,0.694174757281553,0.663461538461538,0.998402555910543,1,0.0347551342812006,0.998347107438017,0.0416666666666667,0.0390625,1,0.0410094637223975,0.546474358974359,0.0315614617940199,0.0403877221324717,0.0380952380952381,0.0380348652931854
"24",0.0397553516819572,1,0.0393081761006289,0.0416024653312789,0.266153846153846,0.788524590163934,1,1,1,1,0.0325581395348837,0.0355411954765751,1,0.0531400966183575,0.28391167192429,0.32182103610675,0.0390015600624025,0.0302066772655008,1,0.0271565495207668,1,1,0.0410094637223975,1,0.45253164556962,1,1,1,1
"25",0.535143769968051,0.463768115942029,0.589951377633712,0.5888,0.858934169278997,0.594370860927152,0.476112026359143,0.461285008237232,0.46993670886076,0.447019867549669,0.495987158908507,0.524916943521595,0.422330097087379,0.638655462184874,0.900326797385621,0.998394863563403,0.5904,0.523809523809524,0.450949367088608,0.599001663893511,0.451876019575856,0.434022257551669,0.546474358974359,0.45253164556962,1,0.454090150250417,0.476422764227642,0.460063897763578,0.432078559738134
"26",0.0258481421647819,1,0.0308441558441558,0.0300500834724541,0.283171521035599,0.780612244897959,1,1,1,1,0.0257234726688103,0.0251256281407035,1,0.0484429065743945,0.301666666666667,0.339344262295082,0.0277777777777778,0.021558872305141,1,0.0232558139534884,1,1,0.0315614617940199,1,0.454090150250417,1,1,1,1
"27",0.0361635220125786,1,0.0383386581469649,0.0390015600624025,0.283513097072419,0.777219430485762,1,1,1,1,0.0332805071315372,0.03125,1,0.0512396694214876,0.309446254071661,0.354531001589825,0.0384,0.0310457516339869,1,0.0266222961730449,1,1,0.0403877221324717,1,0.476422764227642,1,1,1,1
"28",0.0342679127725857,1,0.0365659777424483,0.0386398763523957,0.270928462709285,0.773927392739274,1,1,1,1,0.0331230283911672,0.0349761526232114,1,0.0571895424836601,0.304975922953451,0.332273449920509,0.037914691943128,0.0274636510500808,1,0.029126213592233,1,1,0.0380952380952381,1,0.460063897763578,1,1,1,1
