"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,1,1,1,0.321316614420063,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0.995253164556962,0,0,0,0
"2",0,1,0,0,0,0.669303797468354,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00313971742543171,1,0.998417721518987,1,1
"3",1,0,1,1,1,0.337025316455696,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0.995260663507109,0,0.00161290322580645,0,0
"4",1,0,1,1,1,0.352941176470588,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0.993548387096774,0,0.00161030595813205,0,0
"5",1,0,1,1,1,0.388973966309342,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
"6",0.321316614420063,0.669303797468354,0.337025316455696,0.352941176470588,0.388973966309342,1,0.668789808917197,0.676056338028169,0.668820678513732,0.667194928684628,0.331761006289308,0.324116743471582,0.678513731825525,0.213576158940397,0.1939586645469,0.347402597402597,0.334967320261438,0.310344827586207,0.683870967741935,0.331259720062208,0.6578073089701,0.670382165605096,0.335413416536661,0.670529801324503,0.288216560509554,0.70820189274448,0.693290734824281,0.65751211631664,0.657556270096463
"7",0,1,0,0,0,0.668789808917197,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00649350649350649,1,0.998389694041868,1,1
"8",0,1,0,0,0,0.676056338028169,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00630914826498423,1,0.998420221169036,1,1
"9",0,1,0,0,0,0.668820678513732,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00649350649350649,1,0.9984,1,1
"10",0,1,0,0,0,0.667194928684628,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00479233226837061,1,0.998402555910543,1,1
"11",1,0,1,1,1,0.331761006289308,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0.993610223642173,0,0.00158982511923688,0,0
"12",1,0,1,1,1,0.324116743471582,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0.993769470404984,0,0.0015748031496063,0,0
"13",0,1,0,0,0,0.678513731825525,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00321027287319422,1,0.99836867862969,1,1
"14",1,0,1,1,1,0.213576158940397,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0.995090016366612,0,0.0016366612111293,0,0
"15",1,0,1,1,1,0.1939586645469,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
"16",1,0,1,1,1,0.347402597402597,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
"17",1,0,1,1,1,0.334967320261438,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0.9936,0,0.00162337662337662,0,0
"18",1,0,1,1,1,0.310344827586207,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0.993817619783617,0,0.0015748031496063,0,0
"19",0,1,0,0,0,0.683870967741935,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00650406504065041,1,0.998373983739837,1,1
"20",1,0,1,1,1,0.331259720062208,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0.99375,0,0.00157232704402516,0,0
"21",0,1,0,0,0,0.6578073089701,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00495049504950495,1,0.998313659359191,1,1
"22",0,1,0,0,0,0.670382165605096,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00646203554119548,1,1,1,1
"23",1,0,1,1,1,0.335413416536661,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0.995230524642289,0,0.00158730158730159,0,0
"24",0,1,0,0,0,0.670529801324503,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00655737704918033,1,1,1,1
"25",0.995253164556962,0.00313971742543171,0.995260663507109,0.993548387096774,1,0.288216560509554,0.00649350649350649,0.00630914826498423,0.00649350649350649,0.00479233226837061,0.993610223642173,0.993769470404984,0.00321027287319422,0.995090016366612,1,1,0.9936,0.993817619783617,0.00650406504065041,0.99375,0.00495049504950495,0.00646203554119548,0.995230524642289,0.00655737704918033,1,0.00630914826498423,0.00797448165869218,0.00486223662884927,0.0048
"26",0,1,0,0,0,0.70820189274448,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00630914826498423,1,0.998425196850394,1,1
"27",0,0.998417721518987,0.00161290322580645,0.00161030595813205,0,0.693290734824281,0.998389694041868,0.998420221169036,0.9984,0.998402555910543,0.00158982511923688,0.0015748031496063,0.99836867862969,0.0016366612111293,0,0,0.00162337662337662,0.0015748031496063,0.998373983739837,0.00157232704402516,0.998313659359191,1,0.00158730158730159,1,0.00797448165869218,0.998425196850394,1,0.998407643312102,0.998355263157895
"28",0,1,0,0,0,0.65751211631664,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.00486223662884927,1,0.998407643312102,1,1
"29",0,1,0,0,0,0.657556270096463,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.0048,1,0.998355263157895,1,1
