"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0,0.683641975308642,0.475968992248062,0.045662100456621,0.0032626427406199,0,0,0,0,0.395931142410016,0.419093851132686,0,0.109854604200323,0.0408805031446541,0.12792511700468,0.525502318392581,0.410174880763116,0,0.615508885298869,0,0,0.939778129952456,0,0.073482428115016,0,0,0,0
"2",0,1,0,0,0.00309597523219814,0.0033500837520938,0.247933884297521,0.231017770597738,0.250393700787402,0.289689034369885,0,0,0.426307448494453,0,0,0,0,0,0.334370139968896,0,0.613162118780096,0.558359621451104,0,0.48503937007874,0.00161030595813205,0.96661101836394,0.231647634584013,0.393548387096774,0.998392282958199
"3",0.683641975308642,0,1,0.311627906976744,0.2484375,0.00823723228995058,0,0,0,0,0.218152866242038,0.25,0,0.168039538714992,0.158064516129032,0.134493670886076,0.379310344827586,0.308681672025723,0,0.423452768729642,0,0,0.620414673046252,0,0.123176661264182,0,0,0,0
"4",0.475968992248062,0,0.311627906976744,1,0.206201550387597,0,0,0,0,0,0.0652173913043478,0.0862619808306709,0,0.686274509803922,0.247208931419458,0.71606864274571,1,0.0575079872204473,0,0.929936305732484,0,0,0.2859375,0,0.6176,0,0,0,0
"5",0.045662100456621,0.00309597523219814,0.2484375,0.206201550387597,1,0.0240770465489567,0,0,0,0,0.0031104199066874,0.00315955766192733,0,0.54414125200642,0.99685534591195,0.394736842105263,0.211267605633803,0.00321543408360129,0,0.161030595813205,0.00155038759689922,0.00152905198776758,0.0093167701863354,0,0.407523510971787,0.00323624595469256,0,0,0.0031055900621118
"6",0.0032626427406199,0.0033500837520938,0.00823723228995058,0,0.0240770465489567,1,0,0,0,0,0,0,0.0178282009724473,0,0.0233722871452421,0.00504201680672269,0,0,0.00325732899022801,0.00344827586206897,0.00666666666666667,0.00482315112540193,0,0.019672131147541,0.00496688741721854,0.00510204081632653,0,0,0.0016750418760469
"7",0,0.247933884297521,0,0,0,0,1,0.955,0.944983818770227,0.968120805369127,0,0,0.202614379084967,0,0,0.0149750415973378,0,0,0.3072,0,0.423140495867769,0.479166666666667,0,0.155448717948718,0.014827018121911,0.233390119250426,0.5,0.897226753670473,0.274509803921569
"8",0,0.231017770597738,0,0,0,0,0.955,1,1,0.98705501618123,0,0,0.179936305732484,0,0,0.0452342487883683,0,0,0.275039745627981,0.00163398692810458,0.415986949429038,0.477635782747604,0,0.131121642969984,0.0477759472817133,0.219798657718121,0.52827140549273,0.775444264943457,0.265573770491803
"9",0,0.250393700787402,0,0,0,0,0.944983818770227,1,1,0.985668789808917,0,0,0.174922600619195,0,0,0.046583850931677,0,0,0.257274119448698,0.0016,0.4546875,0.513219284603421,0,0.124423963133641,0.0522151898734177,0.230031948881789,0.528125,0.77639751552795,0.282608695652174
"10",0,0.289689034369885,0,0,0,0,0.968120805369127,0.98705501618123,0.985668789808917,1,0,0,0.21939586645469,0,0,0.00487012987012987,0,0,0.300955414012739,0,0.454397394136808,0.499212598425197,0,0.166931637519873,0.00662251655629139,0.267441860465116,0.482701812191104,0.822866344605475,0.32626427406199
"11",0.395931142410016,0,0.218152866242038,0.0652173913043478,0.0031104199066874,0,0,0,0,0,1,1,0,0.00486223662884927,0.00484652665589661,0.00476190476190476,0.0704225352112676,0.992025518341308,0,0.0800653594771242,0,0,0.570287539936102,0,0.00321027287319422,0,0,0,0
"12",0.419093851132686,0,0.25,0.0862619808306709,0.00315955766192733,0,0,0,0,0,1,1,0,0.00335570469798658,0.00491803278688525,0.0032258064516129,0.0990415335463259,0.991624790619765,0,0.0981996726677578,0,0,0.624390243902439,0,0.00166112956810631,0,0,0,0
"13",0,0.426307448494453,0,0,0,0.0178282009724473,0.202614379084967,0.179936305732484,0.174922600619195,0.21939586645469,0,0,1,0,0,0,0,0,0.927692307692308,0,0.155802861685215,0.108527131782946,0,0.985959438377535,0.0258899676375405,0.385878489326765,0.721337579617834,0.210691823899371,0.352201257861635
"14",0.109854604200323,0,0.168039538714992,0.686274509803922,0.54414125200642,0,0,0,0,0,0.00486223662884927,0.00335570469798658,0,1,0.636513157894737,0.881107491856677,0.625210084033613,0.00490196078431373,0,0.516129032258065,0,0,0.00492610837438424,0,0.887394957983193,0,0,0,0
