Gene	WGCNA_kTotal	Spearman_meanAbs	Variance	Variance_scaled	MX_Score	Rank_kTotal	Rank_MX	Pctl_kTotal	Pctl_MX	Rank_Sum	Rank_Prod	Rank_Combo
ENSG00000163359	28.564419458030358	0.1734296501756703	24.10368472752916	0.647623868734694	0.11231718100007221	123	9	0.9791773340160437	0.9986345792797405	132	1107	1
ENSG00000164692	27.55492264579112	0.16236419638134633	34.7512327581615	0.9337048694648861	0.1516002407880161	132	2	0.9776412357057518	0.9998293224099676	134	264	2
ENSG00000168542	27.190236279324772	0.16863267226672035	37.2186478775437	1	0.16863267226672035	134	1	0.977299880525687	1	135	134	3
ENSG00000129514	30.00618764972524	0.2167250421939586	11.746556539053735	0.31560943798125335	0.0684004687632987	114	56	0.9807134323263356	0.9906127325482165	170	6384	4
ENSG00000139329	23.184708142330447	0.16661795158442316	26.600503192831642	0.7147090157695213	0.11908335218643683	175	5	0.9703020993343574	0.9993172896398703	180	875	5
ENSG00000038427	23.356978054801385	0.16992949393553886	16.42406848732175	0.4412860064492402	0.07498750775675432	171	34	0.9709848096944871	0.9943676395289298	205	5814	6
ENSG00000113140	22.007836944157813	0.16411294005511012	21.37551657157	0.5743227599750382	0.09425379668006885	192	18	0.9674005803038062	0.9970984809694488	210	3456	7
ENSG00000116132	23.171829093286	0.17127913117659072	16.089664089835377	0.4323011449199706	0.074044164508538	176	38	0.970131421744325	0.9936849291688001	214	6688	8
ENSG00000087245	21.19402860503244	0.18356921301897022	23.008031560760376	0.618185583647775	0.11347984108989484	208	7	0.9646697388632872	0.9989759344598055	215	1456	9
ENSG00000140937	22.06406797141449	0.16687523786157055	17.664686084408544	0.47461923234096676	0.07920219729057484	191	29	0.9675712578938386	0.995221027479092	220	5539	10
ENSG00000113721	21.52481944215656	0.1795194982635121	16.234669231916204	0.4361971795786697	0.07830589882192188	201	30	0.9658644819935143	0.9950503498890596	231	6030	11
ENSG00000133110	19.09647865970123	0.16080852745269864	31.29494660196741	0.8408405029901577	0.1352143231084337	240	3	0.9592080559822496	0.9996586448199352	243	720	12
ENSG00000091831	19.972907189395766	0.21035566690698237	16.267854668226008	0.4370888142350116	0.091944109015988	226	21	0.9615975422427036	0.9965864481993514	247	4746	13
ENSG00000148848	25.40680835409159	0.16682168824102792	12.997570030670266	0.3492219833841008	0.0582578008390159	149	99	0.9747397166752005	0.983273596176822	248	14751	14
ENSG00000011465	18.562265717470005	0.18833679382404725	26.42871242464024	0.7100932981658988	0.1337366950925086	252	4	0.9571599249018604	0.9994879672299027	256	1008	15
ENSG00000078098	25.516263974236725	0.16781274645855523	11.578955087785983	0.3111062799992871	0.05220759928718466	147	141	0.9750810718552654	0.97610513739546	288	20727	16
ENSG00000101825	17.700927855976193	0.1633128206057881	21.380550024719806	0.5744580000613081	0.09381635630957222	272	19	0.9537463731012118	0.9969278033794163	291	5168	17
ENSG00000108821	21.30167685936978	0.16225907701208384	13.715857231328064	0.36852110470148713	0.05979589430833681	203	92	0.9655231268134494	0.984468339307049	295	18676	18
ENSG00000115648	25.285541137848345	0.20351806202820208	9.48014551587518	0.25471493610048995	0.051839090164809046	150	146	0.9745690390851681	0.9752517494452978	296	21900	19
ENSG00000211592	16.90708018956934	0.1471477260528934	28.47279135721618	0.7650141254700327	0.11257008896125818	294	8	0.9499914661204983	0.998805256869773	302	2352	20
ENSG00000091986	20.96128052846102	0.1961777317974662	11.108866331892427	0.29847581697332665	0.058554308770222885	213	98	0.9638163509131251	0.9834442737668544	311	20874	21
ENSG00000107485	18.826819251954362	0.20948008895779127	11.345718451705688	0.3048396193498275	0.0638578305792611	244	71	0.9585253456221198	0.98805256869773	315	17324	22
ENSG00000087116	20.894264254111498	0.16092522127856101	12.947606492807004	0.3478795504717701	0.05598259363795594	214	111	0.9636456733230927	0.9812254650964328	325	23754	23
ENSG00000143341	21.237265969380303	0.18181746658376563	11.225548974546134	0.3016108755879656	0.054838125293515234	206	119	0.9650110940433521	0.9798600443761734	325	24514	24
ENSG00000186340	17.92610833877469	0.1550000659335127	15.982227468048652	0.42941451072143094	0.06655927747462889	266	64	0.9547704386414064	0.989247311827957	330	17024	25
ENSG00000094755	15.940646622860886	0.1900957491658288	19.483747234343735	0.5234942252187371	0.09951402692694095	321	13	0.9453831711896228	0.9979518689196109	334	4173	26
ENSG00000104332	15.682194989065966	0.21045069561612856	20.888403358721753	0.5612348795541552	0.11811227080620608	330	6	0.9438470728793309	0.9991466120498379	336	1980	27
ENSG00000196628	18.678807135591562	0.18644852437134674	11.401878606856986	0.3063485445352903	0.05711823407191468	248	104	0.9578426352619901	0.9824202082266599	352	25792	28
ENSG00000074410	16.331509707390282	0.18774899046157562	14.382168816350072	0.3864237320944622	0.07255066559112963	314	43	0.9465779143198498	0.992831541218638	357	13502	29
ENSG00000122870	23.290754687911008	0.20237808086376738	8.847032331374319	0.2377042916895505	0.0481061383652124	174	185	0.9704727769243898	0.9685953234340331	359	32190	30
ENSG00000124664	17.696706675170947	0.1678949634265519	12.601850023752554	0.33858967862602085	0.05684750170952374	273	105	0.9535756955111794	0.9822495306366275	378	28665	31
ENSG00000113657	16.83064364583292	0.1797109734531245	12.777819276729572	0.343317664810688	0.06169795174678225	298	85	0.9493087557603687	0.985663082437276	383	25330	32
ENSG00000130635	22.85887991892411	0.15640663253556383	11.15435209386333	0.29969793987581794	0.04687474555382256	181	203	0.9692780337941628	0.9655231268134494	384	36743	33
ENSG00000174348	15.17294393678826	0.2012843937063291	13.117349940943699	0.35244026016480307	0.07094072408497328	340	49	0.9421402969790067	0.9918074756784434	389	16660	34
ENSG00000148516	23.33938290063673	0.1977054946166526	8.62862194828585	0.23183598653759876	0.04583524838835558	172	222	0.9708141321044547	0.9622802526028332	394	38184	35
ENSG00000144810	15.73381945164821	0.14741058915318384	15.853581673328815	0.42595802312566694	0.06279072314348007	326	77	0.9445297832394607	0.9870285031575354	403	25102	36
ENSG00000112769	16.857936549150125	0.16315858167292946	12.615325091989773	0.3389517301514162	0.05530288354709059	296	115	0.9496501109404335	0.9805427547363031	411	34040	37
ENSG00000116962	14.591116921561497	0.16053117097661398	15.956430155927405	0.4287213820455552	0.06882314548248526	359	54	0.9388974227683905	0.9909540877282813	413	19386	38
ENSG00000142173	14.683423412506176	0.16600487895448118	15.21055630015071	0.40868105553421175	0.06784304915494642	358	57	0.9390681003584229	0.9904420549581839	415	20406	39
ENSG00000261175	21.274499312541945	0.2039191780203256	8.486771770667206	0.2280247202582498	0.04649861352337699	205	212	0.9651817716333846	0.9639870285031575	417	43460	40
ENSG00000173068	21.118611113717108	0.1818202439056128	9.561031169349977	0.2568881921989094	0.04670747376207765	212	206	0.9639870285031575	0.9650110940433521	418	43672	41
ENSG00000166147	30.352749514632883	0.17556116381850564	8.724994270612031	0.23442534235308307	0.04115598593205889	112	309	0.9810547875064004	0.9474313022700119	421	34608	42
ENSG00000104415	16.597971054618558	0.16638049123771895	11.988593642190605	0.3221125517948775	0.05359324460146691	305	131	0.9481140126301416	0.9778119132957843	436	39955	43
ENSG00000211896	14.426853090395628	0.1372957564680157	17.103157503857876	0.4595319410885225	0.06309178547296433	367	76	0.937532002048131	0.9871991807475679	443	27892	44
ENSG00000106541	12.57261781977533	0.1702064110646374	19.239714695498726	0.5169374975362077	0.08798607620037274	423	23	0.9279740570063151	0.9962450930192865	446	9729	45
ENSG00000169554	14.401215940233918	0.18874282306190723	11.392128271273737	0.30608657006444634	0.05777164333529987	368	101	0.9373613244580986	0.9829322409967571	469	37168	46
ENSG00000148468	16.101522198572596	0.21950126847713344	8.425080710400481	0.22636718932188427	0.04968788519775701	318	165	0.94589520395972	0.9720088752346817	483	52470	47
ENSG00000000971	13.67680526745643	0.18747717878339276	11.678535326368472	0.31378182691625534	0.0588269316637584	389	97	0.9337770950674177	0.9836149513568868	486	37733	48
ENSG00000134853	12.275759828752863	0.20360042385910057	11.995423657289038	0.32229606235982083	0.06561961490457863	444	67	0.924389827615634	0.9887352790578597	511	29748	49
ENSG00000136859	15.578033422978491	0.17300551442915738	10.433171084866617	0.28032106698754067	0.04849709039950976	333	179	0.9433350401092336	0.9696193889742277	512	59607	50
ENSG00000151388	18.294340009356944	0.14784081424499962	11.02652824241134	0.29626353645867726	0.043799842461153975	256	259	0.9564772145417306	0.9559651817716334	515	66304	51
ENSG00000122641	13.539128159818231	0.14460160880834394	13.525290008871139	0.3634008965981748	0.05254835429049072	397	138	0.9324116743471582	0.9766171701655573	535	54786	52
ENSG00000100146	12.063950545763491	0.1823667305764435	12.625518245766601	0.3392256023729533	0.061863464032580126	454	84	0.9226830517153097	0.9858337600273084	538	38136	53
ENSG00000134830	13.978503420173512	0.19765059744786767	9.526678570379426	0.2559651979223957	0.0505916742952232	382	158	0.9349718381976446	0.9732036183649087	540	60356	54
