cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
CAL_120	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120	6	14	2	1	1	0.5950921234139946	0.7006500615501483	FALSE
EFM_192A	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A	4	2.083333333333333	1	2	10	0.6236339944314057	0.6989048138607387	FALSE
HDQ_P1	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1	4	7	2	1	11	0.6189839909245964	0.6757411125546239	FALSE
HCC_1599	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599	4	1.9999999999999998	2	1	12	0.6134439388255417	0.6662040864532892	FALSE
MCF_7	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7	3	0	1	3	13	0.6460053323558579	0.7468087325551717	FALSE
IPH_926	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926	3	0.6666666666666666	1	2	14	0.5759181368079604	0.6141394744360731	FALSE
ETCC_007	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007	2	0	3	4	15	0.7075292835564893	0.7258191561926434	FALSE
HS_578T	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T	2	0	3	4	16	0.7012838692116337	0.7258191561926434	FALSE
ETCC_006	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006	2	0	3	4	17	0.6829939965754794	0.689239410920335	FALSE
EFM_192B	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B	2	0	1	2	18	0.6153099457570749	0.6989048138607387	FALSE
MDA_MB_231	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231	2	0	2	1	19	0.5645087823277145	0.601340541934281	FALSE
CAL_148	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148	6	9.833333333333334	1	2	2	0.5916042007989426	0.6915529483288118	FALSE
EVSA_T	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T	2	1	4	5	20	0.538515034164447	0.5417413674890343	FALSE
HCC_1937	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937	1	0	2	1	21	0.5917680175545332	0.5917680175545332	FALSE
JIMT_1	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1	1	0	2	1	22	0.5883281309285759	0.5883281309285759	FALSE
MDA_MB_453	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453	1	0	4	5	23	0.5417413674890343	0.5417413674890343	FALSE
SK_BR_3	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3	1	0	4	5	24	0.5352887008398597	0.5352887008398597	FALSE
COLO_824	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824	1	0	2	1	25	0.5222980659840728	0.5222980659840728	FALSE
EFM_19	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19	1	0	1	2	26	0.5172009585909942	0.5172009585909942	FALSE
EFM_192C	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C	6	8.166666666666666	1	2	3	0.5755508364940011	0.6542970207292281	FALSE
BT_474	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	5	3.1666666666666665	1	3	4	0.6176293016422711	0.7108662269617554	FALSE
MFM_223	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223	5	5.833333333333334	1	3	5	0.6058994426951166	0.6915529483288118	FALSE
CAL_85_1	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1	5	4.999999999999999	2	1	6	0.5981272147384484	0.6757411125546239	FALSE
T_47D	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D	5	10.916666666666664	1	2	7	0.5694083583436285	0.6451828918207101	FALSE
HCC_1143	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143	4	1.9999999999999998	2	1	8	0.6390517323474992	0.7006500615501483	FALSE
KPL_1	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1	4	1.3333333333333333	1	3	9	0.6345964695055888	0.7468087325551717	FALSE
CAL_51	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51	0	0	5	6	27	NA	NA	TRUE
DU_4475	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475	0	0	6	7	28	NA	NA	TRUE
MDA_MB_468	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468	0	0	7	8	29	NA	NA	TRUE
