cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
CAL_85_1	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1	6	2.75	2	1	1	0.6457968322126468	0.7640431495646202	FALSE
CAL_148	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148	4	9.5	1	3	10	0.5904731059915455	0.6374769708325423	FALSE
T_47D	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D	4	6.333333333333333	1	2	11	0.5869915965791075	0.6915994595979664	FALSE
JIMT_1	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1	4	0	2	1	12	0.5819343204991292	0.619391670558996	FALSE
IPH_926	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926	4	5.166666666666666	1	2	13	0.5767566240100217	0.6136181776179231	FALSE
BT_474	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	3	0.5	1	3	14	0.66972639992718	0.724266843315396	FALSE
EFM_192B	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B	3	3.5	1	2	15	0.6148649424044835	0.7219323403496437	FALSE
ETCC_007	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007	2	0	3	4	16	0.7157413405489894	0.7249164053524907	FALSE
ETCC_006	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006	2	0	3	4	17	0.7003097784132837	0.7249164053524907	FALSE
HS_578T	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T	2	0	3	4	18	0.6911347136097824	0.7065662757454882	FALSE
MCF_7	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7	2	0	1	3	19	0.6792655953846785	0.778589517052675	FALSE
HDQ_P1	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1	6	6.25	2	1	2	0.6364094283290123	0.7529061676212232	FALSE
EFM_19	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19	2	0	1	2	20	0.6026741942346014	0.6481718185489581	FALSE
MDA_MB_231	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231	2	0	2	1	21	0.5588986965863727	0.5636865837508992	FALSE
SK_BR_3	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3	2	0	1	2	22	0.5490836297211839	0.554759529256352	FALSE
HCC_1937	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937	1	0	2	1	23	0.5569849727560012	0.5569849727560012	FALSE
CAL_120	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120	6	2.75	2	1	3	0.6307749437622154	0.7640431495646202	FALSE
EFM_192C	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C	6	19.666666666666664	1	2	4	0.6147867008709611	0.6915994595979664	FALSE
HCC_1143	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143	5	0.25	2	1	5	0.6777290095991416	0.7529061676212232	FALSE
KPL_1	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1	4	12.5	1	3	6	0.6419405296791026	0.778589517052675	FALSE
MFM_223	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223	4	3	1	3	7	0.6300850235088348	0.724266843315396	FALSE
EFM_192A	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A	4	4.833333333333333	1	2	8	0.6296269374684579	0.7219323403496437	FALSE
HCC_1599	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599	4	0	2	1	9	0.6260531025499956	0.7046019056995066	FALSE
CAL_51	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51	0	0	4	5	24	NA	NA	TRUE
COLO_824	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824	0	0	5	6	25	NA	NA	TRUE
DU_4475	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475	0	0	6	7	26	NA	NA	TRUE
EVSA_T	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T	0	0	7	8	27	NA	NA	TRUE
MDA_MB_453	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453	0	0	8	9	28	NA	NA	TRUE
MDA_MB_468	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468	0	0	9	10	29	NA	NA	TRUE
