cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
EFM_192C	6	0.5561918250267451	0.6502308488516424	FALSE	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C
HS_578T	5	0.6381487384222128	0.7666666666666667	FALSE	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T
ETCC_007	5	0.6123149200733272	0.7289182663923711	FALSE	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007
CAL_120	5	0.5681248756500447	0.6441603284397699	FALSE	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120
MDA_MB_453	5	0.5320752893941877	0.6113466120432386	FALSE	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453
ETCC_006	4	0.6832627067917543	0.7666666666666667	FALSE	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006
CAL_85_1	4	0.6418367346938776	0.7795918367346939	FALSE	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1
HCC_1143	4	0.6234693877551021	0.7428571428571429	FALSE	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143
BT_474	4	0.5807465157564087	0.6502308488516424	FALSE	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474
CAL_51	4	0.5639666100744055	0.5933055656682091	FALSE	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51
EVSA_T	4	0.5625285250946643	0.6431718061674009	FALSE	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T
KPL_1	4	0.500389290794001	0.5278304637043228	FALSE	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1
HCC_1599	3	0.5836734693877551	0.6693877551020408	FALSE	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599
EFM_192B	3	0.5263534121073301	0.6348078736719351	FALSE	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B
MDA_MB_231	3	0.5027526119985944	0.5254992153061281	FALSE	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231
EFM_19	3	0.5011451563581026	0.5360074395907876	FALSE	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19
HDQ_P1	2	0.7428571428571429	0.7795918367346939	FALSE	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1
COLO_824	2	0.5775510204081633	0.6693877551020408	FALSE	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824
EFM_192A	2	0.5645314358928959	0.6348078736719351	FALSE	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A
T_47D	2	0.4888853120305807	0.5045975926914976	FALSE	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D
MFM_223	2	0.47764562939946636	0.4852577147556846	FALSE	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223
HCC_1937	1	0.5591836734693878	0.5591836734693878	FALSE	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937
MDA_MB_468	1	0.5591836734693878	0.5591836734693878	FALSE	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468
MCF_7	1	0.5273141035231748	0.5273141035231748	FALSE	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7
JIMT_1	1	0.5224489795918368	0.5224489795918368	FALSE	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1
IPH_926	1	0.48966371525619123	0.48966371525619123	FALSE	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926
SK_BR_3	1	0.4752500689539088	0.4752500689539088	FALSE	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3
CAL_148	0	NA	NA	TRUE	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148
DU_4475	0	NA	NA	TRUE	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475
