node1	node2	support_directions	support_weight_mean	support_weight_sum	support_weight_max	methods_union	node1_short	node2_short
HS_578T	MDA_MB_231					fallback=resolved_neighbors	HS_578T	MDA_MB_231
ETCC_007	MDA_MB_231					fallback=resolved_neighbors	ETCC_007	MDA_MB_231
ETCC_006	MDA_MB_231					fallback=resolved_neighbors	ETCC_006	MDA_MB_231
CAL_120	MDA_MB_231					fallback=resolved_neighbors	CAL_120	MDA_MB_231
CAL_51	MDA_MB_231					fallback=resolved_neighbors	CAL_51	MDA_MB_231
HDQ_P1	MDA_MB_231					fallback=resolved_neighbors	HDQ_P1	MDA_MB_231
CAL_51	ETCC_006					fallback=resolved_neighbors	CAL_51	ETCC_006
CAL_51	ETCC_007					fallback=resolved_neighbors	CAL_51	ETCC_007
CAL_51	HS_578T					fallback=resolved_neighbors	CAL_51	HS_578T
CAL_120	CAL_51					fallback=resolved_neighbors	CAL_120	CAL_51
ETCC_006	HS_578T					fallback=resolved_neighbors	ETCC_006	HS_578T
ETCC_006	ETCC_007					fallback=resolved_neighbors	ETCC_006	ETCC_007
CAL_120	ETCC_006					fallback=resolved_neighbors	CAL_120	ETCC_006
ETCC_007	HS_578T					fallback=resolved_neighbors	ETCC_007	HS_578T
CAL_120	ETCC_007					fallback=resolved_neighbors	CAL_120	ETCC_007
HCC_1143	HCC_1599					fallback=resolved_neighbors	HCC_1143	HCC_1599
HCC_1143	HDQ_P1					fallback=resolved_neighbors	HCC_1143	HDQ_P1
HCC_1143	JIMT_1					fallback=resolved_neighbors	HCC_1143	JIMT_1
CAL_85_1	HCC_1143					fallback=resolved_neighbors	CAL_85_1	HCC_1143
COLO_824	HCC_1143					fallback=resolved_neighbors	COLO_824	HCC_1143
CAL_120	HS_578T					fallback=resolved_neighbors	CAL_120	HS_578T
CAL_85_1	JIMT_1					fallback=resolved_neighbors	CAL_85_1	JIMT_1
CAL_85_1	HDQ_P1					fallback=resolved_neighbors	CAL_85_1	HDQ_P1
CAL_120	CAL_85_1					fallback=resolved_neighbors	CAL_120	CAL_85_1
HDQ_P1	JIMT_1					fallback=resolved_neighbors	HDQ_P1	JIMT_1
BT_474	MFM_223					fallback=resolved_neighbors	BT_474	MFM_223
BT_474	EFM_192C					fallback=resolved_neighbors	BT_474	EFM_192C
BT_474	EVSA_T					fallback=resolved_neighbors	BT_474	EVSA_T
EFM_192C	T_47D					fallback=resolved_neighbors	EFM_192C	T_47D
EFM_192C	KPL_1					fallback=resolved_neighbors	EFM_192C	KPL_1
EFM_19	EFM_192C					fallback=resolved_neighbors	EFM_19	EFM_192C
KPL_1	T_47D					fallback=resolved_neighbors	KPL_1	T_47D
EFM_19	T_47D					fallback=resolved_neighbors	EFM_19	T_47D
COLO_824	HCC_1599					fallback=resolved_neighbors	COLO_824	HCC_1599
KPL_1	MCF_7					fallback=resolved_neighbors	KPL_1	MCF_7
CAL_148	MFM_223					fallback=resolved_neighbors	CAL_148	MFM_223
EFM_192A	EFM_192B					fallback=resolved_neighbors	EFM_192A	EFM_192B
EVSA_T	MDA_MB_453					fallback=resolved_neighbors	EVSA_T	MDA_MB_453
HCC_1937	MDA_MB_468					fallback=resolved_neighbors	HCC_1937	MDA_MB_468
