community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	KPL_1	9	0.8243131158165136
10	1	BT_474	3	0.8141850631625813
11	1	EFM_192B	3	0.7888719512743988
12	1	EFM_19	3	0.7671869275701229
13	1	ETCC_007	2	0.864
14	1	HS_578T	2	0.8413333333333333
15	1	ETCC_006	2	0.8262222222222222
16	1	EFM_192A	2	0.7560152198688046
17	1	CAL_120	1	0.7582222222222222
18	1	CAL_51	1	0.7582222222222222
19	1	CAL_85_1	0	NA
2	1	MFM_223	9	0.8183222343646285
20	1	COLO_824	0	NA
21	1	DU_4475	0	NA
22	1	HCC_1143	0	NA
23	1	HCC_1599	0	NA
24	1	HCC_1937	0	NA
25	1	HDQ_P1	0	NA
26	1	IPH_926	0	NA
27	1	JIMT_1	0	NA
28	1	MDA_MB_231	0	NA
29	1	MDA_MB_468	0	NA
3	1	SK_BR_3	7	0.804540123620096
4	1	MCF_7	7	0.8027414076460103
5	1	T_47D	7	0.7962690478235768
6	1	EFM_192C	7	0.7924406034318212
7	1	CAL_148	7	0.7713336056853088
8	1	EVSA_T	6	0.8016991096984417
9	1	MDA_MB_453	4	0.7866177072118286
