cell_line1	cell_line2	similarity	sample_id1	cell_line1_display	sample_id2	cell_line2_display
BT_474	CAL_120	-0.043047433374645463	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_CAL_120_lib581301_8005_3	CAL_120
BT_474	CAL_148	0.6734054525134939	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_CAL_148_lib581302_7997_4	CAL_148
CAL_120	CAL_148	0.03757752489970061	NG-29643_CAL_120_lib581301_8005_3	CAL_120	NG-29643_CAL_148_lib581302_7997_4	CAL_148
BT_474	CAL_51	-0.10876106326220732	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_CAL_51_lib581295_7997_4	CAL_51
CAL_120	CAL_51	0.8627724965153691	NG-29643_CAL_120_lib581301_8005_3	CAL_120	NG-29643_CAL_51_lib581295_7997_4	CAL_51
CAL_148	CAL_51	0.007595289646719232	NG-29643_CAL_148_lib581302_7997_4	CAL_148	NG-29643_CAL_51_lib581295_7997_4	CAL_51
BT_474	CAL_85_1	-0.04217505448057707	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1
CAL_120	CAL_85_1	0.7852208373170866	NG-29643_CAL_120_lib581301_8005_3	CAL_120	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1
CAL_148	CAL_85_1	0.05154239521171995	NG-29643_CAL_148_lib581302_7997_4	CAL_148	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1
CAL_51	CAL_85_1	0.8297685950290238	NG-29643_CAL_51_lib581295_7997_4	CAL_51	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1
BT_474	COLO_824	-0.03641785203646149	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_COLO_824_lib581290_7997_4	COLO_824
CAL_120	COLO_824	0.06819473507464636	NG-29643_CAL_120_lib581301_8005_3	CAL_120	NG-29643_COLO_824_lib581290_7997_4	COLO_824
CAL_148	COLO_824	-0.049047960260365626	NG-29643_CAL_148_lib581302_7997_4	CAL_148	NG-29643_COLO_824_lib581290_7997_4	COLO_824
CAL_51	COLO_824	0.08423395564256017	NG-29643_CAL_51_lib581295_7997_4	CAL_51	NG-29643_COLO_824_lib581290_7997_4	COLO_824
CAL_85_1	COLO_824	0.14104910273842503	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	NG-29643_COLO_824_lib581290_7997_4	COLO_824
BT_474	DU_4475	0.3852113953110347	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_DU_4475_lib581298_7997_4	DU_4475
CAL_120	DU_4475	0.015915931255723947	NG-29643_CAL_120_lib581301_8005_3	CAL_120	NG-29643_DU_4475_lib581298_7997_4	DU_4475
CAL_148	DU_4475	0.6467711019463209	NG-29643_CAL_148_lib581302_7997_4	CAL_148	NG-29643_DU_4475_lib581298_7997_4	DU_4475
CAL_51	DU_4475	-1.3232052196243051e-19	NG-29643_CAL_51_lib581295_7997_4	CAL_51	NG-29643_DU_4475_lib581298_7997_4	DU_4475
CAL_85_1	DU_4475	-0.007796693265975758	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	NG-29643_DU_4475_lib581298_7997_4	DU_4475
COLO_824	DU_4475	-0.08655927155716765	NG-29643_COLO_824_lib581290_7997_4	COLO_824	NG-29643_DU_4475_lib581298_7997_4	DU_4475
BT_474	EFM_19	0.6780635036208104	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_EFM_19_lib581291_7997_4	EFM_19
CAL_120	EFM_19	-0.09170177373293839	NG-29643_CAL_120_lib581301_8005_3	CAL_120	NG-29643_EFM_19_lib581291_7997_4	EFM_19
CAL_148	EFM_19	0.6595501762613933	NG-29643_CAL_148_lib581302_7997_4	CAL_148	NG-29643_EFM_19_lib581291_7997_4	EFM_19
CAL_51	EFM_19	-0.1497062224545867	NG-29643_CAL_51_lib581295_7997_4	CAL_51	NG-29643_EFM_19_lib581291_7997_4	EFM_19
CAL_85_1	EFM_19	-0.08984338902374991	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	NG-29643_EFM_19_lib581291_7997_4	EFM_19
COLO_824	EFM_19	-0.07161148740394328	NG-29643_COLO_824_lib581290_7997_4	COLO_824	NG-29643_EFM_19_lib581291_7997_4	EFM_19
DU_4475	EFM_19	0.5264710031632485	NG-29643_DU_4475_lib581298_7997_4	DU_4475	NG-29643_EFM_19_lib581291_7997_4	EFM_19
BT_474	EFM_192A	0.457734102890187	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A
CAL_120	EFM_192A	-0.0724631973620669	NG-29643_CAL_120_lib581301_8005_3	CAL_120	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A
CAL_148	EFM_192A	0.6801396745607368	NG-29643_CAL_148_lib581302_7997_4	CAL_148	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A
CAL_51	EFM_192A	-0.0878789607609304	NG-29643_CAL_51_lib581295_7997_4	CAL_51	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A
CAL_85_1	EFM_192A	-0.12779044655163185	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A
COLO_824	EFM_192A	-0.11560069593739193	NG-29643_COLO_824_lib581290_7997_4	COLO_824	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A
DU_4475	EFM_192A	0.7532933630516898	NG-29643_DU_4475_lib581298_7997_4	DU_4475	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A
EFM_19	EFM_192A	0.6359268568137671	NG-29643_EFM_19_lib581291_7997_4	EFM_19	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A
BT_474	EFM_192B	0.4845273117412084	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B
CAL_120	EFM_192B	0.1550057489520987	NG-29643_CAL_120_lib581301_8005_3	CAL_120	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B
CAL_148	EFM_192B	0.6747799192361703	NG-29643_CAL_148_lib581302_7997_4	CAL_148	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B
CAL_51	EFM_192B	0.11542726730492414	NG-29643_CAL_51_lib581295_7997_4	CAL_51	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B
CAL_85_1	EFM_192B	0.11190014011247974	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B
COLO_824	EFM_192B	-0.07690557650721558	NG-29643_COLO_824_lib581290_7997_4	COLO_824	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B
DU_4475	EFM_192B	0.6523752867525634	NG-29643_DU_4475_lib581298_7997_4	DU_4475	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B
EFM_19	EFM_192B	0.5397176268872675	NG-29643_EFM_19_lib581291_7997_4	EFM_19	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B
EFM_192A	EFM_192B	0.6873847827207492	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B
BT_474	EFM_192C	0.65527435138625445	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C
CAL_120	EFM_192C	-0.09970994038664434	NG-29643_CAL_120_lib581301_8005_3	CAL_120	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C
CAL_148	EFM_192C	0.6761677557395525	NG-29643_CAL_148_lib581302_7997_4	CAL_148	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C
CAL_51	EFM_192C	-0.15835044026726502	NG-29643_CAL_51_lib581295_7997_4	CAL_51	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C
CAL_85_1	EFM_192C	-0.09768926596535911	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C
COLO_824	EFM_192C	-0.07230340190344471	NG-29643_COLO_824_lib581290_7997_4	COLO_824	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C
DU_4475	EFM_192C	0.5424059159884996	NG-29643_DU_4475_lib581298_7997_4	DU_4475	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C
EFM_19	EFM_192C	0.778882160695476	NG-29643_EFM_19_lib581291_7997_4	EFM_19	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C
EFM_192A	EFM_192C	0.661827257911777	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C
EFM_192B	EFM_192C	0.5449324110680978	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C
BT_474	ETCC_006	-0.18021023228948005	NG-29643_BT_474_lib581288_7997_4	BT_474	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006
CAL_120	ETCC_006	-0.12526027094972578	NG-29643_CAL_120_lib581301_8005_3	CAL_120	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006
