"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,0,0,1,0,0,0,0,0,0,0.0334394904458599,0,0,0,0,0.00681431005110733,0,0.0231788079470199
"2",0,1,0.511666666666667,0,0.547738693467337,0.22108843537415,0.989915966386555,0.494214876033058,0.845378151260504,0,0.13452188006483,0.0252951096121417,0.00164744645799012,0.607809847198642,1,0,0.0050251256281407,0
"3",0,0.511666666666667,1,0,1,0.176470588235294,0.566202090592335,0.296173044925125,0.459044368600683,0,0.359605911330049,0.00511073253833049,0,1,0.431208053691275,0,0,0
"4",1,0,0,1,0,0,0,0,0,0,0.229508196721311,0.0101867572156197,0,0,0,0.0551724137931034,0,0.0956375838926175
"5",0,0.547738693467337,1,0,1,0.0988074957410562,0.634615384615385,0.208053691275168,0.562925170068027,0,0.413621262458472,0.00347826086956522,0,0.958260869565217,0.452420701168614,0,0,0
"6",0,0.22108843537415,0.176470588235294,0,0.0988074957410562,1,0.164021164021164,0.908629441624365,0.192176870748299,0.533996683250415,0.0467445742904841,0.349829351535836,0.626465661641541,0.182948490230906,0.398671096345515,0.0984182776801406,0.52891156462585,0.0668953687821612
"7",0,0.989915966386555,0.566202090592335,0,0.634615384615385,0.164021164021164,1,0.434856175972927,1,0,0.206030150753769,0,0,0.622574955908289,0.924496644295302,0,0.00173913043478261,0
"8",0,0.494214876033058,0.296173044925125,0,0.208053691275168,0.908629441624365,0.434856175972927,1,0.421666666666667,0.2508038585209,0.0584415584415584,0.141414141414141,0.35973597359736,0.300854700854701,0.655948553054662,0.0188679245283019,0.245819397993311,0.00827814569536424
"9",0,0.845378151260504,0.459044368600683,0,0.562925170068027,0.192176870748299,1,0.421666666666667,1,0.0599001663893511,0.261011419249592,0.205432937181664,0.0383333333333333,0.522260273972603,0.783471074380165,0.15979381443299,0.0795262267343486,0.098993288590604
"10",0,0,0,0,0,0.533996683250415,0,0.2508038585209,0.0599001663893511,1,0.00476190476190476,0.628951747088186,1,0,0.00160513643659711,0.421052631578947,1,0.229132569558101
"11",0.0334394904458599,0.13452188006483,0.359605911330049,0.229508196721311,0.413621262458472,0.0467445742904841,0.206030150753769,0.0584415584415584,0.261011419249592,0.00476190476190476,1,0.120603015075377,0,0.337248322147651,0.0898876404494382,0.367622259696459,0.00481540930979133,0.5814332247557
"12",0,0.0252951096121417,0.00511073253833049,0.0101867572156197,0.00347826086956522,0.349829351535836,0,0.141414141414141,0.205432937181664,0.628951747088186,0.120603015075377,1,0.503389830508475,0.00173611111111111,0.0337837837837838,1,0.62350936967632,0.74442538593482
"13",0,0.00164744645799012,0,0,0,0.626465661641541,0,0.35973597359736,0.0383333333333333,1,0,0.503389830508475,1,0,0.00165837479270315,0.284722222222222,1,0.110552763819095
"14",0,0.607809847198642,1,0,0.958260869565217,0.182948490230906,0.622574955908289,0.300854700854701,0.522260273972603,0,0.337248322147651,0.00173611111111111,0,1,0.543624161073825,0,0,0
"15",0,1,0.431208053691275,0,0.452420701168614,0.398671096345515,0.924496644295302,0.655948553054662,0.783471074380165,0.00160513643659711,0.0898876404494382,0.0337837837837838,0.00165837479270315,0.543624161073825,1,0.0033500837520938,0.00833333333333333,0.00166944908180301
"16",0.00681431005110733,0,0,0.0551724137931034,0,0.0984182776801406,0,0.0188679245283019,0.15979381443299,0.421052631578947,0.367622259696459,1,0.284722222222222,0,0.0033500837520938,1,0.403780068728522,0.989473684210526
"17",0,0.0050251256281407,0,0,0,0.52891156462585,0.00173913043478261,0.245819397993311,0.0795262267343486,1,0.00481540930979133,0.62350936967632,1,0,0.00833333333333333,0.403780068728522,1,0.210084033613445
"18",0.0231788079470199,0,0,0.0956375838926175,0,0.0668953687821612,0,0.00827814569536424,0.098993288590604,0.229132569558101,0.5814332247557,0.74442538593482,0.110552763819095,0,0.00166944908180301,0.989473684210526,0.210084033613445,1
