"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0.199318568994889,0,0.768211920529801
"2",0,1,0,0,0.0050251256281407,0,0.536134453781513,0,0.371428571428571,0,0,0,0,0.129032258064516,1,0,0,0
"3",0,0,1,0,1,0,0.00174216027874564,0,0,0,0,0,0,0.991304347826087,0,0,0,0
"4",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.046551724137931,0,1
"5",0,0.0050251256281407,1,0,1,0,0.232517482517483,0,0.19047619047619,0,0,0,0,0.824347826086957,0,0,0,0
"6",0,0,0,0,0,1,0,0.944162436548223,0,0,0,0,0,0,0.0681063122923588,0,0,0
"7",0,0.536134453781513,0.00174216027874564,0,0.232517482517483,0,1,0,1,0,0,0,0,0,0.436241610738255,0,0,0
"8",0,0,0,0,0,0.944162436548223,0,1,0,0,0,0,0,0,0.0434083601286174,0,0,0
"9",0,0.371428571428571,0,0,0.19047619047619,0,1,0,1,0,0,0.191850594227504,0,0,0.234710743801653,0,0,0
"10",0,0,0,0,0,0,0,0,0,1,0,0.00831946755407654,1,0,0,0.0390492359932088,1,0.0016366612111293
"11",0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.217537942664418,0,0.0374592833876222
"12",0,0,0,0,0,0,0,0,0.191850594227504,0.00831946755407654,0,1,0,0,0,0.428076256499133,0.0272572402044293,0
"13",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"14",0,0.129032258064516,0.991304347826087,0,0.824347826086957,0,0,0,0,0,0,0,0,1,0.169463087248322,0,0,0
"15",0,1,0,0,0,0.0681063122923588,0.436241610738255,0.0434083601286174,0.234710743801653,0,0,0,0,0.169463087248322,1,0,0,0
"16",0.199318568994889,0,0,0.046551724137931,0,0,0,0,0,0.0390492359932088,0.217537942664418,0.428076256499133,0,0,0,1,0,0
"17",0,0,0,0,0,0,0,0,0,1,0,0.0272572402044293,1,0,0,0,1,0
"18",0.768211920529801,0,0,1,0,0,0,0,0,0.0016366612111293,0.0374592833876222,0,0,0,0,0,0,1
