"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262"
"1",1,1,0.998435054773083,0.987138263665595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559157212317666,0.548286604361371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159305993690852,0.0349761526232114,0,0.0206022187004754,0,0.0497667185069984,0.0644654088050314,0.060702875399361,0,0,0,1,0.998484848484849,1,0.985804416403785,0.89873417721519,0.951612903225806,0.934640522875817,0.886614173228346,0.903069466882068,0.888178913738019,0.934817170111288,0.886547811993517,0.893030794165316,0.894321766561514,0.891935483870968,0.893964110929853,0.887675507020281,0.895071542130366,0.886178861788618,0.894654088050314,0.901771336553945,0.890675241157556,0.889967637540453,0.884105960264901,0.8944,0.889580093312597,0.894321766561514,0.892234548335975,0.896440129449838,0.890127388535032,0.8953125,0.883683360258481,0.911251980982567,0.893719806763285,0.887820512820513,0.891338582677165,0.900630914826498,0.889952153110048,0.898595943837754,0.892628205128205,0.893312101910828,0.887675507020281,0.891891891891892,0.906050955414013,0.915335463258786,0.883527454242928,0.898089171974522,0.892857142857143,0.894245723172628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998420221169036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.798751950078003,1,1,0.9696,1,1,1,1,1,1,0.959150326797386,1,1,1,1,1,1,1
"2",1,1,1,0.984177215189873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572555205047319,0.572769953051643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172897196261682,0.047244094488189,0,0.0241545893719807,0,0.054773082942097,0.0754716981132075,0.0691318327974277,0,0,0,1,1,1,0.982677165354331,0.901612903225806,0.944805194805195,0.930081300813008,0.881516587677725,0.902120717781403,0.884984025559105,0.930708661417323,0.880837359098229,0.887096774193548,0.892405063291139,0.889250814332248,0.887043189368771,0.88208269525268,0.891304347826087,0.881219903691814,0.884126984126984,0.900163666121113,0.882165605095541,0.888,0.8832,0.889415481832543,0.884194053208138,0.888888888888889,0.889415481832543,0.888888888888889,0.888535031847134,0.890453834115806,0.8784,0.902555910543131,0.887096774193548,0.882258064516129,0.886435331230284,0.895148669796557,0.885668276972625,0.889415481832543,0.885220125786163,0.886217948717949,0.883386581469649,0.888198757763975,0.899521531100478,0.911251980982567,0.878688524590164,0.8912,0.886855241264559,0.886255924170616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998402555910543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.797788309636651,1,1,0.965189873417722,1,1,1,1,1,1,0.951298701298701,1,1,1,1,1,1,1
"3",0.998435054773083,1,1,0.993798449612403,0.00159235668789809,0.0015748031496063,0.00154320987654321,0.00312989045383412,0.00150602409638554,0.00305343511450382,0.00157232704402516,0.00151285930408472,0.003125,0.00311526479750779,0.00294985250737463,0.00305810397553517,0.00308641975308642,0.00305343511450382,0.00309597523219814,0.003125,0.00303951367781155,0.576923076923077,0.578866768759571,0.00307219662058372,0.0031201248049922,0.00151975683890578,0.00295420974889217,0.00313971742543171,0.00153846153846154,0.00304878048780488,0.00153609831029186,0.00154320987654321,0.00153374233128834,0.0031201248049922,0.00307692307692308,0.0015527950310559,0.175038051750381,0.0431432973805855,0.00306748466257669,0.0264385692068429,0.00303030303030303,0.0583832335329341,0.0758725341426404,0.0676923076923077,0.0015748031496063,0.00154798761609907,0.00303030303030303,0.997045790251108,1,1,0.989280245022971,0.900311526479751,0.942635658914729,0.927672955974843,0.882442748091603,0.905511811023622,0.88390092879257,0.927914110429448,0.876602564102564,0.891304347826087,0.887366818873668,0.886821705426357,0.887658227848101,0.883408071748879,0.89209726443769,0.882539682539683,0.888198757763975,0.894736842105263,0.885758998435055,0.887171561051005,0.880877742946709,0.887519260400616,0.881559220389805,0.889226100151745,0.8910741301059,0.890092879256966,0.88503937007874,0.895865237366003,0.880804953560371,0.90282131661442,0.89060092449923,0.888549618320611,0.884969325153374,0.890937019969278,0.882170542635659,0.893939393939394,0.885625965996909,0.888024883359253,0.884146341463415,0.88030303030303,0.897035881435257,0.909090909090909,0.876582278481013,0.889408099688474,0.886581469648562,0.889894419306184,0.996850393700787,0.998422712933754,0.996870109546166,0.996889580093313,0.996840442338073,0.996923076923077,0.996835443037975,0.998442367601246,0.996845425867508,0.996908809891808,0.996937212863706,0.998459167950693,0.996865203761755,0.996969696969697,0.997037037037037,0.996840442338073,0.996870109546166,0.996932515337423,0.9984375,0.997005988023952,0.996955859969559,0.996951219512195,0.996879875195008,0.996899224806202,1,1,1,0.996960486322188,0.998430141287284,0.996860282574568,0.996960486322188,0.997001499250375,0.996932515337423,0.996992481203008,0.998439937597504,0.9984375,0.996923076923077,0.996946564885496,0.996941896024465,0.998447204968944,0.996974281391831,0.996937212863706,0.998417721518987,0.9984375,0.996946564885496,0.996965098634294,0.996870109546166,0.995363214837713,0.996918335901387,0.99702380952381,0.996932515337423,0.996941896024465,0.996875,0.996913580246914,0.996835443037975,0.998456790123457,0.996899224806202,0.996894409937888,0.99702823179792,0.998500749625187,0.996978851963746,0.996894409937888,0.998473282442748,0.998484848484849,0.998511904761905,0.996884735202492,0.996974281391831,0.996904024767802,0.998444790046656,0.996908809891808,0.996870109546166,0.996983408748115,0.996996996996997,0.996941896024465,0.998420221169036,0.998468606431853,0.996923076923077,0.998432601880878,0.996937212863706,0.996932515337423,0.996908809891808,0.996879875195008,0.996875,0.996927803379416,0.996825396825397,0.998473282442748,0.998415213946117,0.998435054773083,0.996951219512195,0.998447204968944,0.99685534591195,0.99685534591195,0.998522895125554,0.998480243161094,0.998468606431853,0.996955859969559,0.998505231689088,0.996978851963746,0.996889580093313,0.996937212863706,0.998461538461539,0.998496240601504,0.996965098634294,0.996899224806202,0.997032640949555,0.996913580246914,0.998484848484849,0.998466257668712,0.998432601880878,0.997010463378176,0.99685534591195,0.998484848484849,1,0.996941896024465,0.996815286624204,0.998484848484849,0.996913580246914,0.996894409937888,0.996946564885496,0.996820349761526,0.996923076923077,0.998442367601246,0.998452012383901,0.996932515337423,0.998491704374057,0.996978851963746,0.996908809891808,0.996918335901387,0.99685534591195,0.998430141287284,0.998470948012232,0.996879875195008,0.998432601880878,0.998449612403101,0.996923076923077,0.998468606431853,0.996865203761755,0.996870109546166,0.996904024767802,0.996860282574568,0.996810207336523,1,0.996983408748115,1,0.996865203761755,0.996908809891808,0.998394863563403,0.996927803379416,0.812971342383107,0.996904024767802,0.996996996996997,0.977099236641221,0.998422712933754,0.996810207336523,0.996904024767802,0.996941896024465,0.996923076923077,0.996941896024465,0.95389507154213,1,1,0.996894409937888,0.996987951807229,0.998422712933754,0.996875,1
"4",0.987138263665595,0.984177215189873,0.993798449612403,1,0.0112903225806452,0.0144927536231884,0.014308426073132,0.016025641025641,0.015527950310559,0.0186915887850467,0.0146341463414634,0.0140405616224649,0.0159235668789809,0.0204724409448819,0.0153374233128834,0.0124804992199688,0.0176282051282051,0.0199386503067485,0.0111642743221691,0.0207336523125997,0.0157232704402516,0.592948717948718,0.578947368421053,0.0159744408945687,0.0143540669856459,0.0156494522691706,0.0164917541229385,0.0177993527508091,0.0141065830721003,0.0190174326465927,0.0188087774294671,0.016025641025641,0.015748031496063,0.0174050632911392,0.0207336523125997,0.0140845070422535,0.190327613104524,0.0588235294117647,0.0141732283464567,0.0365079365079365,0.014018691588785,0.0675883256528418,0.0885093167701863,0.0855784469096672,0.0175438596491228,0.0157728706624606,0.0127186009538951,0.98159509202454,0.987878787878788,0.990369181380417,1,0.900316455696203,0.940894568690096,0.925566343042071,0.872670807453416,0.897271268057785,0.881329113924051,0.924882629107981,0.871382636655949,0.880952380952381,0.877551020408163,0.883495145631068,0.879084967320261,0.875776397515528,0.8875,0.87620578778135,0.879365079365079,0.893890675241158,0.875598086124402,0.880314960629921,0.871335504885994,0.886075949367089,0.870866141732283,0.881435257410296,0.88597842835131,0.88006230529595,0.886942675159236,0.89060092449923,0.874003189792663,0.904238618524333,0.879120879120879,0.883942766295707,0.88503937007874,0.884375,0.879173290937997,0.891975308641975,0.881703470031546,0.882636655948553,0.881703470031546,0.878315132605304,0.888357256778309,0.905864197530864,0.871961102106969,0.887658227848101,0.887438825448613,0.88125,0.984,0.985483870967742,0.979876160990712,0.982649842271293,0.980582524271845,0.981538461538462,0.979032258064516,0.9826224328594,0.984202211690363,0.984177215189873,0.982704402515723,0.98876404494382,0.98116169544741,0.981707317073171,0.983383685800604,0.980519480519481,0.984126984126984,0.984301412872841,0.987117552334944,0.983050847457627,0.981042654028436,0.98125,0.985507246376812,0.981042654028436,0.9888,0.984350547730829,0.987361769352291,0.984350547730829,0.987179487179487,0.9824,0.982998454404946,0.983206106870229,0.984227129337539,0.981679389312977,0.98256735340729,0.9828125,0.979397781299525,0.982649842271293,0.985804416403785,0.985736925515055,0.983308042488619,0.984301412872841,0.985576923076923,0.9826224328594,0.982785602503912,0.98297213622291,0.984152139461173,0.979233226837061,0.982286634460548,0.983257229832572,0.981072555205047,0.982892690513219,0.985530546623794,0.9826224328594,0.985691573926868,0.985576923076923,0.9856,0.980769230769231,0.981707317073171,0.982866043613707,0.9858934169279,0.984227129337539,0.987341772151899,0.987654320987654,0.984939759036145,0.979559748427673,0.986196319018405,0.984,0.984126984126984,0.979623824451411,0.987117552334944,0.981337480559876,0.981424148606811,0.979782270606532,0.987220447284345,0.982866043613707,0.979397781299525,0.98876404494382,0.979559748427673,0.979623824451411,0.982428115015974,0.980830670926518,0.980982567353407,0.981132075471698,0.980982567353407,0.984051036682616,0.980327868852459,0.982731554160126,0.985804416403785,0.987240829346092,0.980861244019139,0.982229402261712,0.983433734939759,0.986196319018405,0.984544049459042,0.984101748807631,0.986175115207373,0.97984496124031,0.980582524271845,0.984447900466563,0.985849056603774,0.987577639751553,0.988924050632911,0.981308411214953,0.979719188767551,0.984301412872841,0.9875,0.984301412872841,0.98876404494382,0.982731554160126,0.985781990521327,0.984447900466563,0.987711213517665,0.984375,0.985483870967742,0.983076923076923,0.981220657276995,0.980861244019139,0.984567901234568,0.983818770226537,0.981424148606811,0.985759493670886,0.987179487179487,0.97933227344992,0.981220657276995,0.982704402515723,0.982456140350877,0.982511923688394,0.9856,0.984101748807631,0.984251968503937,0.980891719745223,0.983870967741935,0.985849056603774,0.982649842271293,0.986003110419907,0.987012987012987,0.978861788617886,0.982677165354331,0.980982567353407,0.983633387888707,0.988871224165342,0.982371794871795,0.984447900466563,0.98202614379085,0.985413290113452,0.983471074380165,0.982484076433121,0.822152886115445,0.982704402515723,0.983128834355828,1,0.985413290113452,0.978653530377668,0.987341772151899,0.984101748807631,0.984251968503937,0.9826224328594,0.946601941747573,0.982731554160126,0.984567901234568,0.981102362204724,0.98297213622291,0.986885245901639,0.9824,0.986089644513138
"5",0,0,0.00159235668789809,0.0112903225806452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.417077175697865,0.429037520391517,1,1,1,1,1,1,1,1,1,1,1,1,1,0.837620578778135,0.957860615883306,1,0.976935749588138,1,0.944620253164557,0.9296,0.933977455716586,1,1,1,0,0,0,0.0147299509001637,0.06957928802589,0.0345963756177924,0.0475409836065574,0.0867430441898527,0.0749185667752443,0.0838815789473684,0.0533117932148627,0.0846905537459283,0.076158940397351,0.0791599353796446,0.0838815789473684,0.0830508474576271,0.0904761904761905,0.0819935691318328,0.0880398671096345,0.0838815789473684,0.0752508361204013,0.087603305785124,0.0805921052631579,0.0868113522537563,0.0794701986754967,0.0881410256410256,0.0848,0.0803858520900322,0.0784313725490196,0.0818330605564648,0.0831973898858075,0.0915032679738562,0.0706260032102729,0.0833333333333333,0.0830618892508143,0.0842787682333874,0.0760517799352751,0.0838815789473684,0.080952380952381,0.088,0.0810372771474878,0.0884244372990354,0.0852459016393443,0.0789473684210526,0.0611916264090177,0.0910652920962199,0.0780487804878049,0.076271186440678,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18312101910828,0,0,0.0308441558441558,0,0,0,0,0,0,0.0354131534569983,0,0,0,0,0,0,0
"6",0,0,0.0015748031496063,0.0144927536231884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.419871794871795,0.419558359621451,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,0.953301127214171,1,0.9792,1,0.94679186228482,0.930047694753577,0.936688311688312,1,1,1,0,0.00152671755725191,0,0.0173228346456693,0.0787781350482315,0.0455284552845528,0.0571895424836601,0.0940988835725678,0.0827922077922078,0.0996732026143791,0.0653907496012759,0.0980392156862745,0.0888529886914378,0.0890302066772655,0.092948717948718,0.0852459016393443,0.0934579439252336,0.0887480190174326,0.0960912052117264,0.0896,0.0779436152570481,0.0943089430894309,0.0887096774193548,0.0942148760330579,0.0884244372990354,0.0944,0.0897637795275591,0.0822981366459627,0.0851063829787234,0.0879478827361563,0.0903328050713154,0.0954692556634304,0.0755627009646302,0.0950080515297907,0.0889621087314662,0.0894568690095847,0.0850722311396469,0.0917874396135266,0.0838509316770186,0.0898876404494382,0.0887096774193548,0.0890302066772655,0.0932475884244373,0.0805152979066023,0.0715421303656598,0.101180438448567,0.0923566878980892,0.0868852459016393,0.0913385826771654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187697160883281,0,0,0.032258064516129,0,0,0,0,0,0,0.0431893687707641,0,0,0,0,0,0,0
"7",0,0,0.00154320987654321,0.014308426073132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.431781701444623,0.434312210200927,1,1,1,1,1,1,1,1,1,1,1,1,1,0.823712948517941,0.948635634028893,1,0.976152623211447,1,0.936923076923077,0.919129082426128,0.923809523809524,1,1,1,0,0.00150602409638554,0,0.0156985871271586,0.0698412698412698,0.0340909090909091,0.0470779220779221,0.080952380952381,0.0656,0.0845295055821372,0.05625,0.0865384615384615,0.0828025477707006,0.0786163522012579,0.0741935483870968,0.0858085808580858,0.0834621329211747,0.073015873015873,0.0793650793650794,0.0762052877138414,0.066884176182708,0.0772870662460568,0.0823909531502423,0.0829268292682927,0.0794912559618442,0.0825545171339564,0.080188679245283,0.0724409448818898,0.08,0.080824088748019,0.0724409448818898,0.080952380952381,0.0658307210031348,0.0796178343949045,0.0788643533123028,0.0818897637795276,0.0811638591117917,0.0811232449297972,0.0658307210031348,0.080952380952381,0.0791139240506329,0.0757097791798107,0.081377151799687,0.0697305863708399,0.0661417322834646,0.0844370860927152,0.0760697305863708,0.0808580858085809,0.0765696784073507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201248049921997,0,0,0.0317460317460317,0,0,0,0,0,0,0.0407830342577488,0,0,0,0,0,0,0
"8",0,0,0.00312989045383412,0.016025641025641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.429252782193959,0.431034482758621,1,1,1,1,1,1,1,1,1,1,1,1,1,0.830963665086888,0.954041204437401,1,0.978964401294498,1,0.944700460829493,0.924764890282132,0.931746031746032,1,1,1,0,0.00152671755725191,0,0.0157977883096366,0.0806451612903226,0.0437601296596434,0.0600649350649351,0.0996835443037975,0.0813008130081301,0.0993589743589744,0.0660377358490566,0.1,0.096,0.0965189873417722,0.0978792822185971,0.0998363338788871,0.0992248062015504,0.0888888888888889,0.102439024390244,0.0932475884244373,0.0849673202614379,0.0992125984251968,0.0959349593495935,0.0967741935483871,0.0871632329635499,0.0998439937597504,0.0982839313572543,0.0919003115264797,0.0965189873417722,0.0971337579617834,0.0879120879120879,0.103896103896104,0.0816,0.096,0.10016155088853,0.0963665086887836,0.0940438871473354,0.0984126984126984,0.0883280757097792,0.0944,0.0954692556634304,0.0941915227629513,0.100787401574803,0.0916398713826367,0.0738993710691824,0.100164203612479,0.0951612903225806,0.0973154362416107,0.0930599369085174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2018779342723,0,0,0.0353130016051364,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0
"9",0,0,0.00150602409638554,0.015527950310559,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.431034482758621,0.443251533742331,1,1,1,1,1,1,1,1,1,1,1,1,1,0.818320610687023,0.952904238618524,1,0.981510015408321,1,0.948872180451128,0.928353658536585,0.93613707165109,1,1,1,0,0.00147275405007364,0,0.0171606864274571,0.0848765432098765,0.0499219968798752,0.0617088607594937,0.100308641975309,0.0782472613458529,0.100931677018634,0.0646153846153846,0.0979782270606532,0.0923317683881064,0.0911901081916538,0.0984375,0.0939490445859873,0.102255639097744,0.0946564885496183,0.102685624012638,0.0955315870570108,0.0868878357030016,0.093167701863354,0.0948678071539658,0.101587301587302,0.0966257668711656,0.0972644376899696,0.0961240310077519,0.0931297709923664,0.0955315870570108,0.100946372239748,0.0910493827160494,0.10062893081761,0.0793157076205288,0.0930232558139535,0.0958268933539413,0.0953101361573374,0.0911854103343465,0.0965732087227414,0.0867579908675799,0.0921658986175115,0.0961240310077519,0.0949464012251149,0.10105580693816,0.0848765432098765,0.0706605222734255,0.106109324758842,0.0965732087227414,0.0950080515297907,0.0937972768532526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153374233128834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191063174114022,0,0,0.0336906584992343,0,0,0,0,0,0,0.0431309904153355,0,0,0,0,0,0,0
"10",0,0,0.00305343511450382,0.0186915887850467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.439749608763693,0.437596302003082,1,1,1,1,1,1,1,1,1,1,1,1,1,0.828483920367534,0.956181533646322,1,0.978159126365055,1,0.947129909365559,0.93161094224924,0.932917316692668,1,1,1,0,0.00149476831091181,0,0.0170807453416149,0.0866141732283465,0.0487421383647799,0.0632911392405063,0.101515151515152,0.0854430379746835,0.0979782270606532,0.0615384615384615,0.103125,0.0947867298578199,0.0977099236641221,0.0963665086887836,0.0938511326860841,0.101515151515152,0.0914728682170543,0.0993690851735016,0.0961240310077519,0.083596214511041,0.0953125,0.093558282208589,0.102685624012638,0.0925925925925926,0.102918586789555,0.0960365853658537,0.0942812982998454,0.0965189873417722,0.0998439937597504,0.0916149068322981,0.101404056162246,0.0811232449297972,0.0919003115264797,0.0954616588419405,0.102484472049689,0.0920245398773006,0.0959119496855346,0.0909090909090909,0.0975232198142415,0.0951638065522621,0.0977099236641221,0.100609756097561,0.0868217054263566,0.0789473684210526,0.106623586429725,0.0954616588419405,0.0925324675324675,0.0965309200603318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015600624024961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19478527607362,0,0,0.0345368916797488,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
