"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,1,1,0.996810207336523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118380062305296,0.151468315301391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00627943485086342,0,0,0,0,0,0,0,0,0,0,1,1,1,0.998422712933754,0.00313479623824451,0.57433489827856,0.410658307210031,0.00458015267175573,0.0062111801242236,0.0046875,0.0925925925925926,0.00486223662884927,0.00613496932515337,0.00611620795107034,0.00612557427258806,0.00462249614791988,0.0030441400304414,0.0045045045045045,0.00623052959501558,0.00617283950617284,0.0064,0.00314465408805031,0.00630914826498423,0.00626959247648903,0.0208333333333333,0.003125,0.0045662100456621,0.0062111801242236,0.00625978090766823,0.00622083981337481,0.0045662100456621,0.00470957613814757,0.00157232704402516,0.0506134969325153,0.00453857791225416,0.00457317073170732,0.00646203554119548,0.0046801872074883,0.00627943485086342,0.00642054574638844,0.0046583850931677,0.0061633281972265,0.00312989045383412,0.00152671755725191,0.0031496062992126,0.003125,0.0110236220472441,0.00487012987012987,0.00630914826498423,0.996927803379416,0.997019374068554,0.995297805642633,0.993579454253612,0.995283018867924,0.996815286624204,0.996899224806202,0.995268138801262,0.995319812792512,0.996937212863706,0.998475609756098,0.996850393700787,0.996875,0.995245641838352,0.995341614906832,0.996937212863706,0.992354740061162,0.99388379204893,0.995297805642633,0.995341614906832,0.996894409937888,0.992272024729521,0.996710526315789,0.995169082125604,0.993827160493827,0.995398773006135,0.99347471451876,0.996763754045307,0.993690851735016,0.995245641838352,0.993769470404984,0.998432601880878,0.995433789954338,0.996960486322188,0.996870109546166,0.995419847328244,0.996865203761755,0.995426829268293,0.996840442338073,0.993720565149137,0.996927803379416,0.996870109546166,0.995275590551181,0.995290423861852,0.995363214837713,0.995356037151703,0.992378048780488,0.993506493506494,0.995192307692308,0.993579454253612,0.995253164556962,0.995412844036697,0.995398773006135,0.998439937597504,0.995245641838352,0.995238095238095,0.996937212863706,0.995238095238095,0.996927803379416,0.99537750385208,0.995260663507109,0.996830427892235,0.996845425867508,0.993680884676145,0.998442367601246,0.995297805642633,0.998420221169036,0.995356037151703,0.992343032159265,0.996860282574568,0.995260663507109,0.992354740061162,0.993650793650794,0.996794871794872,0.998432601880878,0.992163009404389,0.995260663507109,0.996825396825397,0.995398773006135,0.996879875195008,0.995419847328244,0.994011976047904,0.995260663507109,0.998430141287284,0.996850393700787,0.99537037037037,0.998376623376623,0.995283018867924,0.996879875195008,0.993558776167472,0.992260061919505,0.99537037037037,0.995426829268293,0.998456790123457,0.992307692307692,0.993788819875776,0.996894409937888,0.996779388083736,0.995268138801262,0.992307692307692,0.998435054773083,0.99537750385208,0.995253164556962,0.995253164556962,0.995245641838352,0.993808049535604,0.998439937597504,0.996983408748115,0.995290423861852,0.996794871794872,0.995327102803738,0.995230524642289,0.995260663507109,0.995391705069124,0.995348837209302,0.993817619783617,0.995268138801262,0.992248062015504,0.99347471451876,0.995319812792512,0.993720565149137,0.995363214837713,0.996884735202492,0.99537037037037,0.995426829268293,0.99375,0.996840442338073,0.995419847328244,0.995297805642633,0.998444790046656,0.9968,0.995222929936306,0.996726677577741,1,0.998484848484849,0.992378048780488,0.996951219512195,0.9953125,0.996889580093313,0.99375,0.996927803379416,0.993817619783617,0.995297805642633,0.993827160493827,0.996918335901387,0.995145631067961,0.992378048780488,0.993700787401575
"2",1,1,1,0.996870109546166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102362204724409,0.126365054602184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476947535771065,0,0,0,0,0,0,0,0,0,0,1,1,1,0.998412698412698,0.00474683544303797,0.565768621236133,0.399366085578447,0.00307692307692308,0.00470219435736677,0.00316957210776545,0.0860215053763441,0.00165016501650165,0.00474683544303797,0.0046583850931677,0.00471698113207547,0.00476190476190476,0.00152671755725191,0.00301659125188537,0.0046801872074883,0.00462249614791988,0.00492610837438424,0.00158478605388273,0.00311526479750779,0.00469483568075117,0.0189873417721519,0.0015600624024961,0.00459418070444104,0.0046875,0.00470219435736677,0.0046801872074883,0.00459418070444104,0.00316455696202532,0.00156985871271586,0.0435458786936236,0.00304878048780488,0.00308166409861325,0.00324149108589951,0.00475435816164818,0.00318471337579618,0.004739336492891,0.00313971742543171,0.004739336492891,0.00318471337579618,0.00309119010819165,0.00156985871271586,0.00158478605388273,0.00646203554119548,0.00496688741721854,0.00476947535771065,0.996918335901387,0.998466257668712,0.996860282574568,0.995245641838352,0.995290423861852,0.998384491114701,0.996904024767802,0.998392282958199,0.996870109546166,1,1,0.9968,0.998405103668262,0.996810207336523,0.998449612403101,0.9984375,0.993827160493827,0.995268138801262,0.995222929936306,0.996875,0.996865203761755,0.993700787401575,0.99670510708402,0.998397435897436,0.995238095238095,0.996908809891808,0.995098039215686,0.998402555910543,0.993670886075949,0.996810207336523,0.995327102803738,0.996820349761526,0.996884735202492,0.997010463378176,0.998422712933754,0.996987951807229,0.998442367601246,0.995319812792512,1,0.993650793650794,0.996899224806202,0.996879875195008,0.996875,0.996794871794872,0.998432601880878,0.996889580093313,0.993920972644377,0.995207667731629,0.996830427892235,0.993579454253612,0.995245641838352,0.996899224806202,0.996951219512195,0.998420221169036,0.995222929936306,0.996789727126806,0.998452012383901,0.996825396825397,0.998444790046656,0.996879875195008,0.996889580093313,0.996810207336523,0.996870109546166,0.995238095238095,0.996850393700787,0.996889580093313,1,0.996870109546166,0.99388379204893,0.998430141287284,0.996784565916399,0.995334370139969,0.995137763371151,0.996779388083736,0.996908809891808,0.993827160493827,0.996815286624204,0.998407643312102,0.996899224806202,0.996894409937888,0.996927803379416,0.995461422087746,0.996747967479675,0.998392282958199,0.998410174880763,0.996894409937888,1,0.99685534591195,0.9984375,0.993690851735016,0.993788819875776,0.996825396825397,0.996946564885496,0.998452012383901,0.993690851735016,0.996865203761755,0.998417721518987,0.995049504950495,0.998412698412698,0.99388379204893,0.996860282574568,0.996889580093313,0.996830427892235,0.996840442338073,0.996825396825397,0.9953125,0.998439937597504,0.996951219512195,0.996820349761526,0.996830427892235,0.996860282574568,0.996825396825397,0.9968,0.996923076923077,0.998427672955975,0.995363214837713,0.995363214837713,0.995260663507109,0.996753246753247,0.998459167950693,0.995275590551181,0.996884735202492,0.998435054773083,0.998420221169036,0.996923076923077,0.995363214837713,0.998384491114701,0.996927803379416,0.998420221169036,0.998447204968944,0.998392282958199,0.996810207336523,0.99672131147541,0.998452012383901,0.998484848484849,0.993788819875776,0.996946564885496,0.996870109546166,0.996845425867508,0.995341614906832,0.998427672955975,0.995245641838352,0.996835443037975,0.995334370139969,0.998425196850394,0.996815286624204,0.993836671802773,0.995153473344103
"3",1,1,1,0.996805111821086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13251155624037,0.15689381933439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00632911392405063,0,0,0,0,0,0,0,0,0,0,1,1,1,0.998407643312102,0.0062992125984252,0.603448275862069,0.439178515007899,0.00768049155145929,0.0078003120124805,0.0062992125984252,0.104361370716511,0.00811688311688312,0.00933125972006221,0.00914634146341463,0.00934579439252336,0.00770416024653313,0.00605143721633888,0.00763358778625954,0.00625978090766823,0.00918836140888208,0.00985221674876847,0.00796178343949045,0.00796178343949045,0.00775193798449612,0.0224719101123595,0.00467289719626168,0.00766871165644172,0.00940438871473354,0.00947867298578199,0.00921658986175115,0.00619195046439629,0.00631911532385466,0.0031496062992126,0.0497667185069984,0.0075642965204236,0.00602409638554217,0.00483870967741936,0.00783699059561128,0.00802568218298555,0.00811688311688312,0.00782472613458529,0.00923076923076923,0.00636942675159236,0.0030441400304414,0.00798722044728434,0.00792393026941363,0.0110759493670886,0.00805152979066022,0.00793650793650794,0.993855606758833,0.995433789954338,0.993740219092332,0.99198717948718,0.992163009404389,0.993700787401575,0.993798449612403,0.99347471451876,0.993788819875776,0.993948562783661,0.996960486322188,0.993640699523052,0.995253164556962,0.993640699523052,0.993730407523511,0.992435703479576,0.989280245022971,0.990740740740741,0.992211838006231,0.992248062015504,0.993720565149137,0.992175273865415,0.995008319467554,0.993680884676145,0.992088607594937,0.993920972644377,0.99349593495935,0.995114006514658,0.990683229813665,0.99211356466877,0.99079754601227,0.995297805642633,0.99079754601227,0.995356037151703,0.995253164556962,0.992435703479576,0.996865203761755,0.992283950617284,0.996815286624204,0.990461049284579,0.995454545454545,0.993740219092332,0.993779160186625,0.993710691823899,0.993836671802773,0.992307692307692,0.98937784522003,0.990369181380417,0.992138364779874,0.990369181380417,0.99211356466877,0.992295839753467,0.992295839753467,0.995275590551181,0.992,0.992050874403816,0.995412844036697,0.992076069730586,0.992260061919505,0.993730407523511,0.993788819875776,0.993680884676145,0.993798449612403,0.992211838006231,0.995348837209302,0.993670886075949,0.995297805642633,0.995348837209302,0.989247311827957,0.992223950233281,0.991961414790997,0.990769230769231,0.990415335463259,0.993680884676145,0.996894409937888,0.989096573208723,0.993690851735016,0.992175273865415,0.992458521870287,0.993874425727412,0.992223950233281,0.994011976047904,0.9936,0.993700787401575,0.9936,0.992223950233281,0.995114006514658,0.992223950233281,0.993700787401575,0.990566037735849,0.990521327014218,0.992199687987519,0.992458521870287,0.993874425727412,0.989079563182527,0.99211356466877,0.992125984251969,0.99347471451876,0.995268138801262,0.990769230769231,0.99537750385208,0.992211838006231,0.992088607594937,0.993690851735016,0.99211356466877,0.989113530326594,0.993808049535604,0.995391705069124,0.992199687987519,0.995238095238095,0.993798449612403,0.992088607594937,0.993670886075949,0.993855606758833,0.993680884676145,0.990867579908676,0.990639625585023,0.992076069730586,0.991883116883117,0.993808049535604,0.990697674418605,0.993798449612403,0.995283018867924,0.995290423861852,0.99236641221374,0.99079754601227,0.993730407523511,0.992307692307692,0.995348837209302,0.996860282574568,0.995222929936306,0.992076069730586,0.993620414673046,0.996918335901387,0.998468606431853,0.989345509893455,0.995426829268293,0.99375,0.995327102803738,0.992283950617284,0.992223950233281,0.992211838006231,0.992150706436421,0.992150706436421,0.992223950233281,0.992025518341308,0.990881458966565,0.990445859872611
"4",0.996810207336523,0.996870109546166,0.996805111821086,1,0.0016025641025641,0.00157977883096367,0.00162337662337662,0.00162337662337662,0,0.0016,0.00166112956810631,0.00159744408945687,0.00156985871271586,0.00154798761609907,0.00159235668789809,0.0015600624024961,0,0.00157977883096367,0,0.0016366612111293,0.00161290322580645,0.118022328548644,0.146496815286624,0.0016025641025641,0.0016,0.00155763239875389,0.00155763239875389,0.00165289256198347,0.00154559505409583,0.00163132137030995,0.0016,0,0.00159235668789809,0,0.00162337662337662,0.00162866449511401,0.00482315112540193,0,0.00162074554294976,0.00158227848101266,0,0,0.0016025641025641,0,0.00157728706624606,0.00161290322580645,0.00158730158730159,0.995341614906832,0.996820349761526,1,1,0.00807754442649435,0.598070739549839,0.418831168831169,0.00783699059561128,0.0110584518167457,0.0095389507154213,0.0919175911251981,0.00658978583196046,0.00941915227629513,0.0110410094637224,0.010989010989011,0.00943396226415094,0.00778816199376947,0.00933125972006221,0.0094488188976378,0.00801282051282051,0.0116279069767442,0.00647249190938511,0.00796178343949045,0.00955414012738853,0.0226904376012966,0.00789889415481832,0.00625,0.0110584518167457,0.0093603744149766,0.0109546165884194,0.0109204368174727,0.00794912559618442,0.00643086816720257,0.0458135860979463,0.00771604938271605,0.008,0.00822368421052632,0.0112721417069243,0.00981996726677578,0.0115131578947368,0.00955414012738853,0.0112,0.00974025974025974,0.0046875,0.00806451612903226,0.00803858520900321,0.0129659643435981,0.00983606557377049,0.00964630225080386,0.9921875,0.990551181102362,0.988871224165342,0.988617886178862,0.98876404494382,0.99185667752443,0.991974317817014,0.990430622009569,0.988835725677831,0.995334370139969,0.995290423861852,0.988691437802908,0.99198717948718,0.990445859872611,0.990415335463259,0.990595611285266,0.987421383647799,0.988888888888889,0.988727858293076,0.988835725677831,0.989130434782609,0.988888888888889,0.993162393162393,0.99021207177814,0.988888888888889,0.990625,0.986820428336079,0.990243902439024,0.985576923076923,0.988782051282051,0.988924050632911,0.9904,0.990610328638498,0.990712074303406,0.993506493506494,0.989247311827957,0.993517017828201,0.990536277602524,0.993517017828201,0.985623003194888,0.992283950617284,0.988958990536278,0.990445859872611,0.990291262135922,0.992050874403816,0.990521327014218,0.986217457886677,0.988673139158576,0.99185667752443,0.98858075040783,0.987321711568938,0.989028213166144,0.990683229813665,0.9936,0.988727858293076,0.990353697749196,0.992163009404389,0.990445859872611,0.992125984251969,0.992101105845182,0.991961414790997,0.991896272285251,0.990353697749196,0.990415335463259,0.990445859872611,0.990461049284579,0.996825396825397,0.988976377952756,0.987577639751553,0.990476190476191,0.99025974025974,0.987421383647799,0.9888,0.991922455573506,0.992025518341308,0.987596899224806,0.990322580645161,0.990322580645161,0.992138364779874,0.992236024844721,0.990461049284579,0.990839694656489,0.993485342019544,0.993517017828201,0.991883116883117,0.988958990536278,0.993388429752066,0.988871224165342,0.990384615384615,0.987179487179487,0.988853503184713,0.988817891373802,0.990769230769231,0.995305164319249,0.985736925515055,0.990536277602524,0.990445859872611,0.988505747126437,0.991909385113269,0.987538940809969,0.9936,0.990506329113924,0.988599348534202,0.988617886178862,0.990595611285266,0.987220447284345,0.992050874403816,0.989130434782609,0.98876404494382,0.990082644628099,0.9888,0.988727858293076,0.99198717948718,0.990625,0.990491283676704,0.989010989010989,0.988871224165342,0.988906497622821,0.990066225165563,0.990521327014218,0.98740157480315,0.992199687987519,0.99203821656051,0.992012779552716,0.989045383411581,0.987441130298273,0.991961414790997,0.989180834621329,0.991830065359477,0.995245641838352,0.991776315789474,0.988562091503268,0.988562091503268,0.995334370139969,0.993779160186625,0.987480438184664,0.99075500770416,0.993730407523511,0.995169082125604,0.990566037735849,0.992063492063492,0.988727858293076,0.99025974025974,0.988958990536278,0.990668740279938,0.991803278688525,0.987596899224806,0.987012987012987
"5",0,0,0,0.0016025641025641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.860095389507154,0.830985915492958,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9872,1,1,1,1,1,1,1,1,1,1,0,0,0,0.00321027287319422,0,0.0192616372391653,0.0141955835962145,0,0,0,0.00788643533123028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0.00157977883096367,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.856920684292379,0.8375,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988691437802908,1,1,1,1,1,1,1,1,1,1,0,0,0,0.00317460317460317,0,0.0236593059936909,0.0172143974960876,0,0,0,0.00788643533123028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031201248049922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0.00162337662337662,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.872611464968153,0.837620578778135,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987158908507223,1,1,1,1,1,1,1,1,1,1,0,0,0,0.00328947368421053,0,0.0163398692810458,0.0112540192926045,0,0,0,0.0063391442155309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316957210776545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0.00162337662337662,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.858914728682171,0.833592534992224,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990506329113924,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0032258064516129,0,0.0205696202531646,0.0171875,0,0,0,0.00775193798449612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312989045383412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.871913580246914,0.845679012345679,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990639625585023,1,1,1,1,1,1,1,1,1,1,0,0,0,0.00158730158730159,0,0.0173775671406003,0.014218009478673,0,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303490136570561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0.0016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.857805255023184,0.831546707503829,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987654320987654,1,1,1,1,1,1,1,1,1,1,0,0,0,0.00317460317460317,0,0.0203442879499218,0.015527950310559,0,0,0,0.00766871165644172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031055900621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
