"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,1,0.847222222222222,0.800632911392405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.838905775075988,0.800940438871473,0.00319488817891374,0,0,0.00153374233128834,0.0047244094488189,0.00153609831029186,0.00154320987654321,0.00155763239875389,0.0015600624024961,0.00152671755725191,0.0015600624024961,0,0.00161290322580645,0.00154083204930663,0.0015527950310559,0.00154320987654321,0.0202492211838006,0.0015552099533437,0.00158982511923688,0,0.00155763239875389,0.00157728706624606,0.00155038759689922,0.00153139356814701,0.0015748031496063,0.00157728706624606,0.00154083204930663,0.00157728706624606,0.00154798761609907,0,0.0015527950310559,0.0015220700152207,0,0.00154559505409583,0,0.00154798761609907,0.0015748031496063,0.00156985871271586,0,0,0.00152905198776758,0.0015748031496063,0,0.00156739811912226,0.00152905198776758,0.5765625,0,0,0,0,0.0575079872204473,0.167974882260597,0.153965785381026,0,0.0596330275229358,0,0,0.055205047318612,0.0529595015576324,0.567233384853168,0.0402576489533011,0,0,0,0.580645161290323,0.151001540832049,0,0,0.178060413354531,0,0.566455696202532,0,0.586370839936609,0,0,0,0.576982892690513,0,0,0.096875,0.00784929356357928,0.158631415241058,0,0.167471819645733,0,0,0.15670436187399,0.00775193798449612,0.187306501547988,0.189735614307932,0.177195685670262,0,0,0,0,0,0.332273449920509,0.00154559505409583,0.101538461538462,0,0.574766355140187,0.080188679245283,0,0,0.586583463338534,0,0.0813253012048193,0,0,0.578125,0.412225705329154,0,0,0,0.189952904238619,0.201892744479495,0,0,0,0.168929110105581,0,0.1712,0.1408,0.00478468899521531,0,0.00154559505409583,0,0.17425431711146,0,0.0412844036697248,0,0.155624036979969,0.0482866043613707,0.574803149606299,0,0,0.169230769230769,0.167721518987342,0.191455696202532,0,0,0.0421216848673947,0,0,0,0.560821484992101,0.590111642743222,0.0647249190938511,0.555727554179567,0.577223088923557,0,0.581679389312977,0.086232980332829,0.586626139817629,0.0544323483670296,0,0.484326018808777,0,0.151057401812689,0.161648177496038,0.00622083981337481,0,0,0,0.0416666666666667,0,0.0451010886469673,0.0688575899843505,0.579185520361991,0.0714285714285714,0,0.588588588588589,0.0441400304414003,0.00159744408945687,0.583860759493671,0.594383775351014,0,0,0,0.590490797546012,0,0.175078864353312,0,0.00327332242225859,0,0.575427682737169,0,0.0698757763975155,0,0.589905362776025,0.610169491525424,0,0
"2",1,1,0.860282574568289,0.821766561514196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00322061191626409,0.00618238021638331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998463901689708,1,0.858712715855573,0.816164817749604,0.00163934426229508,0,0,0.00157977883096367,0.00478468899521531,0.00155038759689922,0.00625,0.00159235668789809,0.00158478605388273,0,0.00159744408945687,0.0016025641025641,0,0.00153139356814701,0.00159235668789809,0.00158730158730159,0.0173775671406003,0.00159489633173844,0.00159235668789809,0,0.00156739811912226,0,0,0,0.00158227848101266,0.00157977883096367,0.00157977883096367,0.00162337662337662,0.00154083204930663,0,0.00157977883096367,0,0.00154083204930663,0.00157977883096367,0.00154798761609907,0.00156494522691706,0.00158730158730159,0.00159744408945687,0,0.00158982511923688,0.00153846153846154,0.00158982511923688,0,0.00161290322580645,0,0.563779527559055,0,0,0,0,0.0612903225806452,0.15569823434992,0.1488,0,0.0605590062111801,0,0,0.0522875816993464,0.0520504731861199,0.556414219474498,0.0390879478827362,0,0,0,0.570532915360502,0.146379044684129,0,0,0.164817749603803,0,0.555194805194805,0,0.575277337559429,0,0,0,0.562998405103668,0,0,0.0984126984126984,0.00946372239747634,0.145085803432137,0,0.161500815660685,0,0,0.150819672131148,0.00782472613458529,0.177952755905512,0.172573189522342,0.1671826625387,0,0,0,0,0,0.317460317460317,0.00156494522691706,0.097331240188383,0,0.55607476635514,0.0760697305863708,0,0,0.570522979397781,0,0.0817901234567901,0,0,0.558917197452229,0.377207062600321,0,0,0,0.175718849840256,0.192616372391653,0,0,0,0.157012195121951,0,0.155482815057283,0.12987012987013,0.00324149108589951,0,0.00161030595813205,0,0.165079365079365,0,0.046875,0,0.149842271293375,0.0489731437598736,0.567043618739903,0,0,0.160741885625966,0.147909967845659,0.178571428571429,0,0,0.0421875,0,0,0,0.5456,0.575079872204473,0.070840197693575,0.533018867924528,0.562101910828026,0,0.572085889570552,0.0826952526799387,0.56989247311828,0.0527950310559006,0,0.465625,0,0.139103554868624,0.151857835218094,0.00314465408805031,0,0,0,0.0438871473354232,0,0.0442338072669826,0.0673076923076923,0.569678407350689,0.0753532182103611,0,0.564220183486238,0.0459418070444104,0.0016366612111293,0.57484076433121,0.579527559055118,0,0,0,0.575471698113208,0,0.168,0,0.00328407224958949,0,0.559241706161137,0,0.0673981191222571,0,0.576298701298701,0.590417310664606,0,0
"3",0.847222222222222,0.860282574568289,1,0.973478939157566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1744,0.18622848200313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00474683544303797,0.00154083204930663,0,0.00162866449511401,0,0.00154320987654321,0.00153374233128834,0,0,0,0,0.846270928462709,0.86053882725832,1,0.971246006389776,0,0.0869565217391304,0.0170807453416149,0,0.00159235668789809,0,0.15962441314554,0,0,0,0,0,0,0,0,0,0.00475435816164818,0,0,0,0,0,0,0,0,0,0,0,0,0.00309119010819165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4064,0,0,0.0016,0.00153139356814701,0.0142857142857143,0.0665610142630745,0.053968253968254,0.0016,0.0125588697017268,0.00158982511923688,0,0.0144230769230769,0.0155038759689922,0.405572755417957,0.00802568218298555,0.00773993808049536,0,0,0.432601880877743,0.0559875583203732,0,0,0.0625,0.0016,0.397476340694006,0,0.422647527910686,0,0.00158982511923688,0,0.4016,0,0,0.0396196513470681,0.0078740157480315,0.0595611285266458,0,0.0715447154471545,0,0,0.0689655172413793,0.00641025641025641,0.0590979782270607,0.0747663551401869,0.0737833594976452,0,0,0.00157728706624606,0.00153609831029186,0.00154083204930663,0.1664,0,0.0485133020344288,0.00159489633173844,0.413522012578616,0.028169014084507,0,0,0.434169278996865,0,0.0309119010819165,0,0,0.411483253588517,0.249597423510467,0,0.00316957210776545,0,0.0776545166402536,0.0821484992101106,0,0,0,0.0699088145896656,0,0.0603588907014682,0.0484652665589661,0.0066334991708126,0.00156494522691706,0,0,0.0665610142630745,0,0.00618238021638331,0,0.0579029733959311,0.0109546165884194,0.419614147909968,0,0,0.071875,0.0517241379310345,0.0759493670886076,0.00308166409861325,0.0062111801242236,0.0124223602484472,0,0.00158227848101266,0.00160513643659711,0.39403453689168,0.422893481717011,0.0196399345335516,0.393135725429017,0.413793103448276,0,0.427692307692308,0.0262751159196291,0.418604651162791,0.0154798761609907,0,0.36150234741784,0.0124031007751938,0.0602782071097372,0.0658105939004815,0.00622083981337481,0.00160771704180064,0,0,0.0125,0,0.0127591706539075,0.0189274447949527,0.415123456790123,0.028125,0,0.409436834094368,0.012326656394453,0,0.428115015974441,0.435658914728682,0,0,0,0.422118380062305,0.00157728706624606,0.0755627009646302,0.00316957210776545,0.00164203612479475,0,0.413522012578616,0,0.0172684458398744,0,0.4112,0.434049079754601,0.00308166409861325,0
"4",0.800632911392405,0.821766561514196,0.973478939157566,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214983713355049,0.223088923556942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222575516693164,0.00783699059561128,0,0.00813008130081301,0,0.00923076923076923,0.00941915227629513,0.00947867298578199,0,0,0,0.791730474732006,0.807324840764331,0.968503937007874,1,0,0.108452950558214,0.0252365930599369,0,0.00159235668789809,0,0.2046875,0,0,0,0,0,0,0,0,0,0.00788643533123028,0,0,0,0,0,0,0,0,0,0,0,0,0.004739336492891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401913875598086,0,0,0.00321543408360129,0.00157728706624606,0.0048,0.0272873194221509,0.0144,0.00157977883096367,0.003125,0.0016,0,0.00488599348534202,0.00470219435736677,0.384615384615385,0.00328407224958949,0.0094488188976378,0,0,0.407874015748032,0.0219092331768388,0,0,0.025518341307815,0.0032258064516129,0.384,0,0.413078149920255,0,0.00158982511923688,0,0.3872,0,0,0.0110759493670886,0.00158982511923688,0.0272,0.00154083204930663,0.0306451612903226,0,0,0.0309951060358891,0.00157977883096367,0.0337620578778135,0.0330708661417323,0.0269413629160063,0.0015625,0,0.00156985871271586,0.00158227848101266,0.00313971742543171,0.106451612903226,0,0.0142630744849445,0.0015527950310559,0.378930817610063,0.0110236220472441,0,0,0.419504643962848,0,0.00773993808049536,0,0,0.39268680445151,0.207606973058637,0,0.00479233226837061,0,0.0338709677419355,0.0369181380417336,0.0016260162601626,0,0,0.0249221183800623,0,0.0264026402640264,0.0178571428571429,0.0032520325203252,0.00158982511923688,0,0,0.0346456692913386,0,0,0,0.0202808112324493,0.00156739811912226,0.4,0,0,0.0283018867924528,0.0209003215434084,0.0306946688206785,0.00463678516228748,0.00769230769230769,0.00462249614791988,0.0015625,0.00157232704402516,0.00162074554294976,0.380191693290735,0.396825396825397,0.00664451827242525,0.36624203821656,0.387301587301587,0,0.412307692307692,0.00933125972006221,0.41304347826087,0.00470957613814757,0,0.333333333333333,0.0126382306477093,0.0267295597484277,0.028892455858748,0.00158478605388273,0.00332778702163062,0,0,0.00312989045383412,0,0.00320512820512821,0.00641025641025641,0.402457757296467,0.00474683544303797,0,0.39938080495356,0.0031201248049922,0,0.388254486133768,0.393026941362916,0,0,0,0.405660377358491,0.00315457413249211,0.032520325203252,0.0047244094488189,0,0,0.396496815286624,0,0.0094488188976378,0,0.390953150242326,0.406885758998435,0.0046583850931677,0
"5",0,0,0,0,1,1,0.95859872611465,0.9616,1,0.995419847328244,0.950558213716108,0.990580847723705,0.957345971563981,0.993779160186625,1,1,0.946601941747573,1,1,1,1,0.51294498381877,0.49609984399376,0.958064516129032,1,1,0.9421875,0.946843853820598,1,0.972491909385113,0.952998379254457,0.940438871473354,0.950155763239875,0.996889580093313,1,1,0.733974358974359,0.85,0.979655712050078,0.845410628019324,0.959183673469388,0.849544072948328,0.848818897637795,0.84044233807267,0.949606299212598,1,0.946070878274268,0,0,0,0,0.0901639344262295,0,0.00153846153846154,0.0966719492868463,0.100158982511924,0.10061919504644,0.015748031496063,0.110759493670886,0.111635220125786,0.110260336906585,0.1024,0.104265402843602,0.0963081861958267,0.10939907550077,0.112698412698413,0.107255520504732,0.0417310664605873,0.100478468899522,0.107317073170732,0.090625,0.0995260663507109,0.0964630225080386,0.098256735340729,0.109375,0.0990566037735849,0.105431309904153,0.103833865814696,0.10126582278481,0.105015673981191,0.00625,0.104928457869634,0.0979782270606532,0.106811145510836,0.108320251177394,0.101538461538462,0.109204368174727,0.095389507154213,0.111287758346582,0.0914728682170543,0.103668261562998,0.0984615384615385,0.0988835725677831,0.082258064516129,0.106687898089172,0.10939907550077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,1,0.959183673469388,0.962558502340094,1,0.998484848484849,0.953343701399689,0.99388379204893,0.957680250783699,0.996932515337423,1,1,0.953125,1,1,1,1,0.506289308176101,0.481366459627329,0.963836477987421,1,1,0.945820433436533,0.946341463414634,1,0.976452119309262,0.960848287112561,0.948517940717629,0.950075642965204,0.998452012383901,1,1,0.714511041009464,0.835384615384615,0.983206106870229,0.830128205128205,0.960244648318043,0.835595776772247,0.835658914728682,0.829346092503987,0.953703703703704,1,0.95166163141994,0,0,0,0,0.0991869918699187,0,0.00454545454545455,0.104615384615385,0.104524180967239,0.102484472049689,0.0169230769230769,0.114779874213836,0.116459627329193,0.114374034003091,0.106317411402157,0.113707165109034,0.100313479623824,0.117829457364341,0.114420062695925,0.114197530864198,0.0435458786936236,0.111111111111111,0.10952380952381,0.0904907975460123,0.101538461538462,0.100478468899522,0.108191653786708,0.116564417177914,0.102484472049689,0.112698412698413,0.1078125,0.0996835443037975,0.10752688172043,0.00934579439252336,0.110410094637224,0.108396946564885,0.114854517611026,0.114241001564945,0.109090909090909,0.115625,0.0995260663507109,0.117554858934169,0.099388379204893,0.1078125,0.0996932515337423,0.107255520504732,0.0903426791277259,0.10989010989011,0.108895705521472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0.95859872611465,0.959183673469388,1,1,0.956591639871383,0.964230171073095,1,0.963779527559055,0.998422712933754,0.97339593114241,0.960063897763578,0.954545454545455,0.983844911147011,0.964285714285714,0.963434022257552,0.953150242326333,0.957210776545166,0.479740680713128,0.4578125,1,0.963836477987421,0.953074433656958,0.984251968503937,0.986644407345576,0.960183767228178,0.9824,0.99,0.985826771653543,0.992101105845182,0.962674961119751,0.957547169811321,0.955038759689922,0.673667205169628,0.862776025236593,0.978021978021978,0.859271523178808,1,0.8703125,0.869291338582677,0.865079365079365,0.988958990536278,0.959546925566343,0.986217457886677,0,0,0,0,0.0985221674876847,0,0.0031201248049922,0.100156494522692,0.0969305331179321,0.098256735340729,0.0126984126984127,0.111650485436893,0.109717868338558,0.107644305772231,0.0979133226324237,0.104,0.0923824959481361,0.109350237717908,0.115072933549433,0.101748807631161,0.0475435816164818,0.107424960505529,0.106969205834684,0.0890302066772655,0.100158982511924,0.0972447325769854,0.1008,0.106646058732612,0.0971337579617834,0.106349206349206,0.100478468899522,0.104,0.108108108108108,0.00796178343949045,0.108239095315024,0.100917431192661,0.108320251177394,0.106012658227848,0.102760736196319,0.106918238993711,0.0988835725677831,0.110047846889952,0.0911901081916538,0.107371794871795,0.0982839313572543,0.103059581320451,0.0834697217675941,0.109149277688604,0.106976744186047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0.9616,0.962558502340094,1,1,0.957996768982229,0.9640625,1,0.966772151898734,1,0.975232198142415,0.963492063492064,0.959612277867528,0.988745980707395,0.965354330708661,0.964573268921095,0.959150326797386,0.959119496855346,0.478964401294498,0.457098283931357,1,0.964285714285714,0.954983922829582,0.989079563182527,0.989949748743719,0.960629921259842,0.983660130718954,0.991694352159468,0.990491283676704,0.99375,0.96513470681458,0.961722488038278,0.956181533646322,0.685805422647528,0.866141732283465,0.9808,0.864774624373957,1,0.878274268104777,0.871794871794872,0.864820846905538,0.990625,0.961722488038278,0.990811638591118,0,0,0,0,0.102819237147595,0,0.00473186119873817,0.107255520504732,0.103833865814696,0.108527131782946,0.0126382306477093,0.114566284779051,0.116242038216561,0.114728682170543,0.105769230769231,0.107544141252006,0.102439024390244,0.117088607594937,0.118971061093248,0.114467408585056,0.0412698412698413,0.114467408585056,0.114754098360656,0.0971337579617834,0.105431309904153,0.100813008130081,0.110754414125201,0.115873015873016,0.103059581320451,0.115015974440895,0.111111111111111,0.105691056910569,0.107981220657277,0.00789889415481832,0.109697933227345,0.108864696734059,0.116640746500778,0.117174959871589,0.110248447204969,0.116352201257862,0.0987261146496815,0.121359223300971,0.0989010989010989,0.110749185667752,0.104430379746835,0.102728731942215,0.0932896890343699,0.112929623567921,0.110419906687403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,1,0.956591639871383,0.957996768982229,1,0.995348837209302,0.947535771065183,0.988817891373802,0.952153110047847,0.993680884676145,1,1,0.944894651539708,1,1,1,1,0.494363929146538,0.477519379844961,0.955342902711324,1,1,0.937007874015748,0.940691927512356,1,0.969404186795491,0.952380952380952,0.939586645468998,0.942097026604069,0.998425196850394,1,1,0.698587127158556,0.8256735340729,0.977742448330684,0.820097244732577,0.955905511811024,0.826893353941267,0.826224328593997,0.818770226537217,0.943485086342229,1,0.944869831546707,0,0,0,0,0.0884244372990354,0,0.003125,0.0880503144654088,0.0894568690095847,0.0845070422535211,0.0170542635658915,0.0993690851735016,0.0974842767295598,0.10126582278481,0.0901771336553945,0.0992125984251968,0.0885668276972625,0.105939004815409,0.109717868338558,0.103286384976526,0.0335463258785942,0.0990415335463259,0.0964052287581699,0.083596214511041,0.095679012345679,0.0988835725677831,0.0937996820349762,0.10223642172524,0.0914826498422713,0.0966183574879227,0.0925039872408294,0.0898876404494382,0.0974842767295598,0.00934579439252336,0.102685624012638,0.101694915254237,0.102964118564743,0.103011093502377,0.103715170278638,0.104851330203443,0.0909090909090909,0.104928457869634,0.0885093167701863,0.1008,0.0945736434108527,0.0896,0.086038961038961,0.0972886762360447,0.0953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0.995419847328244,0.998484848484849,0.964230171073095,0.9640625,0.995348837209302,1,0.954476479514416,0.996978851963746,0.959627329192547,1,0.996937212863706,0.996894409937888,0.956589147286822,0.99702380952381,0.995327102803738,0.996865203761755,0.995419847328244,0.49537037037037,0.46865671641791,0.962382445141066,0.997019374068554,0.995398773006135,0.950301204819277,0.950793650793651,0.99851411589896,0.979813664596273,0.95859872611465,0.951293759512938,0.953172205438066,0.995398773006135,0.996894409937888,0.99702380952381,0.687116564417178,0.833585476550681,0.987616099071207,0.829420970266041,0.961890243902439,0.837555886736215,0.832831325301205,0.8328173374613,0.954337899543379,0.995356037151703,0.957037037037037,0,0,0,0,0.0930979133226324,0,0.0045662100456621,0.0998487140695915,0.095679012345679,0.100600600600601,0.0151745068285281,0.107309486780715,0.114728682170543,0.108108108108108,0.0971786833855799,0.107197549770291,0.0923317683881064,0.112633181126332,0.111455108359133,0.103186646433991,0.0409711684370258,0.101382488479263,0.110584518167457,0.0903522205206738,0.100154083204931,0.101088646967341,0.0962732919254658,0.105263157894737,0.0976744186046512,0.11214953271028,0.0998463901689708,0.0993690851735016,0.0996932515337423,0.00759878419452888,0.101088646967341,0.101492537313433,0.104477611940299,0.111963190184049,0.102102102102102,0.108231707317073,0.0910493827160494,0.111111111111111,0.0909090909090909,0.1015625,0.101823708206687,0.0993788819875776,0.0855365474339036,0.104037267080745,0.100149476831091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
