"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,0.981102362204724,0.837461300309598,0.802232854864434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218068535825545,0.0216383307573416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010989010989011,0.00791139240506329,0,0.00313971742543171,0,0.00923076923076923,0.00783699059561128,0.00462249614791988,0,0,0,1,0.981566820276498,0.826086956521739,0.801261829652997,0.0125391849529781,0.0219092331768388,0.0188087774294671,0.00916030534351145,0.0108695652173913,0.009375,0.029320987654321,0.0113452188006483,0.00920245398773006,0.00917431192660551,0.0107197549770291,0.0107858243451464,0.0091324200913242,0.00750750750750751,0.0109034267912773,0.00617283950617284,0.0096,0.00943396226415094,0.00946372239747634,0.00940438871473354,0.00961538461538462,0.0078125,0.0106544901065449,0.0077639751552795,0.00938967136150235,0.00777604976671851,0.0106544901065449,0.010989010989011,0.00471698113207547,0.0184049079754601,0.00907715582450832,0.0106707317073171,0.00646203554119548,0.0093603744149766,0.00784929356357928,0.00642054574638844,0.0077639751552795,0.00770416024653313,0.0109546165884194,0.00916030534351145,0.0094488188976378,0.0078125,0.0062992125984252,0.0113636363636364,0.00788643533123028,0.883256528417819,0.0760059612518629,0.0501567398119122,0.0256821829855538,0.00314465408805031,0.299363057324841,0.624806201550388,0.503154574132492,0.277691107644306,0.180704441041348,0.00152439024390244,0.0062992125984252,0.490625,0.0998415213946117,0.875776397515528,0.197549770290965,0.0168195718654434,0.00305810397553517,0.170846394984326,0.87888198757764,0.860248447204969,0.00772797527047913,0.0394736842105263,0.764895330112721,0.0308641975308642,0.881901840490798,0.0032626427406199,0.881877022653722,0.0804416403785489,0.502377179080824,0.00155763239875389,0.885579937304075,0.159817351598174,0.0060790273556231,0.158059467918623,0.845801526717557,0.844827586206897,0.0884146341463415,0.873617693522907,0.0800627943485086,0.213517665130568,0.868544600938967,0.71496062992126,0.45839874411303,0.882534775888717,0.859133126934985,0.0503048780487805,0.183441558441558,0.407051282051282,0.0401284109149278,0.0284810126582278,0.896024464831804,0.0276073619631902,0.16380655226209,0.0206022187004754,0.888888888888889,0.0949464012251149,0.00158730158730159,0.0168970814132104,0.878274268104777,0.110584518167457,0.835182250396197,0.654574132492114,0.00315955766192733,0.886292834890966,0.387147335423198,0.00315955766192733,0.0572755417956656,0.00918836140888208,0.879120879120879,0.878357030015798,0.0611620795107034,0.161904761904762,0.176282051282051,0.863636363636364,0.0642633228840125,0.862559241706161,0.849206349206349,0.269938650306748,0.0140405616224649,0.0366412213740458,0.227544910179641,0.848341232227488,0.0941915227629513,0.0488188976377953,0.179012345679012,0.482142857142857,0.0471698113207547,0.884555382215289,0.00161030595813205,0.0479876160990712,0.712962962962963,0.853658536585366,0.862654320987654,0.0230769230769231,0.0217391304347826,0.0822981366459627,0.0386473429951691,0.438485804416404,0.0246153846153846,0.888888888888889,0.895223420647149,0.139240506329114,0.768987341772152,0.908082408874802,0.021671826625387,0.656786271450858,0.144796380090498,0.728414442700157,0.0961538461538462,0.00155763239875389,0.502384737678855,0.0221169036334913,0.829493087557604,0.854263565891473,0.423493044822257,0.0977917981072555,0.0108527131782946,0.00489396411092985,0.0296411856474259,0.00313971742543171,0.0865533230293663,0.0825545171339564,0.873456790123457,0.885670731707317,0.00625,0.886255924170616,0.227480916030534,0.0172413793103448,0.908242612752722,0.9056,0.0191082802547771,0.0490998363338789,0.0262345679012346,0.890909090909091,0.00762195121951219,0.852134146341463,0.046875,0.839813374805599,0.003125,0.889400921658986,0.224111282843895,0.108150470219436,0.00308641975308642,0.884437596302003,0.906148867313916,0.0274390243902439,0.094488188976378
"2",0.981102362204724,1,0.89622641509434,0.862284820031299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047244094488189,0.046801872074883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158982511923688,0.00783699059561128,0,0.00789889415481832,0,0.0060790273556231,0.0110759493670886,0.0110410094637224,0,0,0,0.977099236641221,1,0.889250814332248,0.865079365079365,0.0110759493670886,0.05229793977813,0.045958795562599,0.00923076923076923,0.00626959247648903,0.00792393026941363,0.0460829493087558,0.0099009900990099,0.00791139240506329,0.0077639751552795,0.00943396226415094,0.00634920634920635,0.00916030534351145,0.00452488687782805,0.0062402496099844,0.00770416024653313,0.00492610837438424,0.00475435816164818,0.00934579439252336,0.00782472613458529,0.0110759493670886,0.0078003120124805,0.00765696784073507,0.00625,0.00626959247648903,0.0046801872074883,0.00765696784073507,0.00791139240506329,0.00627943485086342,0.0357698289269051,0.00609756097560976,0.00924499229583975,0.00972447325769854,0.00792393026941363,0.00636942675159236,0.00789889415481832,0.00627943485086342,0.00947867298578199,0.00796178343949045,0.00618238021638331,0.00784929356357928,0.00792393026941363,0.00646203554119548,0.00827814569536424,0.00794912559618442,0.87211093990755,0.0904907975460123,0.0643642072213501,0.0491283676703645,0.00313971742543171,0.292407108239095,0.585139318885449,0.477491961414791,0.284820031298905,0.17457886676876,0.00154083204930663,0.0016,0.488038277511962,0.0781499202551834,0.869767441860465,0.18125,0.0478395061728395,0.00473186119873817,0.179936305732484,0.8640625,0.821316614420063,0.0125984251968504,0.028006589785832,0.724358974358974,0.0476190476190476,0.874806800618238,0.00326797385620915,0.864217252396166,0.0886075949367089,0.513556618819777,0.00311526479750779,0.872813990461049,0.163551401869159,0.00597907324364723,0.148264984227129,0.802710843373494,0.794392523364486,0.0967238689547582,0.825806451612903,0.1,0.204651162790698,0.823712948517941,0.671875,0.451923076923077,0.85423197492163,0.821150855365474,0.0714285714285714,0.199680511182109,0.402535657686212,0.0593900481540931,0.0491283676703645,0.858914728682171,0.0289634146341463,0.145339652448657,0.0509554140127389,0.858747993579454,0.0804953560371517,0.00317460317460317,0.0233281493001555,0.875195007800312,0.115085536547434,0.791068580542265,0.647887323943662,0.00317460317460317,0.874015748031496,0.362363919129082,0.00316455696202532,0.0876369327073552,0.0168195718654434,0.839874411302983,0.836012861736334,0.0684292379471229,0.170178282009724,0.185185185185185,0.823802163833076,0.066358024691358,0.821656050955414,0.804140127388535,0.268217054263566,0.0372670807453416,0.0291858678955453,0.236006051437216,0.814634146341463,0.0948553054662379,0.0349761526232114,0.170807453416149,0.454106280193237,0.0345911949685535,0.86875,0.00630914826498423,0.0636645962732919,0.671428571428571,0.815267175572519,0.821981424148607,0.0488958990536278,0.04858934169279,0.0664556962025316,0.0561056105610561,0.449206349206349,0.0504587155963303,0.874411302982732,0.877138413685848,0.110935023771791,0.740916271721959,0.880952380952381,0.0265625,0.65210608424337,0.123475609756098,0.720190779014308,0.0792393026941363,0.00156985871271586,0.511111111111111,0.0464,0.789230769230769,0.812893081761006,0.423493044822257,0.112828438948995,0.018957345971564,0,0.0231124807395994,0.0031496062992126,0.073208722741433,0.0704225352112676,0.865718799368088,0.850769230769231,0.00463678516228748,0.878836833602585,0.219662058371736,0.018957345971564,0.869565217391304,0.858520900321543,0.0223285486443381,0.0377049180327869,0.021671826625387,0.88030303030303,0.0279503105590062,0.812213740458015,0.0625978090766823,0.798107255520505,0.0031055900621118,0.877358490566038,0.223454833597464,0.0933544303797468,0.0031104199066874,0.87244094488189,0.867834394904459,0.0523882896764253,0.116316639741519
"3",0.837461300309598,0.89622641509434,1,0.995207667731629,0.0112179487179487,0.00476190476190476,0.00946372239747634,0.0062015503875969,0.00934579439252336,0.009375,0.0113821138211382,0.0108191653786708,0.00930232558139535,0.010752688172043,0.0093603744149766,0.00778816199376947,0.00634920634920635,0.00784929356357928,0.009375,0.00958466453674121,0.0078125,0.155624036979969,0.153724247226624,0.0094488188976378,0.0109204368174727,0.00768049155145929,0.0091324200913242,0.00975609756097561,0.00917431192660551,0.0109717868338558,0.0078740157480315,0.00789889415481832,0.00632911392405063,0.00941915227629513,0.00928792569659443,0.00801282051282051,0.0632911392405063,0.0534591194968553,0.00786163522012579,0.0357142857142857,0.00961538461538462,0.0378787878787879,0.0576323987538941,0.0504587155963303,0.0046583850931677,0.00946372239747634,0.00930232558139535,0.828528072837633,0.893129770992366,1,0.995222929936306,0.0299212598425197,0.19435736677116,0.154818325434439,0.032258064516129,0.0296411856474259,0.0299212598425197,0.151090342679128,0.025974025974026,0.0326594090202177,0.0304878048780488,0.0311526479750779,0.0292758089368259,0.0302571860816944,0.0290076335877863,0.0250391236306729,0.0306278713629403,0.0328407224958949,0.0254777070063694,0.0318471337579618,0.0294573643410853,0.0401284109149278,0.0327102803738318,0.0306748466257669,0.0250783699059561,0.0315955766192733,0.0291858678955453,0.0294117647058824,0.0315955766192733,0.0236220472440945,0.11353032659409,0.0257186081694402,0.0301204819277108,0.0306451612903226,0.0266457680250784,0.0321027287319422,0.0324675324675325,0.02660406885759,0.0261538461538462,0.0302547770700637,0.030441400304414,0.0303514376996805,0.0301109350237718,0.0332278481012658,0.0322061191626409,0.0333333333333333,0.721966205837174,0.188736681887367,0.161189358372457,0.177884615384615,0.0219435736677116,0.278740157480315,0.483720930232558,0.376835236541599,0.321428571428571,0.122541603630862,0.0243161094224924,0.0190779014308426,0.42879746835443,0.0461049284578696,0.725705329153605,0.16036308623298,0.179173047473201,0.0231481481481481,0.216510903426791,0.741085271317829,0.659340659340659,0.0938967136150235,0.0199667221297837,0.581358609794629,0.177215189873418,0.723404255319149,0.0536585365853659,0.713355048859935,0.180124223602484,0.485804416403785,0.0184049079754601,0.731974921630094,0.199386503067485,0.0201238390092879,0.0965189873417722,0.667170953101362,0.669278996865204,0.192901234567901,0.676751592356688,0.197138314785374,0.254545454545455,0.658841940532081,0.575427682737169,0.441823899371069,0.684129429892142,0.672307692307692,0.171471927162367,0.231139646869984,0.383647798742138,0.163723916532905,0.178233438485804,0.690292758089368,0.0169491525423729,0.0850393700787402,0.1696,0.70906200317965,0.0489296636085627,0.0269413629160063,0.0356037151702786,0.730407523510972,0.15527950310559,0.631911532385466,0.562790697674419,0.0264797507788162,0.728682170542636,0.276898734177215,0.0203761755485893,0.203100775193798,0.0890937019969278,0.678071539657854,0.670418006430868,0.176923076923077,0.242811501597444,0.251184834123223,0.677018633540373,0.143302180685358,0.670347003154574,0.657276995305164,0.307692307692308,0.169984686064319,0.0186625194401244,0.252994011976048,0.664,0.174803149606299,0.0208,0.138413685847589,0.368078175895765,0.0202177293934681,0.730708661417323,0.050314465408805,0.15955766192733,0.572542901716069,0.654600301659125,0.666156202143951,0.180967238689548,0.176656151419558,0.0346456692913386,0.182707993474715,0.436908517350158,0.173846153846154,0.722650231124807,0.735202492211838,0.0664556962025316,0.652996845425868,0.72397476340694,0.0995334370139969,0.574303405572755,0.0752688172043011,0.620904836193448,0.0444444444444444,0.0201550387596899,0.487341772151899,0.181962025316456,0.640552995391705,0.655608214849921,0.407914764079148,0.213728549141966,0.0760697305863708,0.0211038961038961,0.021671826625387,0.0248062015503876,0.0387596899224806,0.0377358490566038,0.717425431711146,0.685496183206107,0.0199386503067485,0.738244514106583,0.155384615384615,0.0310077519379845,0.712715855572998,0.68312101910828,0.0380348652931854,0.0207336523125997,0.0261941448382126,0.73353751914242,0.12937595129376,0.661585365853659,0.1734375,0.64018691588785,0.0231481481481481,0.740279937791602,0.242990654205607,0.0502354788069074,0.0282574568288854,0.735614307931571,0.700159489633174,0.174772036474164,0.176751592356688
"4",0.802232854864434,0.862284820031299,0.995207667731629,1,0.0224358974358974,0.023696682464455,0.0243506493506494,0.025974025974026,0.0207336523125997,0.016,0.0249169435215947,0.0255591054313099,0.0251177394034537,0.0263157894736842,0.0254777070063694,0.0218408736349454,0.0209677419354839,0.0221169036334913,0.0236593059936909,0.016366612111293,0.0145161290322581,0.200956937799043,0.200636942675159,0.0256410256410256,0.024,0.0249221183800623,0.0218068535825545,0.0231404958677686,0.0216383307573416,0.0195758564437194,0.0192,0.0211382113821138,0.0222929936305732,0.0218068535825545,0.025974025974026,0.0211726384364821,0.0819935691318328,0.0620031796502385,0.0226904376012966,0.055379746835443,0.0178282009724473,0.046656298600311,0.0753205128205128,0.0592,0.0173501577287066,0.0209677419354839,0.0222222222222222,0.790372670807453,0.855325914149444,0.993377483443709,1,0.0339256865912763,0.223472668810289,0.186688311688312,0.0360501567398119,0.0347551342812006,0.0349761526232114,0.1743264659271,0.0345963756177924,0.0376766091051805,0.0347003154574132,0.0361067503924647,0.0345911949685535,0.0342679127725857,0.0326594090202177,0.0330708661417323,0.0336538461538462,0.0382059800664452,0.0339805825242718,0.036624203821656,0.035031847133758,0.0486223662884927,0.037914691943128,0.0375,0.028436018957346,0.0374414976599064,0.0375586854460094,0.0358814352574103,0.0397456279809221,0.0257234726688103,0.148499210110585,0.0308641975308642,0.0384,0.0328947368421053,0.0322061191626409,0.0360065466448445,0.0361842105263158,0.036624203821656,0.032,0.0357142857142857,0.0359375,0.032258064516129,0.0353697749196141,0.0372771474878444,0.0344262295081967,0.0385852090032154,0.7015625,0.217322834645669,0.155802861685215,0.188617886178862,0.0256821829855538,0.255700325732899,0.443017656500803,0.350877192982456,0.330143540669856,0.11353032659409,0.0282574568288854,0.0193861066235864,0.413461538461538,0.0429936305732484,0.702875399361022,0.142633228840125,0.190251572327044,0.0206349206349206,0.231884057971014,0.71451355661882,0.624223602484472,0.103174603174603,0.0153846153846154,0.538336052202284,0.188888888888889,0.70625,0.0609555189456343,0.691056910569106,0.182692307692308,0.47275641025641,0.0205696202531646,0.6992,0.194053208137715,0.0185758513931889,0.0957792207792208,0.62826420890937,0.627228525121556,0.201892744479495,0.623987034035656,0.217252396166134,0.248456790123457,0.618296529968454,0.542993630573248,0.444983818770227,0.634340222575517,0.631911532385466,0.186830015313936,0.237864077669903,0.39413680781759,0.182707993474715,0.198098256735341,0.642633228840125,0.015527950310559,0.0912,0.180354267310789,0.667202572347267,0.0470219435736677,0.0286624203821656,0.0440944881889764,0.696682464454976,0.152733118971061,0.572123176661264,0.541800643086817,0.0271565495207668,0.702229299363057,0.251192368839428,0.0206349206349206,0.228346456692913,0.102484472049689,0.63015873015873,0.62987012987013,0.193396226415094,0.2496,0.258481421647819,0.618819776714514,0.155038759689922,0.62258064516129,0.62741935483871,0.308176100628931,0.187888198757764,0.014308426073132,0.241221374045802,0.63029315960912,0.168557536466775,0.0162337662337662,0.132492113564669,0.328925619834711,0.0158982511923688,0.703525641025641,0.046474358974359,0.162420382165605,0.535143769968051,0.610769230769231,0.622848200312989,0.194928684627575,0.190851735015773,0.0334394904458599,0.195402298850575,0.433656957928803,0.186915887850467,0.7056,0.707278481012658,0.0749185667752443,0.632520325203252,0.688087774294671,0.113418530351438,0.569157392686804,0.0838509316770186,0.608346709470305,0.0429752066115702,0.0192,0.48792270531401,0.201923076923077,0.6,0.625990491283677,0.414442700156986,0.225755166931638,0.0839936608557845,0.0198675496688742,0.0173775671406003,0.0267716535433071,0.0390015600624025,0.0382165605095541,0.690095846645367,0.62754303599374,0.0172684458398744,0.709003215434084,0.154559505409583,0.0245098039215686,0.662440570522979,0.625,0.0375816993464052,0.0179738562091503,0.0264385692068429,0.707620528771384,0.142410015649452,0.614791987673344,0.192789968652038,0.595813204508857,0.0235849056603774,0.706349206349206,0.239935587761675,0.0487012987012987,0.0299684542586751,0.698289269051322,0.654098360655738,0.192248062015504,0.183441558441558
"5",0,0,0.0112179487179487,0.0224358974358974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.465818759936407,0.463223787167449,1,1,1,1,1,1,1,1,1,0.992063492063492,1,1,1,0.8864,0.93312101910828,1,0.945054945054945,1,0.925076452599388,0.900787401574803,0.910518053375196,1,1,1,0,0,0.0113268608414239,0.0224719101123595,0,0.202247191011236,0.176656151419558,0.00154559505409583,0,0,0.32018927444795,0,0,0,0,0,0,0,0,0,0.065359477124183,0,0,0,0.0272873194221509,0,0,0,0,0,0,0.120253164556962,0,0.299065420560748,0,0,0.0785597381342062,0,0,0,0,0,0,0.00155763239875389,0,0.112,0.0159489633173844,0,0.00162337662337662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156494522691706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0.00476190476190476,0.023696682464455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.477449455676516,0.46875,1,1,1,1,1,1,1,1,1,0.992150706436421,1,1,1,0.89983844911147,0.941362916006339,1,0.949606299212598,1,0.928462709284627,0.908227848101266,0.916932907348243,1,1,1,0,0,0.00656814449917898,0.0222222222222222,0,0.214511041009464,0.187793427230047,0.0015220700152207,0,0,0.323343848580442,0,0,0,0,0,0,0,0,0,0.0623973727422003,0,0,0,0.0349761526232114,0,0,0,0,0,0,0.116535433070866,0,0.301092043681747,0,0,0.072463768115942,0,0,0,0,0,0,0.0015552099533437,0,0.105180533751962,0.00797448165869218,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153609831029186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0.00946372239747634,0.0243506493506494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.471337579617834,0.463022508038585,1,1,1,1,1,1,1,1,1,0.991961414790997,1,1,1,0.882825040128411,0.930645161290323,1,0.9392,1,0.921630094043887,0.892282958199357,0.901898734177215,1,1,1,0,0,0.00966183574879227,0.0213815789473684,0,0.21078431372549,0.188102893890675,0.0015748031496063,0,0,0.326465927099842,0,0,0,0,0,0,0,0,0,0.0631229235880399,0,0,0,0.0294117647058824,0,0,0,0,0,0,0.114285714285714,0,0.31378763866878,0,0,0.0787269681742044,0,0,0,0,0,0,0,0,0.107142857142857,0.0148026315789474,0,0.00321027287319422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158478605388273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157977883096367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0.0062015503875969,0.025974025974026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.454263565891473,0.457231726283048,1,1,1,1,1,1,1,1,1,0.995268138801262,1,1,1,0.878164556962025,0.931528662420382,1,0.944356120826709,1,0.919753086419753,0.890282131661442,0.904836193447738,1,1,1,0,0,0.00809061488673139,0.0225806451612903,0,0.20253164556962,0.1765625,0.00151515151515152,0,0,0.303875968992248,0,0,0,0,0,0,0,0,0,0.0657894736842105,0,0,0,0.0275974025974026,0,0,0,0,0,0,0.113057324840764,0,0.278560250391236,0,0,0.0651465798045603,0,0,0,0,0,0,0,0,0.100470957613815,0.0112721417069243,0,0.00317965023847377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154559505409583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159744408945687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0.00934579439252336,0.0207336523125997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.473765432098765,0.472222222222222,1,1,1,1,1,1,1,1,1,0.996904024767802,1,1,1,0.898595943837754,0.946957878315133,1,0.953271028037383,1,0.937125748502994,0.911490683229814,0.926677067082683,1,1,1,0,0,0.00966183574879227,0.019047619047619,0,0.202211690363349,0.178515007898894,0.00299850074962519,0,0,0.32,0,0,0,0,0,0,0,0,0,0.0618892508143322,0,0,0,0.0314465408805031,0,0,0,0,0,0,0.117088607594937,0,0.292867981790592,0,0,0.0751633986928105,0,0,0,0,0,0,0.00152439024390244,0,0.108024691358025,0.0110236220472441,0,0.00157728706624606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155038759689922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156739811912226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0.009375,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.471406491499227,0.457886676875957,1,1,1,1,1,1,1,1,1,0.9921875,1,1,1,0.884259259259259,0.932496075353218,1,0.942812982998454,1,0.927162367223065,0.899843505477308,0.911490683229814,1,1,1,0,0,0.00964630225080386,0.0174603174603175,0,0.206572769953052,0.178571428571429,0.00304878048780488,0,0,0.309815950920245,0,0,0,0,0,0,0,0,0,0.0610932475884244,0,0,0,0.0253565768621236,0,0,0,0,0,0,0.119195046439628,0,0.293478260869565,0,0,0.0725806451612903,0,0,0,0,0,0,0.00151975683890578,0,0.110062893081761,0.0141732283464567,0,0.00313971742543171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154798761609907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154559505409583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
