"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262"
"1",1,1,0.974960876369327,0.938906752411576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615883306320908,0.0747663551401869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028391167192429,0,0,0,0,0,0,0,0,0,0,1,1,0.979099678456592,0.935331230283912,0,0.232258064516129,0.176470588235294,0,0,0,0.0349761526232114,0,0,0,0,0,0,0,0,0,0,0,0,0.0165562913907285,0.0144,0,0,0,0,0,0,0,0,0.0483091787439614,0,0,0,0,0,0,0.00159235668789809,0,0.0190779014308426,0,0,0,0.035031847133758,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996889580093313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.658346333853354,1,0.998452012383901,0.6944,1,1,1,1,1,1,0.946078431372549,1,1,1,1,0.978653530377668,1,0.966772151898734
"2",1,1,0.972265023112481,0.941455696202532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599369085173502,0.0641627543035994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264797507788162,0,0,0,0,0,0,0,0,0,0,1,1,0.983660130718954,0.937007874015748,0,0.224025974025974,0.16260162601626,0,0,0,0.0299212598425197,0,0,0,0,0,0,0,0,0,0,0,0,0.0144,0.014218009478673,0,0,0,0,0,0,0,0,0.0403225806451613,0,0,0,0,0,0,0,0,0.0186335403726708,0,0,0,0.0336,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.995297805642633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.65086887835703,1,1,0.688291139240506,1,1,1,1,1,1,0.949675324675325,1,1,1,1,0.973941368078176,1,0.966719492868463
"3",0.974960876369327,0.972265023112481,1,0.984496124031008,0.0222929936305732,0.0251968503937008,0.0277777777777778,0.0234741784037559,0.0256024096385542,0.0290076335877863,0.0251572327044025,0.0287443267776097,0.025,0.0186915887850467,0.0265486725663717,0.0229357798165138,0.0246913580246914,0.0290076335877863,0.0294117647058824,0.0234375,0.0258358662613982,0.0923076923076923,0.0995405819295559,0.0291858678955453,0.0249609984399376,0.0243161094224924,0.0251107828655835,0.0282574568288854,0.0307692307692308,0.0274390243902439,0.0245775729646697,0.029320987654321,0.0260736196319018,0.0234009360374415,0.0276923076923077,0.0263975155279503,0.0563165905631659,0.0231124807395994,0.0276073619631902,0.0264385692068429,0.0242424242424242,0.0254491017964072,0.0288315629742033,0.0246153846153846,0.0267716535433071,0.0278637770897833,0.0287878787878788,0.97341211225997,0.975073313782991,1,0.980091883614089,0.0264797507788162,0.252713178294574,0.199685534591195,0.0290076335877863,0.0283464566929134,0.0201238390092879,0.0644171779141104,0.0256410256410256,0.0326086956521739,0.0273972602739726,0.0294573643410853,0.0205696202531646,0.0254110612855007,0.0243161094224924,0.0222222222222222,0.0248447204968944,0.0223285486443381,0.02660406885759,0.0262751159196291,0.0423197492163009,0.0431432973805855,0.0239880059970015,0.0273141122913505,0.027231467473525,0.021671826625387,0.0267716535433071,0.0260336906584992,0.0263157894736842,0.0250783699059561,0.0785824345146379,0.0229007633587786,0.0260736196319018,0.0261136712749616,0.0248062015503876,0.0227272727272727,0.0216383307573416,0.0202177293934681,0.0228658536585366,0.0454545454545455,0.0234009360374415,0.0261941448382126,0.0300632911392405,0.0576323987538941,0.0271565495207668,0.024132730015083,0.973228346456693,0.970031545741325,0.97339593114241,0.968895800933126,0.977883096366509,0.976923076923077,0.974683544303797,0.968847352024922,0.976340694006309,0.970633693972179,0.975497702909648,0.970724191063174,0.976489028213166,0.975757575757576,0.976296296296296,0.974723538704581,0.976525821596244,0.978527607361963,0.9734375,0.973053892215569,0.977168949771689,0.975609756097561,0.97191887675507,0.975193798449612,0.971742543171115,0.970814132104455,0.968553459119497,0.975683890577508,0.976452119309262,0.973312401883831,0.972644376899696,0.971514242878561,0.97239263803681,0.972932330827068,0.975039001560062,0.975,0.973846153846154,0.974045801526718,0.972477064220184,0.975155279503106,0.978819969742814,0.977029096477795,0.974683544303797,0.9734375,0.972519083969466,0.971168437025797,0.97339593114241,0.970633693972179,0.969183359013868,0.97172619047619,0.975460122699387,0.974006116207951,0.9765625,0.976851851851852,0.974683544303797,0.973765432098765,0.972093023255814,0.975155279503106,0.973254086181278,0.976011994002999,0.977341389728097,0.979813664596273,0.980152671755725,0.96969696969697,0.976190476190476,0.975077881619938,0.969742813918306,0.975232198142415,0.97045101088647,0.969088098918083,0.971830985915493,0.975867269984917,0.971471471471472,0.974006116207951,0.977883096366509,0.970903522205207,0.973846153846154,0.973354231974922,0.975497702909648,0.973926380368098,0.973724884080371,0.975039001560062,0.971875,0.972350230414747,0.974603174603175,0.972519083969466,0.98256735340729,0.974960876369327,0.972560975609756,0.97360248447205,0.974842767295597,0.974842767295597,0.977843426883309,0.97112462006079,0.977029096477795,0.971080669710807,0.973094170403587,0.974320241691843,0.973561430793157,0.972434915773354,0.972307692307692,0.974436090225564,0.969650986342944,0.973643410852713,0.973293768545994,0.973765432098765,0.971212121212121,0.97239263803681,0.978056426332288,0.974588938714499,0.973270440251572,0.971212121212121,0.971036585365854,0.975535168195719,0.974522292993631,0.974242424242424,0.975308641975309,0.972049689440994,0.974045801526718,0.966613672496025,0.976923076923077,0.97196261682243,0.972136222910217,0.967791411042945,0.971342383107089,0.974320241691843,0.975270479134467,0.976887519260401,0.977987421383648,0.974882260596546,0.974006116207951,0.970358814352574,0.978056426332288,0.981395348837209,0.975384615384615,0.978560490045942,0.974921630094044,0.974960876369327,0.973684210526316,0.968602825745683,0.982456140350877,0.976599063962558,0.974358974358974,0.975757575757576,0.973354231974922,0.976816074188563,0.983948635634029,0.973886328725038,0.663650075414781,0.972136222910217,0.974474474474474,0.725190839694656,0.971608832807571,0.977671451355662,0.970588235294118,0.978593272171254,0.972307692307692,0.974006116207951,0.984101748807631,0.978461538461538,0.978819969742814,0.970496894409938,0.978915662650602,1,0.9796875,0.995412844036697
"4",0.938906752411576,0.941455696202532,0.984496124031008,1,0.0548387096774194,0.0628019323671498,0.0604133545310016,0.0544871794871795,0.0559006211180124,0.0623052959501558,0.0601626016260163,0.0592823712948518,0.0573248407643312,0.0519685039370079,0.0628834355828221,0.0530421216848674,0.0608974358974359,0.0628834355828221,0.0574162679425837,0.05103668261563,0.0613207547169811,0.125,0.131578947368421,0.0670926517571885,0.0558213716108453,0.0500782472613459,0.0614692653673163,0.0631067961165049,0.0564263322884013,0.05229793977813,0.0595611285266458,0.0657051282051282,0.0582677165354331,0.060126582278481,0.0558213716108453,0.0625978090766823,0.0858034321372855,0.0540540540540541,0.0645669291338583,0.0587301587301587,0.059190031152648,0.0599078341013825,0.0636645962732919,0.05229793977813,0.0606060606060606,0.0583596214511041,0.0620031796502385,0.946319018404908,0.942424242424242,0.985553772070626,1,0.060126582278481,0.293929712460064,0.237864077669903,0.062111801242236,0.0593900481540931,0.0522151898734177,0.0985915492957746,0.0562700964630225,0.0650793650793651,0.0612244897959184,0.058252427184466,0.0506535947712418,0.0590062111801242,0.0609375,0.0546623794212219,0.0603174603174603,0.0578778135048231,0.0574162679425837,0.0551181102362205,0.0765472312703583,0.0712025316455696,0.0566929133858268,0.062402496099844,0.0554699537750385,0.0545171339563863,0.0636942675159236,0.061633281972265,0.0558213716108453,0.0627943485086342,0.113029827315542,0.0524642289348172,0.0598425196850394,0.059375,0.0588235294117647,0.0540123456790123,0.055205047318612,0.0514469453376206,0.0583596214511041,0.0764430577223089,0.0558213716108453,0.0601851851851852,0.0632090761750405,0.0965189873417722,0.0554649265905383,0.053125,0.9424,0.941935483870968,0.944272445820433,0.94006309148265,0.94336569579288,0.946153846153846,0.945161290322581,0.939968404423381,0.944707740916272,0.936708860759494,0.941823899371069,0.940609951845907,0.943485086342229,0.940548780487805,0.944108761329305,0.946428571428571,0.942857142857143,0.945054945054945,0.93719806763285,0.939907550077042,0.949447077409163,0.9421875,0.943639291465378,0.941548183254344,0.9392,0.937402190923318,0.930489731437599,0.942097026604069,0.943910256410256,0.9408,0.942812982998454,0.93587786259542,0.935331230283912,0.941984732824428,0.94770206022187,0.9421875,0.938193343898574,0.941640378548896,0.941640378548896,0.941362916006339,0.943854324734446,0.952904238618524,0.939102564102564,0.941548183254344,0.938967136150235,0.939628482972136,0.942947702060222,0.937699680511182,0.938808373590982,0.937595129375951,0.946372239747634,0.947122861586314,0.946945337620579,0.947867298578199,0.942766295707472,0.939102564102564,0.9392,0.943910256410256,0.940548780487805,0.94392523364486,0.949843260188088,0.943217665615142,0.94620253164557,0.936728395061728,0.947289156626506,0.941823899371069,0.937116564417178,0.9424,0.936507936507937,0.93730407523511,0.932367149758454,0.947122861586314,0.939628482972136,0.947122861586314,0.940894568690096,0.934579439252336,0.942947702060222,0.942215088282504,0.941823899371069,0.93730407523511,0.94408945686901,0.937699680511182,0.936608557844691,0.938679245283019,0.942947702060222,0.944178628389155,0.949180327868852,0.943485086342229,0.943217665615142,0.944178628389155,0.942583732057416,0.94345718901454,0.94578313253012,0.938650306748466,0.947449768160742,0.944356120826709,0.943164362519201,0.93953488372093,0.944983818770227,0.937791601866252,0.940251572327044,0.940993788819876,0.943037974683544,0.937694704049844,0.940717628705148,0.938775510204082,0.9375,0.938775510204082,0.95024077046549,0.943485086342229,0.943127962085308,0.936236391912908,0.941628264208909,0.9421875,0.943548387096774,0.941538461538462,0.943661971830986,0.937799043062201,0.941358024691358,0.932038834951456,0.947368421052632,0.949367088607595,0.940705128205128,0.941176470588235,0.940532081377152,0.937106918238994,0.950558213716108,0.942766295707472,0.9472,0.941176470588235,0.935433070866142,0.934713375796178,0.946774193548387,0.952830188679245,0.94794952681388,0.948678071539658,0.948051948051948,0.938211382113821,0.941732283464567,0.935023771790808,0.950900163666121,0.94912559618442,0.942307692307692,0.939346811819596,0.939542483660131,0.943273905996759,0.953719008264463,0.934713375796178,0.694227769110764,0.938679245283019,0.947852760736196,0.76038338658147,0.943273905996759,0.947454844006568,0.936708860759494,0.942766295707472,0.938582677165354,0.943127962085308,0.991909385113269,0.948194662480377,0.947530864197531,0.937007874015748,0.95046439628483,0.988524590163934,0.944,0.984544049459042
"5",0,0,0.0222929936305732,0.0548387096774194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.935960591133005,0.924959216965742,1,1,1,1,1,1,1,1,1,1,1,1,1,0.967845659163987,1,1,1,1,1,1,1,1,1,1,0,0,0.0245098039215686,0.0572831423895254,1,0.761120263591433,0.814754098360656,1,1,1,0.961227786752827,1,1,1,1,1,1,1,1,1,1,1,1,0.984974958263773,0.981788079470199,1,1,1,1,1,1,1,1,0.950980392156863,1,1,1,1,1,1,1,1,0.981967213114754,1,1,1,0.964227642276423,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00478468899521531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337579617834395,0,0.00158982511923688,0.288961038961039,0,0,0,0,0,0,0.0438448566610455,0,0,0,0,0.0186757215619694,0,0.0285714285714286
"6",0,0,0.0251968503937008,0.0628019323671498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.925867507886435,1,1,1,1,1,1,1,1,1,1,1,1,1,0.971153846153846,1,1,1,1,1,1,1,1,1,1,0,0,0.0195439739413681,0.0645669291338583,1,0.767479674796748,0.823529411764706,1,1,1,0.961722488038278,1,1,1,1,1,1,1,1,1,1,1,1,0.983471074380165,0.982315112540193,1,1,1,1,1,1,1,1,0.948470209339775,1,1,1,1,1,1,0.998387096774194,1,0.979099678456592,1,1,1,0.95859872611465,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470957613814757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375394321766562,0,0,0.32741935483871,0,0,0,0,0,0,0.0481727574750831,0,0,0,0,0.0252100840336134,0,0.0316957210776545
"7",0,0,0.0277777777777778,0.0604133545310016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937399678972713,0.927357032457496,1,1,1,1,1,1,1,1,1,1,1,1,1,0.975039001560062,1,1,1,1,1,1,1,1,1,1,0,0,0.0208,0.0627943485086342,1,0.779220779220779,0.836038961038961,1,1,1,0.9734375,1,1,1,1,1,1,1,1,1,1,1,1,0.983739837398374,0.990461049284579,1,1,1,1,1,1,1,1,0.961783439490446,1,1,1,1,1,1,0.998417721518987,1,0.981220657276995,1,1,1,0.968304278922345,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306278713629403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372854914196568,0,0.00152671755725191,0.317460317460317,0,0,0,0,0,0,0.0522022838499184,0,0,0,0,0.0275974025974026,0,0.0327613104524181
"8",0,0,0.0234741784037559,0.0544871794871795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.930047694753577,0.923197492163009,1,1,1,1,1,1,1,1,1,1,1,1,1,0.973143759873618,1,1,1,1,1,1,1,1,1,1,0,0,0.0178571428571429,0.0521327014218009,1,0.760129659643436,0.819805194805195,1,1,1,0.966981132075472,1,1,1,1,1,1,1,1,1,1,1,1,0.987096774193548,0.984152139461173,1,1,1,1,1,1,1,1,0.9568,1,1,1,1,1,1,0.998381877022654,1,0.982677165354331,1,1,1,0.964516129032258,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00477707006369427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.00154798761609907,0.285714285714286,0,0,0,0,0,0,0.0448717948717949,0,0,0,0,0.024232633279483,0,0.0311526479750779
"9",0,0,0.0256024096385542,0.0559006211180124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.945141065830721,0.937116564417178,1,1,1,1,1,1,1,1,1,1,1,1,1,0.972519083969466,1,1,1,1,1,1,1,1,1,1,0,0,0.0205696202531646,0.062402496099844,1,0.781591263650546,0.82753164556962,1,1,1,0.967692307692308,1,1,1,1,1,1,1,1,1,1,1,1,0.987301587301587,0.984662576687117,1,1,1,1,1,1,1,1,0.961240310077519,1,1,1,1,1,1,1,1,0.98340874811463,1,1,1,0.967289719626168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0,0,0.316998468606432,0,0,0,0,0,0,0.0511182108626198,0,0,0,0,0.0275080906148867,0,0.0323574730354391
"10",0,0,0.0290076335877863,0.0623052959501558,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937402190923318,0.929121725731895,1,1,1,1,1,1,1,1,1,1,1,1,1,0.975497702909648,1,1,1,1,1,1,1,1,1,1,0,0,0.0224,0.0636645962732919,1,0.761006289308176,0.816455696202532,1,1,1,0.966153846153846,1,1,1,1,1,1,1,1,1,1,1,1,0.987361769352291,0.983024691358025,1,1,1,1,1,1,1,1,0.957943925233645,1,1,1,1,1,1,0.998439937597504,1,0.983231707317073,1,1,1,0.968701095461659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306278713629403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346625766871166,0,0.00153139356814701,0.30298273155416,0,0,0,0,0,0,0.0512,0,0,0,0,0.026813880126183,0,0.0341614906832298
