"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,0,0,1,0,0,0,0,0,0.00318979266347687,1,0,0,0,0,1,0,1
"2",0,1,1,0,1,1,1,1,0.998319327731092,0.982113821138211,0.00162074554294976,0.998313659359191,0.985172981878089,1,1,0,0.984924623115578,0
"3",0,1,1,0,1,1,1,1,0.998293515358362,0.981788079470199,0.00164203612479475,0.998296422487223,0.984745762711864,1,1,0,0.984536082474227,0
"4",1,0,0,1,0,0,0,0,0,0.014827018121911,1,0,0.011844331641286,0,0,1,0.011686143572621,1
"5",0,1,1,0,1,1,1,1,0.998299319727891,0.98019801980198,0.00166112956810631,0.998260869565217,0.983221476510067,1,1,0,0.982847341337907,0
"6",0,1,1,0,1,1,1,1,1,0.983416252072968,0.00166944908180301,1,0.984924623115578,1,1,0,0.98469387755102,0
"7",0,1,1,0,1,1,1,1,0.998316498316498,0.98330550918197,0.0016750418760469,0.99825479930192,0.986159169550173,1,1,0,0.986086956521739,0
"8",0,1,1,0,1,1,1,1,0.998333333333333,0.980707395498392,0.00162337662337662,0.998316498316498,0.983498349834984,1,1,0,0.983277591973244,0
"9",0,0.998319327731092,0.998293515358362,0,0.998299319727891,1,0.998316498316498,0.998333333333333,1,0.983361064891847,0.0032626427406199,1,0.985,0.998287671232877,0.998347107438017,0,0.984771573604061,0.00167785234899329
"10",0.00318979266347687,0.982113821138211,0.981788079470199,0.014827018121911,0.98019801980198,0.983416252072968,0.98330550918197,0.980707395498392,0.983361064891847,1,0.00158730158730159,0.985024958402662,1,0.983164983164983,0.980738362760835,0.0101867572156197,1,0.0130932896890344
"11",1,0.00162074554294976,0.00164203612479475,1,0.00166112956810631,0.00166944908180301,0.0016750418760469,0.00162337662337662,0.0032626427406199,0.00158730158730159,1,0.0033500837520938,0.00161290322580645,0.00167785234899329,0.00160513643659711,1,0.00160513643659711,1
"12",0,0.998313659359191,0.998296422487223,0,0.998260869565217,1,0.99825479930192,0.998316498316498,1,0.985024958402662,0.0033500837520938,1,0.988135593220339,0.998263888888889,0.998310810810811,0,0.988074957410562,0.00171526586620926
"13",0,0.985172981878089,0.984745762711864,0.011844331641286,0.983221476510067,0.984924623115578,0.986159169550173,0.983498349834984,0.985,1,0.00161290322580645,0.988135593220339,1,0.986062717770035,0.983416252072968,0.00694444444444444,1,0.0100502512562814
"14",0,1,1,0,1,1,1,1,0.998287671232877,0.983164983164983,0.00167785234899329,0.998263888888889,0.986062717770035,1,1,0,0.986013986013986,0
"15",0,1,1,0,1,1,1,1,0.998347107438017,0.980738362760835,0.00160513643659711,0.998310810810811,0.983416252072968,1,1,0,0.983333333333333,0
"16",1,0,0,1,0,0,0,0,0,0.0101867572156197,1,0,0.00694444444444444,0,0,1,0.00687285223367698,1
"17",0,0.984924623115578,0.984536082474227,0.011686143572621,0.982847341337907,0.98469387755102,0.986086956521739,0.983277591973244,0.984771573604061,1,0.00160513643659711,0.988074957410562,1,0.986013986013986,0.983333333333333,0.00687285223367698,1,0.0100840336134454
"18",1,0,0,1,0,0,0,0,0.00167785234899329,0.0130932896890344,1,0.00171526586620926,0.0100502512562814,0,0,1,0.0100840336134454,1
