"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262"
"1",1,1,0.912363067292645,0.905144694533762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405186385737439,0.043613707165109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126182965299685,0,0,0,0,0,0,0,0,0,0,1,1,0.916398713826367,0.903785488958991,0,0.0338709677419355,0.0277777777777778,0,0,0,0.0158982511923688,0,0,0,0,0,0,0,0,0,0,0,0,0.0115894039735099,0.008,0,0,0,0,0,0,0,0,0.0193236714975845,0,0,0,0,0,0,0,0,0.0111287758346582,0,0,0,0.00955414012738853,0,0.0015552099533437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.764430577223089,1,1,0.8128,1,1,1,1,1,1,0.818627450980392,1,1,1,1,0.911330049261084,1,0.905063291139241
"2",1,1,0.909090909090909,0.908227848101266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028391167192429,0.0344287949921753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934579439252336,0,0,0,0,0,0,0,0,0,0,1,1,0.911764705882353,0.905511811023622,0,0.0243506493506494,0.0227642276422764,0,0,0,0.0110236220472441,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.00315955766192733,0,0,0,0,0,0,0,0,0.0129032258064516,0,0,0,0,0,0,0,0,0.0062111801242236,0,0,0,0.0064,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.761453396524487,1,1,0.813291139240506,1,1,1,1,1,1,0.806818181818182,1,1,1,1,0.908794788273616,1,0.898573692551506
"3",0.912363067292645,0.909090909090909,1,0.996899224806202,0.0987261146496815,0.0881889763779528,0.0972222222222222,0.0954616588419405,0.0858433734939759,0.0809160305343511,0.0880503144654088,0.0998487140695915,0.1,0.0981308411214953,0.0914454277286136,0.0902140672782875,0.0987654320987654,0.0946564885496183,0.0882352941176471,0.090625,0.088145896656535,0.149230769230769,0.16385911179173,0.0952380952380952,0.0904836193447738,0.0987841945288754,0.0915805022156573,0.0879120879120879,0.0907692307692308,0.086890243902439,0.0890937019969278,0.095679012345679,0.0904907975460123,0.0873634945397816,0.0969230769230769,0.0900621118012422,0.120243531202435,0.0878274268104777,0.0920245398773006,0.0964230171073095,0.0954545454545455,0.0883233532934132,0.08649468892261,0.0923076923076923,0.0881889763779528,0.0913312693498452,0.0939393939393939,0.903988183161004,0.912023460410557,1,0.996937212863706,0.104361370716511,0.145736434108527,0.122641509433962,0.0946564885496183,0.094488188976378,0.0851393188854489,0.122699386503067,0.0897435897435897,0.0900621118012422,0.0958904109589041,0.0852713178294574,0.0870253164556962,0.0956651718983558,0.0972644376899696,0.0841269841269841,0.077639751552795,0.0909090909090909,0.0985915492957746,0.0911901081916538,0.0971786833855799,0.0816640986132511,0.0974512743628186,0.101669195751138,0.0953101361573374,0.0959752321981424,0.0929133858267717,0.0857580398162328,0.0975232198142415,0.0862068965517241,0.11864406779661,0.0885496183206107,0.0950920245398773,0.0952380952380952,0.0821705426356589,0.0893939393939394,0.0942812982998454,0.0855365474339036,0.0853658536585366,0.0863636363636364,0.0951638065522621,0.0970724191063174,0.102848101265823,0.0919003115264797,0.0910543130990415,0.0889894419306184,0.910236220472441,0.919558359621451,0.902973395931142,0.912908242612753,0.90521327014218,0.906153846153846,0.908227848101266,0.909657320872274,0.919558359621451,0.918083462132921,0.905053598774885,0.918335901386749,0.909090909090909,0.904545454545455,0.908148148148148,0.911532385466035,0.921752738654147,0.907975460122699,0.903125,0.899700598802395,0.910197869101979,0.911585365853659,0.90015600624025,0.914728682170543,0.90894819466248,0.913978494623656,0.905660377358491,0.905775075987842,0.904238618524333,0.90894819466248,0.910334346504559,0.905547226386807,0.900306748466258,0.908270676691729,0.895475819032761,0.9125,0.912307692307692,0.912977099236641,0.90519877675841,0.91304347826087,0.910741301059002,0.900459418070444,0.911392405063291,0.90625,0.905343511450382,0.904400606980273,0.909233176838811,0.904173106646059,0.907550077041603,0.897321428571429,0.903374233128834,0.908256880733945,0.9109375,0.908950617283951,0.912974683544304,0.908950617283951,0.913178294573643,0.911490683229814,0.903417533432392,0.907046476761619,0.909365558912387,0.903726708074534,0.902290076335878,0.907575757575758,0.913690476190476,0.904984423676013,0.913767019667171,0.904024767801858,0.902021772939347,0.91499227202473,0.913928012519562,0.904977375565611,0.906906906906907,0.900611620795107,0.903633491311216,0.901990811638591,0.903076923076923,0.921630094043887,0.903522205206738,0.915644171779141,0.911901081916538,0.90795631825273,0.903125,0.90937019969278,0.906349206349206,0.905343511450382,0.896988906497623,0.909233176838811,0.908536585365854,0.908385093167702,0.908805031446541,0.907232704402516,0.912850812407681,0.913373860182371,0.91271056661562,0.899543378995434,0.905829596412556,0.915407854984894,0.902021772939347,0.914241960183767,0.903076923076923,0.900751879699248,0.908952959028832,0.913178294573643,0.910979228486647,0.910493827160494,0.907575757575758,0.900306748466258,0.915360501567398,0.905829596412556,0.905660377358491,0.909090909090909,0.910060975609756,0.902140672782875,0.912420382165605,0.907575757575758,0.908950617283951,0.906832298136646,0.906870229007634,0.90302066772655,0.910769230769231,0.903426791277259,0.905572755417957,0.918711656441718,0.900452488687783,0.918429003021148,0.911901081916538,0.906009244992296,0.919811320754717,0.913657770800628,0.903669724770642,0.912636505460218,0.915360501567398,0.906976744186046,0.907692307692308,0.903522205206738,0.905956112852665,0.899843505477308,0.908668730650155,0.902668759811617,0.917065390749601,0.906396255850234,0.906485671191554,0.901515151515151,0.913793103448276,0.905718701700155,0.900481540930979,0.90937019969278,0.867269984917044,0.917956656346749,0.908408408408408,0.923664122137405,0.911671924290221,0.907496012759171,0.905572755417957,0.908256880733945,0.907692307692308,0.912844036697248,0.915739268680445,0.906153846153846,0.904689863842663,0.899068322981366,0.905120481927711,0.987381703470032,0.9078125,0.995412844036697
"4",0.905144694533762,0.908227848101266,0.996899224806202,1,0.1,0.0869565217391304,0.100158982511924,0.104166666666667,0.0869565217391304,0.088785046728972,0.0926829268292683,0.104524180967239,0.0987261146496815,0.102362204724409,0.0966257668711656,0.0920436817472699,0.104166666666667,0.0966257668711656,0.0972886762360447,0.0925039872408294,0.0943396226415094,0.157051282051282,0.165634674922601,0.0990415335463259,0.0940988835725678,0.104851330203443,0.0929535232383808,0.100323624595469,0.0940438871473354,0.098256735340729,0.100313479623824,0.0993589743589744,0.0976377952755905,0.0981012658227848,0.10207336523126,0.0954616588419405,0.124804992199688,0.0906200317965024,0.100787401574803,0.0968253968253968,0.0981308411214953,0.0952380952380952,0.0900621118012422,0.0998415213946117,0.0956937799043062,0.0930599369085174,0.103338632750397,0.901840490797546,0.913636363636364,0.995184590690209,1,0.106012658227848,0.150159744408946,0.134304207119741,0.102484472049689,0.102728731942215,0.0901898734177215,0.128325508607199,0.0932475884244373,0.0920634920634921,0.103610675039246,0.0922330097087379,0.0882352941176471,0.0978260869565217,0.103125,0.0932475884244373,0.0793650793650794,0.0980707395498392,0.105263157894737,0.0929133858267717,0.0993485342019544,0.0886075949367089,0.102362204724409,0.0998439937597504,0.103235747303544,0.0950155763239875,0.0987261146496815,0.0970724191063174,0.100478468899522,0.0926216640502355,0.124018838304553,0.095389507154213,0.094488188976378,0.1015625,0.0937996820349762,0.0941358024691358,0.0977917981072555,0.0868167202572347,0.0946372239747634,0.0967238689547582,0.106858054226475,0.095679012345679,0.106969205834684,0.0949367088607595,0.0946166394779772,0.096875,0.9024,0.917741935483871,0.904024767801858,0.905362776025237,0.906148867313916,0.901538461538462,0.9,0.90521327014218,0.916271721958926,0.914556962025316,0.90251572327044,0.913322632423756,0.90894819466248,0.894817073170732,0.906344410876133,0.904220779220779,0.917460317460317,0.899529042386185,0.898550724637681,0.893682588597843,0.902053712480253,0.90625,0.896940418679549,0.911532385466035,0.9024,0.909233176838811,0.897314375987362,0.899843505477308,0.900641025641026,0.9056,0.90726429675425,0.90381679389313,0.89589905362776,0.908396946564885,0.898573692551506,0.9015625,0.909667194928685,0.903785488958991,0.900630914826498,0.908082408874802,0.905918057663126,0.896389324960754,0.905448717948718,0.898894154818325,0.907668231611894,0.900928792569659,0.906497622820919,0.904153354632588,0.901771336553945,0.901065449010654,0.899053627760252,0.900466562986003,0.908360128617363,0.90521327014218,0.909379968203498,0.897435897435897,0.9088,0.907051282051282,0.896341463414634,0.901869158878505,0.909090909090909,0.897476340694006,0.897151898734177,0.902777777777778,0.906626506024096,0.90251572327044,0.909509202453988,0.9056,0.895238095238095,0.90282131661442,0.908212560386473,0.900466562986003,0.905572755417957,0.892690513219285,0.89776357827476,0.900311526479751,0.903328050713154,0.918138041733547,0.894654088050314,0.907523510971787,0.902555910543131,0.896166134185304,0.900158478605388,0.904088050314465,0.901743264659271,0.902711323763955,0.895081967213115,0.901098901098901,0.905362776025237,0.899521531100478,0.899521531100478,0.898222940226171,0.909638554216867,0.911042944785276,0.904173106646059,0.895071542130366,0.901689708141321,0.908527131782946,0.902912621359223,0.906687402799378,0.900943396226415,0.894409937888199,0.901898734177215,0.90809968847352,0.901716068642746,0.90894819466248,0.9015625,0.894819466248038,0.911717495987159,0.897959183673469,0.902053712480253,0.906687402799378,0.906298003072197,0.8984375,0.903225806451613,0.904615384615385,0.902973395931142,0.904306220095694,0.905864197530864,0.898058252427185,0.902476780185758,0.890822784810127,0.905448717948718,0.914149443561208,0.895148669796557,0.908805031446541,0.901116427432217,0.899841017488076,0.9104,0.909379968203498,0.894488188976378,0.902866242038217,0.901612903225806,0.908805031446541,0.906940063091483,0.900466562986003,0.902597402597403,0.899186991869919,0.905511811023622,0.89540412044374,0.90671031096563,0.901430842607313,0.907051282051282,0.897356143079316,0.913398692810457,0.902755267423015,0.895867768595041,0.910828025477707,0.865834633385335,0.913522012578616,0.907975460122699,0.928115015974441,0.909238249594814,0.904761904761905,0.895569620253165,0.906200317965024,0.907086614173228,0.908372827804107,0.915857605177994,0.902668759811617,0.896604938271605,0.899212598425197,0.904024767801858,0.983606557377049,0.9024,0.987635239567233
"5",0,0,0.0987261146496815,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.967159277504105,0.960848287112561,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983922829581994,1,1,1,1,1,1,1,1,1,1,0,0,0.0882352941176471,0.0981996726677578,1,0.971993410214168,0.975409836065574,1,1,1,0.98546042003231,1,1,1,1,1,1,1,1,1,1,1,1,0.991652754590985,0.996688741721854,1,1,1,1,1,1,1,1,0.983660130718954,1,1,1,1,1,1,1,1,0.99344262295082,1,1,1,0.995121951219512,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253184713375796,0,0,0.202922077922078,0,0,0,0,0,0,0.200674536256324,0,0,0,0,0.0933786078098472,0,0.103174603174603
"6",0,0,0.0881889763779528,0.0869565217391304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958333333333333,0.957413249211357,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990384615384615,1,1,1,1,1,1,1,1,1,1,0,0,0.0846905537459283,0.0897637795275591,1,0.965853658536585,0.973856209150327,1,1,1,0.980861244019139,1,1,1,1,1,1,1,1,1,1,1,1,0.986776859504132,0.991961414790997,1,1,1,1,1,1,1,1,0.979066022544283,1,1,1,1,1,1,1,1,0.988745980707395,1,1,1,0.990445859872611,1,0.998425196850394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230283911671924,0,0,0.170967741935484,0,0,0,0,0,0,0.179401993355482,0,0,0,0,0.0789915966386555,0,0.0919175911251981
"7",0,0,0.0972222222222222,0.100158982511924,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.966292134831461,0.9629057187017,1,1,1,1,1,1,1,1,1,1,1,1,1,0.984399375975039,1,1,1,1,1,1,1,1,1,1,0,0,0.096,0.100470957613815,1,0.970779220779221,0.975649350649351,1,1,1,0.9828125,1,1,1,1,1,1,1,1,1,1,1,1,0.991869918699187,0.993640699523052,1,1,1,1,1,1,1,1,0.982484076433121,1,1,1,1,1,1,1,1,0.993740219092332,1,1,1,0.992076069730586,1,0.998468606431853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243369734789392,0,0,0.19047619047619,0,0,0,0,0,0,0.195758564437194,0,0,0,0,0.0941558441558442,0,0.101404056162246
"8",0,0,0.0954616588419405,0.104166666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958664546899841,0.954545454545455,1,1,1,1,1,1,1,1,1,1,1,1,1,0.985781990521327,1,1,1,1,1,1,1,1,1,1,0,0,0.0974025974025974,0.102685624012638,1,0.965964343598055,0.972402597402597,1,1,1,0.982704402515723,1,1,1,1,1,1,1,1,1,1,1,1,0.987096774193548,0.992076069730586,1,1,1,1,1,1,1,1,0.9808,1,1,1,1,1,1,1,1,0.988976377952756,1,1,1,0.990322580645161,1,0.998422712933754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245696400625978,0,0,0.19422150882825,0,0,0,0,0,0,0.201923076923077,0,0,0,0,0.0969305331179321,0,0.104361370716511
"9",0,0,0.0858433734939759,0.0869565217391304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.963949843260188,0.958588957055215,1,1,1,1,1,1,1,1,1,1,1,1,1,0.984732824427481,1,1,1,1,1,1,1,1,1,1,0,0,0.0806962025316456,0.0904836193447738,1,0.965678627145086,0.974683544303797,1,1,1,0.986153846153846,1,1,1,1,1,1,1,1,1,1,1,1,0.990476190476191,0.995398773006135,1,1,1,1,1,1,1,1,0.984496124031008,1,1,1,1,1,1,1,1,0.992458521870287,1,1,1,0.992211838006231,1,0.998487140695915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229583975346687,0,0,0.177641653905054,0,0,0,0,0,0,0.18370607028754,0,0,0,0,0.0825242718446602,0,0.0909090909090909
"10",0,0,0.0809160305343511,0.088785046728972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962441314553991,0.961479198767334,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98468606431853,1,1,1,1,1,1,1,1,1,1,0,0,0.0816,0.0854037267080745,1,0.971698113207547,0.979430379746835,1,1,1,0.987692307692308,1,1,1,1,1,1,1,1,1,1,1,1,0.992101105845182,0.99537037037037,1,1,1,1,1,1,1,1,0.987538940809969,1,1,1,1,1,1,1,1,0.99390243902439,1,1,1,0.995305164319249,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226993865030675,0,0,0.180533751962323,0,0,0,0,0,0,0.1808,0,0,0,0,0.083596214511041,0,0.0900621118012422
