"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,0.996850393700787,0.992260061919505,0.990430622009569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.996927803379416,0.99194847020934,0.99211356466877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990783410138249,0.0029806259314456,0,0,0,0.42515923566879,0.482170542635659,0.485804416403785,0,0.324655436447167,0,0,0.265625,0.125198098256735,0.995341614906832,0.00612557427258806,0,0,0.00626959247648903,0.992236024844721,0.43944099378882,0,0,0.468599033816425,0,0.989263803680982,0,0.993527508090615,0.00157728706624606,0.0570522979397781,0,0.990595611285266,0,0.00151975683890578,0.408450704225352,0.132824427480916,0.393416927899687,0,0.467614533965245,0.00156985871271586,0.00460829493087558,0.392801251956182,0.125984251968504,0.164835164835165,0.454404945904173,0.458204334365325,0,0.0633116883116883,0.0144230769230769,0,0,0.675840978593272,0,0.433697347893916,0,0.752380952380952,0.421133231240429,0,0.00153609831029186,0.99075500770416,0,0.144215530903328,0.00788643533123028,0,0.992211838006231,0.758620689655172,0,0,0,0.480376766091052,0.478672985781991,0,0.00317460317460317,0.0016025641025641,0.468652037617555,0,0.439178515007899,0.441269841269841,0.271472392638037,0,0.00152671755725191,0.0658682634730539,0.4739336492891,0.0392464678178964,0.125984251968504,0.00617283950617284,0.462662337662338,0.136792452830189,0.959438377535101,0,0,0.425925925925926,0.454268292682927,0.41358024691358,0,0,0.12111801242236,0,0.0441640378548896,0,0.990610328638498,0.99537750385208,0.370253164556962,0.253164556962025,0.727416798732171,0,0.989079563182527,0.395173453996983,0.989010989010989,0.123397435897436,0,0.0651828298887122,0,0.433179723502304,0.424806201550388,0.333848531684699,0,0,0,0.12792511700468,0,0.126738794435858,0.194704049844237,0.992283950617284,0.19969512195122,0,0.992101105845182,0.366412213740458,0.00156739811912226,0.559875583203733,0.9696,0,0,0.00154320987654321,0.990909090909091,0,0.489329268292683,0,0.0995334370139969,0,0.992319508448541,0.132921174652241,0.371473354231975,0,0.99075500770416,0.972491909385113,0,0.0015748031496063
"2",0.996850393700787,1,0.998427672955975,0.998435054773083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996946564885496,1,0.998371335504886,0.998412698412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998459167950693,0.00153374233128834,0,0,0,0.408723747980614,0.469040247678019,0.461414790996785,0,0.306278713629403,0,0,0.248803827751196,0.110047846889952,0.998449612403101,0.003125,0,0,0.00318471337579618,0.9984375,0.415360501567398,0,0,0.450320512820513,0,0.992272024729521,0,1,0.00158227848101266,0.0526315789473684,0,0.998410174880763,0,0,0.386435331230284,0.132530120481928,0.38785046728972,0,0.453225806451613,0.00158730158730159,0.00465116279069767,0.385335413416537,0.1328125,0.161858974358974,0.440438871473354,0.440124416796268,0,0.060702875399361,0.0126782884310618,0,0,0.662015503875969,0,0.42654028436019,0,0.730337078651685,0.407120743034056,0,0.0015552099533437,0.998439937597504,0,0.12280701754386,0.00625978090766823,0,0.998425196850394,0.699844479004666,0,0,0,0.464678178963893,0.467845659163987,0,0.00324149108589951,0.00161030595813205,0.44822256568779,0,0.415605095541401,0.434713375796178,0.26046511627907,0,0,0.0665658093797277,0.460162601626016,0.0353697749196141,0.112877583465819,0.0062111801242236,0.462157809983897,0.122641509433962,0.9578125,0,0,0.392063492063492,0.43969465648855,0.400928792569659,0,0,0.106012658227848,0,0.0365079365079365,0,0.998430141287284,1,0.369255150554675,0.263823064770932,0.715873015873016,0,0.998439937597504,0.38109756097561,0.998410174880763,0.112519809825674,0,0.0587301587301587,0,0.423076923076923,0.416666666666667,0.319938176197836,0,0,0,0.110939907550077,0,0.101246105919003,0.176838810641628,0.998420221169036,0.201538461538462,0,1,0.351766513056836,0.00157977883096367,0.532608695652174,0.948553054662379,0,0,0.00154798761609907,0.998484848484849,0,0.474809160305344,0,0.100946372239748,0,0.998427672955975,0.134706814580032,0.354430379746835,0,0.998425196850394,0.963375796178344,0,0
"3",0.992260061919505,0.998427672955975,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993930197268589,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0030441400304414,0,0,0,0.422047244094488,0.471317829457364,0.477977161500816,0,0.320726172465961,0,0,0.268987341772152,0.12241653418124,1,0.00453857791225416,0,0,0.00623052959501558,1,0.425431711145997,0,0,0.462875197472354,0,0.998480243161094,0,1,0.0015527950310559,0.056782334384858,0,1,0,0,0.401898734177215,0.128593040847201,0.396551724137931,0,0.463375796178344,0.00158982511923688,0.00454545454545455,0.391236306729264,0.129082426127527,0.171383647798742,0.456086286594761,0.453846153846154,0,0.0690208667736758,0.0172955974842767,0,0,0.673343605546995,0,0.447244094488189,0,0.747217806041335,0.431192660550459,0,0.00154798761609907,1,0,0.129541864139021,0.00930232558139535,0,1,0.716772151898734,0,0,0,0.474339035769829,0.47588424437299,0,0.00479233226837061,0.00315955766192733,0.46583850931677,0,0.435331230283912,0.439749608763693,0.271493212669683,0,0,0.0673652694610778,0.4816,0.0362204724409449,0.1152,0.00622083981337481,0.45928338762215,0.129082426127527,0.97007874015748,0,0,0.413416536661466,0.455505279034691,0.415007656967841,0,0,0.116535433070866,0,0.0410094637223975,0,1,1,0.373417721518987,0.255520504731861,0.725552050473186,0,0.996904024767802,0.393241167434716,0.998439937597504,0.114285714285714,0,0.0617088607594937,0,0.431643625192012,0.420221169036335,0.322678843226788,0,0,0,0.120743034055728,0,0.108527131782946,0.179245283018868,1,0.195419847328244,0,1,0.363076923076923,0.00155038759689922,0.547880690737834,0.961783439490446,0,0,0.00154083204930663,1,0,0.490853658536585,0,0.101246105919003,0,1,0.132398753894081,0.370486656200942,0,1,0.960127591706539,0,0.00159235668789809
"4",0.990430622009569,0.998435054773083,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992236024844721,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0031496062992126,0,0,0,0.407166123778502,0.459069020866774,0.451355661881978,0,0.309486780715397,0,0,0.251602564102564,0.0987261146496815,1,0.00313479623824451,0,0,0.00644122383252818,1,0.411490683229814,0,0,0.440456769983687,0,0.9953125,0,1,0.0016025641025641,0.0560897435897436,0,1,0,0,0.386363636363636,0.124423963133641,0.379254457050243,0,0.448946515397083,0.00159744408945687,0.00617283950617284,0.383280757097792,0.128980891719745,0.169902912621359,0.430842607313196,0.428120063191153,0,0.0728155339805825,0.0162866449511401,0,0,0.647335423197492,0,0.416,0,0.721864951768489,0.401253918495298,0,0.0015748031496063,1,0,0.110210696920583,0.00964630225080386,0,1,0.691573926868045,0,0,0,0.447619047619048,0.454545454545455,0,0.0048,0.00323101777059774,0.451355661881978,0,0.417741935483871,0.42741935483871,0.268867924528302,0,0,0.067175572519084,0.45114006514658,0.0388978930307942,0.099025974025974,0.00630914826498423,0.444628099173554,0.112877583465819,0.958333333333333,0,0,0.402555910543131,0.438461538461538,0.406885758998435,0,0,0.0987261146496815,0,0.0420711974110032,0,1,1,0.359934853420195,0.250406504065041,0.706896551724138,0,1,0.374223602484472,1,0.0958677685950413,0,0.0676328502415459,0,0.4109375,0.410459587955626,0.317111459968603,0,0,0,0.0979462875197472,0,0.102964118564743,0.162420382165605,1,0.176838810641628,0,1,0.352395672333849,0.00163398692810458,0.527733755942948,0.950657894736842,0,0,0.0015552099533437,1,0,0.469953775038521,0,0.107890499194847,0,1,0.13365539452496,0.344155844155844,0,1,0.957377049180328,0,0.00162337662337662
"5",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.736089030206677,0.688575899843505,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7856,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.179775280898876,0.17192429022082,0,0,0,0.157728706624606,0,0,0,0,0,0,0,0,0,0,0,0,0.101748807631161,0.105939004815409,0,0,0,0,0,0,0.00791139240506329,0,0.152647975077882,0,0,0,0,0,0,0.00316455696202532,0,0.0772946859903382,0,0,0,0.0925039872408294,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.744945567651633,0.6890625,1,1,1,1,1,1,1,1,1,1,1,1,1,0.794830371567044,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.186119873817035,0.169014084507042,0,0,0,0.175078864353312,0,0,0,0,0,0,0,0,0,0,0,0,0.106918238993711,0.114467408585056,0,0,0,0,0,0,0.0094488188976378,0,0.157566302652106,0,0,0,0,0,0,0.00160771704180064,0,0.0821484992101106,0,0,0,0.0861244019138756,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.746815286624204,0.696141479099678,1,1,1,1,1,1,1,1,1,1,1,1,1,0.786516853932584,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.194444444444444,0.167202572347267,0,0,0,0.171156893819334,0,0,0,0,0,0,0,0,0,0,0,0,0.112540192926045,0.107843137254902,0,0,0,0,0,0,0.00634920634920635,0,0.161648177496038,0,0,0,0,0,0,0.00324149108589951,0,0.0823723228995058,0,0,0,0.0855263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.744186046511628,0.696734059097978,1,1,1,1,1,1,1,1,1,1,1,1,1,0.778481012658228,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.197784810126582,0.18125,0,0,0,0.182945736434109,0,0,0,0,0,0,0,0,0,0,0,0,0.122222222222222,0.123376623376623,0,0,0,0,0,0,0.00955414012738853,0,0.178403755868545,0,0,0,0,0,0,0.00317965023847377,0,0.0910543130990415,0,0,0,0.107890499194847,0,0.00158982511923688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.733024691358025,0.686728395061728,1,1,1,1,1,1,1,1,1,1,1,1,1,0.784711388455538,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.197472353870458,0.17693522906793,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.108490566037736,0.121069182389937,0,0,0,0,0,0,0.00632911392405063,0,0.171471927162367,0,0,0,0,0,0,0.00155763239875389,0,0.0854430379746835,0,0,0,0.0976377952755905,0,0.00157728706624606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.727975270479134,0.681470137825421,1,1,1,1,1,1,1,1,1,1,1,1,1,0.768518518518518,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2018779342723,0.18167701863354,0,0,0,0.180981595092025,0,0,0,0,0,0,0,0,0,0,0,0,0.119309262166405,0.114104595879556,0,0,0,0,0,0,0.00773993808049536,0,0.167701863354037,0,0,0,0,0,0,0.003125,0,0.0959119496855346,0,0,0,0.105511811023622,0,0.00313971742543171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
