"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,0.995,0,0.994974874371859,1,1,1,1,0.99349593495935,0.781199351701783,1,0.99670510708402,0.99490662139219,1,0.771331058020478,0.998324958123953,0.782752902155887
"3",0,0.995,1,0,1,0.994809688581315,0.998257839721254,0.995008319467554,0.994880546075085,0.98841059602649,0.788177339901478,0.99488926746167,0.991525423728814,1,0.99496644295302,0.782986111111111,0.993127147766323,0.782244556113903
"4",1,0,0,1,0,0,0,0,0,0.00329489291598023,0.214754098360656,0,0,0,0,0.224137931034483,0,0.218120805369128
"5",0,0.994974874371859,1,0,1,0.99488926746167,0.998251748251748,0.99496644295302,0.994897959183674,0.99009900990099,0.784053156146179,0.994782608695652,0.993288590604027,1,0.994991652754591,0.785340314136126,0.994854202401372,0.782682512733446
"6",0,1,0.994809688581315,0,0.99488926746167,1,1,1,1,0.995024875621891,0.784641068447412,1,0.996649916247906,0.994671403197158,1,0.780316344463972,0.998299319727891,0.785591766723842
"7",0,1,0.998257839721254,0,0.998251748251748,1,1,1,1,0.993322203672788,0.795644891122278,1,0.996539792387543,0.998236331569665,1,0.786713286713287,0.998260869565217,0.787307032590051
"8",0,1,0.995008319467554,0,0.99496644295302,1,1,1,1,0.993569131832797,0.792207792207792,1,0.996699669966997,0.994871794871795,1,0.783876500857633,0.998327759197324,0.794701986754967
"9",0,1,0.994880546075085,0,0.994897959183674,1,1,1,1,0.995008319467554,0.783034257748777,1,0.996666666666667,0.99486301369863,1,0.77319587628866,0.998307952622673,0.785234899328859
"10",0,0.99349593495935,0.98841059602649,0.00329489291598023,0.99009900990099,0.995024875621891,0.993322203672788,0.993569131832797,0.995008319467554,1,0.787301587301587,0.993344425956739,1,0.98989898989899,0.993579454253612,0.796264855687606,1,0.797054009819967
"11",0,0.781199351701783,0.788177339901478,0.214754098360656,0.784053156146179,0.784641068447412,0.795644891122278,0.792207792207792,0.783034257748777,0.787301587301587,1,0.778894472361809,0.77741935483871,0.793624161073825,0.792937399678973,0.994940978077572,0.776886035313002,0.993485342019544
"12",0,1,0.99488926746167,0,0.994782608695652,1,1,1,1,0.993344425956739,0.778894472361809,1,0.996610169491525,0.994791666666667,1,0.76949740034662,0.998296422487223,0.775300171526587
"13",0,0.99670510708402,0.991525423728814,0,0.993288590604027,0.996649916247906,0.996539792387543,0.996699669966997,0.996666666666667,1,0.77741935483871,0.996610169491525,1,0.993031358885017,0.996683250414594,0.776041666666667,1,0.793969849246231
"14",0,0.99490662139219,1,0,1,0.994671403197158,0.998236331569665,0.994871794871795,0.99486301369863,0.98989898989899,0.793624161073825,0.994791666666667,0.993031358885017,1,0.99496644295302,0.782918149466192,0.994755244755245,0.781629116117851
"15",0,1,0.99496644295302,0,0.994991652754591,1,1,1,1,0.993579454253612,0.792937399678973,1,0.996683250414594,0.99496644295302,1,0.780569514237856,0.998333333333333,0.791318864774624
"16",0,0.771331058020478,0.782986111111111,0.224137931034483,0.785340314136126,0.780316344463972,0.786713286713287,0.783876500857633,0.77319587628866,0.796264855687606,0.994940978077572,0.76949740034662,0.776041666666667,0.782918149466192,0.780569514237856,1,0.774914089347079,1
"17",0,0.998324958123953,0.993127147766323,0,0.994854202401372,0.998299319727891,0.998260869565217,0.998327759197324,0.998307952622673,1,0.776886035313002,0.998296422487223,1,0.994755244755245,0.998333333333333,0.774914089347079,1,0.781512605042017
"18",0,0.782752902155887,0.782244556113903,0.218120805369128,0.782682512733446,0.785591766723842,0.787307032590051,0.794701986754967,0.785234899328859,0.797054009819967,0.993485342019544,0.775300171526587,0.793969849246231,0.781629116117851,0.791318864774624,1,0.781512605042017,1
