"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262"
"1",1,1,0.996870109546166,0.995176848874598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226904376012966,0.0358255451713396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00788643533123028,0,0,0,0,0,0,0,0,0,0,1,1,0.996784565916399,0.995268138801262,0,0.0354838709677419,0.0310457516339869,0,0,0,0.0127186009538951,0,0,0,0,0,0,0,0,0,0,0,0,0.0264900662251656,0.0048,0,0,0,0,0,0,0,0,0.0177133655394525,0,0,0,0,0,0,0,0,0.0238473767885533,0,0,0,0.0207006369426752,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.549141965678627,1,1,0.592,1,1,1,1,1,1,0.996732026143791,1,1,1,1,1,1,0.996835443037975
"2",1,1,0.998459167950693,0.998417721518987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173501577287066,0.0344287949921753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00778816199376947,0,0,0,0,0,0,0,0,0,0,1,1,0.998366013071895,0.998425196850394,0,0.0308441558441558,0.0276422764227642,0,0,0,0.0110236220472441,0,0,0,0,0,0,0,0,0,0,0,0,0.0208,0.00315955766192733,0,0,0,0,0,0,0,0,0.0161290322580645,0,0,0,0,0,0,0,0,0.0201863354037267,0,0,0,0.0176,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.529225908372828,1,1,0.580696202531646,1,1,1,1,1,1,0.998376623376623,1,1,1,1,1,1,0.998415213946117
"3",0.996870109546166,0.998459167950693,1,1,0.00318471337579618,0.0031496062992126,0.00308641975308642,0.00312989045383412,0.00150602409638554,0,0.00157232704402516,0.00151285930408472,0.0015625,0.00311526479750779,0.00147492625368732,0.00305810397553517,0,0.00305343511450382,0.00309597523219814,0.0015625,0.00151975683890578,0.0261538461538462,0.0413476263399694,0.00307219662058372,0.0031201248049922,0.00151975683890578,0.00147710487444609,0.00313971742543171,0.00153846153846154,0.00304878048780488,0.00307219662058372,0.00308641975308642,0.00306748466257669,0.0015600624024961,0.00153846153846154,0.0031055900621118,0.0136986301369863,0.00308166409861325,0.00306748466257669,0.0031104199066874,0.00303030303030303,0.00149700598802395,0.00303490136570561,0,0.0015748031496063,0.00154798761609907,0.00303030303030303,0.997045790251108,0.997067448680352,1,1,0.00311526479750779,0.0387596899224806,0.0345911949685535,0.00152671755725191,0.0015748031496063,0.00154798761609907,0.0184049079754601,0.00320512820512821,0.0015527950310559,0.0030441400304414,0.00310077519379845,0.00316455696202532,0.00149476831091181,0.00151975683890578,0.00317460317460317,0.0031055900621118,0.00318979266347687,0.00156494522691706,0.00309119010819165,0.0266457680250784,0.00770416024653313,0.00299850074962519,0,0.00302571860816944,0.00309597523219814,0.0031496062992126,0.00306278713629403,0.00309597523219814,0.00313479623824451,0.0231124807395994,0.00152671755725191,0.00306748466257669,0.00307219662058372,0.00310077519379845,0.00303030303030303,0.00154559505409583,0.0015552099533437,0.00152439024390244,0.0242424242424242,0.0031201248049922,0.00308166409861325,0.00158227848101266,0.0264797507788162,0.00319488817891374,0.00150829562594268,0.996850393700787,0.998422712933754,0.996870109546166,0.998444790046656,0.998420221169036,0.998461538461539,0.996835443037975,0.998442367601246,0.996845425867508,0.996908809891808,0.996937212863706,0.998459167950693,0.998432601880878,0.996969696969697,0.998518518518518,1,1,0.998466257668712,0.996875,0.997005988023952,0.998477929984779,0.996951219512195,0.996879875195008,0.996899224806202,0.998430141287284,0.998463901689708,0.99685534591195,0.996960486322188,0.996860282574568,0.996860282574568,0.998480243161094,0.997001499250375,0.998466257668712,0.996992481203008,0.996879875195008,1,0.996923076923077,0.996946564885496,0.996941896024465,0.998447204968944,0.996974281391831,0.998468606431853,0.998417721518987,0.996875,0.998473282442748,0.996965098634294,0.998435054773083,0.998454404945904,0.996918335901387,0.99702380952381,0.996932515337423,0.998470948012232,0.996875,1,1,0.996913580246914,0.998449612403101,0.998447204968944,0.99702823179792,0.997001499250375,0.996978851963746,0.998447204968944,0.996946564885496,0.996969696969697,0.99702380952381,0.996884735202492,0.998487140695915,0.996904024767802,0.996889580093313,0.996908809891808,0.996870109546166,0.996983408748115,0.996996996996997,0.996941896024465,0.996840442338073,0.996937212863706,0.996923076923077,0.996865203761755,0.998468606431853,0.996932515337423,0.996908809891808,0.998439937597504,0.996875,0.996927803379416,0.996825396825397,0.998473282442748,0.996830427892235,0.998435054773083,0.996951219512195,0.996894409937888,0.998427672955975,0.99685534591195,0.997045790251108,0.996960486322188,0.996937212863706,0.998477929984779,0.997010463378176,0.996978851963746,0.996889580093313,0.996937212863706,0.996923076923077,0.996992481203008,0.996965098634294,0.996899224806202,0.997032640949555,0.998456790123457,0.998484848484849,1,0.998432601880878,0.998505231689088,0.99685534591195,0.996969696969697,0.996951219512195,0.996941896024465,0.996815286624204,0.998484848484849,0.998456790123457,0.996894409937888,0.998473282442748,0.996820349761526,0.996923076923077,0.996884735202492,1,0.996932515337423,0.996983408748115,0.996978851963746,0.996908809891808,0.996918335901387,0.998427672955975,0.996860282574568,0.996941896024465,0.996879875195008,0.998432601880878,0.998449612403101,0.998461538461539,0.998468606431853,0.996865203761755,0.996870109546166,0.996904024767802,0.996860282574568,0.996810207336523,0.996879875195008,0.998491704374057,0.996969696969697,0.996865203761755,0.998454404945904,0.996789727126806,0.998463901689708,0.561085972850679,0.996904024767802,0.996996996996997,0.604580152671756,0.996845425867508,0.996810207336523,0.998452012383901,0.996941896024465,0.996923076923077,0.996941896024465,1,0.996923076923077,0.996974281391831,0.998447204968944,0.996987951807229,1,1,1
"4",0.995176848874598,0.998417721518987,1,1,0.00483870967741936,0.00483091787439614,0.00476947535771065,0.00480769230769231,0.0031055900621118,0.00155763239875389,0.0032520325203252,0.0015600624024961,0.00159235668789809,0.0031496062992126,0.00306748466257669,0.0046801872074883,0.0016025641025641,0.00306748466257669,0.00478468899521531,0.00159489633173844,0.00157232704402516,0.0272435897435897,0.0417956656346749,0.00479233226837061,0.00318979266347687,0.00312989045383412,0.00299850074962519,0.00323624595469256,0.00313479623824451,0.00475435816164818,0.00470219435736677,0.00480769230769231,0.0047244094488189,0.00158227848101266,0.00318979266347687,0.00312989045383412,0.0171606864274571,0.00476947535771065,0.0047244094488189,0.00476190476190476,0.00467289719626168,0.00307219662058372,0.0031055900621118,0.00158478605388273,0.00318979266347687,0.00315457413249211,0.00317965023847377,0.995398773006135,0.996969696969697,1,1,0.00474683544303797,0.0335463258785942,0.0307443365695793,0.0031055900621118,0.00321027287319422,0.00316455696202532,0.0156494522691706,0.00482315112540193,0.00317460317460317,0.00470957613814757,0.00323624595469256,0.00490196078431373,0.0015527950310559,0.003125,0.00482315112540193,0.00476190476190476,0.00482315112540193,0.00318979266347687,0.0047244094488189,0.0228013029315961,0.00949367088607595,0.0047244094488189,0,0.00462249614791988,0.00467289719626168,0.00477707006369427,0.00462249614791988,0.00318979266347687,0.00470957613814757,0.0188383045525903,0.00317965023847377,0.0047244094488189,0.0046875,0.00476947535771065,0.00462962962962963,0.00157728706624606,0.00321543408360129,0.00157728706624606,0.0202808112324493,0.00478468899521531,0.00462962962962963,0.00324149108589951,0.0237341772151899,0.0032626427406199,0.003125,0.9952,0.996774193548387,0.995356037151703,0.996845425867508,0.996763754045307,0.996923076923077,0.995161290322581,0.996840442338073,0.995260663507109,0.996835443037975,0.99685534591195,0.998394863563403,0.996860282574568,0.995426829268293,0.996978851963746,0.998376623376623,0.998412698412698,0.996860282574568,0.995169082125604,0.99537750385208,0.998420221169036,0.9953125,0.995169082125604,0.995260663507109,0.9968,0.996870109546166,0.995260663507109,0.995305164319249,0.996794871794872,0.9952,0.996908809891808,0.995419847328244,0.996845425867508,0.995419847328244,0.995245641838352,0.9984375,0.995245641838352,0.995268138801262,0.995268138801262,0.996830427892235,0.995447647951442,0.996860282574568,0.998397435897436,0.995260663507109,0.996870109546166,0.996904024767802,0.996830427892235,0.996805111821086,0.995169082125604,0.995433789954338,0.995268138801262,0.996889580093313,0.995176848874598,0.998420221169036,0.998410174880763,0.995192307692308,0.9968,0.996794871794872,0.996951219512195,0.996884735202492,0.995297805642633,0.996845425867508,0.995253164556962,0.99537037037037,0.995481927710843,0.995283018867924,0.998466257668712,0.9968,0.995238095238095,0.995297805642633,0.995169082125604,0.995334370139969,0.995356037151703,0.996889580093313,0.995207667731629,0.995327102803738,0.995245641838352,0.995184590690209,0.99685534591195,0.996865203761755,0.995207667731629,0.996805111821086,0.996830427892235,0.99685534591195,0.995245641838352,0.996810207336523,0.995081967213115,0.996860282574568,0.995268138801262,0.995215311004785,0.996810207336523,0.995153473344103,0.995481927710843,0.996932515337423,0.995363214837713,0.996820349761526,0.995391705069124,0.995348837209302,0.995145631067961,0.995334370139969,0.99685534591195,0.995341614906832,0.996835443037975,0.995327102803738,0.995319812792512,0.996860282574568,0.9984375,0.998430141287284,0.996789727126806,0.996860282574568,0.995260663507109,0.996889580093313,0.995391705069124,0.9953125,0.995161290322581,0.996923076923077,0.998435054773083,0.995215311004785,0.996913580246914,0.995145631067961,0.995356037151703,0.995253164556962,1,0.995230524642289,0.995305164319249,0.995283018867924,0.995215311004785,0.995230524642289,0.9968,0.995230524642289,0.995275590551181,0.995222929936306,0.996774193548387,0.99685534591195,0.998422712933754,0.996889580093313,0.99512987012987,0.996747967479675,0.995275590551181,0.995245641838352,0.995090016366612,0.995230524642289,0.996794871794872,0.995334370139969,0.995098039215686,0.99837925445705,0.99504132231405,0.996815286624204,0.580343213728549,0.995283018867924,0.995398773006135,0.626198083067093,0.995137763371151,0.995073891625616,0.996835443037975,0.996820349761526,0.995275590551181,0.995260663507109,0.998381877022654,0.995290423861852,0.99537037037037,0.996850393700787,0.995356037151703,0.998360655737705,0.9984,0.998454404945904
"5",0,0,0.00318471337579618,0.00483870967741936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.978653530377668,0.962479608482871,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988745980707395,1,1,1,1,1,1,1,1,1,1,0,0,0.00326797385620915,0.00490998363338789,1,0.971993410214168,0.972131147540984,1,1,1,0.987075928917609,1,1,1,1,1,1,1,1,1,1,1,1,0.98330550918197,0.995033112582781,1,1,1,1,1,1,1,1,0.983660130718954,1,1,1,1,1,1,1,1,0.983606557377049,1,1,1,0.982113821138211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421974522292994,0,0,0.378246753246753,0,0,0,0,0,0,0.00337268128161889,0,0,0,0,0,0,0.00317460317460317
"6",0,0,0.0031496062992126,0.00483091787439614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.974358974358974,0.958990536277603,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988782051282051,1,1,1,1,1,1,1,1,1,1,0,0,0.00325732899022801,0.0047244094488189,1,0.967479674796748,0.972222222222222,1,1,1,0.985645933014354,1,1,1,1,1,1,1,1,1,1,1,1,0.978512396694215,0.993569131832797,1,1,1,1,1,1,1,1,0.980676328502415,1,1,1,1,1,1,1,1,0.979099678456592,1,1,1,0.979299363057325,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44794952681388,0,0,0.403225806451613,0,0,0,0,0,0,0.00332225913621262,0,0,0,0,0,0,0.00316957210776545
"7",0,0,0.00308641975308642,0.00476947535771065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982343499197432,0.965996908809892,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992199687987519,1,1,1,1,1,1,1,1,1,1,0,0,0.0032,0.00470957613814757,1,0.969155844155844,0.972402597402597,1,1,1,0.9859375,1,1,1,1,1,1,1,1,1,1,1,1,0.983739837398374,0.995230524642289,1,1,1,1,1,1,1,1,0.982484076433121,1,1,1,1,1,1,1,1,0.984350547730829,1,1,1,0.98256735340729,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452418096723869,0,0,0.4,0,0,0,0,0,0,0.0032626427406199,0,0,0,0,0,0,0.0031201248049922
"8",0,0,0.00312989045383412,0.00480769230769231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.980922098569157,0.967084639498433,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990521327014218,1,1,1,1,1,1,1,1,1,1,0,0,0.00324675324675325,0.004739336492891,1,0.967585089141005,0.972402597402597,1,1,1,0.988993710691824,1,1,1,1,1,1,1,1,1,1,1,1,0.97741935483871,0.995245641838352,1,1,1,1,1,1,1,1,0.984,1,1,1,1,1,1,1,1,0.979527559055118,1,1,1,0.982258064516129,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435054773082942,0,0,0.399678972712681,0,0,0,0,0,0,0.00320512820512821,0,0,0,0,0,0,0.00311526479750779
"9",0,0,0.00150602409638554,0.0031055900621118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.979623824451411,0.966257668711656,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99236641221374,1,1,1,1,1,1,1,1,1,1,0,0,0.00158227848101266,0.0031201248049922,1,0.968798751950078,0.971518987341772,1,1,1,0.987692307692308,1,1,1,1,1,1,1,1,1,1,1,1,0.977777777777778,0.996932515337423,1,1,1,1,1,1,1,1,0.982945736434109,1,1,1,1,1,1,1,1,0.978883861236802,1,1,1,0.981308411214953,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445300462249615,0,0,0.393568147013783,0,0,0,0,0,0,0.00159744408945687,0,0,0,0,0,0,0.00154083204930663
"10",0,0,0,0.00155763239875389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.979655712050078,0.964560862865948,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990811638591118,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0015527950310559,1,0.970125786163522,0.974683544303797,1,1,1,0.989230769230769,1,1,1,1,1,1,1,1,1,1,1,1,0.979462875197472,0.996913580246914,1,1,1,1,1,1,1,1,0.984423676012461,1,1,1,1,1,1,1,1,0.981707317073171,1,1,1,0.981220657276995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446319018404908,0,0,0.401883830455259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
