"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,1,0.992260061919505,0.977671451355662,0,0.00157232704402516,0.00158478605388273,0.0015748031496063,0.00156494522691706,0.0015527950310559,0,0.0015552099533437,0.00158227848101266,0,0.0015748031496063,0,0.00159489633173844,0.00157728706624606,0.00156739811912226,0.00157728706624606,0,0.174454828660436,0.190108191653787,0.00158982511923688,0.00155763239875389,0.00154083204930663,0.00150602409638554,0.00159744408945687,0.00152905198776758,0.00156494522691706,0.00158982511923688,0.00158478605388273,0.00156985871271586,0.0015625,0.00155763239875389,0.00161550888529887,0.0188383045525903,0.00158227848101266,0.00156739811912226,0.00156985871271586,0.00157977883096367,0,0,0.00154083204930663,0.00152671755725191,0.00157232704402516,0.00155038759689922,1,1,0.990338164251208,0.977917981072555,0.00156739811912226,0.42566510172144,0.283699059561129,0.00305343511450382,0.0015527950310559,0.0015625,0.0895061728395062,0.00162074554294976,0.00153374233128834,0.00152905198776758,0.00153139356814701,0.00154083204930663,0.0015220700152207,0.0015015015015015,0,0.00154320987654321,0.0016,0.00157232704402516,0.00157728706624606,0.00156739811912226,0.00801282051282051,0.0015625,0.0015220700152207,0,0.00156494522691706,0.0015552099533437,0.0015220700152207,0.00313971742543171,0.00157232704402516,0.0858895705521472,0.00151285930408472,0.00152439024390244,0.00161550888529887,0,0.00156985871271586,0,0.0015527950310559,0.00154083204930663,0,0.00152671755725191,0,0.0015625,0.0047244094488189,0.00162337662337662,0.00157728706624606,0.998463901689708,0.998509687034277,1,0.998394863563403,0.998427672955975,1,1,0.998422712933754,1,0.998468606431853,0.998475609756098,0.998425196850394,1,0.998415213946117,0.998447204968944,0.998468606431853,0.998470948012232,0.998470948012232,0.998432601880878,1,0.998447204968944,1,0.998355263157895,1,1,0.998466257668712,0.99836867862969,1,0.998422712933754,0.998415213946117,0.998442367601246,1,0.998477929984779,0.998480243161094,0.998435054773083,0.998473282442748,0.998432601880878,0.998475609756098,1,0.998430141287284,0.998463901689708,0.998435054773083,1,0.998430141287284,0.998454404945904,0.998452012383901,0.998475609756098,0.998376623376623,0.998397435897436,1,0.998417721518987,1,0.998466257668712,0.998439937597504,0.996830427892235,0.998412698412698,0.998468606431853,0.998412698412698,0.998463901689708,0.998459167950693,0.998420221169036,0.998415213946117,0.998422712933754,0.998420221169036,0.998442367601246,0.998432601880878,1,0.998452012383901,0.998468606431853,0.998430141287284,1,0.998470948012232,0.998412698412698,0.998397435897436,0.998432601880878,1,1,0.998412698412698,0.998466257668712,0.996879875195008,1,0.998502994011976,1,0.998430141287284,1,0.998456790123457,0.998376623376623,0.998427672955975,0.998439937597504,0.998389694041868,0.998452012383901,1,0.998475609756098,0.998456790123457,0.998461538461539,0.998447204968944,0.998447204968944,0.998389694041868,0.998422712933754,0.998461538461539,1,0.998459167950693,1,0.998417721518987,0.998415213946117,0.998452012383901,0.998439937597504,0.998491704374057,0.998430141287284,0.998397435897436,0.998442367601246,0.998410174880763,0.996840442338073,0.998463901689708,0.998449612403101,0.998454404945904,0.998422712933754,0.998449612403101,0.99836867862969,1,0.998430141287284,0.998454404945904,0.998442367601246,1,0.998475609756098,0.9984375,0.998420221169036,0.998473282442748,0.998432601880878,0.998444790046656,1,0.998407643312102,1,0.998456790123457,0.998484848484849,0.998475609756098,0.998475609756098,1,0.998444790046656,0.9984375,0.998463901689708,0.998454404945904,0.998432601880878,0.998456790123457,1,0.998381877022654,0.998475609756098,0.998425196850394
"2",1,1,0.995283018867924,0.982785602503912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174803149606299,0.199687987519501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127186009538951,0,0,0,0,0,0,0,0,0,0,1,1,0.995114006514658,0.982539682539682,0,0.42472266244057,0.285261489698891,0.00153846153846154,0,0,0.0875576036866359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00949367088607595,0,0,0,0,0,0,0.00158227848101266,0,0.0855365474339036,0,0,0,0,0,0,0,0,0,0,0,0,0.00161550888529887,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998407643312102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998447204968944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998470948012232,1,1,1,1,1,1,1,1,1,1,1,1,0.9968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",0.992260061919505,0.995283018867924,1,1,0.00641025641025641,0.0111111111111111,0.0110410094637224,0.0108527131782946,0.00778816199376947,0.009375,0.00650406504065041,0.00618238021638331,0.0108527131782946,0.00921658986175115,0.0109204368174727,0.00934579439252336,0.00952380952380952,0.00941915227629513,0.009375,0.0111821086261981,0.009375,0.189522342064715,0.217115689381933,0.0078740157480315,0.0062402496099844,0.00768049155145929,0.0091324200913242,0.00813008130081301,0.00917431192660551,0.00783699059561128,0.0110236220472441,0.00947867298578199,0.00791139240506329,0.00784929356357928,0.00928792569659443,0.00961538461538462,0.0237341772151899,0.00786163522012579,0.00628930817610063,0.0093167701863354,0.00961538461538462,0.00606060606060606,0.00778816199376947,0.0107033639143731,0.0077639751552795,0.0110410094637224,0.00775193798449612,0.993930197268589,0.998473282442748,1,1,0.0110236220472441,0.452978056426332,0.320695102685624,0.0122887864823349,0.0062402496099844,0.0094488188976378,0.102803738317757,0.00487012987012987,0.0108864696734059,0.00762195121951219,0.0109034267912773,0.00924499229583975,0.0075642965204236,0.00916030534351145,0.00782472613458529,0.00765696784073507,0.0114942528735632,0.0111464968152866,0.00955414012738853,0.00930232558139535,0.0176565008025682,0.0109034267912773,0.00920245398773006,0.00783699059561128,0.00947867298578199,0.00768049155145929,0.00928792569659443,0.0110584518167457,0.0078740157480315,0.0964230171073095,0.00907715582450832,0.0105421686746988,0.0112903225806452,0.00470219435736677,0.00802568218298555,0.00811688311688312,0.00625978090766823,0.00769230769230769,0.00636942675159236,0.0106544901065449,0.00479233226837061,0.00792393026941363,0.0142405063291139,0.00805152979066022,0.00952380952380952,0.990783410138249,0.992389649923896,0.990610328638498,0.990384615384615,0.992163009404389,0.992125984251969,0.992248062015504,0.98858075040783,0.990683229813665,0.992435703479576,0.990881458966565,0.988871224165342,0.995253164556962,0.992050874403816,0.993730407523511,0.990922844175492,0.992343032159265,0.990740740740741,0.992211838006231,0.992248062015504,0.990580847723705,0.990610328638498,0.993344425956739,0.993680884676145,0.992088607594937,0.98936170212766,0.991869918699187,0.990228013029316,0.990683229813665,0.99211356466877,0.99079754601227,0.992163009404389,0.992331288343558,0.989164086687306,0.990506329113924,0.989409984871407,0.992163009404389,0.990740740740741,0.99203821656051,0.992050874403816,0.990909090909091,0.990610328638498,0.990668740279938,0.990566037735849,0.99075500770416,0.990769230769231,0.98937784522003,0.991974317817014,0.990566037735849,0.993579454253612,0.988958990536278,0.992295839753467,0.992295839753467,0.992125984251969,0.9888,0.993640699523052,0.989296636085627,0.992076069730586,0.990712074303406,0.990595611285266,0.990683229813665,0.993680884676145,0.992248062015504,0.989096573208723,0.990697674418605,0.993670886075949,0.993730407523511,0.990697674418605,0.989247311827957,0.993779160186625,0.991961414790997,0.992307692307692,0.990415335463259,0.992101105845182,0.993788819875776,0.990654205607477,0.99211356466877,0.989045383411581,0.990950226244344,0.986217457886677,0.993779160186625,0.991017964071856,0.9952,0.988976377952756,0.992,0.992223950233281,0.990228013029316,0.990668740279938,0.990551181102362,0.990566037735849,0.990521327014218,0.990639625585023,0.989441930618401,0.993874425727412,0.989079563182527,0.99211356466877,0.992125984251969,0.99021207177814,0.990536277602524,0.990769230769231,0.993836671802773,0.992211838006231,0.990506329113924,0.990536277602524,0.99211356466877,0.989113530326594,0.990712074303406,0.992319508448541,0.990639625585023,0.990476190476191,0.989147286821705,0.992088607594937,0.988924050632911,0.992319508448541,0.992101105845182,0.993911719939117,0.989079563182527,0.988906497622821,0.988636363636364,0.993808049535604,0.992248062015504,0.992248062015504,0.992138364779874,0.992150706436421,0.990839694656489,0.989263803680982,0.989028213166144,0.990769230769231,0.989147286821705,0.990580847723705,0.99203821656051,0.988906497622821,0.992025518341308,0.992295839753467,0.993874425727412,0.989345509893455,0.990853658536585,0.990625,0.989096573208723,0.989197530864197,0.990668740279938,0.989096573208723,0.992150706436421,0.992150706436421,0.992223950233281,0.990430622009569,0.993920972644377,0.99203821656051
"4",0.977671451355662,0.982785602503912,1,1,0.0240384615384615,0.0268562401263823,0.0243506493506494,0.0243506493506494,0.0223285486443381,0.024,0.0215946843853821,0.0207667731629393,0.0235478806907378,0.0247678018575851,0.0222929936305732,0.0249609984399376,0.0225806451612903,0.0268562401263823,0.0252365930599369,0.0245499181669394,0.0225806451612903,0.194577352472089,0.227707006369427,0.0208333333333333,0.0208,0.0233644859813084,0.0264797507788162,0.0214876033057851,0.0216383307573416,0.0244698205546493,0.0272,0.0211382113821138,0.0222929936305732,0.0233644859813084,0.0243506493506494,0.0260586319218241,0.0369774919614148,0.0238473767885533,0.0194489465153971,0.0205696202531646,0.0194489465153971,0.0233281493001555,0.0224358974358974,0.0208,0.0220820189274448,0.0258064516129032,0.0174603174603175,0.981366459627329,0.985691573926868,0.993377483443709,1,0.0274636510500808,0.461414790996785,0.321428571428571,0.0266457680250784,0.0205371248025276,0.0254372019077901,0.107765451664025,0.0164744645799012,0.021978021978022,0.0220820189274448,0.0266875981161695,0.0267295597484277,0.0218068535825545,0.0248833592534992,0.0220472440944882,0.0240384615384615,0.026578073089701,0.029126213592233,0.0222929936305732,0.0191082802547771,0.0324149108589951,0.0268562401263823,0.0265625,0.0205371248025276,0.0202808112324493,0.0250391236306729,0.0234009360374415,0.027027027027027,0.0241157556270096,0.109004739336493,0.0262345679012346,0.0192,0.0246710526315789,0.0193236714975845,0.0212765957446809,0.0213815789473684,0.0191082802547771,0.0224,0.0227272727272727,0.0265625,0.017741935483871,0.0241157556270096,0.0275526742301459,0.0213114754098361,0.0257234726688103,0.9796875,0.974803149606299,0.977742448330684,0.975609756097561,0.975922953451043,0.980456026058632,0.974317817014446,0.972886762360447,0.974481658692185,0.978227060653188,0.978021978021978,0.975767366720517,0.982371794871795,0.980891719745223,0.979233226837061,0.976489028213166,0.981132075471698,0.977777777777778,0.979066022544283,0.982456140350877,0.978260869565217,0.976190476190476,0.979487179487179,0.978792822185971,0.977777777777778,0.978125,0.973640856672158,0.977235772357724,0.974358974358974,0.983974358974359,0.974683544303797,0.9792,0.979655712050078,0.979876160990712,0.975649350649351,0.981566820276498,0.977309562398703,0.974763406940063,0.975688816855754,0.976038338658147,0.979938271604938,0.974763406940063,0.977707006369427,0.975728155339806,0.97456279809221,0.976303317535545,0.977029096477795,0.977346278317152,0.97557003257329,0.978792822185971,0.974643423137876,0.976489028213166,0.978260869565217,0.9776,0.975845410628019,0.979099678456592,0.974921630094044,0.976114649681529,0.977952755905512,0.973143759873618,0.97588424437299,0.977309562398703,0.983922829581994,0.976038338658147,0.979299363057325,0.97933227344992,0.977777777777778,0.976377952755906,0.976708074534162,0.977777777777778,0.974025974025974,0.976415094339623,0.9776,0.978998384491115,0.976076555023923,0.975193798449612,0.975806451612903,0.97741935483871,0.979559748427673,0.975155279503106,0.97933227344992,0.978625954198473,0.980456026058632,0.977309562398703,0.974025974025974,0.974763406940063,0.976859504132231,0.977742448330684,0.974358974358974,0.974358974358974,0.976114649681529,0.976038338658147,0.975384615384615,0.976525821596244,0.973058637083994,0.977917981072555,0.977707006369427,0.975369458128079,0.978964401294498,0.976635514018692,0.9824,0.974683544303797,0.973941368078176,0.977235772357724,0.974921630094044,0.976038338658147,0.97456279809221,0.981366459627329,0.974317817014446,0.973553719008264,0.9744,0.977455716586151,0.975961538461538,0.9796875,0.977812995245642,0.98116169544741,0.976152623211447,0.974643423137876,0.973509933774834,0.979462875197472,0.977952755905512,0.982839313572543,0.976114649681529,0.979233226837061,0.974960876369327,0.978021978021978,0.972668810289389,0.976816074188563,0.977124183006536,0.974643423137876,0.975328947368421,0.973856209150327,0.977124183006536,0.978227060653188,0.979782270606532,0.974960876369327,0.973805855161787,0.974921630094044,0.974235104669887,0.974842767295597,0.974603174603175,0.975845410628019,0.980519480519481,0.981072555205047,0.978227060653188,0.977049180327869,0.982945736434109,0.974025974025974
"5",0,0,0.00641025641025641,0.0240384615384615,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.813990461049285,0.78716744913928,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9776,1,1,1,1,1,1,1,1,1,1,0,0,0.00809061488673139,0.0160513643659711,1,0.547351524879615,0.684542586750789,0.998454404945904,1,1,0.908517350157729,1,1,1,1,1,1,1,1,1,1,1,1,1,0.993579454253612,1,1,1,1,1,1,0.998417721518987,1,0.914330218068536,1,1,1,1,1,1,1,1,1,1,1,1,0.996810207336523,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164744645799012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312989045383412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.00157232704402516,0,0.0111111111111111,0.0268562401263823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8149300155521,0.796875,1,1,1,1,1,1,1,1,1,1,1,1,1,0.980613893376414,1,1,1,1,1,1,1,1,1,1,0,0.00153139356814701,0.013136288998358,0.0238095238095238,1,0.561514195583596,0.704225352112676,1,1,1,0.913249211356467,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992050874403816,1,1,1,1,1,1,0.998425196850394,1,0.917316692667707,1,1,1,1,1,1,1,1,1,1,1,1,0.998405103668262,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321543408360129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153609831029186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015552099533437,0,0,0,0,0,0,0,0,0,0,0,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.00158478605388273,0,0.0110410094637224,0.0243506493506494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.807324840764331,0.795819935691318,1,1,1,1,1,1,1,1,1,1,1,1,1,0.979133226324238,1,1,1,1,1,1,1,1,1,1,0,0.00157977883096367,0.0112721417069243,0.0197368421052632,1,0.550653594771242,0.697749196141479,1,1,1,0.904912836767036,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988562091503268,1,1,1,1,1,1,0.998412698412698,1,0.908082408874802,1,1,1,1,1,1,1,1,1,1,1,1,0.996710526315789,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016366612111293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158478605388273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157977883096367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.0015748031496063,0,0.0108527131782946,0.0243506493506494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.826356589147287,0.811819595645412,1,1,1,1,1,1,1,1,1,1,1,1,1,0.981012658227848,1,1,1,1,1,1,1,1,1,1,0,0.0015527950310559,0.0113268608414239,0.0241935483870968,1,0.575949367088608,0.715625,1,1,1,0.917829457364341,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99025974025974,1,1,1,1,1,1,0.998407643312102,1,0.921752738654147,1,1,1,1,1,1,1,1,1,1,1,1,0.996779388083736,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00160771704180064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00309119010819165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.00156494522691706,0,0.00778816199376947,0.0223285486443381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.822530864197531,0.794753086419753,1,1,1,1,1,1,1,1,1,1,1,1,1,0.981279251170047,1,1,1,1,1,1,1,1,1,1,0,0.0015015015015015,0.00805152979066022,0.0206349206349206,1,0.549763033175355,0.701421800947867,0.998500749625187,1,1,0.903076923076923,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992138364779874,1,1,1,1,1,1,0.998417721518987,1,0.908952959028832,1,1,1,1,1,1,1,1,1,1,1,1,0.996850393700787,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158982511923688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155038759689922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015220700152207,0,0,0,0,0,0,0,0,0,0,0,0,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.0015527950310559,0,0.009375,0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.831530139103555,0.813169984686064,1,1,1,1,1,1,1,1,1,1,1,1,1,0.978395061728395,1,1,1,1,1,1,1,1,1,1,0,0.00154320987654321,0.0112540192926045,0.019047619047619,1,0.568075117370892,0.709627329192547,0.998475609756098,1,1,0.914110429447853,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992076069730586,1,1,1,1,1,1,0.998452012383901,1,0.917701863354037,1,1,1,1,1,1,1,1,1,1,1,1,0.996850393700787,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321543408360129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00309597523219814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0.00463678516228748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
