"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,1,0.986068111455108,0.987240829346092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.987117552334944,0.987381703470032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021505376344086,0.0029806259314456,0,0,0,0.00159235668789809,0.0108527131782946,0.00473186119873817,0.0031201248049922,0.00153139356814701,0,0,0.003125,0.00316957210776545,0.0201863354037267,0.00153139356814701,0,0,0,0.0186335403726708,0.0108695652173913,0,0,0.0112721417069243,0,0.0230061349693252,0,0.0145631067961165,0,0.00316957210776545,0,0.0235109717868339,0.0015220700152207,0,0.00312989045383412,0.00610687022900763,0.00940438871473354,0.00152439024390244,0.0126382306477093,0,0.00153609831029186,0.0125195618153365,0.0062992125984252,0.00470957613814757,0.0123647604327666,0.0123839009287926,0,0.00162337662337662,0.0016025641025641,0,0,0.0137614678899083,0,0.0015600624024961,0,0.0111111111111111,0.00306278713629403,0,0,0.024653312788906,0.00157977883096367,0.0126782884310618,0.00157728706624606,0,0.0202492211838006,0.181818181818182,0,0,0,0.0141287284144427,0.0126382306477093,0,0.00317460317460317,0.0016025641025641,0.00783699059561128,0,0.0110584518167457,0.00952380952380952,0.00613496932515337,0,0.00152671755725191,0,0.0110584518167457,0.00156985871271586,0,0.00308641975308642,0.00649350649350649,0.00157232704402516,0.0218408736349454,0,0,0.00925925925925926,0.0121951219512195,0.0123456790123457,0,0,0.0015527950310559,0,0.00315457413249211,0,0.0172143974960876,0.0231124807395994,0.00158227848101266,0.00316455696202532,0.0142630744849445,0,0.0109204368174727,0.00150829562594268,0.00941915227629513,0.00320512820512821,0,0.00476947535771065,0,0.010752688172043,0.00930232558139535,0.00309119010819165,0,0,0,0.0015600624024961,0,0.00309119010819165,0,0.0231481481481481,0.0121951219512195,0,0.0221169036334913,0.00305343511450382,0,0.118195956454121,0.1968,0,0.00327332242225859,0.00154320987654321,0.0227272727272727,0,0.0121951219512195,0,0.0046656298600311,0,0.0138248847926267,0.00154559505409583,0.00313479623824451,0,0.0231124807395994,0.144012944983819,0,0
"2",1,1,0.993710691823899,0.993740219092332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.993485342019544,0.993650793650794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107858243451464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170542635658915,0,0,0,0,0.0125,0,0,0,0,0,0.0185471406491499,0,0.00958466453674121,0,0.00159489633173844,0,0.0190779014308426,0,0,0,0,0,0,0,0,0,0,0,0.0016025641025641,0,0,0,0,0,0,0,0,0,0,0,0.00160513643659711,0,0,0,0.015600624024961,0,0,0,0,0.0173228346456693,0.143079315707621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171875,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0.0125588697017268,0.0171073094867807,0,0,0.00476190476190476,0,0.0062402496099844,0,0.00635930047694754,0,0,0.00158730158730159,0,0,0,0,0,0,0,0,0,0,0,0.0157977883096366,0,0,0.012924071082391,0,0,0.093167701863354,0.160771704180064,0,0,0,0.0196969696969697,0,0,0,0,0,0.0110062893081761,0,0,0,0.0204724409448819,0.116242038216561,0,0
"3",0.986068111455108,0.993710691823899,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990895295902883,0.996946564885496,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010752688172043,0,0,0,0,0,0.00155038759689922,0,0,0,0,0,0,0,0.0141065830721003,0,0,0,0,0.0124031007751938,0.00156985871271586,0,0,0,0,0.013677811550152,0,0.00651465798045603,0,0.00157728706624606,0,0.0109717868338558,0,0,0,0,0.00156739811912226,0,0.00159235668789809,0,0,0,0,0,0.00154083204930663,0.00153846153846154,0,0,0,0,0,0.00154083204930663,0,0,0,0.00158982511923688,0,0,0,0.0109717868338558,0,0,0,0,0.0124031007751938,0.162974683544304,0,0,0,0.0015552099533437,0.00160771704180064,0,0,0,0,0,0.00157728706624606,0.00156494522691706,0,0,0,0,0.0016,0,0,0,0,0,0.0110236220472441,0,0,0.0015600624024961,0,0,0,0,0,0,0.00157728706624606,0,0.00924499229583975,0.0124610591900312,0,0,0.00473186119873817,0,0.00464396284829721,0,0.0031201248049922,0,0,0.00158227848101266,0,0,0.00157977883096367,0.0015220700152207,0,0,0,0,0,0,0,0.0141287284144427,0,0,0.0109717868338558,0,0,0.105180533751962,0.17515923566879,0,0,0,0.0107197549770291,0,0.00152439024390244,0,0,0,0.0139968895800933,0,0,0,0.015552099533437,0.12280701754386,0,0
"4",0.987240829346092,0.993740219092332,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990683229813665,0.996820349761526,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012779552715655,0,0,0,0,0.0111642743221691,0,0,0,0,0,0.0171875,0,0.0113821138211382,0,0.00320512820512821,0,0.0128,0,0,0,0,0,0,0,0,0,0,0,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0,0.00160771704180064,0,0,0,0.014218009478673,0,0,0,0,0.0159235668789809,0.152623211446741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144230769230769,0,0,0,0,0,0,0,0,0,0.00323624595469256,0,0.0112,0.0142405063291139,0,0,0.00470219435736677,0,0.0111287758346582,0,0.00802568218298555,0,0,0.00483091787439614,0,0,0,0,0,0,0,0,0,0,0,0.0159744408945687,0,0,0.0144694533762058,0,0,0.098256735340729,0.169407894736842,0,0,0,0.0139968895800933,0,0,0,0,0,0.00952380952380952,0,0,0,0.0171073094867807,0.121311475409836,0,0
"5",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.821939586645469,0.816901408450704,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9056,0.939490445859873,1,0.943485086342229,1,0.952599388379205,0.940157480314961,0.946624803767661,1,1,1,0,0,0,0,0,0.00160513643659711,0.00157728706624606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.825816485225505,0.81875,1,1,1,1,1,1,1,1,1,1,1,1,1,0.893376413570275,0.939778129952456,1,0.94488188976378,1,0.952815829528158,0.939873417721519,0.945686900958466,1,1,1,0,0,0,0,0,0.00157728706624606,0.00156494522691706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.832802547770701,0.818327974276527,1,1,1,1,1,1,1,1,1,1,1,1,1,0.903691813804173,0.940322580645161,1,0.9456,1,0.954545454545455,0.940514469453376,0.94620253164557,1,1,1,0,0,0,0,0,0.00326797385620915,0.00321543408360129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.824806201550388,0.818040435458787,1,1,1,1,1,1,1,1,1,1,1,1,1,0.897151898734177,0.939490445859873,1,0.942766295707472,1,0.952160493827161,0.940438871473354,0.946957878315133,1,1,1,0,0,0,0,0,0.00316455696202532,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.819444444444444,0.813271604938272,1,1,1,1,1,1,1,1,1,1,1,1,1,0.898595943837754,0.937597503900156,1,0.940809968847352,1,0.95059880239521,0.937888198757764,0.942277691107644,1,1,1,0,0,0,0,0,0.00157977883096367,0.00157977883096367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.825347758887172,0.816232771822358,1,1,1,1,1,1,1,1,1,1,1,1,1,0.895061728395062,0.937205651491366,1,0.942812982998454,1,0.949924127465857,0.937402190923318,0.942546583850932,1,1,1,0,0,0,0,0,0.00312989045383412,0.0031055900621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
