"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,0.9984375,0.973765432098765,0.943037974683544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.974164133738602,0.943573667711599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43125,0,0,0,0,0.0175718849840256,0.0627943485086342,0.0606531881804044,0,0.00764525993883792,0,0,0.00788643533123028,0.00467289719626168,0.423493044822257,0.00322061191626409,0,0,0,0.43778801843318,0.0539291217257319,0,0.00157232704402516,0.0667726550079491,0,0.42879746835443,0,0.440570522979398,0,0,0,0.443234836702955,0,0,0.0515625,0.010989010989011,0.0559875583203732,0,0.072463768115942,0,0,0.0646203554119548,0.0108527131782946,0.0417956656346749,0.0839813374805599,0.0770416024653313,0,0,0,0,0,0.141494435612083,0.00154559505409583,0.0523076923076923,0,0.412772585669782,0.0440251572327044,0,0,0.438377535101404,0,0.0135542168674699,0,0,0.41875,0.36833855799373,0,0,0,0.0722135007849294,0.0694006309148265,0,0,0,0.0648567119155355,0,0.0704,0.0544,0.00159489633173844,0,0.00154559505409583,0,0.0800627943485086,0,0.00305810397553517,0.0014903129657228,0.061633281972265,0.00155763239875389,0.418897637795276,0,0,0.0569230769230769,0.0569620253164557,0.0664556962025316,0,0,0.0015600624024961,0,0,0,0.432859399684044,0.432216905901116,0.0145631067961165,0.303405572755418,0.421216848673947,0,0.435114503816794,0.037821482602118,0.427051671732523,0.0031104199066874,0,0.0344827586206897,0,0.0725075528700906,0.0602218700475436,0.0031104199066874,0,0,0,0.00308641975308642,0,0.0031104199066874,0.00782472613458529,0.41025641025641,0.0124223602484472,0,0.433933933933934,0.0106544901065449,0.00159744408945687,0.466772151898734,0.497659906396256,0,0,0,0.426380368098159,0,0.0694006309148265,0,0.00654664484451719,0,0.430793157076205,0.0031055900621118,0.0248447204968944,0,0.427444794952681,0.474576271186441,0,0
"2",0.9984375,1,0.98116169544741,0.951104100946372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998463901689708,1,0.978021978021978,0.950871632329635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433070866141732,0,0,0,0,0.017741935483871,0.0593900481540931,0.0544,0,0.0093167701863354,0,0,0.00980392156862745,0.00473186119873817,0.426584234930448,0.00325732899022801,0,0,0,0.434169278996865,0.0600924499229584,0,0.00154798761609907,0.0618066561014263,0,0.433441558441558,0,0.43581616481775,0,0,0,0.43859649122807,0,0,0.046031746031746,0.00630914826498423,0.0592823712948518,0,0.066884176182708,0,0,0.0688524590163934,0.0109546165884194,0.047244094488189,0.0832049306625578,0.0773993808049536,0,0,0,0,0,0.150793650793651,0.00156494522691706,0.0455259026687598,0,0.412772585669782,0.0380348652931854,0,0,0.429477020602219,0,0.0123456790123457,0,0,0.43312101910828,0.34991974317817,0,0,0,0.073482428115016,0.0738362760834671,0,0,0,0.0655487804878049,0,0.0654664484451719,0.0454545454545455,0.00162074554294976,0,0.00161030595813205,0,0.073015873015873,0,0.003125,0.00151975683890578,0.0583596214511041,0.00157977883096367,0.424878836833603,0,0,0.0618238021638331,0.0578778135048231,0.0649350649350649,0,0,0.0015625,0,0,0,0.4304,0.440894568690096,0.014827018121911,0.312893081761006,0.415605095541401,0,0.43558282208589,0.0321592649310873,0.433179723502304,0.0031055900621118,0,0.0375,0,0.0726429675425039,0.0565428109854604,0.00157232704402516,0,0,0,0.00313479623824451,0,0.00315955766192733,0.00480769230769231,0.415007656967841,0.010989010989011,0,0.425076452599388,0.00918836140888208,0.0016366612111293,0.460191082802548,0.488188976377953,0,0,0,0.426100628930818,0,0.0704,0,0.00656814449917898,0,0.442338072669826,0.00475435816164818,0.0219435736677116,0,0.433441558441558,0.476043276661515,0,0
"3",0.973765432098765,0.98116169544741,1,0.975039001560062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048,0.00469483568075117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975646879756469,0.976228209191759,1,0.97444089456869,0,0.0015527950310559,0.0015527950310559,0,0,0,0.00469483568075117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4336,0,0,0,0,0.0158730158730159,0.0602218700475436,0.0555555555555556,0,0.00784929356357928,0,0,0.00801282051282051,0.00155038759689922,0.417956656346749,0.00160513643659711,0.00154798761609907,0,0,0.421630094043887,0.0559875583203732,0,0.0015748031496063,0.0608974358974359,0,0.419558359621451,0,0.424242424242424,0,0,0,0.432,0,0,0.045958795562599,0.0094488188976378,0.0595611285266458,0,0.0666666666666667,0,0,0.0706075533661741,0.0128205128205128,0.046656298600311,0.0841121495327103,0.0737833594976452,0,0,0,0,0,0.1488,0.00153374233128834,0.0453834115805947,0,0.404088050314465,0.0375586854460094,0,0,0.420062695924765,0,0.0108191653786708,0,0,0.419457735247209,0.315619967793881,0,0,0,0.0744849445324881,0.0663507109004739,0,0,0,0.0653495440729483,0,0.066884176182708,0.0500807754442649,0.0033167495854063,0,0.00157232704402516,0,0.0713153724247227,0,0.00309119010819165,0,0.0563380281690141,0.00312989045383412,0.416398713826367,0,0,0.059375,0.0564263322884013,0.0680379746835443,0,0,0.0031055900621118,0,0,0,0.430141287284144,0.430842607313196,0.0114566284779051,0.305772230889236,0.412225705329154,0,0.433846153846154,0.0324574961360124,0.424806201550388,0.00309597523219814,0,0.0469483568075117,0.00155038759689922,0.0695517774343122,0.0593900481540931,0.0015552099533437,0,0,0,0.003125,0,0.00318979266347687,0.00473186119873817,0.405864197530864,0.0140625,0,0.423135464231355,0.00770416024653313,0.00161812297734628,0.434504792332268,0.452713178294574,0,0,0,0.423676012461059,0,0.0594855305466238,0,0.00656814449917898,0,0.438679245283019,0.0031201248049922,0.0172684458398744,0,0.424,0.450920245398773,0.00154083204930663,0
"4",0.943037974683544,0.951104100946372,0.975039001560062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651465798045603,0.0078003120124805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158982511923688,0.00156739811912226,0,0.0016260162601626,0,0.00153846153846154,0.00156985871271586,0.00157977883096367,0,0,0,0.950995405819296,0.950636942675159,0.976377952755906,1,0,0.00318979266347687,0.00157728706624606,0,0,0,0.009375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437001594896332,0,0,0,0,0.0112,0.0545746388443018,0.048,0,0.003125,0,0,0.00488599348534202,0,0.423861852433281,0,0.0031496062992126,0,0,0.428346456692913,0.05320813771518,0,0,0.0574162679425837,0,0.4304,0,0.43859649122807,0,0,0,0.44,0,0,0.0395569620253165,0.00635930047694754,0.0496,0,0.0629032258064516,0,0,0.0603588907014682,0.00631911532385466,0.0466237942122186,0.0755905511811024,0.0649762282091918,0,0,0,0,0,0.114516129032258,0,0.0412044374009509,0,0.408805031446541,0.0330708661417323,0,0,0.427244582043344,0,0.00619195046439629,0,0,0.424483306836248,0.291600633914422,0,0,0,0.0645161290322581,0.0626003210272873,0,0,0,0.059190031152648,0,0.0577557755775578,0.0422077922077922,0,0,0,0,0.0598425196850394,0,0.0015600624024961,0,0.0514820592823713,0.00156739811912226,0.420967741935484,0,0,0.0518867924528302,0.0498392282958199,0.0597738287560582,0,0,0.00154083204930663,0,0,0,0.436102236421725,0.441269841269841,0.00664451827242525,0.310509554140127,0.411111111111111,0,0.432307692307692,0.031104199066874,0.430124223602484,0.00156985871271586,0,0.0526315789473684,0.00315955766192733,0.0644654088050314,0.0497592295345104,0,0,0,0,0.00156494522691706,0,0.0016025641025641,0.00320512820512821,0.416282642089094,0.00791139240506329,0,0.427244582043344,0.0031201248049922,0,0.419249592169657,0.431061806656101,0,0,0,0.426100628930818,0,0.0569105691056911,0,0,0,0.441082802547771,0,0.0125984251968504,0,0.420032310177706,0.447574334898279,0.0031055900621118,0
"5",0,0,0,0,1,0.993720565149137,0.866242038216561,0.872,0.985736925515055,0.99236641221374,0.881977671451356,0.987441130298273,0.865718799368088,0.98755832037325,0.992125984251969,0.998415213946117,0.758899676375405,0.989147286821705,0.990461049284579,0.99025974025974,0.990639625585023,0.553398058252427,0.564742589703588,0.890322580645161,0.990668740279938,0.998415213946117,0.80625,0.785714285714286,0.990683229813665,0.885113268608414,0.787682333873582,0.777429467084639,0.766355140186916,0.98755832037325,0.995283018867924,0.995384615384615,0.584935897435897,0.6125,0.979655712050078,0.611916264090177,0.864992150706436,0.606382978723404,0.590551181102362,0.590837282780411,0.798425196850394,1,0.798151001540832,0,0,0,0,0.00819672131147541,0,0,0.0158478605388273,0.0174880763116057,0.0201238390092879,0.0047244094488189,0.0189873417721519,0.020440251572327,0.0199081163859112,0.0192,0.018957345971564,0.0208667736757624,0.0184899845916795,0.0174603174603175,0.0205047318611987,0.00309119010819165,0.0191387559808612,0.0211382113821138,0.015625,0.014218009478673,0.0209003215434084,0.0206022187004754,0.0171875,0.0157232704402516,0.0207667731629393,0.0207667731629393,0.0221518987341772,0.0203761755485893,0,0.0158982511923688,0.0186625194401244,0.0170278637770898,0.0156985871271586,0.0215384615384615,0.0218408736349454,0.00794912559618442,0.0190779014308426,0.013953488372093,0.0175438596491228,0.02,0.0223285486443381,0.0161290322580645,0.0143312101910828,0.0169491525423729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0.993720565149137,1,0.855572998430141,0.861154446177847,0.995319812792512,0.984848484848485,0.867807153965785,0.975535168195719,0.852664576802508,0.98159509202454,1,0.996830427892235,0.7453125,0.998454404945904,0.995283018867924,0.996840442338073,1,0.544025157232704,0.557453416149068,0.872641509433962,1,0.995238095238095,0.789473684210526,0.782113821138211,1,0.8712715855573,0.766721044045677,0.758190327613105,0.748865355521936,0.993808049535604,0.985871271585557,0.998507462686567,0.577287066246057,0.607692307692308,0.96793893129771,0.596153846153846,0.851681957186544,0.597285067873303,0.586046511627907,0.590111642743222,0.780864197530864,0.993710691823899,0.779456193353474,0,0,0,0,0.00975609756097561,0,0,0.0138461538461538,0.0171606864274571,0.0186335403726708,0.00461538461538462,0.0157232704402516,0.0186335403726708,0.0154559505409583,0.0169491525423729,0.0171339563862928,0.0172413793103448,0.0155038759689922,0.0125391849529781,0.0185185185185185,0.0015552099533437,0.0158730158730159,0.019047619047619,0.0122699386503067,0.0138461538461538,0.0175438596491228,0.0185471406491499,0.0168711656441718,0.0139751552795031,0.0174603174603175,0.0171875,0.0189873417721519,0.0168970814132104,0,0.0126182965299685,0.016793893129771,0.0153139356814701,0.0109546165884194,0.0166666666666667,0.01875,0.00947867298578199,0.0156739811912226,0.0122324159021407,0.0171875,0.0153374233128834,0.0189274447949527,0.014018691588785,0.0125588697017268,0.0138036809815951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0.866242038216561,0.855572998430141,1,0.996784565916399,0.842443729903537,0.87402799377916,1,0.883464566929134,0.99211356466877,0.879499217527387,0.854632587859425,0.858766233766234,0.883683360258481,0.847826086956522,0.850556438791733,0.848142164781906,0.835182250396197,0.461912479740681,0.4703125,1,0.839622641509434,0.857605177993528,0.930708661417323,0.909849749582638,0.843797856049005,1,0.9,0.905511811023622,0.88783570300158,0.842923794712286,0.866352201257862,0.857364341085271,0.497576736672052,0.665615141955836,0.880690737833595,0.665562913907285,0.996850393700787,0.69375,0.65511811023622,0.671428571428571,0.908517350157729,0.857605177993528,0.924961715160796,0,0,0,0,0.00656814449917898,0,0,0.0125195618153365,0.0177705977382876,0.01743264659271,0.00634920634920635,0.0161812297734628,0.0203761755485893,0.0171606864274571,0.0176565008025682,0.0144,0.0162074554294976,0.0158478605388273,0.0129659643435981,0.0158982511923688,0.00158478605388273,0.0157977883096366,0.0194489465153971,0.0127186009538951,0.0158982511923688,0.0178282009724473,0.0208,0.0170015455950541,0.0143312101910828,0.0174603174603175,0.0159489633173844,0.0208,0.0174880763116057,0.00159235668789809,0.012924071082391,0.018348623853211,0.0156985871271586,0.0142405063291139,0.0184049079754601,0.020440251572327,0.0111642743221691,0.0143540669856459,0.0154559505409583,0.0144230769230769,0.0140405616224649,0.0193236714975845,0.0147299509001637,0.0128410914927769,0.0170542635658915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0.872,0.861154446177847,0.996784565916399,1,0.849757673667205,0.8828125,0.998412698412698,0.889240506329114,0.995207667731629,0.88390092879257,0.861904761904762,0.865912762520194,0.893890675241158,0.851968503937008,0.855072463768116,0.852941176470588,0.84748427672956,0.477346278317152,0.485179407176287,0.996699669966997,0.854037267080745,0.868167202572347,0.925117004680187,0.921273031825796,0.847244094488189,0.996732026143791,0.910299003322259,0.911251980982567,0.8859375,0.854199683042789,0.875598086124402,0.862284820031299,0.5103668261563,0.689763779527559,0.8944,0.687813021702838,0.995363214837713,0.713405238828968,0.669871794871795,0.684039087947883,0.9140625,0.86762360446571,0.924961715160796,0,0,0,0,0.0066334991708126,0,0,0.0141955835962145,0.0159744408945687,0.0170542635658915,0.00631911532385466,0.0180032733224223,0.017515923566879,0.013953488372093,0.0144230769230769,0.0112359550561798,0.0146341463414634,0.0126582278481013,0.0144694533762058,0.0158982511923688,0.00317460317460317,0.014308426073132,0.0180327868852459,0.0111464968152866,0.0143769968051118,0.0178861788617886,0.0160513643659711,0.0142857142857143,0.00966183574879227,0.0191693290734824,0.0128824476650564,0.0178861788617886,0.0187793427230047,0.00157977883096367,0.0158982511923688,0.015552099533437,0.0139968895800933,0.0128410914927769,0.015527950310559,0.0172955974842767,0.0111464968152866,0.0161812297734628,0.0125588697017268,0.0179153094462541,0.0142405063291139,0.0160513643659711,0.0130932896890344,0.00981996726677578,0.0124416796267496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0.985736925515055,0.995319812792512,0.842443729903537,0.849757673667205,1,0.975193798449612,0.855325914149444,0.960063897763578,0.838915470494418,0.973143759873618,0.996913580246914,0.991935483870968,0.729335494327391,1,1,0.996763754045307,0.998449612403101,0.55877616747182,0.581395348837209,0.858054226475279,0.996865203761755,0.988745980707395,0.768503937007874,0.757825370675453,0.993798449612403,0.859903381642512,0.761904761904762,0.745627980922099,0.735524256651017,0.996850393700787,0.974522292993631,0.993939393939394,0.58712715855573,0.613312202852615,0.955484896661367,0.59805510534846,0.847244094488189,0.587326120556414,0.579778830963665,0.577669902912621,0.773940345368917,0.985413290113452,0.761102603369066,0,0,0,0,0.00643086816720257,0,0,0.0141509433962264,0.0143769968051118,0.0172143974960876,0.0062015503875969,0.0173501577287066,0.0188679245283019,0.0174050632911392,0.0161030595813204,0.015748031496063,0.0193236714975845,0.014446227929374,0.0141065830721003,0.0172143974960876,0.00159744408945687,0.0143769968051118,0.0179738562091503,0.0141955835962145,0.0138888888888889,0.0175438596491228,0.0190779014308426,0.0143769968051118,0.0141955835962145,0.0193236714975845,0.0175438596491228,0.0192616372391653,0.0172955974842767,0.00155763239875389,0.014218009478673,0.0169491525423729,0.015600624024961,0.0142630744849445,0.0185758513931889,0.0187793427230047,0.00956937799043062,0.0158982511923688,0.0139751552795031,0.016,0.0170542635658915,0.0192,0.0146103896103896,0.0111642743221691,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0.99236641221374,0.984848484848485,0.87402799377916,0.8828125,0.975193798449612,1,0.890743550834598,0.993957703927492,0.874223602484472,0.998482549317147,0.983154670750383,0.987577639751553,0.764341085271318,0.985119047619048,0.981308411214953,0.979623824451411,0.981679389312977,0.523148148148148,0.53134328358209,0.896551724137931,0.982116244411326,0.992331288343558,0.801204819277108,0.788888888888889,0.982169390787519,0.894409937888199,0.780254777070064,0.78234398782344,0.764350453172205,0.98159509202454,0.996894409937888,0.982142857142857,0.550613496932515,0.602118003025719,0.993808049535604,0.591549295774648,0.878048780487805,0.60655737704918,0.591867469879518,0.588235294117647,0.796042617960426,0.992260061919505,0.8,0,0,0,0,0.00963081861958266,0,0,0.0181543116490166,0.0200617283950617,0.0225225225225225,0.00606980273141123,0.0217729393468118,0.0217054263565891,0.0195195195195195,0.0188087774294671,0.0168453292496172,0.0187793427230047,0.0197869101978691,0.0201238390092879,0.0197268588770865,0.00455235204855842,0.0184331797235023,0.0221169036334913,0.0153139356814701,0.0154083204930663,0.0233281493001555,0.0217391304347826,0.0195488721804511,0.0155038759689922,0.0218068535825545,0.0199692780337942,0.0236593059936909,0.0214723926380368,0,0.0186625194401244,0.0194029850746269,0.0194029850746269,0.0153374233128834,0.021021021021021,0.0228658536585366,0.00925925925925926,0.0216049382716049,0.0151515151515152,0.0171875,0.0197568389057751,0.0217391304347826,0.0171073094867807,0.0139751552795031,0.0179372197309417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
