"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,0,0.00165016501650165,1,0.00166666666666667,0,0,0,0.00165562913907285,0.0191387559808612,1,0.0134453781512605,0.00986842105263158,0.00168067226890756,0,0.991482112436116,0.0116666666666667,0.986754966887417
"2",0,1,0.985,0,0.984924623115578,0.98469387755102,0.991596638655462,0.988429752066116,0.979831932773109,0.946341463414634,0.00162074554294976,0.961214165261383,0.960461285008237,0.98471986417657,1,0.00511945392491468,0.958123953098827,0.0149253731343284
"3",0.00165016501650165,0.985,1,0.00170068027210884,1,0.960207612456747,0.998257839721254,0.966722129783694,0.960750853242321,0.925496688741722,0.0180623973727422,0.940374787052811,0.942372881355932,1,0.978187919463087,0.0190972222222222,0.939862542955326,0.0217755443886097
"4",1,0,0.00170068027210884,1,0.00167224080267559,0.0120068610634648,0.00170357751277683,0.00981996726677578,0.00668896321070234,0.028006589785832,1,0.0152801358234295,0.011844331641286,0.00170357751277683,0.00165562913907285,0.991379310344828,0.013355592654424,0.986577181208054
"5",0.00166666666666667,0.984924623115578,1,0.00167224080267559,1,0.960817717206133,0.998251748251748,0.966442953020134,0.960884353741497,0.927392739273927,0.0182724252491694,0.942608695652174,0.942953020134228,1,0.978297161936561,0.0174520069808028,0.939965694682676,0.0186757215619694
"6",0,0.98469387755102,0.960207612456747,0.0120068610634648,0.960817717206133,1,0.970017636684303,1,0.98469387755102,0.978441127694859,0.00667779632721202,0.98122866894198,0.986599664991625,0.962699822380107,0.988372093023256,0.0228471001757469,0.98469387755102,0.0308747855917667
"7",0,0.991596638655462,0.998257839721254,0.00170357751277683,0.998251748251748,0.970017636684303,1,0.974619289340102,0.96969696969697,0.934891485809683,0.00837520938023451,0.951134380453752,0.949826989619377,0.998236331569665,0.986577181208054,0.0104895104895105,0.947826086956522,0.0171526586620926
"8",0,0.988429752066116,0.966722129783694,0.00981996726677578,0.966442953020134,1,0.974619289340102,1,0.975,0.961414790996785,0.00649350649350649,0.966329966329966,0.978547854785479,0.969230769230769,0.991961414790997,0.0222984562607204,0.971571906354515,0.0298013245033113
"9",0.00165562913907285,0.979831932773109,0.960750853242321,0.00668896321070234,0.960884353741497,0.98469387755102,0.96969696969697,0.975,1,0.978369384359401,0.0114192495921697,1,0.985,0.958904109589041,0.980165289256198,0.0292096219931271,0.988155668358714,0.0218120805369128
"10",0.0191387559808612,0.946341463414634,0.925496688741722,0.028006589785832,0.927392739273927,0.978441127694859,0.934891485809683,0.961414790996785,0.978369384359401,1,0.0317460317460317,0.996672212978369,1,0.924242424242424,0.947030497592295,0.066213921901528,1,0.0703764320785597
"11",1,0.00162074554294976,0.0180623973727422,1,0.0182724252491694,0.00667779632721202,0.00837520938023451,0.00649350649350649,0.0114192495921697,0.0317460317460317,1,0.0217755443886097,0.017741935483871,0.0167785234899329,0.00321027287319422,0.994940978077572,0.0176565008025682,0.98371335504886
"12",0.0134453781512605,0.961214165261383,0.940374787052811,0.0152801358234295,0.942608695652174,0.98122866894198,0.951134380453752,0.966329966329966,1,0.996672212978369,0.0217755443886097,1,0.996610169491525,0.939236111111111,0.964527027027027,0.048526863084922,0.996592844974446,0.0531732418524871
"13",0.00986842105263158,0.960461285008237,0.942372881355932,0.011844331641286,0.942953020134228,0.986599664991625,0.949826989619377,0.978547854785479,0.985,1,0.017741935483871,0.996610169491525,1,0.940766550522648,0.963515754560531,0.0399305555555556,1,0.0402010050251256
"14",0.00168067226890756,0.98471986417657,1,0.00170357751277683,1,0.962699822380107,0.998236331569665,0.969230769230769,0.958904109589041,0.924242424242424,0.0167785234899329,0.939236111111111,0.940766550522648,1,0.979865771812081,0.0177935943060498,0.938811188811189,0.0190641247833622
"15",0,1,0.978187919463087,0.00165562913907285,0.978297161936561,0.988372093023256,0.986577181208054,0.991961414790997,0.980165289256198,0.947030497592295,0.00321027287319422,0.964527027027027,0.963515754560531,0.979865771812081,1,0.0134003350083752,0.961666666666667,0.015025041736227
"16",0.991482112436116,0.00511945392491468,0.0190972222222222,0.991379310344828,0.0174520069808028,0.0228471001757469,0.0104895104895105,0.0222984562607204,0.0292096219931271,0.066213921901528,0.994940978077572,0.048526863084922,0.0399305555555556,0.0177935943060498,0.0134003350083752,1,0.0412371134020619,0.996491228070175
"17",0.0116666666666667,0.958123953098827,0.939862542955326,0.013355592654424,0.939965694682676,0.98469387755102,0.947826086956522,0.971571906354515,0.988155668358714,1,0.0176565008025682,0.996592844974446,1,0.938811188811189,0.961666666666667,0.0412371134020619,1,0.0470588235294118
"18",0.986754966887417,0.0149253731343284,0.0217755443886097,0.986577181208054,0.0186757215619694,0.0308747855917667,0.0171526586620926,0.0298013245033113,0.0218120805369128,0.0703764320785597,0.98371335504886,0.0531732418524871,0.0402010050251256,0.0190641247833622,0.015025041736227,0.996491228070175,0.0470588235294118,1
