"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262"
"1",1,0.988654781199352,0.981220657276995,0.82475884244373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.987878787878788,0.979099678456592,0.826498422712934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032520325203252,0.00162337662337662,0.0141955835962145,0.00321027287319422,0.00650406504065041,0.00797448165869218,0.0032520325203252,0.0016025641025641,0.0179445350734095,0.00157977883096367,0,0.0663507109004739,0.00161550888529887,0.0141509433962264,0.0213414634146341,0.00321027287319422,0.00476947535771065,0.0141509433962264,0.00480769230769231,0.0168711656441718,0.0125588697017268,0.00625978090766823,0.0147540983606557,0.0161812297734628,0.00649350649350649,0.0159489633173844,0.00479233226837061,0.0190174326465927,0.0130932896890344,0.0032258064516129,0.003125,0.0205371248025276,0.0062992125984252,0.00306278713629403,0.00160513643659711,0.0221518987341772,0.0236593059936909,0.0207336523125997,0.0178282009724473,0.0176282051282051,0.0214395099540582,0.0158227848101266,0.0160771704180064,0.0048,0.0237341772151899,0.0346456692913386,0.0728155339805825,0.037914691943128,0.0032626427406199,0.00154320987654321,0.00471698113207547,0.0188976377952756,0.0276422764227642,0.0111821086261981,0.0429252782193959,0.0125786163522013,0.014308426073132,0.00318979266347687,0.00152439024390244,0.0141509433962264,0.014218009478673,0.0160513643659711,0.00157977883096367,0.00625,0.0200617283950617,0.0412698412698413,0.015600624024961,0.00483091787439614,0.00316455696202532,0.0222575516693164,0.0176565008025682,0.014018691588785,0.0228310502283105,0.0222222222222222,0.0208,0.0201863354037267,0.019047619047619,0.0178861788617886,0.0159235668789809,0.0217391304347826,0.00317460317460317,0.0289855072463768,0.0644122383252818,0.0144,0.0195121951219512,0.0446570972886762,0.0182421227197347,0.00805152979066022,0.00476947535771065,0.00482315112540193,0.0212071778140294,0.0174880763116057,0.0150375939849624,0.0221518987341772,0.00158227848101266,0.00475435816164818,0.0126582278481013,0.0172684458398744,0.00324149108589951,0.00626959247648903,0.0221870047543582,0.0205371248025276,0.0141287284144427,0.015527950310559,0.00771604938271605,0,0.00155763239875389,0.00156985871271586,0.00485436893203883,0.014018691588785,0.0016260162601626,0.0046801872074883,0.0684292379471229,0.0692431561996779,0.0210355987055016,0.0729813664596273,0.0580847723704867,0.0193236714975845,0.00793650793650794,0.014827018121911,0,0.0160771704180064,0.00161290322580645,0.0189873417721519,0.021875,0.00475435816164818,0.016025641025641,0.009375,0.017741935483871,0.0823909531502423,0.116535433070866,0.00814332247557003,0.00972447325769854,0.0128,0.0161550888529887,0.0759493670886076,0.0162866449511401,0.00329489291598023,0.0208,0.00966183574879227,0.0228758169934641,0.00956937799043062,0.0110935023771791,0.0141955835962145,0.0198019801980198,0.017515923566879,0.0050251256281407,0.00323101777059774,0.285491419656786,0.44391785150079,0.427244582043344,0.4096,0.425081433224756,0.452922077922078,0.416666666666667,0.416666666666667,0.416139240506329,0.773311897106109,0.450980392156863,0.24685534591195,0.411580594679186,0.435612082670906,0.429906542056075,0.295566502463054,0.194127243066884,0.520569620253165
"2",0.988654781199352,1,1,0.862341772151899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987673343605547,1,1,0.862992125984252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470219435736677,0,0.00487012987012987,0.00316455696202532,0.00161550888529887,0,0.00489396411092985,0,0,0.0435483870967742,0,0.0031496062992126,0.00770416024653313,0.00162337662337662,0,0.00320512820512821,0,0.00625,0.00469483568075117,0.00157728706624606,0.00483091787439614,0.0064,0,0.00644122383252818,0,0.00786163522012579,0.00806451612903226,0,0,0.00778816199376947,0.00160513643659711,0,0,0.00625978090766823,0.0063391442155309,0.00476947535771065,0.00476190476190476,0.00645161290322581,0.00775193798449612,0.00481540930979133,0.00647249190938511,0.00158982511923688,0.0078740157480315,0.0203761755485893,0.051948051948052,0.0223642172523962,0,0,0,0.00476947535771065,0.0161812297734628,0.00475435816164818,0.032051282051282,0.0048,0.0126382306477093,0,0,0.00474683544303797,0.00475435816164818,0.00643086816720257,0,0.00315955766192733,0.00617283950617284,0.0331230283911672,0.00462962962962963,0,0.00318979266347687,0.00801282051282051,0.00793650793650794,0.0062992125984252,0.00772797527047913,0.00789889415481832,0.00805152979066022,0.00783699059561128,0.00481540930979133,0.00495867768595041,0.00627943485086342,0.0126382306477093,0,0.0244299674267101,0.0478468899521531,0.00952380952380952,0.00487012987012987,0.023696682464455,0.00657894736842105,0.00478468899521531,0,0.00318471337579618,0.0112540192926045,0.0114566284779051,0.0076103500761035,0.00314465408805031,0,0.00158730158730159,0.00157977883096367,0.00625,0,0.00314465408805031,0.00626959247648903,0.00638977635782748,0.0047244094488189,0.00642054574638844,0.00313971742543171,0,0,0,0,0.00307219662058372,0,0.00157977883096367,0.054858934169279,0.0524642289348172,0.00648298217179903,0.0595611285266458,0.05229793977813,0.00654664484451719,0.00316455696202532,0.00493421052631579,0,0.00321543408360129,0,0.00802568218298555,0.00631911532385466,0.00318979266347687,0.00480769230769231,0.00157232704402516,0.00484652665589661,0.059967585089141,0.169517884914463,0.00490196078431373,0.0032520325203252,0.00477707006369427,0.00791139240506329,0.0568720379146919,0.00985221674876847,0.00327868852459016,0.00952380952380952,0.00320512820512821,0.00823723228995058,0.00318471337579618,0.00317460317460317,0.00312989045383412,0.0065359477124183,0.00644122383252818,0.0033167495854063,0.00159489633173844,0.323854660347551,0.4304,0.399068322981366,0.45253164556962,0.400974025974026,0.436363636363636,0.383280757097792,0.40251572327044,0.399038461538462,0.694888178913738,0.418831168831169,0.218553459119497,0.38375796178344,0.415605095541401,0.421216848673947,0.268729641693811,0.163987138263666,0.507131537242472
"3",0.981220657276995,1,1,0.902325581395349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980797636632201,1,1,0.903522205206738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00469483568075117,0,0.00315955766192733,0.00153846153846154,0,0,0.00157728706624606,0,0,0.0446841294298921,0,0.00303030303030303,0.00444444444444444,0,0,0.00306748466257669,0,0.00149700598802395,0.0030441400304414,0.00152439024390244,0.0031201248049922,0.00155038759689922,0,0.00153609831029186,0,0.00303951367781155,0.00627943485086342,0,0,0.00449775112443778,0.00153374233128834,0,0,0.003125,0.00307692307692308,0.00152671755725191,0.00305810397553517,0.0031055900621118,0.00453857791225416,0.00153139356814701,0.00316455696202532,0,0.00763358778625954,0.0166919575113809,0.054773082942097,0.0170015455950541,0,0,0,0.00305810397553517,0.01875,0.00308641975308642,0.0300632911392405,0.00154320987654321,0.0108527131782946,0,0,0.00149925037481259,0.00151057401812689,0.0031055900621118,0,0.00151515151515152,0.00297619047619048,0.0218068535825545,0.00151285930408472,0,0,0.00309119010819165,0.00469483568075117,0.00301659125188537,0.0045045045045045,0.00458715596330275,0.004739336492891,0.00459418070444104,0.00307692307692308,0.00313479623824451,0.00306278713629403,0.0107361963190184,0,0.0218408736349454,0.053125,0.00768049155145929,0.00317460317460317,0.0213740458015267,0.00475435816164818,0.00156494522691706,0,0.0015527950310559,0.00943396226415094,0.0141509433962264,0.00295420974889217,0.00303951367781155,0,0,0.00149476831091181,0.00302114803625378,0,0,0.00307692307692308,0.00300751879699248,0.00303490136570561,0.00155038759689922,0,0,0,0,0,0.00298953662182362,0,0.00151515151515152,0.0564024390243902,0.0519877675840979,0.00318471337579618,0.0606060606060606,0.0493827160493827,0.0031055900621118,0.00152671755725191,0.00317965023847377,0,0.00311526479750779,0,0.00460122699386503,0.00301659125188537,0,0.00154559505409583,0.00154083204930663,0.00314465408805031,0.0612244897959184,0.159021406727829,0.0031201248049922,0.00313479623824451,0.00310077519379845,0.00307692307692308,0.0597243491577335,0.00783699059561128,0,0.00619195046439629,0.00156985871271586,0.00478468899521531,0.0015600624024961,0.00301659125188537,0.00303030303030303,0.00313479623824451,0.00309119010819165,0,0.00153609831029186,0.363499245852187,0.390092879256966,0.375375375375375,0.485496183206107,0.376971608832808,0.411483253588517,0.36687306501548,0.359327217125382,0.366153846153846,0.671253822629969,0.399046104928458,0.201538461538462,0.35249621785174,0.399068322981366,0.391566265060241,0.246056782334385,0.153125,0.478593272171254
"4",0.82475884244373,0.862341772151899,0.902325581395349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835889570552147,0.871212121212121,0.902086677367576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157977883096367,0,0,0.0321027287319422,0,0.00152439024390244,0.00151057401812689,0,0,0,0,0.00154083204930663,0.00157977883096367,0,0.00161030595813205,0.00157977883096367,0,0,0,0.00156494522691706,0.0016025641025641,0,0,0.00152671755725191,0,0,0,0.0015625,0.00158478605388273,0.00157728706624606,0,0.00158478605388273,0.00151745068285281,0,0,0,0.00156494522691706,0.00773993808049536,0.0380348652931854,0.00798722044728434,0,0,0,0.0015552099533437,0.00803858520900321,0.00157977883096367,0.0190779014308426,0,0.0032,0,0,0.00155763239875389,0,0.00157728706624606,0,0,0.00150602409638554,0.0125786163522013,0.00153374233128834,0,0,0.00156739811912226,0,0,0.00154798761609907,0.0015552099533437,0.00159744408945687,0.00155763239875389,0.00158478605388273,0.00160513643659711,0,0.00470219435736677,0,0.00638977635782748,0.0269413629160063,0.00157232704402516,0.00158478605388273,0.0175438596491228,0.00163934426229508,0,0,0,0.00478468899521531,0.00484652665589661,0.00150602409638554,0.00153374233128834,0,0,0.00153609831029186,0,0,0,0.00157232704402516,0.0015527950310559,0.00158227848101266,0,0,0,0,0,0,0.00156985871271586,0,0.0015552099533437,0.0384024577572965,0.025,0.00161290322580645,0.0369230769230769,0.02660406885759,0.00159489633173844,0,0.00161812297734628,0,0.00158227848101266,0,0.00158982511923688,0.00156494522691706,0,0.00159489633173844,0,0.0016,0.0365659777424483,0.124409448818898,0,0.00161290322580645,0,0,0.0388802488335925,0.00324675324675325,0,0.0015748031496063,0.00158478605388273,0.0016366612111293,0,0,0,0.00163398692810458,0,0,0,0.570982839313573,0.24685534591195,0.242331288343558,0.701277955271565,0.239870340356564,0.279146141215107,0.21993670886076,0.236883942766296,0.226771653543307,0.507109004739337,0.266990291262136,0.136577708006279,0.246913580246914,0.244094488188976,0.23374613003096,0.173770491803279,0.1136,0.333848531684699
"5",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
