"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,0.977952755905512,0.970588235294118,0.976076555023923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.978494623655914,0.969404186795491,0.973186119873817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384024577572965,0.0327868852459016,0.0564263322884013,0.0321027287319422,0.0581761006289308,0.0525477707006369,0.0465116279069767,0.028391167192429,0.0546021840873635,0.0321592649310873,0.0304878048780488,0.0929133858267717,0.034375,0.0554675118858954,0.062111801242236,0.0321592649310873,0.0412844036697248,0.0626911314984709,0.0329153605015674,0.0636645962732919,0.0496894409937888,0.0525502318392581,0.0592105263157895,0.0547504025764895,0.0308641975308642,0.0383435582822086,0.032626427406199,0.0550161812297735,0.0599369085173502,0.0285261489698891,0.0327102803738318,0.0579937304075235,0.0471841704718417,0.0319148936170213,0.028169014084507,0.0549618320610687,0.0595611285266458,0.0548780487804878,0.0552922590837283,0.0565149136577708,0.0568356374807988,0.0625978090766823,0.0598425196850394,0.0282574568288854,0.0680061823802164,0.0928792569659443,0.103658536585366,0.0600649350649351,0.0288461538461538,0.0240770465489567,0.0316455696202532,0.0657492354740061,0.0797546012269939,0.0577223088923557,0.0903328050713154,0.0412698412698413,0.0520673813169985,0.0317460317460317,0.0276497695852535,0.0585516178736518,0.0679304897314376,0.0586370839936609,0.0331230283911672,0.0537124802527646,0.0576323987538941,0.0830721003134796,0.0600315955766193,0.0356037151702786,0.0535987748851455,0.0596546310832025,0.0600315955766193,0.0596330275229358,0.0666666666666667,0.0592948717948718,0.054858934169279,0.0579937304075235,0.0568720379146919,0.0603174603174603,0.0567484662576687,0.0795631825273011,0.0305343511450382,0.0688622754491018,0.105845181674566,0.0596546310832025,0.0614173228346457,0.0833333333333333,0.0551948051948052,0.0566037735849057,0.0296411856474259,0.0531400966183575,0.0820433436532508,0.0725308641975309,0.0548780487804878,0.058641975308642,0.0323076923076923,0.0419254658385093,0.0512422360248447,0.0579710144927536,0.0299684542586751,0.0446153846153846,0.0594679186228482,0.0539291217257319,0.064873417721519,0.0585443037974684,0.0570522979397781,0.0340557275541796,0.0343213728549142,0.0346907993966818,0.032967032967033,0.0560897435897436,0.029595015576324,0.041335453100159,0.123222748815166,0.10752688172043,0.048062015503876,0.114374034003091,0.10410094637224,0.0635658914728682,0.0538336052202284,0.0514820592823713,0.0345368916797488,0.0633693972179289,0.0327102803738318,0.058641975308642,0.0594512195121951,0.0578125,0.0600315955766193,0.0595419847328244,0.0642633228840125,0.107309486780715,0.1712,0.0493630573248408,0.0572831423895254,0.058641975308642,0.0590909090909091,0.102134146341463,0.0625,0.0421875,0.0590979782270607,0.0515625,0.0552995391705069,0.0510046367851623,0.0532915360501567,0.0524691358024691,0.0631741140215717,0.0566343042071197,0.0472560975609756,0.0362204724409449
"2",0.977952755905512,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978625954198473,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462249614791988,0.00766871165644172,0.0313971742543171,0.00475435816164818,0.021978021978022,0.0226171243941842,0.0154798761609907,0.00482315112540193,0.0234741784037559,0.00459418070444104,0.0061633281972265,0.064,0.00478468899521531,0.0207336523125997,0.0248062015503876,0.0046875,0.0169753086419753,0.026813880126183,0.00477707006369427,0.021875,0.0156739811912226,0.0188976377952756,0.0230642504118616,0.0176282051282051,0.00317460317460317,0.0123647604327666,0.011437908496732,0.0207667731629393,0.0332278481012658,0.00637958532695375,0.00623052959501558,0.0238473767885533,0.0202492211838006,0.00597907324364723,0.00630914826498423,0.0256024096385542,0.0233644859813084,0.0234009360374415,0.0241935483870968,0.0238095238095238,0.0201550387596899,0.0280811232449298,0.0234375,0.00480769230769231,0.0360501567398119,0.0497667185069984,0.0683890577507599,0.0303514376996805,0.00316957210776545,0.00481540930979133,0.00475435816164818,0.027906976744186,0.0472560975609756,0.0221169036334913,0.0605095541401274,0.00963081861958266,0.0340557275541796,0.00634920634920635,0.0031104199066874,0.0234009360374415,0.0264385692068429,0.0175438596491228,0.00469483568075117,0.0206349206349206,0.0204724409448819,0.0513219284603421,0.0253164556962025,0.00625978090766823,0.0229357798165138,0.0251177394034537,0.0241157556270096,0.0217729393468118,0.0291734197730956,0.0289855072463768,0.0262751159196291,0.0216049382716049,0.0207006369426752,0.0254777070063694,0.0232558139534884,0.0590062111801242,0.00614439324116743,0.0438729198184569,0.0666666666666667,0.0353697749196141,0.0286168521462639,0.0403726708074534,0.0225442834138486,0.0220125786163522,0.003125,0.0189274447949527,0.0590062111801242,0.0476190476190476,0.0229007633587786,0.0232198142414861,0.00473186119873817,0.0125391849529781,0.0205696202531646,0.0214521452145215,0.00476190476190476,0.0168195718654434,0.021978021978022,0.0171073094867807,0.0269413629160063,0.0205371248025276,0.0222222222222222,0.0078125,0.0046801872074883,0.00457317073170732,0.00794912559618442,0.0253565768621236,0.00627943485086342,0.019047619047619,0.088,0.0723076923076923,0.020440251572327,0.0788253477588872,0.0772797527047913,0.0268562401263823,0.0194805194805195,0.0200308166409861,0.0062992125984252,0.0233644859813084,0.00469483568075117,0.0221169036334913,0.0276923076923077,0.0247295208655332,0.0210016155088853,0.0245775729646697,0.0268562401263823,0.077639751552795,0.173633440514469,0.0159489633173844,0.0213114754098361,0.0247678018575851,0.0257575757575758,0.0683229813664596,0.0427480916030534,0.0156494522691706,0.026813880126183,0.0217391304347826,0.0188679245283019,0.0221870047543582,0.0205696202531646,0.0217729393468118,0.0299212598425197,0.0222929936305732,0.0169491525423729,0.0161550888529887
"3",0.970588235294118,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974203338391502,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460829493087558,0.0045662100456621,0.0391236306729265,0.00480769230769231,0.0172413793103448,0.0204724409448819,0.0155038759689922,0.00489396411092985,0.0217391304347826,0.00302571860816944,0.0060790273556231,0.0715421303656598,0.00316455696202532,0.0206677265500795,0.0250783699059561,0.0075642965204236,0.0168453292496172,0.0216049382716049,0.00467289719626168,0.0248062015503876,0.0188383045525903,0.0156494522691706,0.0199667221297837,0.0173775671406003,0.00632911392405063,0.0106382978723404,0.0130081300813008,0.0195439739413681,0.0388198757763975,0.00473186119873817,0.00613496932515337,0.0203761755485893,0.00766871165644172,0.00464396284829721,0.00316455696202532,0.0196671709531014,0.0250783699059561,0.0216049382716049,0.0207006369426752,0.0206677265500795,0.0212121212121212,0.0234741784037559,0.0202177293934681,0.00786163522012579,0.0292758089368259,0.0415384615384615,0.0728376327769348,0.0272873194221509,0.00628930817610063,0.00481540930979133,0.00315457413249211,0.024653312788906,0.0477657935285054,0.0236220472440945,0.0672,0.0127186009538951,0.0290519877675841,0.00475435816164818,0.00309597523219814,0.0203761755485893,0.0232919254658385,0.0157977883096366,0.00930232558139535,0.0124610591900312,0.0232558139534884,0.055379746835443,0.0266457680250784,0.00465116279069767,0.010752688172043,0.0202177293934681,0.0209003215434084,0.02,0.023961661341853,0.023696682464455,0.0217391304347826,0.0218068535825545,0.0205047318611987,0.0234741784037559,0.0226244343891403,0.0627871362940276,0.00622083981337481,0.0464071856287425,0.0832,0.0393700787401575,0.0224,0.0513219284603421,0.0195439739413681,0.0186625194401244,0.0047244094488189,0.0157232704402516,0.0663507109004739,0.046801872074883,0.0211161387631976,0.0183767228177642,0.0078003120124805,0.0126182965299685,0.0173228346456693,0.0244698205546493,0.00630914826498423,0.0138461538461538,0.0200308166409861,0.0186915887850467,0.0237341772151899,0.0205047318611987,0.0173501577287066,0.00622083981337481,0.00619195046439629,0.00614439324116743,0.0062402496099844,0.0158730158730159,0.00310077519379845,0.0158227848101266,0.0996835443037975,0.0844854070660522,0.0157977883096366,0.0867579908675799,0.0795631825273011,0.0206022187004754,0.0178571428571429,0.021671826625387,0.0062015503875969,0.0170542635658915,0.00471698113207547,0.0204081632653061,0.0198473282442748,0.0184049079754601,0.0203761755485893,0.0215384615384615,0.0263565891472868,0.0847723704866562,0.189490445859873,0.0110935023771791,0.0191387559808612,0.0215716486902928,0.0229709035222052,0.0791476407914764,0.038109756097561,0.009375,0.0249221183800623,0.0169753086419753,0.0233281493001555,0.0171339563862928,0.0156985871271586,0.0156985871271586,0.0248833592534992,0.0191387559808612,0.0151975683890578,0.00796178343949045
"4",0.976076555023923,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979813664596273,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0.0062992125984252,0.0238473767885533,0.0048780487804878,0.0160513643659711,0.0146579804560261,0.014446227929374,0.00637958532695375,0.0223285486443381,0.0031104199066874,0.00470957613814757,0.0533117932148627,0.00480769230769231,0.017515923566879,0.0207667731629393,0.00470219435736677,0.00943396226415094,0.0174603174603175,0.00644122383252818,0.0175438596491228,0.0139751552795031,0.0126984126984127,0.0170940170940171,0.0146818923327896,0.00634920634920635,0.0125,0.00823723228995058,0.0178861788617886,0.0272435897435897,0.00641025641025641,0.00632911392405063,0.0224,0.00938967136150235,0.00619195046439629,0.00324675324675325,0.0184331797235023,0.0194489465153971,0.0189274447949527,0.0226904376012966,0.0175718849840256,0.0169753086419753,0.0220820189274448,0.017515923566879,0.00323624595469256,0.0302066772655008,0.0410742496050553,0.0520673813169985,0.0275080906148867,0.00488599348534202,0.00163132137030995,0.0063391442155309,0.0235109717868339,0.031055900621118,0.0192,0.0483091787439614,0.00964630225080386,0.0313479623824451,0.00318471337579618,0.0062992125984252,0.0157977883096366,0.0241157556270096,0.0129659643435981,0.00964630225080386,0.012779552715655,0.0207006369426752,0.041335453100159,0.0238095238095238,0.0047244094488189,0.015527950310559,0.0174603174603175,0.0211038961038961,0.020440251572327,0.024,0.0210016155088853,0.0207336523125997,0.0186046511627907,0.0209677419354839,0.0209677419354839,0.0172955974842767,0.046583850931677,0.00476947535771065,0.0351145038167939,0.0586319218241042,0.0259319286871961,0.0227272727272727,0.0299684542586751,0.0198347107438017,0.0174880763116057,0.0016025641025641,0.0112179487179487,0.0461783439490446,0.0319488817891374,0.02,0.0219092331768388,0.00475435816164818,0.0126182965299685,0.0159235668789809,0.0180623973727422,0.00485436893203883,0.0124610591900312,0.0192,0.0142405063291139,0.0228013029315961,0.0195121951219512,0.0203761755485893,0.00798722044728434,0.00317965023847377,0.0046583850931677,0.00963081861958266,0.0198347107438017,0.0064,0.0128824476650564,0.0721153846153846,0.059375,0.0158478605388273,0.0627943485086342,0.0620031796502385,0.0221870047543582,0.0132450331125828,0.014218009478673,0.0047244094488189,0.0140405616224649,0.00636942675159236,0.0191693290734824,0.0219092331768388,0.0172684458398744,0.0160771704180064,0.0170015455950541,0.0212418300653595,0.0602218700475436,0.144736842105263,0.0130718954248366,0.0147058823529412,0.0186625194401244,0.0217729393468118,0.0563380281690141,0.0308166409861325,0.0109717868338558,0.0209339774557166,0.0157232704402516,0.019047619047619,0.0128824476650564,0.0113636363636364,0.0157728706624606,0.0233281493001555,0.0180327868852459,0.0108527131782946,0.0113636363636364
"5",0,0,0,0,1,1,1,1,1,1,0.99835255354201,1,1,1,1,1,0.995238095238095,1,1,1,0.995169082125604,0.993640699523052,0.993740219092332,1,1,1,0.998459167950693,0.993527508090615,1,1,0.993660855784469,0.998392282958199,1,1,1,0.998397435897436,0.9936,0.995222929936306,1,0.993720565149137,1,0.99388379204893,0.993700787401575,0.995290423861852,1,1,0.998439937597504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.996825396825397,1,1,1,0.996815286624204,0.995334370139969,0.9953125,1,1,1,1,0.995153473344103,1,1,0.995305164319249,1,1,1,1,1,0.995153473344103,0.996830427892235,1,0.995275590551181,1,0.995433789954338,0.995253164556962,0.996805111821086,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,1,1,1,1,1,1,0.998357963875205,1,1,1,1,1,0.996726677577741,1,1,1,0.996840442338073,0.995222929936306,0.995176848874598,1,1,1,0.998442367601246,0.995081967213115,1,1,0.995121951219512,0.998389694041868,1,1,1,0.998344370860927,0.995184590690209,0.996774193548387,1,0.9952,1,0.995297805642633,0.995176848874598,0.996835443037975,1,1,0.998407643312102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,1,1,1,1,1,1,0.998357963875205,1,1,1,1,1,0.995192307692308,1,1,1,0.995305164319249,0.993798449612403,0.993779160186625,1,1,1,0.998449612403101,0.993569131832797,1,1,0.99375,0.998397435897436,1,1,1,0.99837925445705,0.993670886075949,0.995222929936306,1,0.993640699523052,1,0.993827160493827,0.993730407523511,0.995319812792512,1,1,0.998420221169036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,1,1,1,1,1,0.998389694041868,1,1,1,1,1,0.995297805642633,1,1,1,0.995290423861852,0.993827160493827,0.993827160493827,1,1,1,0.998496240601504,0.993670886075949,1,1,0.993865030674847,0.998407643312102,1,1,1,0.998415213946117,0.993759750390016,0.995319812792512,1,0.993769470404984,1,0.994011976047904,0.993788819875776,0.995319812792512,1,1,0.998439937597504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.996805111821086,1,1,1,0.996879875195008,0.995363214837713,0.995405819295559,1,1,1,1,0.995275590551181,1,1,0.995305164319249,1,1,1,1,1,0.99537037037037,0.996860282574568,1,0.995363214837713,1,0.995447647951442,0.995305164319249,0.996894409937888,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
