"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262"
"1",1,0.980952380952381,0.79080824088748,0.7357910906298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.981481481481482,0.815047021943574,0.722910216718266,0.0031201248049922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320907617504052,0,0,0,0,0.0356037151702786,0.0804416403785489,0.0772870662460568,0,0.0201238390092879,0,0,0.0062992125984252,0.00306278713629403,0.327188940092166,0.0031104199066874,0,0,0,0.327102803738318,0.0700934579439252,0,0.0015600624024961,0.0806962025316456,0,0.32093023255814,0,0.325508607198748,0,0,0,0.310664605873261,0,0,0.0723076923076923,0.0243531202435312,0.0645669291338583,0,0.0795107033639144,0,0,0.0803149606299213,0.0121951219512195,0.0938967136150235,0.0972222222222222,0.0868217054263566,0,0,0.0015600624024961,0,0,0.140866873065015,0.00157977883096367,0.0632911392405063,0,0.296529968454259,0.0507364975450082,0,0,0.3203125,0,0.024653312788906,0,0,0.31039755351682,0.251968503937008,0,0,0,0.0985915492957746,0.0892307692307692,0,0,0,0.0882800608828006,0,0.0670926517571885,0.063391442155309,0.00469483568075117,0,0.00155038759689922,0.00156985871271586,0.0810810810810811,0,0.00158982511923688,0.00309597523219814,0.0759878419452888,0.0031496062992126,0.318042813455657,0,0,0.0793650793650794,0.0667701863354037,0.0777777777777778,0,0,0.00158730158730159,0,0.00156494522691706,0,0.303599374021909,0.324237560192616,0.0186915887850467,0.242748091603053,0.311811023622047,0,0.308562197092084,0.0627943485086342,0.311811023622047,0.00482315112540193,0,0.0254372019077901,0,0.0677966101694915,0.0768049155145929,0.0047244094488189,0,0,0,0,0,0.00162866449511401,0.00791139240506329,0.316455696202532,0.0216383307573416,0,0.334360554699538,0.0160771704180064,0.00158982511923688,0.311912225705329,0.4125,0,0,0,0.332810047095761,0,0.0966719492868463,0,0.0121951219512195,0,0.329211746522411,0.00487012987012987,0.0347551342812006,0,0.311424100156495,0.362928348909657,0,0,0,0.177952755905512,0.2326656394453,0.457098283931357,0.199687987519501,0.126506024096386,0.281733746130031,0.213483146067416,0.208012326656394,0.179365079365079,0.160828025477707,0.176923076923077,0.0799373040752351,0.136503067484663,0.171296296296296,0.014218009478673,0.112676056338028,0.324324324324324
"2",0.980952380952381,1,0.835772357723577,0.776049766718507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970724191063174,1,0.845541401273885,0.767628205128205,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305418719211823,0,0,0,0,0.0304487179487179,0.0610561056105611,0.056,0,0.0188087774294671,0,0,0.0032258064516129,0.00153846153846154,0.310077519379845,0,0,0,0,0.315619967793881,0.0523809523809524,0,0,0.0658105939004815,0,0.313880126182965,0,0.313694267515924,0,0,0,0.296474358974359,0,0,0.0525502318392581,0.0171073094867807,0.0512,0,0.0619195046439628,0,0,0.0596774193548387,0.0094488188976378,0.0813397129186603,0.074313408723748,0.0621019108280255,0,0,0.00159235668789809,0,0,0.118022328548644,0,0.05103668261563,0,0.275244299674267,0.0382695507487521,0,0,0.299363057324841,0,0.023696682464455,0,0,0.299531981279251,0.218354430379747,0,0,0,0.0715421303656598,0.0712025316455696,0,0,0,0.0685358255451713,0,0.0474631751227496,0.045016077170418,0.0032,0,0,0,0.0632090761750405,0,0,0,0.0573643410852713,0,0.30298273155416,0,0,0.0630048465266559,0.045958795562599,0.0628019323671498,0,0,0,0,0.00157977883096367,0,0.29140127388535,0.321782178217822,0.0162337662337662,0.226993865030675,0.299352750809061,0,0.30794701986755,0.05103668261563,0.3,0.00164203612479475,0,0.0213815789473684,0,0.0516431924882629,0.0580645161290323,0,0,0,0,0,0,0,0.00816993464052288,0.303514376996805,0.0188679245283019,0,0.322784810126582,0.0168918918918919,0,0.283227848101266,0.377388535031847,0,0,0,0.317073170731707,0,0.0740740740740741,0,0.0078740157480315,0,0.308426073131955,0,0.0275974025974026,0,0.294871794871795,0.350877192982456,0,0,0,0.155482815057283,0.216848673946958,0.499215070643642,0.193861066235864,0.105504587155963,0.269108280254777,0.1957928802589,0.189490445859873,0.131921824104235,0.153721682847896,0.14218009478673,0.0634920634920635,0.107765451664025,0.148031496062992,0.00813008130081301,0.0846645367412141,0.284313725490196
"3",0.79080824088748,0.835772357723577,1,0.957680250783699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491803278688525,0.057784911717496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787234042553192,0.819620253164557,1,0.954765751211632,0,0.00476947535771065,0.0016260162601626,0,0,0,0.00956937799043062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1792,0,0,0,0,0.00952380952380952,0.0228013029315961,0.0193861066235864,0,0.00627943485086342,0,0,0,0,0.169014084507042,0,0.00160513643659711,0,0,0.173501577287066,0.0174603174603175,0,0,0.0256,0,0.169544740973312,0,0.182389937106918,0,0,0,0.15955766192733,0,0,0.0151285930408472,0.00625978090766823,0.0205371248025276,0,0.0215384615384615,0,0,0.0207006369426752,0,0.0204724409448819,0.0285261489698891,0.0268987341772152,0,0,0,0,0,0.0382165605095541,0,0.0144927536231884,0,0.129508196721311,0.00974025974025974,0,0,0.170653907496013,0,0.0110935023771791,0,0,0.170542635658915,0.0996784565916399,0,0,0,0.0315955766192733,0.029874213836478,0,0,0,0.0250783699059561,0,0.0130505709624796,0.00815660685154975,0.0016,0,0,0,0.0245098039215686,0,0,0,0.0171606864274571,0,0.163297045101089,0,0,0.0222929936305732,0.0125391849529781,0.0224719101123595,0,0,0,0,0,0,0.158064516129032,0.183333333333333,0.00489396411092985,0.109737248840804,0.15569823434992,0,0.175585284280936,0.0141955835962145,0.1696,0,0,0.0145395799676898,0.00156985871271586,0.0153846153846154,0.0205371248025276,0.00162866449511401,0,0,0,0,0,0,0.0016260162601626,0.169059011164274,0.00784929356357928,0,0.185126582278481,0.00482315112540193,0,0.13365539452496,0.192616372391653,0,0,0,0.169354838709677,0,0.0240384615384615,0,0.00314465408805031,0,0.182103610675039,0,0.0111111111111111,0,0.15955766192733,0.190174326465927,0.00162866449511401,0,0.191387559808612,0.0469255663430421,0.104199066874028,0.725274725274725,0.0747967479674797,0.0342146189735614,0.143769968051118,0.0880913539967374,0.0804416403785489,0.0619047619047619,0.0977198697068404,0.0581761006289308,0.0142857142857143,0.0350877192982456,0.0543130990415335,0.00483870967741936,0.0319488817891374,0.249185667752443
"4",0.7357910906298,0.776049766718507,0.957680250783699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749601275917065,0.0855365474339036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738484398216939,0.766823161189358,0.954268292682927,1,0,0.00626959247648903,0.00156739811912226,0,0,0,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176190476190476,0,0,0,0,0.0015625,0.0078740157480315,0.00947867298578199,0,0.00151285930408472,0,0,0,0,0.169184290030211,0,0,0,0,0.171032357473035,0.00771604938271605,0,0,0.00788643533123028,0,0.173978819969743,0,0.168711656441718,0,0,0,0.155251141552511,0,0,0.00740740740740741,0.00149253731343284,0.00778816199376947,0,0.00759878419452888,0,0,0.00471698113207547,0,0.0167173252279635,0.0137614678899083,0.0122887864823349,0,0,0,0,0,0.0262751159196291,0,0.004739336492891,0,0.138755980861244,0.00324149108589951,0,0,0.161442006269592,0,0.0015625,0,0,0.170437405731523,0.0834621329211747,0,0,0,0.0139103554868624,0.0166163141993958,0,0,0,0.00921658986175115,0,0.00467289719626168,0.00469483568075117,0,0,0,0,0.0109375,0,0,0,0.0075187969924812,0,0.16236722306525,0,0,0.00764525993883792,0.0031201248049922,0.00786163522012579,0,0,0,0,0,0,0.147515527950311,0.169628432956381,0,0.107784431137725,0.154446177847114,0,0.167207792207792,0.00623052959501558,0.1609375,0,0,0.0111642743221691,0,0.0045045045045045,0.00758725341426404,0,0,0,0,0,0,0,0,0.165123456790123,0.00151745068285281,0,0.179447852760736,0.00158730158730159,0,0.120610687022901,0.173913043478261,0,0,0,0.171073094867807,0,0.00626959247648903,0,0,0,0.169753086419753,0,0.0045662100456621,0,0.156985871271586,0.169465648854962,0,0,0.229938271604938,0.0440251572327044,0.107197549770291,0.778625954198473,0.0775316455696203,0.0279001468428781,0.143518518518519,0.0782472613458529,0.0738461538461539,0.0186625194401244,0.0945736434108527,0.0472560975609756,0.0062015503875969,0.0293663060278207,0.0520673813169985,0,0.0171073094867807,0.118670886075949
"5",0,0,0,0,1,0.99537750385208,0.882995319812793,0.864297253634895,0.993846153846154,0.986003110419907,0.866771159874608,0.957943925233645,0.854263565891473,0.985981308411215,0.993865030674847,0.998442367601246,0.785031847133758,0.992125984251969,0.993720565149137,0.991869918699187,0.993579454253612,0.431818181818182,0.417322834645669,0.893987341772152,0.993939393939394,0.995297805642633,0.821705426356589,0.8064,0.995398773006135,0.873194221508828,0.849206349206349,0.792778649921507,0.79236641221374,0.992138364779874,0.995398773006135,0.993710691823899,0.663987138263666,0.672333848531685,0.942546583850932,0.652866242038217,0.877138413685848,0.674922600619195,0.662992125984252,0.667721518987342,0.852614896988906,1,0.810769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0.99537750385208,1,0.8544,0.840510366826156,0.998444790046656,0.970633693972179,0.839936608557845,0.944968553459119,0.82780410742496,0.968102073365231,1,0.996845425867508,0.768867924528302,0.998387096774194,0.995215311004785,0.996715927750411,1,0.442622950819672,0.432907348242812,0.863924050632911,1,0.987381703470032,0.797770700636943,0.782608695652174,1,0.849358974358974,0.819645732689211,0.762135922330097,0.7734375,0.993680884676145,0.984447900466563,1,0.656351791530945,0.653846153846154,0.925278219395866,0.635499207606973,0.860062893081761,0.635792778649921,0.631329113924051,0.642156862745098,0.829617834394904,0.992012779552716,0.790220820189274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0.882995319812793,0.8544,1,0.988673139158576,0.861538461538462,0.896713615023474,0.992101105845182,0.9328125,0.973186119873817,0.902973395931142,0.870514820592824,0.863849765258216,0.908517350157729,0.855345911949686,0.8624,0.854368932038835,0.860062893081761,0.335526315789474,0.314873417721519,0.995176848874598,0.858678955453149,0.871224165341812,0.94811320754717,0.929260450160772,0.863708399366086,0.987138263665595,0.949919224555735,0.917851500789889,0.901689708141321,0.856,0.877708978328173,0.849358974358974,0.571658615136876,0.71671826625387,0.9328125,0.697712418300654,0.993788819875776,0.735614307931571,0.723004694835681,0.723027375201288,0.964968152866242,0.872274143302181,0.944186046511628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0.864297253634895,0.840510366826156,0.988673139158576,1,0.847860538827258,0.886762360446571,1,0.919811320754717,0.987096774193548,0.886762360446571,0.854430379746835,0.853932584269663,0.908653846153846,0.84640522875817,0.845514950166113,0.84390243902439,0.849270664505673,0.318481848184819,0.306451612903226,0.982371794871795,0.848101265822785,0.8608,0.951923076923077,0.936378466557912,0.850079744816587,0.99505766062603,0.95016077170418,0.920454545454545,0.905362776025237,0.844690966719493,0.862928348909657,0.843333333333333,0.555555555555556,0.725429017160686,0.928,0.710310965630115,0.984227129337539,0.737833594976452,0.72408293460925,0.716666666666667,0.958532695374801,0.860128617363344,0.949206349206349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0.993846153846154,0.998444790046656,0.861538461538462,0.847860538827258,1,0.970814132104455,0.85,0.945038167938931,0.8328125,0.965996908809892,0.998527245949926,0.993930197268589,0.776234567901235,0.998477929984779,0.996918335901387,0.995207667731629,0.996899224806202,0.436220472440945,0.419504643962848,0.874223602484472,0.997001499250375,0.980122324159021,0.808346213292117,0.790951638065523,0.996937212863706,0.859375,0.847723704866562,0.7796875,0.787650602409639,0.995384615384615,0.978625954198473,0.996904024767802,0.657894736842105,0.669683257918552,0.926605504587156,0.655763239875389,0.867069486404834,0.649390243902439,0.639393939393939,0.657686212361331,0.840557275541796,0.987730061349693,0.795144157814871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0.986003110419907,0.970633693972179,0.896713615023474,0.886762360446571,0.970814132104455,1,0.883359253499222,0.981707317073171,0.874223602484472,0.998435054773083,0.969418960244648,0.976993865030675,0.805687203791469,0.968253968253968,0.973312401883831,0.963258785942492,0.970266040688576,0.3952,0.390015600624025,0.90809968847352,0.975609756097561,0.981566820276498,0.844961240310077,0.830940988835726,0.969465648854962,0.885758998435055,0.854660347551343,0.816770186335404,0.809160305343511,0.966719492868463,0.984709480122324,0.967492260061919,0.617693522906793,0.651975683890577,0.963893249607535,0.644757433489828,0.898617511520737,0.668730650154799,0.652241112828439,0.665589660743134,0.864906832298137,0.981481481481482,0.83641975308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
