"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,0.9953125,0.952160493827161,0.916139240506329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.996889580093313,0.949848024316109,0.915360501567398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0.012779552715655,0.0690737833594976,0.0622083981337481,0,0.00917431192660551,0,0,0.00946372239747634,0.00778816199376947,0.363214837712519,0.00161030595813205,0,0,0,0.387096774193548,0.0600924499229584,0,0,0.0635930047694754,0,0.378164556962025,0,0.385103011093502,0,0,0,0.388802488335925,0,0,0.046875,0.0156985871271586,0.0528771384136858,0,0.0692431561996779,0,0,0.0678513731825525,0.0062015503875969,0.0510835913312693,0.0824261275272162,0.0755007704160247,0,0,0,0,0,0.119236883942766,0,0.0507692307692308,0,0.362928348909657,0.0393081761006289,0,0,0.374414976599064,0,0.0150602409638554,0,0,0.38125,0.300940438871473,0,0,0,0.0753532182103611,0.0709779179810726,0,0,0,0.0693815987933635,0,0.064,0.056,0.00159489633173844,0,0,0,0.0784929356357928,0,0.00152905198776758,0,0.061633281972265,0,0.377952755905512,0,0,0.0630769230769231,0.0569620253164557,0.0743670886075949,0,0,0,0,0,0,0.364928909952607,0.374800637958533,0.0129449838187702,0.256965944272446,0.361934477379095,0,0.386259541984733,0.037821482602118,0.378419452887538,0.0015552099533437,0,0.0250783699059561,0,0.0694864048338369,0.0649762282091918,0.0031104199066874,0,0,0,0.00154320987654321,0,0.0015552099533437,0.00782472613458529,0.3710407239819,0.015527950310559,0,0.378378378378378,0.0091324200913242,0,0.397151898734177,0.421216848673947,0,0,0,0.374233128834356,0,0.0678233438485804,0,0.00981996726677578,0,0.371695178849145,0.0015527950310559,0.0217391304347826,0,0.378548895899054,0.414483821263482,0,0
"2",0.9953125,1,0.965463108320251,0.930599369085173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995391705069124,1,0.960753532182104,0.927099841521395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374803149606299,0,0,0,0,0.0129032258064516,0.0690208667736758,0.064,0,0.0093167701863354,0,0,0.00980392156862745,0.00630914826498423,0.369397217928903,0.00162866449511401,0,0,0,0.391849529780564,0.0647149460708783,0,0,0.063391442155309,0,0.391233766233766,0,0.386687797147385,0,0,0,0.389154704944179,0,0,0.0476190476190476,0.0110410094637224,0.0546021840873635,0,0.0685154975530179,0,0,0.0704918032786885,0.00469483568075117,0.0456692913385827,0.0801232665639445,0.0696594427244582,0,0,0,0,0,0.107936507936508,0,0.0502354788069074,0,0.358255451713396,0.0396196513470681,0,0,0.370839936608558,0,0.0138888888888889,0,0,0.386942675159236,0.31139646869984,0,0,0,0.0766773162939297,0.0738362760834671,0,0,0,0.0701219512195122,0,0.0621931260229133,0.0535714285714286,0,0,0,0,0.0746031746031746,0,0.0015625,0,0.0615141955835962,0.00157977883096367,0.378029079159935,0,0,0.0664605873261206,0.0643086816720257,0.0714285714285714,0,0,0,0,0,0,0.368,0.388178913738019,0.014827018121911,0.259433962264151,0.35828025477707,0,0.389570552147239,0.0382848392036753,0.382488479262673,0.0031055900621118,0,0.015625,0,0.0680061823802164,0.0581583198707593,0.00157232704402516,0,0,0,0.00313479623824451,0,0.00315955766192733,0.00480769230769231,0.378254211332312,0.0125588697017268,0,0.371559633027523,0.0107197549770291,0,0.393312101910828,0.418897637795276,0,0,0,0.377358490566038,0,0.072,0,0.00656814449917898,0,0.380726698262243,0.00158478605388273,0.0172413793103448,0,0.386363636363636,0.417310664605873,0,0
"3",0.952160493827161,0.965463108320251,1,0.978159126365055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.00782472613458529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961948249619482,0.961965134706815,1,0.979233226837061,0,0.0046583850931677,0.0031055900621118,0,0,0,0.00938967136150235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00309119010819165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3568,0,0,0.0032,0,0.00476190476190476,0.045958795562599,0.0428571428571429,0,0.00313971742543171,0,0,0.00320512820512821,0,0.345201238390093,0,0.00464396284829721,0,0,0.357366771159875,0.046656298600311,0,0,0.0480769230769231,0.0016,0.358044164037855,0,0.362041467304625,0,0.00158982511923688,0,0.3584,0,0,0.03486529318542,0.0062992125984252,0.0438871473354232,0,0.0585365853658537,0,0,0.0591133004926108,0.00320512820512821,0.0404354587869362,0.0669781931464174,0.0549450549450549,0,0,0,0,0.00308166409861325,0.0928,0,0.0375586854460094,0.00159489633173844,0.333333333333333,0.0250391236306729,0,0,0.346394984326019,0,0.00309119010819165,0,0,0.362041467304625,0.259259259259259,0,0.00316957210776545,0,0.0554675118858954,0.0521327014218009,0,0,0,0.0592705167173252,0,0.0456769983686786,0.037156704361874,0,0,0,0,0.0538827258320127,0,0.00154559505409583,0,0.0422535211267606,0.00156494522691706,0.360128617363344,0,0,0.05,0.04858934169279,0.0537974683544304,0.00154083204930663,0.0015527950310559,0.0015527950310559,0,0.00158227848101266,0.00160513643659711,0.350078492935636,0.356120826709062,0.00490998363338789,0.24804992199688,0.332288401253919,0,0.367692307692308,0.0278207109737249,0.35968992248062,0.00154798761609907,0,0.0250391236306729,0.00465116279069767,0.0525502318392581,0.0465489566613162,0,0.00160771704180064,0,0,0.0015625,0,0.00159489633173844,0.00157728706624606,0.344135802469136,0.0015625,0,0.34855403348554,0.00308166409861325,0,0.359424920127796,0.367441860465116,0,0,0,0.361370716510903,0.00315457413249211,0.0514469453376206,0.00316957210776545,0.00164203612479475,0,0.361635220125786,0.0015600624024961,0.0125588697017268,0,0.3568,0.374233128834356,0.0061633281972265,0
"4",0.916139240506329,0.930599369085173,0.978159126365055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162866449511401,0.0171606864274571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158982511923688,0.00156739811912226,0,0.0016260162601626,0,0.00153846153846154,0.00156985871271586,0.00157977883096367,0,0,0,0.931087289433384,0.931528662420382,0.982677165354331,1,0,0.00637958532695375,0.00473186119873817,0,0,0,0.0109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157977883096367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35725677830941,0,0,0.00321543408360129,0,0.0016,0.0465489566613162,0.0448,0.00157977883096367,0.003125,0,0,0.00488599348534202,0.00156739811912226,0.340659340659341,0,0.0078740157480315,0,0,0.362204724409449,0.0485133020344288,0,0,0.0478468899521531,0.00161290322580645,0.3616,0,0.374800637958533,0,0.00158982511923688,0,0.3632,0,0,0.0332278481012658,0.00476947535771065,0.0416,0,0.0580645161290323,0,0,0.0538336052202284,0.00315955766192733,0.0369774919614148,0.0661417322834646,0.0554675118858954,0,0,0,0,0.00313971742543171,0.0790322580645161,0,0.0380348652931854,0.0015527950310559,0.336477987421384,0.0283464566929134,0,0,0.348297213622291,0,0.00464396284829721,0,0,0.365659777424483,0.232963549920761,0,0.00319488817891374,0,0.0548387096774194,0.0545746388443018,0,0,0,0.059190031152648,0,0.0462046204620462,0.0422077922077922,0.0016260162601626,0,0,0,0.0519685039370079,0,0.0015600624024961,0,0.0421216848673947,0.00156739811912226,0.361290322580645,0,0,0.050314465408805,0.0466237942122186,0.0533117932148627,0.00154559505409583,0.00153846153846154,0.00154083204930663,0,0.00157232704402516,0.00162074554294976,0.357827476038339,0.361904761904762,0.00498338870431894,0.254777070063694,0.331746031746032,0,0.367692307692308,0.0279937791601866,0.361801242236025,0.00156985871271586,0,0.0271132376395534,0.00631911532385466,0.0518867924528302,0.0449438202247191,0,0.00166389351081531,0,0,0.00156494522691706,0,0.0016025641025641,0.00320512820512821,0.350230414746544,0.00316455696202532,0,0.34984520123839,0.0015600624024961,0,0.34584013050571,0.354992076069731,0,0,0,0.356918238993711,0.00157728706624606,0.0504065040650407,0.0031496062992126,0.00164473684210526,0,0.364649681528662,0,0.0094488188976378,0,0.353796445880452,0.369327073552426,0.0077639751552795,0
"5",0,0,0,0,1,0.995290423861852,0.85828025477707,0.8608,0.993660855784469,0.987786259541985,0.862838915470494,0.960753532182104,0.821484992101106,0.98755832037325,0.993700787401575,0.998415213946117,0.736245954692557,0.993798449612403,0.996820349761526,0.993506493506494,0.993759750390016,0.574433656957929,0.566302652106084,0.890322580645161,0.993779160186625,0.996830427892235,0.7765625,0.752491694352159,0.992236024844721,0.870550161812298,0.818476499189627,0.750783699059561,0.746105919003115,0.993779160186625,0.995283018867924,0.993846153846154,0.607371794871795,0.615625,0.945226917057903,0.610305958132045,0.857142857142857,0.600303951367781,0.598425196850394,0.589257503949447,0.814173228346457,1,0.7673343605547,0,0,0,0,0,0,0,0.00316957210776545,0.00317965023847377,0.00154798761609907,0,0.00316455696202532,0.00157232704402516,0.00306278713629403,0.0032,0.00157977883096367,0.00160513643659711,0.00308166409861325,0.00317460317460317,0.00157728706624606,0.00154559505409583,0.00318979266347687,0.0032520325203252,0.0015625,0.00315955766192733,0.00160771704180064,0.00158478605388273,0.0015625,0.00157232704402516,0.00319488817891374,0.00319488817891374,0.00158227848101266,0.00313479623824451,0,0.00317965023847377,0.0015552099533437,0.00309597523219814,0.00313971742543171,0.00153846153846154,0.0015600624024961,0.00317965023847377,0.00317965023847377,0.00155038759689922,0.00318979266347687,0.00153846153846154,0.00159489633173844,0.00161290322580645,0.00318471337579618,0.00308166409861325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0.995290423861852,1,0.84458398744113,0.842433697347894,0.998439937597504,0.981818181818182,0.846034214618974,0.951070336391437,0.80564263322884,0.980061349693252,1,0.996830427892235,0.71875,1,0.998427672955975,0.996840442338073,1,0.555031446540881,0.543478260869565,0.877358490566038,1,0.990476190476191,0.755417956656347,0.738211382113821,1,0.854003139717425,0.796084828711256,0.728549141965679,0.72768532526475,1,0.985871271585557,0.998507462686567,0.594637223974763,0.596923076923077,0.940458015267176,0.583333333333333,0.845565749235474,0.585218702865762,0.576744186046512,0.577352472089314,0.799382716049383,0.992138364779874,0.746223564954683,0,0,0,0,0,0,0,0.00153846153846154,0.0015600624024961,0,0,0.00157232704402516,0,0.00154559505409583,0.00154083204930663,0.00155763239875389,0.00156739811912226,0.00155038759689922,0.00156739811912226,0.00154320987654321,0,0.00158730158730159,0.00158730158730159,0.00153374233128834,0.00153846153846154,0,0.00154559505409583,0,0.0015527950310559,0.00158730158730159,0.0015625,0,0.00153609831029186,0,0.00157728706624606,0.00152671755725191,0.00153139356814701,0.00156494522691706,0,0,0.00157977883096367,0.00156739811912226,0.00152905198776758,0.0015625,0,0.00157728706624606,0.00155763239875389,0.00156985871271586,0.00153374233128834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0.85828025477707,0.84458398744113,1,0.988745980707395,0.827974276527331,0.861586314152411,0.995245641838352,0.894488188976378,0.95583596214511,0.877934272300469,0.837060702875399,0.836038961038961,0.872374798061389,0.829192546583851,0.844197138314785,0.831987075928918,0.824088748019017,0.453808752025932,0.4453125,0.993453355155483,0.828616352201258,0.851132686084142,0.911811023622047,0.884808013355593,0.822358346094946,0.9904,0.94,0.877165354330709,0.87519747235387,0.830482115085537,0.841194968553459,0.838759689922481,0.499192245557351,0.676656151419558,0.901098901098901,0.673841059602649,1,0.690625,0.674015748031496,0.66984126984127,0.936908517350158,0.843042071197411,0.903522205206738,0,0,0,0,0,0,0,0.00469483568075117,0.00323101777059774,0.00316957210776545,0,0.00485436893203883,0.00313479623824451,0.0046801872074883,0.00321027287319422,0.0016,0.00162074554294976,0.00475435816164818,0.00486223662884927,0.00158982511923688,0.00158478605388273,0.004739336492891,0.00486223662884927,0.00158982511923688,0.00317965023847377,0.00324149108589951,0.0032,0.00154559505409583,0.00159235668789809,0.00476190476190476,0.00318979266347687,0.0032,0.00476947535771065,0,0.00484652665589661,0.00305810397553517,0.00470957613814757,0.00474683544303797,0.00306748466257669,0.00314465408805031,0.00318979266347687,0.00478468899521531,0.00154559505409583,0.00320512820512821,0.0031201248049922,0.00322061191626409,0.0016366612111293,0.00481540930979133,0.00465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0.8608,0.842433697347894,0.988745980707395,1,0.823909531502423,0.871875,0.996825396825397,0.897151898734177,0.980830670926518,0.879256965944272,0.838095238095238,0.84329563812601,0.893890675241158,0.825196850393701,0.84219001610306,0.836601307189543,0.833333333333333,0.464401294498382,0.460218408736349,0.978547854785479,0.838509316770186,0.856913183279743,0.923556942277691,0.90787269681742,0.822047244094488,0.995098039215686,0.941860465116279,0.893819334389857,0.8859375,0.835182250396197,0.848484848484849,0.835680751173709,0.5103668261563,0.689763779527559,0.9088,0.691151919866444,0.989180834621329,0.710323574730354,0.681089743589744,0.690553745928339,0.9359375,0.850079744816587,0.920367534456355,0,0,0,0,0,0,0,0.00473186119873817,0.00319488817891374,0.00310077519379845,0,0.00490998363338789,0.00318471337579618,0.00465116279069767,0.00320512820512821,0.00160513643659711,0.0016260162601626,0.00474683544303797,0.00482315112540193,0.00158982511923688,0.00158730158730159,0.00476947535771065,0.00491803278688525,0.00159235668789809,0.00319488817891374,0.0032520325203252,0.00321027287319422,0.00158730158730159,0.00161030595813205,0.00479233226837061,0.00322061191626409,0.0032520325203252,0.00469483568075117,0,0.00476947535771065,0.0031104199066874,0.0046656298600311,0.00481540930979133,0.0031055900621118,0.00314465408805031,0.00318471337579618,0.00485436893203883,0.00156985871271586,0.00325732899022801,0.00316455696202532,0.00321027287319422,0.0016366612111293,0.00490998363338789,0.0046656298600311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0.993660855784469,0.998439937597504,0.827974276527331,0.823909531502423,1,0.972093023255814,0.825119236883943,0.936102236421725,0.779904306220096,0.971563981042654,1,0.993548387096774,0.701782820097245,0.998463901689708,1,0.996763754045307,1,0.579710144927536,0.581395348837209,0.854864433811802,0.996865203761755,0.982315112540193,0.732283464566929,0.7166392092257,0.996899224806202,0.834138486312399,0.791461412151067,0.715421303656598,0.70735524256651,1,0.976114649681529,1,0.604395604395604,0.603803486529319,0.926868044515103,0.585089141004862,0.831496062992126,0.57032457496136,0.565560821484992,0.563106796116505,0.784929356357928,0.988654781199352,0.725880551301684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0.987786259541985,0.981818181818182,0.861586314152411,0.871875,0.972093023255814,1,0.871016691957511,0.98036253776435,0.829192546583851,0.995447647951442,0.978560490045942,0.984472049689441,0.742635658914729,0.977678571428571,0.975077881619938,0.974921630094044,0.975572519083969,0.535493827160494,0.529850746268657,0.896551724137931,0.977645305514158,0.99079754601227,0.780120481927711,0.758730158730159,0.977711738484398,0.87888198757764,0.81687898089172,0.751902587519026,0.750755287009063,0.976993865030675,0.990683229813665,0.970238095238095,0.569018404907976,0.597579425113464,0.973684210526316,0.588419405320814,0.86890243902439,0.609538002980626,0.602409638554217,0.591331269349845,0.814307458143075,0.984520123839009,0.774814814814815,0,0,0,0,0,0,0,0.00302571860816944,0.00154320987654321,0.003003003003003,0,0.0031104199066874,0.00310077519379845,0.003003003003003,0.00156739811912226,0,0,0.0030441400304414,0.00309597523219814,0,0.00151745068285281,0.00307219662058372,0.00315955766192733,0,0.00154083204930663,0.0031104199066874,0.0015527950310559,0.00150375939849624,0,0.00311526479750779,0.00153609831029186,0.00315457413249211,0.00306748466257669,0,0.0031104199066874,0.00149253731343284,0.00298507462686567,0.00306748466257669,0.003003003003003,0.00304878048780488,0.00154320987654321,0.00308641975308642,0,0.0015625,0.00303951367781155,0.0015527950310559,0,0.0031055900621118,0.00298953662182362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
