"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,1,1,0.998417721518987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.851437699680511,0.0247678018575851,0.0227272727272727,0.424846625766871,0.809448818897638,0.482334869431644,0.479938271604938,0.188473520249221,0.505460218408736,0.497709923664122,0.464898595943838,0.612307692307692,0.4,0.526964560862866,0.501552795031056,0.518518518518518,0.819314641744548,0.446345256609642,0.4181240063593,0.0232919254658385,0.47196261682243,0.471608832807571,0.49922480620155,0.595712098009188,0.349606299212598,0.479495268138801,0.416024653312789,0.170347003154574,0.507739938080495,0.028125,0.554347826086957,0.220700152207002,0.546969696969697,0.513137557959815,0.604006163328197,0.577399380804954,0.148031496062992,0.50392464678179,0.0291858678955453,0.720820189274448,0.773700305810398,0.439370078740157,0.0188679245283019,0.64576802507837,0.489296636085627,0.96875,0.15015479876161,0.150306748466258,0.141732283464567,0.138888888888889,0.964856230031949,0.973312401883831,0.973561430793157,0.151181102362205,0.964831804281346,0.130841121495327,0.141538461538462,0.8801261829653,0.850467289719626,0.969088098918083,0.276972624798712,0.149546827794562,0.140157480314961,0.141955835962145,0.970814132104455,0.972265023112481,0.147321428571429,0.150943396226415,0.971383147853736,0.1472,0.97626582278481,0.150706436420722,0.974643423137876,0.150855365474339,0.141269841269841,0.150664697193501,0.973561430793157,0.148377125193199,0.140243902439024,0.9703125,0.177394034536892,0.961119751166407,0.151745068285281,0.971014492753623,0.13914373088685,0.152542372881356,0.972536348949919,0.13953488372093,0.778637770897833,0.972006220839813,0.969183359013868,0.147286821705426,0.145339652448657,0.159937888198758,0.14756671899529,0.132018209408194,0.97456279809221,0.146831530139104,0.970769230769231,0.141509433962264,0.97196261682243,0.976415094339623,0.140695915279879,0.148606811145511,0.970358814352574,0.146067415730337,0.971385542168675,0.1390625,0.151001540832049,0.96875,0.971786833855799,0.157894736842105,0.150706436420722,0.134052388289676,0.970172684458399,0.970031545741325,0.149300155520995,0.159126365054602,0.1578125,0.974358974358974,0.151001540832049,0.9776,0.9696,0.146730462519936,0.137825421133231,0.146831530139104,0.145367412140575,0.974882260596546,0.149460708782743,0.397553516819572,0.14903129657228,0.969183359013868,0.520249221183801,0.974803149606299,0.135646687697161,0.141269841269841,0.973846153846154,0.966772151898734,0.973101265822785,0.143950995405819,0.143518518518519,0.365054602184087,0.140030441400304,0.150855365474339,0.1424,0.979462875197472,0.974481658692185,0.964401294498382,0.964396284829721,0.970358814352574,0.151468315301391,0.974045801526718,0.977307110438729,0.972644376899696,0.824261275272162,0.151799687010955,0.161442006269592,0.136570561456753,0.972809667673716,0.974643423137876,0.141524105754277,0.136655948553055,0.153139356814701,0.136712749615975,0.506172839506173,0.152542372881356,0.488335925349922,0.968701095461659,0.969834087481146,0.944099378881988,0.138314785373609,0.974474474474474,0.863013698630137,0.135782747603834,0.977848101265823,0.982839313572543,0.164012738853503,0.157076205287714,0.14576802507837,0.970858895705521,0.1640625,0.970031545741325,0.156923076923077,0.147299509001637,0.143962848297214,0.972006220839813,0.152173913043478,0.97360248447205,0.134920634920635,0.973186119873817,0.978428351309707,0.14567526555387,0.1453125
"2",1,1,1,0.998422712933754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161030595813205,0.00154559505409583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.859016393442623,0.0238853503184713,0.0291858678955453,0.42654028436019,0.821371610845295,0.493023255813954,0.4890625,0.184713375796178,0.513470681458003,0.496038034865293,0.47444089456869,0.620192307692308,0.402866242038217,0.531393568147014,0.512738853503185,0.517460317460318,0.834123222748815,0.441786283891547,0.420382165605096,0.0283018867924528,0.471786833855799,0.480190174326466,0.501597444089457,0.599688473520249,0.352848101265823,0.496050552922591,0.417061611374408,0.160714285714286,0.517719568567026,0.0279503105590062,0.552922590837283,0.221183800623053,0.557781201848998,0.522906793048973,0.613003095975232,0.583724569640063,0.152380952380952,0.501597444089457,0.0295489891135303,0.721780604133545,0.781538461538462,0.448330683624801,0.0253565768621236,0.654838709677419,0.500782472613459,0.963779527559055,0.13125,0.131987577639752,0.134185303514377,0.13125,0.956451612903226,0.967897271268058,0.968,0.13322632423756,0.956521739130435,0.123028391167192,0.127760252365931,0.874183006535948,0.83596214511041,0.958268933539413,0.249185667752443,0.133858267716535,0.129186602870813,0.1264,0.96551724137931,0.964560862865948,0.134556574923547,0.134674922600619,0.961965134706815,0.129449838187702,0.970779220779221,0.131329113924051,0.971473851030111,0.133333333333333,0.139384116693679,0.141779788838612,0.968102073365231,0.132398753894081,0.124042879019908,0.966666666666667,0.15615141955836,0.953198127925117,0.142414860681115,0.967373572593801,0.125,0.133540372670807,0.963934426229508,0.136150234741784,0.763779527559055,0.964560862865948,0.96594427244582,0.130094043887147,0.1359375,0.142633228840125,0.13125,0.119496855345912,0.96984126984127,0.129890453834116,0.968602825745683,0.130365659777424,0.962616822429907,0.96513470681458,0.123664122137405,0.135514018691589,0.960380348652932,0.132471728594507,0.962962962962963,0.125,0.136645962732919,0.961783439490446,0.966292134831461,0.142635658914729,0.138314785373609,0.123839009287926,0.964856230031949,0.967897271268058,0.134304207119741,0.143312101910828,0.14018691588785,0.969512195121951,0.136792452830189,0.972176759410802,0.962662337662338,0.13290113452188,0.125386996904025,0.132045088566828,0.135483870967742,0.971428571428571,0.134674922600619,0.378125,0.135258358662614,0.960567823343849,0.497630331753554,0.967689822294023,0.120826709062003,0.129186602870813,0.969088098918083,0.961414790996785,0.970779220779221,0.12792511700468,0.124223602484472,0.3328125,0.12210200927357,0.137345679012346,0.129659643435981,0.9744,0.966453674121406,0.960461285008237,0.959119496855346,0.964968152866242,0.140822784810127,0.969325153374233,0.970903522205207,0.964669738863287,0.807453416149068,0.138977635782748,0.1484375,0.117647058823529,0.967542503863988,0.969305331179321,0.127358490566038,0.126418152350081,0.14375,0.116822429906542,0.4858934169279,0.137820512820513,0.470774091627172,0.966346153846154,0.963246554364472,0.932496075353218,0.126782884310618,0.970948012232416,0.852986217457887,0.122749590834697,0.971337579617834,0.976377952755906,0.144715447154472,0.141732283464567,0.124605678233438,0.963836477987421,0.143769968051118,0.9648,0.139498432601881,0.136288998357964,0.124031007751938,0.96998420221169,0.133122028526149,0.967084639498433,0.131832797427653,0.965909090909091,0.972179289026275,0.129283489096573,0.135782747603834
"3",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0.00156494522691706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.856443719412724,0.0279503105590062,0.0295031055900621,0.419254658385093,0.81687898089172,0.492163009404389,0.482003129890454,0.190851735015773,0.515625,0.498447204968944,0.474763406940063,0.623824451410658,0.401587301587302,0.536923076923077,0.5103668261563,0.522012578616352,0.819334389857369,0.450079239302694,0.414012738853503,0.0256,0.462616822429907,0.472668810289389,0.5008,0.59904912836767,0.348726114649682,0.489465153970827,0.404724409448819,0.166666666666667,0.522620904836194,0.0293663060278207,0.555732484076433,0.217791411042945,0.556942277691108,0.519142419601838,0.613846153846154,0.584234930448223,0.144674085850556,0.50384024577573,0.0279503105590062,0.717665615141956,0.771472392638037,0.447409733124019,0.0257234726688103,0.644094488188976,0.493044822256569,0.9616,0.141524105754277,0.143312101910828,0.1392,0.139356814701378,0.955555555555556,0.96513470681458,0.968253968253968,0.1392,0.956043956043956,0.124006359300477,0.130094043887147,0.881410256410256,0.838759689922481,0.959752321981424,0.263242375601926,0.147058823529412,0.139904610492846,0.13365539452496,0.963949843260188,0.965785381026439,0.139356814701378,0.140157480314961,0.96474358974359,0.1408,0.966876971608833,0.143759873617694,0.968102073365231,0.143525741029641,0.139904610492846,0.143292682926829,0.968,0.145085803432137,0.129082426127527,0.96513470681458,0.171653543307087,0.954545454545455,0.149773071104387,0.969105691056911,0.130094043887147,0.142194744976816,0.963875205254516,0.139423076923077,0.768273716951788,0.962616822429907,0.962323390894819,0.135646687697161,0.139871382636656,0.152996845425868,0.138248847926267,0.130970724191063,0.9664,0.134969325153374,0.967136150234742,0.138755980861244,0.960691823899371,0.967136150234742,0.137770897832817,0.137931034482759,0.962382445141066,0.135048231511254,0.964451313755796,0.131955484896661,0.138147566718995,0.958532695374801,0.966183574879227,0.15,0.141045958795563,0.131901840490798,0.963549920760697,0.966824644549763,0.142857142857143,0.152866242038217,0.141045958795563,0.968085106382979,0.141538461538462,0.969004893964111,0.964458804523425,0.142620232172471,0.126760563380282,0.139937106918239,0.146067415730337,0.973058637083994,0.141287284144427,0.387944358578053,0.147640791476408,0.959311424100156,0.511737089201878,0.964630225080386,0.129952456418384,0.136655948553055,0.96875,0.963949843260188,0.968354430379747,0.13713405238829,0.133540372670807,0.34472049689441,0.131987577639752,0.142405063291139,0.136436597110754,0.971742543171115,0.966613672496025,0.959083469721768,0.957878315132605,0.963949843260188,0.150706436420722,0.964615384615385,0.972179289026275,0.967441860465116,0.815789473684211,0.141269841269841,0.156494522691706,0.134883720930233,0.967542503863988,0.967897271268058,0.141524105754277,0.128617363344051,0.145061728395062,0.125588697017268,0.4921875,0.151090342679128,0.483253588516746,0.966876971608833,0.96141975308642,0.93125,0.126782884310618,0.971080669710807,0.853620955315871,0.134304207119741,0.969648562300319,0.978294573643411,0.15,0.150641025641026,0.135860979462875,0.962616822429907,0.157728706624606,0.966237942122186,0.147385103011094,0.152709359605911,0.14018691588785,0.968553459119497,0.149765990639626,0.963893249607535,0.1344,0.9632,0.969325153374233,0.140215716486903,0.143533123028391
"4",0.998417721518987,0.998422712933754,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325732899022801,0.0046801872074883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317965023847377,0.00313479623824451,0,0.0032520325203252,0,0.00307692307692308,0.00313971742543171,0.00157977883096367,0,0,0,0.996937212863706,0.996815286624204,1,1,0.850819672131148,0.0271132376395534,0.028391167192429,0.42992125984252,0.810509554140127,0.4890625,0.4828125,0.191011235955056,0.518808777429467,0.500780031201248,0.475435816164818,0.622820919175911,0.41042345276873,0.539184952978056,0.5008,0.524720893141946,0.82018927444795,0.442857142857143,0.4256,0.0240770465489567,0.470031545741325,0.481540930979133,0.50402576489533,0.61741835147745,0.356120826709062,0.494363929146538,0.421900161030596,0.159420289855072,0.528771384136858,0.028436018957346,0.562401263823065,0.221528861154446,0.562204724409449,0.527646129541864,0.605590062111801,0.579365079365079,0.15224358974359,0.514913657770801,0.0278207109737249,0.72463768115942,0.780337941628264,0.446227929373997,0.0256821829855538,0.652931854199683,0.496875,0.956937799043062,0.140157480314961,0.134796238244514,0.138263665594855,0.135646687697161,0.9488,0.961476725521669,0.9632,0.131121642969984,0.953125,0.1216,0.129337539432177,0.872964169381108,0.833855799373041,0.957613814756672,0.251231527093596,0.141732283464567,0.13015873015873,0.130225080385852,0.960629921259842,0.962441314553991,0.13914373088685,0.139871382636656,0.961722488038278,0.138709677419355,0.9648,0.137223974763407,0.964912280701754,0.138582677165354,0.133545310015898,0.137557959814529,0.9632,0.139904610492846,0.133846153846154,0.962025316455696,0.165341812400636,0.9504,0.143297380585516,0.966129032258065,0.129746835443038,0.141287284144427,0.960848287112561,0.135860979462875,0.757234726688103,0.960629921259842,0.957210776545166,0.1296875,0.138263665594855,0.14756671899529,0.142405063291139,0.127158555729984,0.962903225806452,0.137770897832817,0.96513470681458,0.133540372670807,0.957547169811321,0.962204724409449,0.131868131868132,0.140127388535032,0.958204334365325,0.136288998357964,0.958204334365325,0.130573248407643,0.140866873065015,0.955484896661367,0.961965134706815,0.147385103011094,0.138977635782748,0.126717557251908,0.958064516129032,0.959871589085072,0.143089430894309,0.14576802507837,0.139871382636656,0.96417445482866,0.145339652448657,0.966996699669967,0.961038961038961,0.136585365853659,0.130365659777424,0.138364779874214,0.147299509001637,0.963779527559055,0.131955484896661,0.380655226209048,0.142640364188164,0.956318252730109,0.503134796238245,0.962903225806452,0.128164556962025,0.131921824104235,0.963836477987421,0.958199356913183,0.964458804523425,0.132921174652241,0.130769230769231,0.337442218798151,0.1296875,0.143081761006289,0.13128038897893,0.968051118210863,0.96031746031746,0.953488372093023,0.952229299363057,0.957142857142857,0.140625,0.961538461538462,0.964230171073095,0.964285714285714,0.80690737833595,0.140378548895899,0.149920255183413,0.131121642969984,0.962264150943396,0.964686998394864,0.129952456418384,0.126455906821963,0.144409937888199,0.122065727699531,0.499217527386541,0.144634525660964,0.475961538461538,0.959935897435897,0.956989247311828,0.931962025316456,0.124394184168013,0.964396284829721,0.840873634945398,0.1328,0.964110929853181,0.973058637083994,0.15569823434992,0.145996860282575,0.126382306477093,0.955974842767296,0.148264984227129,0.960975609756098,0.14488188976378,0.144736842105263,0.131455399061033,0.963375796178344,0.154213036565978,0.960629921259842,0.13452188006483,0.959612277867528,0.965571205007825,0.139751552795031,0.140822784810127
"5",0,0,0,0,1,1,0.998407643312102,0.9968,1,1,0.995215311004785,1,0.996840442338073,1,1,1,0.995145631067961,1,1,1,1,0.996763754045307,0.995319812792512,0.996774193548387,1,1,0.9953125,0.993355481727575,1,0.995145631067961,0.995137763371151,0.995297805642633,0.996884735202492,1,1,1,0.993589743589744,0.990625,1,0.99194847020934,0.996860282574568,0.98936170212766,0.992125984251969,0.990521327014218,0.995275590551181,1,0.996918335901387,0,0,0,0,0.0147540983606557,0.176377952755906,0.196923076923077,0.253565768621236,0.0445151033386327,0.253869969040248,0.256692913385827,0.267405063291139,0.24685534591195,0.255742725880551,0.2528,0.219589257503949,0.269662921348315,0.271186440677966,0.244444444444444,0.263406940063092,0.0324574961360124,0.266347687400319,0.250406504065041,0.234375,0.265402843601896,0.262057877813505,0.259904912836767,0.1921875,0.268867924528302,0.263578274760383,0.258785942492013,0.257911392405063,0.247648902821317,0.1921875,0.260731319554849,0.259720062208398,0.241486068111455,0.260596546310832,0.227692307692308,0.254290171606864,0.260731319554849,0.267090620031797,0.24031007751938,0.116427432216906,0.0892307692307692,0.266347687400319,0.232258064516129,0.191082802547771,0.26040061633282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,1,0.995290423861852,0.993759750390016,1,1,0.993779160186625,1,0.995297805642633,1,1,1,0.990625,1,1,1,1,0.992138364779874,0.992236024844721,0.995283018867924,1,1,0.992260061919505,0.990243902439024,1,0.992150706436421,0.99347471451876,0.992199687987519,0.992435703479576,1,1,1,0.99211356466877,0.986153846153846,1,0.987179487179487,0.99388379204893,0.984917043740573,0.989147286821705,0.985645933014354,0.992283950617284,1,0.993957703927492,0,0,0,0,0.0130081300813008,0.191653786707883,0.203030303030303,0.269230769230769,0.0421216848673947,0.277950310559006,0.275384615384615,0.284591194968553,0.265527950310559,0.268933539412674,0.26502311248074,0.23208722741433,0.27742946708464,0.289922480620155,0.264890282131661,0.273148148148148,0.0326594090202177,0.279365079365079,0.26984126984127,0.234662576687117,0.284615384615385,0.277511961722488,0.268933539412674,0.20398773006135,0.274844720496894,0.285714285714286,0.271875,0.270569620253165,0.261136712749616,0.21183800623053,0.269716088328076,0.273282442748092,0.261868300153139,0.280125195618153,0.237878787878788,0.265625,0.27172195892575,0.272727272727273,0.258409785932722,0.1296875,0.0889570552147239,0.282334384858044,0.246105919003115,0.207221350078493,0.271472392638037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0.998407643312102,0.995290423861852,1,0.998392282958199,0.996784565916399,0.995334370139969,0.998415213946117,0.996850393700787,0.998422712933754,0.996870109546166,0.995207667731629,0.99512987012987,0.998384491114701,0.998447204968944,0.995230524642289,0.995153473344103,0.996830427892235,0.991896272285251,0.9890625,1,0.995283018867924,0.996763754045307,0.998425196850394,0.996661101836394,0.995405819295559,0.9984,0.996666666666667,0.996850393700787,0.998420221169036,0.995334370139969,0.99685534591195,0.996899224806202,0.990306946688207,0.99211356466877,0.996860282574568,0.993377483443709,1,0.9921875,0.995275590551181,0.993650793650794,0.996845425867508,0.998381877022654,0.996937212863706,0,0,0,0,0.013136288998358,0.173354735152488,0.187207488299532,0.270735524256651,0.0420032310177706,0.275752773375594,0.274603174603175,0.283171521035599,0.264890282131661,0.271450858034321,0.276083467094703,0.2336,0.285251215559157,0.290015847860539,0.26904376012966,0.276629570747218,0.0316957210776545,0.279620853080569,0.273905996758509,0.228934817170111,0.284578696343402,0.272285251215559,0.272,0.211746522411128,0.281847133757962,0.285714285714286,0.269537480063796,0.2704,0.27027027027027,0.195859872611465,0.274636510500808,0.273700305810398,0.262166405023548,0.275316455696203,0.239263803680982,0.265723270440252,0.274322169059011,0.272727272727273,0.25193199381762,0.129807692307692,0.0904836193447738,0.280193236714976,0.230769230769231,0.207062600321027,0.271317829457364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0.9968,0.993759750390016,0.998392282958199,1,0.995153473344103,0.9953125,1,0.993670886075949,1,0.995356037151703,0.993650793650794,0.993537964458804,0.996784565916399,0.996850393700787,0.993558776167472,0.996732026143791,0.99685534591195,0.991909385113269,0.990639625585023,0.998349834983498,0.993788819875776,0.993569131832797,1,0.998324958123953,0.993700787401575,1,0.998338870431894,0.998415213946117,0.996875,0.993660855784469,0.995215311004785,0.995305164319249,0.993620414673046,0.993700787401575,0.9968,0.993322203672788,0.998454404945904,0.993836671802773,0.995192307692308,0.995114006514658,0.9984375,0.995215311004785,0.998468606431853,0,0,0,0,0.0132669983416252,0.193700787401575,0.201892744479495,0.277602523659306,0.0431309904153355,0.283720930232558,0.278041074249605,0.297872340425532,0.278662420382166,0.28062015503876,0.280448717948718,0.242375601926164,0.291056910569106,0.302215189873418,0.279742765273312,0.289348171701113,0.0317460317460317,0.282988871224165,0.286885245901639,0.246815286624204,0.293929712460064,0.289430894308943,0.2776886035313,0.217460317460317,0.294685990338164,0.295527156549521,0.273752012882448,0.28130081300813,0.276995305164319,0.213270142180095,0.278219395866455,0.283048211508554,0.26905132192846,0.285714285714286,0.253105590062112,0.283018867924528,0.275477707006369,0.284789644012945,0.266875981161695,0.131921824104235,0.0917721518987342,0.28892455858748,0.248772504091653,0.214402618657938,0.279937791601866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,1,0.996784565916399,0.995153473344103,1,1,0.995230524642289,1,0.996810207336523,1,1,1,0.991896272285251,1,1,1,1,0.995169082125604,0.995348837209302,0.995215311004785,1,1,0.993700787401575,0.991762767710049,1,0.993558776167472,0.995073891625616,0.993640699523052,0.993740219092332,1,1,1,0.995290423861852,0.988906497622821,1,0.990275526742301,0.995275590551181,0.987635239567233,0.992101105845182,0.988673139158576,0.993720565149137,1,0.995405819295559,0,0,0,0,0.0128617363344051,0.195275590551181,0.20625,0.265723270440252,0.0447284345047923,0.280125195618153,0.272868217054264,0.28391167192429,0.264150943396226,0.27373417721519,0.270531400966184,0.22992125984252,0.285024154589372,0.290529695024077,0.266457680250784,0.284820031298905,0.0319488817891374,0.277955271565495,0.26797385620915,0.244479495268139,0.283950617283951,0.27591706539075,0.268680445151033,0.206070287539936,0.279179810725552,0.289855072463768,0.277511961722488,0.276083467094703,0.265723270440252,0.207165109034268,0.268562401263823,0.275808936825886,0.260530421216849,0.274167987321712,0.246130030959752,0.272300469483568,0.267942583732057,0.273449920508744,0.256211180124224,0.1296,0.0883720930232558,0.2848,0.24512987012987,0.199362041467305,0.2765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,1,1,0.995334370139969,0.9953125,1,1,0.995447647951442,1,0.996894409937888,1,1,1,0.992248062015504,1,1,1,1,0.992283950617284,0.992537313432836,0.995297805642633,1,1,0.993975903614458,0.993650793650794,1,0.993788819875776,0.996815286624204,0.995433789954338,0.993957703927492,1,1,1,0.993865030674847,0.989409984871407,1,0.990610328638498,0.99390243902439,0.988077496274218,0.989457831325301,0.989164086687306,0.995433789954338,1,0.997037037037037,0,0,0,0,0.0112359550561798,0.186363636363636,0.19634703196347,0.261724659606657,0.0385802469135802,0.265765765765766,0.25948406676783,0.283048211508554,0.257364341085271,0.262762762762763,0.261755485893417,0.229709035222052,0.28169014084507,0.284627092846271,0.261609907120743,0.276176024279211,0.0288315629742033,0.274961597542243,0.260663507109005,0.238897396630934,0.278890600924499,0.273716951788491,0.259316770186335,0.206015037593985,0.268217054263566,0.277258566978193,0.2642089093702,0.264984227129338,0.254601226993865,0.202127659574468,0.262830482115086,0.264179104477612,0.252238805970149,0.271472392638037,0.238738738738739,0.260670731707317,0.266975308641975,0.265432098765432,0.253030303030303,0.125,0.0896656534954407,0.270186335403727,0.234836702954899,0.198757763975155,0.26457399103139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
