"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244"
"1",1,0.897637795275591,0.88390092879257,0.896331738437002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.900153609831029,0.882447665056361,0.88801261829653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101382488479263,0.107302533532042,0.379310344827586,0.115569823434992,0.116352201257862,0.106687898089172,0.102325581395349,0.0946372239747634,0.0951638065522621,0.107197549770291,0.248475609756098,0.792125984251968,0.1,0.110935023771791,0.105590062111801,0.120980091883614,0.128440366972477,0.108562691131498,0.109717868338558,0.113354037267081,0.0993788819875776,0.108191653786708,0.101973684210526,0.109500805152979,0.108024691358025,0.119631901840491,0.115823817292007,0.106796116504854,0.206624605678233,0.110935023771791,0.104361370716511,0.109717868338558,0.10958904109589,0.110942249240122,0.101721439749609,0.114503816793893,0.105015673981191,0.0945121951219512,0.109004739336493,0.106750392464678,0.115207373271889,0.101721439749609,0.11496062992126,0.103610675039246,0.134466769706337,0.760061919504644,0.80030487804878,0.188311688311688,0.115384615384615,0.0947030497592295,0.19620253164557,0.107033639143731,0.78680981595092,0.104524180967239,0.79080824088748,0.104761904761905,0.759571209800919,0.293650793650794,0.098310291858679,0.107858243451464,0.105845181674566,0.110935023771791,0.105678233438486,0.113744075829384,0.104361370716511,0.802507836990596,0.0916271721958926,0.114551083591331,0.120980091883614,0.106750392464678,0.109004739336493,0.103975535168196,0.107936507936508,0.104166666666667,0.106583072100313,0.0987460815047022,0.115323854660348,0.10952380952381,0.101226993865031,0.758190327613105,0.111450381679389,0.769461077844311,0.82306477093207,0.753532182103611,0.108661417322835,0.158950617283951,0.0974025974025974,0.0943396226415094,0.118564742589704,0.103059581320451,0.794117647058823,0.74537037037037,0.109756097560976,0.106481481481481,0.101538461538462,0.119565217391304,0.0993788819875776,0.107890499194847,0.10410094637224,0.103076923076923,0.100156494522692,0.107858243451464,0.112341772151899,0.107594936708861,0.109350237717908,0.111455108359133,0.104524180967239,0.108597285067873,0.105180533751962,0.116987179487179,0.113707165109034,0.257551669316375,0.848341232227488,0.800307219662058,0.0930232558139535,0.805255023183926,0.810725552050473,0.103875968992248,0.106035889070147,0.0982839313572543,0.106750392464678,0.1112828438949,0.113707165109034,0.108024691358025,0.114329268292683,0.103125,0.105845181674566,0.111450381679389,0.11128526645768,0.819595645412131,0.6576,0.103503184713376,0.108019639934534,0.109567901234568,0.106060606060606,0.791158536585366,0.716463414634146,0.1046875,0.124416796267496,0.1078125,0.10752688172043,0.102009273570325,0.108150470219436,0.101851851851852,0.0970724191063174,0.118122977346278,0.111280487804878,0.102362204724409
"2",0.897637795275591,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874809160305344,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308166409861325,0.00153374233128834,0.339089481946625,0.00316957210776545,0.00156985871271586,0.00323101777059774,0.00154798761609907,0.00160771704180064,0.00156494522691706,0.00153139356814701,0.183359013867488,0.8752,0.00159489633173844,0.00159489633173844,0.00155038759689922,0.0015625,0.0354938271604938,0,0.00477707006369427,0.0015625,0.00156739811912226,0.0015748031496063,0.00164744645799012,0.0016025641025641,0,0.00618238021638331,0.00326797385620915,0.00159744408945687,0.128164556962025,0.00159489633173844,0.00155763239875389,0.00158982511923688,0.00311526479750779,0.00298953662182362,0.00157728706624606,0.00150602409638554,0.00155763239875389,0.0015600624024961,0.00161290322580645,0.00158730158730159,0.00155038759689922,0.0015600624024961,0.0015625,0,0.0250783699059561,0.846034214618974,0.887537993920973,0.126198083067093,0.00316957210776545,0.00160513643659711,0.125198098256735,0.00155038759689922,0.86890243902439,0.00157977883096367,0.885350318471338,0.00160513643659711,0.8328173374613,0.23968253968254,0.0015552099533437,0,0.0015552099533437,0.00159489633173844,0,0.00158730158730159,0.0015748031496063,0.897356143079316,0.00158227848101266,0.00156494522691706,0.00152905198776758,0.00156985871271586,0.00160771704180064,0.0015552099533437,0.00162074554294976,0.00161030595813205,0.00154559505409583,0,0.00159235668789809,0.00159235668789809,0.00155038759689922,0.830745341614907,0.00153609831029186,0.863842662632375,0.913821138211382,0.810289389067524,0.00158982511923688,0.0543478260869565,0.00161030595813205,0.00157232704402516,0.0046875,0.00157728706624606,0.869565217391304,0.820634920634921,0.00152671755725191,0.00154798761609907,0,0.00313479623824451,0,0.0115511551155116,0.00317460317460317,0,0,0.0015552099533437,0.00158478605388273,0.00157977883096367,0.00158730158730159,0.0015625,0.0015600624024961,0.00152439024390244,0.00158982511923688,0,0.00313971742543171,0.215873015873016,0.9616,0.895384615384615,0.00157232704402516,0.904173106646059,0.894899536321484,0.00157977883096367,0,0.00154083204930663,0.0015748031496063,0.00155763239875389,0.00156494522691706,0,0.00153846153846154,0.00154559505409583,0,0.00460829493087558,0,0.900621118012422,0.692926045016077,0.00159489633173844,0.00163934426229508,0.00154798761609907,0.00151515151515152,0.895962732919255,0.789312977099237,0.00312989045383412,0.0410094637223975,0,0,0.00158478605388273,0.00158227848101266,0,0.0015748031496063,0.00159235668789809,0.00154083204930663,0.00161550888529887
"3",0.88390092879257,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854324734446131,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00614439324116743,0.0015220700152207,0.33489827856025,0.00641025641025641,0,0.0031496062992126,0.00155038759689922,0.00163132137030995,0.0015527950310559,0,0.171732522796353,0.872813990461049,0.00316455696202532,0.00158982511923688,0.00156739811912226,0.00151285930408472,0.0275650842266462,0.00154320987654321,0.00623052959501558,0.00155038759689922,0.00156985871271586,0.00156494522691706,0.00166389351081531,0,0.00158227848101266,0.00455927051671732,0.0032520325203252,0.00162866449511401,0.141304347826087,0.00473186119873817,0.00153374233128834,0.00156739811912226,0.00460122699386503,0.00464396284829721,0,0,0.00156739811912226,0.00154320987654321,0.00159235668789809,0.00158982511923688,0.00151515151515152,0,0.0015552099533437,0.00157232704402516,0.0292758089368259,0.830769230769231,0.880121396054628,0.115569823434992,0.00628930817610063,0.00160513643659711,0.10410094637224,0.00154083204930663,0.859784283513097,0.0015748031496063,0.8784,0.00158982511923688,0.827217125382263,0.220285261489699,0.00154798761609907,0.00156739811912226,0.0031055900621118,0.00157977883096367,0.00155038759689922,0,0,0.890822784810127,0.00156739811912226,0.00155038759689922,0.00153609831029186,0.0015552099533437,0.00160771704180064,0.00153846153846154,0.00159744408945687,0.00157977883096367,0,0,0.00157728706624606,0.00156494522691706,0.00150829562594268,0.833078101071976,0.0015552099533437,0.857784431137725,0.9072,0.809448818897638,0.0016,0.0544323483670296,0,0.0015552099533437,0.0078740157480315,0.00157232704402516,0.865718799368088,0.819032761310452,0,0,0.0015600624024961,0.00315457413249211,0.0015748031496063,0.00978792822185971,0.00473186119873817,0.00153846153846154,0,0.00155763239875389,0.00158227848101266,0.00157728706624606,0.00157728706624606,0.0015552099533437,0.00154798761609907,0.00153609831029186,0.0031201248049922,0,0.0062015503875969,0.193037974683544,0.957278481012658,0.889400921658986,0.00157977883096367,0.896499238964992,0.895475819032761,0,0.00162337662337662,0.00154798761609907,0.00155038759689922,0.00155038759689922,0.00157232704402516,0.00156985871271586,0,0.00153374233128834,0.00156739811912226,0.00615384615384615,0.00155038759689922,0.894819466248038,0.681528662420382,0.00158478605388273,0.00159489633173844,0.00154083204930663,0.00153139356814701,0.887366818873668,0.788109756097561,0.0015625,0.0389408099688473,0.00154320987654321,0.0015552099533437,0.00311526479750779,0.00156985871271586,0.00156985871271586,0.0015552099533437,0.00159489633173844,0.00303951367781155,0
"4",0.896331738437002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875776397515528,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015625,0,0.337042925278219,0.0016260162601626,0,0.00162866449511401,0,0,0,0,0.172684458398744,0.878836833602585,0,0,0,0,0.0330188679245283,0,0.00644122383252818,0,0,0,0,0,0,0.0046875,0.00164744645799012,0,0.116987179487179,0,0,0,0.00156494522691706,0.00154798761609907,0,0,0,0,0,0,0,0,0,0.00161812297734628,0.0190779014308426,0.84044233807267,0.88208269525268,0.118122977346278,0.00162866449511401,0,0.12202852614897,0,0.866459627329193,0,0.887278582930757,0,0.838557993730408,0.227707006369427,0,0,0.00160771704180064,0,0,0,0,0.890302066772655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832298136645963,0,0.865648854961832,0.91042345276873,0.813614262560778,0,0.055205047318612,0,0,0.00320512820512821,0,0.874203821656051,0.822683706070288,0,0,0,0.00157728706624606,0,0.00492610837438424,0.00161812297734628,0,0,0,0,0,0.00156739811912226,0,0,0,0,0,0.0016,0.20450885668277,0.958333333333333,0.89375,0,0.897959183673469,0.898251192368839,0,0,0,0,0,0,0,0,0,0,0.00309119010819165,0,0.901743264659271,0.697368421052632,0,0,0,0,0.895148669796557,0.787365177195686,0.00156739811912226,0.0322061191626409,0,0,0.00161030595813205,0,0,0,0,0.00155038759689922,0
"5",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
