"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262"
"1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.380655226209048,0.370892018779343,0.385692068429238,0.377535101404056,0.366614664586583,0.378378378378378,0.383280757097792,0.384493670886076,0.372093023255814,0.390697674418605,0.384732824427481,0.383647798742138,0.371695178849145,0.37173579109063,0.389147286821705,0.368992248062016,0.365591397849462,0.395962732919255,0.363779527559055,0.3728,0.376413570274637,0.362790697674419,0.356697819314642,0.365354330708661,0.386153846153846,0.383177570093458,0.388888888888889,0.381180223285486,0.383177570093458,0.380726698262243,0.374603174603175,0.376377952755906,0.378670788253478,0.364392678868552,0.373846153846154,0.363492063492063,0.379204892966361,0.365203761755486,0.381761978361669,0.370253164556962,0.380804953560372,0.377887788778878,0.384,0.374603174603175,0.383458646616541,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.384259259259259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.406148867313916,0.386942675159236,0.398724082934609,0.405797101449275,0.390048154093098,0.39469320066335,0.404838709677419,0.402576489533011,0.402535657686212,0.405660377358491,0.401273885350318,0.396747967479675,0.393081761006289,0.397174254317111,0.405956112852665,0.387755102040816,0.38801261829653,0.40224358974359,0.392464678178964,0.39504132231405,0.39344262295082,0.379644588045234,0.374193548387097,0.38740157480315,0.41287284144427,0.406050955414013,0.401869158878505,0.399676375404531,0.39873417721519,0.40224358974359,0.403565640194489,0.404458598726115,0.407407407407407,0.380710659898477,0.394944707740916,0.387722132471729,0.402190923317684,0.38474025974026,0.39589905362776,0.388178913738019,0.407936507936508,0.386824324324324,0.405537459283388,0.386991869918699,0.399075500770416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.405492730210016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.397435897435897,0.386327503974563,0.403252032520325,0.393312101910828,0.394611727416799,0.390082644628099,0.393939393939394,0.401626016260163,0.395238095238095,0.404724409448819,0.4,0.392628205128205,0.379527559055118,0.38125,0.395604395604396,0.383307573415765,0.384251968503937,0.408585055643879,0.377633711507293,0.387722132471729,0.391517128874388,0.384012539184953,0.3824,0.376788553259142,0.410094637223975,0.394524959742351,0.39589905362776,0.395424836601307,0.395638629283489,0.404838709677419,0.391869918699187,0.402597402597403,0.3968,0.386666666666667,0.392744479495268,0.383739837398374,0.398387096774194,0.378466557911909,0.393798449612403,0.391025641025641,0.396440129449838,0.381666666666667,0.396103896103896,0.383870967741935,0.393617021276596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.397129186602871,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.40746500777605,0.379310344827586,0.391849529780564,0.400616332819723,0.384024577572965,0.381558028616852,0.388719512195122,0.39589905362776,0.398773006134969,0.405487804878049,0.39938080495356,0.39652448657188,0.382488479262673,0.390505359877489,0.398148148148148,0.385432473444613,0.386949924127466,0.404945904173107,0.380216383307573,0.3879173290938,0.384615384615385,0.381026438569207,0.374613003095975,0.384853168469861,0.406060606060606,0.393188854489164,0.400611620795107,0.393650793650794,0.392966360856269,0.394944707740916,0.394321766561514,0.395534290271132,0.39938080495356,0.377235772357724,0.39509954058193,0.3801261829653,0.393893129770992,0.376766091051805,0.39236641221374,0.386541471048513,0.402756508422665,0.379084967320261,0.398073836276083,0.383411580594679,0.396142433234421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.393518518518519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.602803738317757,0.615264797507788,0.609642301710731,0.596546310832025,0.615030674846626,0.60586319218241,0.6,0.598101265822785,0.602184087363494,0.598145285935085,0.599071207430341,0.596214511041009,0.623456790123457,0.60490045941807,0.596599690880989,0.602427921092564,0.61136712749616,0.5921875,0.613354037267081,0.605095541401274,0.612012987012987,0.622670807453416,0.623639191290824,0.610675039246468,0.592307692307692,0.599071207430341,0.602184087363494,0.604133545310016,0.600308641975309,0.599364069952305,0.606299212598425,0.59904912836767,0.600624024960998,0.623529411764706,0.604395604395604,0.6138147566719,0.603715170278638,0.61741835147745,0.602803738317757,0.61128526645768,0.591743119266055,0.615894039735099,0.602218700475436,0.60596546310832,0.607518796992481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607255520504732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.604724409448819,0.624213836477987,0.613924050632911,0.610328638497653,0.62754303599374,0.622331691297209,0.6176,0.608832807570978,0.6203125,0.604037267080745,0.615748031496063,0.615506329113924,0.631415241057543,0.629283489096573,0.606811145510836,0.620528771384137,0.625776397515528,0.60410094637224,0.632165605095541,0.625407166123778,0.620967741935484,0.625194401244168,0.632716049382716,0.635367762128325,0.611455108359133,0.610305958132045,0.610410094637224,0.620967741935484,0.613458528951487,0.610142630744849,0.616852146263911,0.61698717948718,0.6203125,0.638513513513513,0.618380062305296,0.627172195892575,0.609642301710731,0.635646687697161,0.616588419405321,0.614767255216693,0.609717868338558,0.63036303630363,0.610114192495922,0.624203821656051,0.622356495468278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.608150470219436,0.610492845786963,0.601587301587302,0.590266875981162,0.616113744075829,0.611650485436893,0.600961538461538,0.59904912836767,0.60596546310832,0.589783281733746,0.591194968553459,0.6138147566719,0.610852713178295,0.607255520504732,0.595015576323987,0.60490045941807,0.61214953271028,0.6,0.618441971383148,0.602605863192182,0.615384615384615,0.609302325581395,0.623211446740858,0.6138147566719,0.587774294670846,0.590625,0.592417061611374,0.608695652173913,0.59594383775351,0.601910828025478,0.602870813397129,0.600644122383253,0.61128526645768,0.62,0.60093896713615,0.621794871794872,0.602484472049689,0.616113744075829,0.6049766718507,0.603803486529319,0.604361370716511,0.607321131447587,0.602584814216478,0.619582664526485,0.603318250377074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606635071090047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.592592592592593,0.6112,0.594771241830065,0.60347551342812,0.610576923076923,0.606907894736842,0.599358974358974,0.595505617977528,0.608557844690967,0.588050314465409,0.599374021909233,0.596825396825397,0.609448818897638,0.60952380952381,0.594594594594595,0.614420062695925,0.621451104100946,0.591414944356121,0.612641815235008,0.612377850162866,0.614093959731544,0.609872611464968,0.620414673046252,0.622792937399679,0.58740157480315,0.597133757961783,0.593247588424437,0.605519480519481,0.595161290322581,0.588141025641026,0.608482871125612,0.604234527687296,0.603833865814696,0.616279069767442,0.605723370429253,0.616013071895425,0.602523659305994,0.615635179153095,0.598726114649682,0.606741573033708,0.606973058637084,0.609060402684564,0.606907894736842,0.612745098039216,0.606531881804043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602254428341385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.58411214953271,0.605504587155963,0.585403726708075,0.590839694656489,0.606334841628959,0.592417061611374,0.592307692307692,0.587326120556414,0.587423312883436,0.586523736600306,0.588597842835131,0.590490797546012,0.601823708206687,0.599695585996956,0.585106382978723,0.597325408618128,0.602739726027397,0.583975346687211,0.608424336973479,0.599683544303797,0.60625,0.607575757575758,0.611872146118721,0.604197901049475,0.581570996978852,0.583850931677019,0.585735963581184,0.589984350547731,0.591463414634146,0.586687306501548,0.595129375951294,0.583850931677019,0.592933947772657,0.608695652173913,0.590015128593041,0.609907120743034,0.592085235920852,0.61171032357473,0.598187311178248,0.595645412130638,0.585626911314985,0.593900481540931,0.581648522550544,0.591962905718702,0.594353640416048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59236641221374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.588888888888889,0.616692426584235,0.596825396825397,0.604580152671756,0.613740458015267,0.612012987012987,0.598145285935085,0.594637223974763,0.599690880989181,0.592933947772657,0.6015625,0.60347551342812,0.6203125,0.608169440242057,0.592705167173252,0.606015037593985,0.611455108359133,0.596899224806202,0.62557781201849,0.617124394184168,0.608695652173913,0.627329192546584,0.625978090766823,0.619783616692427,0.594180704441041,0.599369085173502,0.598130841121495,0.595541401273885,0.611026033690659,0.60062893081761,0.603125,0.604430379746835,0.601880877742947,0.622149837133551,0.608628659476117,0.616352201257862,0.604006163328197,0.615384615384615,0.607963246554365,0.613458528951487,0.599063962558502,0.605220228384992,0.600969305331179,0.606299212598425,0.606875934230194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611023622047244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
